,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2015-01-01 00:00:00+01:00,68.0,0.0,0.0,2536.0,435.0,0.0,335.0,36.0,0.0,2875.0,589.0,0.0,0.0,267.0,507.0,177.0
2015-01-01 01:00:00+01:00,69.0,0.0,0.0,2509.0,434.0,0.0,153.0,36.0,0.0,2875.0,666.0,0.0,0.0,269.0,491.0,205.0
2015-01-01 02:00:00+01:00,69.0,0.0,0.0,2463.0,435.0,0.0,7.0,36.0,0.0,2874.0,662.0,0.0,0.0,271.0,519.0,216.0
2015-01-01 03:00:00+01:00,68.0,0.0,0.0,2243.0,436.0,0.0,9.0,36.0,0.0,2873.0,635.0,0.0,0.0,266.0,529.0,237.0
2015-01-01 04:00:00+01:00,67.0,0.0,0.0,2134.0,436.0,0.0,413.0,37.0,0.0,2874.0,597.0,0.0,0.0,268.0,407.0,326.0
2015-01-01 05:00:00+01:00,68.0,0.0,0.0,2166.0,436.0,0.0,537.0,37.0,0.0,2873.0,597.0,0.0,0.0,269.0,413.0,317.0
2015-01-01 06:00:00+01:00,70.0,0.0,0.0,2034.0,434.0,0.0,533.0,37.0,0.0,2874.0,610.0,0.0,0.0,264.0,550.0,271.0
2015-01-01 07:00:00+01:00,69.0,0.0,0.0,1990.0,436.0,0.0,517.0,36.0,0.0,2874.0,612.0,0.0,0.0,263.0,616.0,324.0
2015-01-01 08:00:00+01:00,68.0,0.0,0.0,1949.0,415.0,0.0,9.0,36.0,0.0,2874.0,606.0,0.0,0.0,267.0,628.0,460.0
2015-01-01 09:00:00+01:00,77.0,0.0,0.0,1845.0,331.0,0.0,9.0,37.0,0.0,2873.0,591.0,0.0,93.0,263.0,645.0,502.0
2015-01-01 10:00:00+01:00,85.0,0.0,0.0,1872.0,253.0,0.0,9.0,37.0,0.0,2874.0,572.0,0.0,375.0,267.0,656.0,479.0
2015-01-01 11:00:00+01:00,86.0,0.0,0.0,1916.0,219.0,0.0,9.0,38.0,0.0,2874.0,574.0,0.0,740.0,269.0,633.0,433.0
2015-01-01 12:00:00+01:00,81.0,0.0,0.0,2001.0,159.0,0.0,42.0,41.0,0.0,2874.0,572.0,0.0,938.0,268.0,606.0,415.0
