,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore
2015-01-01 00:00:00+01:00,,,,,,0.0,16.0
2015-01-01 01:00:00+01:00,,,,,,0.0,14.0
2015-01-01 02:00:00+01:00,,,,,,0.0,14.0
2015-01-01 03:00:00+01:00,,,,,,0.0,13.0
2015-01-01 04:00:00+01:00,,,,,,0.0,14.0
2015-01-01 05:00:00+01:00,,,,,,0.0,10.0
2015-01-01 06:00:00+01:00,,,,,,0.0,12.0
2015-01-01 07:00:00+01:00,,,,,,0.0,17.0
2015-01-01 08:00:00+01:00,,,,,,0.0,14.0
2015-01-01 09:00:00+01:00,,,,,,2.0,10.0
2015-01-01 10:00:00+01:00,,,,,,5.0,5.0
2015-01-01 11:00:00+01:00,,,,,,8.0,4.0
2015-01-01 12:00:00+01:00,,,,,,10.0,3.0
2015-01-01 13:00:00+01:00,,,,,,10.0,10.0
2015-01-01 14:00:00+01:00,,,,,,8.0,7.0
2015-01-01 15:00:00+01:00,,,,,,4.0,3.0
2015-01-01 16:00:00+01:00,,,,,,1.0,4.0
2015-01-01 17:00:00+01:00,,,,,,0.0,4.0
2015-01-01 18:00:00+01:00,,,,,,0.0,4.0
2015-01-01 19:00:00+01:00,,,,,,0.0,2.0
2015-01-01 20:00:00+01:00,,,,,,0.0,2.0
2015-01-01 21:00:00+01:00,,,,,,0.0,2.0
2015-01-01 22:00:00+01:00,,,,,,0.0,1.0
2015-01-01 23:00:00+01:00,,,,,,0.0,0.0
2015-01-02 00:00:00+01:00,,,,,,0.0,0.0
2015-01-02 01:00:00+01:00,,,,,,0.0,2.0
2015-01-02 02:00:00+01:00,,,,,,0.0,3.0
2015-01-02 03:00:00+01:00,,,,,,0.0,7.0
2015-01-02 04:00:00+01:00,,,,,,0.0,8.0
2015-01-02 05:00:00+01:00,,,,,,0.0,11.0
2015-01-02 06:00:00+01:00,,,,,,0.0,12.0
2015-01-02 07:00:00+01:00,,,,,,0.0,15.0
2015-01-02 08:00:00+01:00,,,,,,0.0,18.0
2015-01-02 09:00:00+01:00,,,,,,3.0,15.0
2015-01-02 10:00:00+01:00,,,,,,6.0,17.0
2015-01-02 11:00:00+01:00,,,,,,9.0,18.0
2015-01-02 12:00:00+01:00,,,,,,7.0,19.0
2015-01-02 13:00:00+01:00,,,,,,4.0,19.0
2015-01-02 14:00:00+01:00,,,,,,2.0,19.0
2015-01-02 15:00:00+01:00,,,,,,1.0,18.0
2015-01-02 16:00:00+01:00,,,,,,0.0,18.0
2015-01-02 17:00:00+01:00,,,,,,0.0,17.0
2015-01-02 18:00:00+01:00,,,,,,0.0,14.0
2015-01-02 19:00:00+01:00,,,,,,0.0,14.0
2015-01-02 20:00:00+01:00,,,,,,0.0,9.0
2015-01-02 21:00:00+01:00,,,,,,0.0,6.0
2015-01-02 22:00:00+01:00,,,,,,0.0,5.0
2015-01-02 23:00:00+01:00,,,,,,0.0,1.0
2015-01-03 00:00:00+01:00,,,,,,0.0,3.0
2015-01-03 01:00:00+01:00,,,,,,0.0,3.0
2015-01-03 02:00:00+01:00,,,,,,0.0,6.0
2015-01-03 03:00:00+01:00,,,,,,0.0,10.0
2015-01-03 04:00:00+01:00,,,,,,0.0,13.0
2015-01-03 05:00:00+01:00,,,,,,0.0,14.0
2015-01-03 06:00:00+01:00,,,,,,0.0,15.0
2015-01-03 07:00:00+01:00,,,,,,0.0,18.0
2015-01-03 08:00:00+01:00,,,,,,0.0,19.0
2015-01-03 09:00:00+01:00,,,,,,2.0,17.0
2015-01-03 10:00:00+01:00,,,,,,6.0,18.0
