date,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2015-01-01 00:00:00+01:00,193,2823,2025,274,9,4426,4555,57633,0,284,1314
2015-01-01 00:00:00+01:00,193,2823,2025,274,9,4426,4555,57633,0,284,1314
2015-01-01 01:00:00+01:00,193,2515,1577,274,11,4229,3732,57945,0,281,1383
2015-01-01 01:00:00+01:00,193,2515,1577,274,11,4229,3732,57945,0,281,1383
2015-01-01 02:00:00+01:00,193,2452,1416,273,14,4007,3046,57652,0,281,1464
2015-01-01 02:00:00+01:00,193,2452,1416,273,14,4007,3046,57652,0,281,1464
2015-01-01 03:00:00+01:00,193,2345,1132,274,326,3787,1726,57583,0,282,1543
2015-01-01 03:00:00+01:00,193,2345,1132,274,326,3787,1726,57583,0,282,1543
2015-01-01 04:00:00+01:00,193,2344,770,276,1488,3654,810,57551,0,281,1579
2015-01-01 04:00:00+01:00,193,2344,770,276,1488,3654,810,57551,0,281,1579
2015-01-01 05:00:00+01:00,193,2340,861,277,2361,3594,1090,57465,0,277,1482
2015-01-01 05:00:00+01:00,193,2340,861,277,2361,3594,1090,57465,0,277,1482
2015-01-01 06:00:00+01:00,193,2318,1067,277,2131,3416,1269,57683,0,279,1387
2015-01-01 06:00:00+01:00,193,2318,1067,277,2131,3416,1269,57683,0,279,1387
2015-01-01 07:00:00+01:00,194,2357,1083,276,2096,3283,1086,57384,0,278,1583
2015-01-01 07:00:00+01:00,194,2357,1083,276,2096,3283,1086,57384,0,278,1583
2015-01-01 08:00:00+01:00,198,2385,965,277,2534,3472,916,56839,59,275,1814
2015-01-01 08:00:00+01:00,198,2385,965,277,2534,3472,916,56839,59,275,1814
2015-01-01 09:00:00+01:00,205,2382,984,279,2741,3681,803,57017,385,274,1936
2015-01-01 09:00:00+01:00,205,2382,984,279,2741,3681,803,57017,385,274,1936
2015-01-01 10:00:00+01:00,205,2364,1091,278,2221,3798,819,57458,1053,276,1927
2015-01-01 10:00:00+01:00,205,2364,1091,278,2221,3798,819,57458,1053,276,1927
2015-01-01 11:00:00+01:00,204,2355,1052,278,1629,3889,1095,57479,1635,278,1846
2015-01-01 11:00:00+01:00,204,2355,1052,278,1629,3889,1095,57479,1635,278,1846
2015-01-01 12:00:00+01:00,204,2352,1052,275,1300,4007,1699,57840,1883,277,1768
2015-01-01 12:00:00+01:00,204,2352,1052,275,1300,4007,1699,57840,1883,277,1768
2015-01-01 13:00:00+01:00,204,2343,1008,273,626,3718,960,57501,1857,274,1715
2015-01-01 13:00:00+01:00,204,2343,1008,273,626,3718,960,57501,1857,274,1715
2015-01-01 14:00:00+01:00,204,2330,998,274,1389,3483,610,57133,1516,278,1693
2015-01-01 14:00:00+01:00,204,2330,998,274,1389,3483,610,57133,1516,278,1693
2015-01-01 15:00:00+01:00,204,2324,1038,276,2645,3418,598,57388,911,277,1697
2015-01-01 15:00:00+01:00,204,2324,1038,276,2645,3418,598,57388,911,277,1697
2015-01-01 16:00:00+01:00,205,2319,1093,276,2140,3378,660,57643,300,278,1938
2015-01-01 16:00:00+01:00,205,2319,1093,276,2140,3378,660,57643,300,278,1938
2015-01-01 17:00:00+01:00,205,2350,1176,275,251,3678,3006,58011,39,279,2301
2015-01-01 17:00:00+01:00,205,2350,1176,275,251,3678,3006,58011,39,279,2301
2015-01-01 18:00:00+01:00,205,2363,1162,274,15,4530,5744,58080,0,278,2672
2015-01-01 18:00:00+01:00,205,2363,1162,274,15,4530,5744,58080,0,278,2672
2015-01-01 19:00:00+01:00,205,2358,1233,274,1,4926,6382,58246,0,279,3017
2015-01-01 19:00:00+01:00,205,2358,1233,274,1,4926,6382,58246,0,279,3017
2015-01-01 20:00:00+01:00,205,2397,1202,274,1,4817,5380,58257,0,281,3289
2015-01-01 20:00:00+01:00,205,2397,1202,274,1,4817,5380,58257,0,281,3289
2015-01-01 21:00:00+01:00,205,2591,1165,275,11,4830,3513,58192,0,279,3496
2015-01-01 21:00:00+01:00,205,2591,1165,275,11,4830,3513,58192,0,279,3496
2015-01-01 22:00:00+01:00,205,2735,1175,274,13,4764,4193,58194,0,279,3619
2015-01-01 22:00:00+01:00,205,2735,1175,274,13,4764,4193,58194,0,279,3619
2015-01-01 23:00:00+01:00,205,2748,943,273,11,4395,3041,58077,0,282,3887
2015-01-01 23:00:00+01:00,205,2748,943,273,11,4395,3041,58077,0,282,3887
2015-01-02 00:00:00+01:00,205,2570,971,274,82,3685,1773,58012,0,282,3971
2015-01-02 00:00:00+01:00,205,2570,971,274,82,3685,1773,58012,0,282,3971
2015-01-02 01:00:00+01:00,205,2357,1001,274,588,3178,1172,57865,0,282,4022
2015-01-02 01:00:00+01:00,205,2357,1001,274,588,3178,1172,57865,0,282,4022
2015-01-02 02:00:00+01:00,205,2342,992,274,1014,2836,903,57838,0,282,4034
2015-01-02 02:00:00+01:00,205,2342,992,274,1014,2836,903,57838,0,282,4034
2015-01-02 03:00:00+01:00,204,2342,750,274,2896,2792,533,57416,0,282,4223
2015-01-02 03:00:00+01:00,204,2342,750,274,2896,2792,533,57416,0,282,4223
2015-01-02 04:00:00+01:00,205,2340,699,274,3263,2799,430,57040,0,282,4433
2015-01-02 04:00:00+01:00,205,2340,699,274,3263,2799,430,57040,0,282,4433
2015-01-02 05:00:00+01:00,205,2342,736,275,3284,2865,350,57368,0,283,4504
2015-01-02 05:00:00+01:00,205,2342,736,275,3284,2865,350,57368,0,283,4504
2015-01-02 06:00:00+01:00,203,2290,1147,275,2931,3023,716,58084,0,280,4490
2015-01-02 06:00:00+01:00,203,2290,1147,275,2931,3023,716,58084,0,280,4490
2015-01-02 07:00:00+01:00,203,2321,1575,273,1417,3200,1452,58080,0,278,4425
2015-01-02 07:00:00+01:00,203,2321,1575,273,1417,3200,1452,58080,0,278,4425
2015-01-02 08:00:00+01:00,201,2570,1784,276,14,3667,3013,58041,57,279,4247
2015-01-02 08:00:00+01:00,201,2570,1784,276,14,3667,3013,58041,57,279,4247
2015-01-02 09:00:00+01:00,200,2594,1945,276,1,4224,3975,58459,331,275,3843
2015-01-02 09:00:00+01:00,200,2594,1945,276,1,4224,3975,58459,331,275,3843
2015-01-02 10:00:00+01:00,201,2596,2276,274,1,4554,4344,58590,842,276,3518
2015-01-02 10:00:00+01:00,201,2596,2276,274,1,4554,4344,58590,842,276,3518
2015-01-02 11:00:00+01:00,204,2612,2433,276,1,4880,4563,58589,1271,271,3270
2015-01-02 11:00:00+01:00,204,2612,2433,276,1,4880,4563,58589,1271,271,3270
2015-01-02 12:00:00+01:00,205,2603,2427,275,1,4941,5375,58605,1397,268,3083
2015-01-02 12:00:00+01:00,205,2603,2427,275,1,4941,5375,58605,1397,268,3083
2015-01-02 13:00:00+01:00,205,2601,2345,274,4,4577,3989,58552,1360,275,2771
2015-01-02 13:00:00+01:00,205,2601,2345,274,4,4577,3989,58552,1360,275,2771
2015-01-02 14:00:00+01:00,205,2602,2339,285,77,4035,3223,58509,1119,275,2381
2015-01-02 14:00:00+01:00,205,2602,2339,285,77,4035,3223,58509,1119,275,2381
2015-01-02 15:00:00+01:00,204,2595,2333,285,530,3987,3120,57740,639,279,2162
2015-01-02 15:00:00+01:00,204,2595,2333,285,530,3987,3120,57740,639,279,2162
2015-01-02 16:00:00+01:00,204,2671,2272,284,377,4314,3249,57630,203,276,1877
2015-01-02 16:00:00+01:00,204,2671,2272,284,377,4314,3249,57630,203,276,1877
2015-01-02 17:00:00+01:00,202,2825,2336,283,42,4884,5212,58070,36,276,1692
2015-01-02 17:00:00+01:00,202,2825,2336,283,42,4884,5212,58070,36,276,1692
2015-01-02 18:00:00+01:00,202,3059,2336,285,52,5462,6932,58487,0,277,1605
2015-01-02 18:00:00+01:00,202,3059,2336,285,52,5462,6932,58487,0,277,1605
2015-01-02 19:00:00+01:00,202,3060,2240,285,13,5481,7094,58593,0,283,1488
2015-01-02 19:00:00+01:00,202,3060,2240,285,13,5481,7094,58593,0,283,1488
2015-01-02 20:00:00+01:00,202,3029,2255,274,3,5194,5479,58620,0,282,1367
2015-01-02 20:00:00+01:00,202,3029,2255,274,3,5194,5479,58620,0,282,1367
2015-01-02 21:00:00+01:00,202,3021,2136,275,18,4821,3591,58621,0,281,1192
2015-01-02 21:00:00+01:00,202,3021,2136,275,18,4821,3591,58621,0,281,1192
2015-01-02 22:00:00+01:00,202,3086,2009,275,15,4831,3930,58623,0,282,1088
2015-01-02 22:00:00+01:00,202,3086,2009,275,15,4831,3930,58623,0,282,1088
2015-01-02 23:00:00+01:00,202,3099,1977,275,15,4558,4450,58525,0,284,1038
2015-01-02 23:00:00+01:00,202,3099,1977,275,15,4558,4450,58525,0,284,1038
