,Biomass,Fossil Brown coal/Lignite,Hydro Pumped Storage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore
2015-03-01 01:00:00+02:00,20.0,2196.0,10.0,432.0,2070.0,0.0,10.0
2015-03-01 02:00:00+02:00,19.0,2229.0,0.0,374.0,2071.0,0.0,10.0
2015-03-01 03:00:00+02:00,19.0,2270.0,0.0,373.0,2072.0,0.0,28.0
2015-03-01 04:00:00+02:00,19.0,2207.0,0.0,372.0,2074.0,0.0,42.0
2015-03-01 05:00:00+02:00,19.0,2183.0,0.0,375.0,2070.0,0.0,50.0
2015-03-01 06:00:00+02:00,18.0,2298.0,0.0,409.0,2070.0,0.0,15.0
2015-03-01 07:00:00+02:00,19.0,2147.0,28.0,604.0,2071.0,7.0,5.0
2015-03-01 08:00:00+02:00,19.0,2169.0,41.0,829.0,2072.0,56.0,13.0
2015-03-01 09:00:00+02:00,20.0,2187.0,41.0,1043.0,2070.0,145.0,17.0
2015-03-01 10:00:00+02:00,18.0,2143.0,40.0,1014.0,2071.0,246.0,8.0
2015-03-01 11:00:00+02:00,19.0,2094.0,31.0,958.0,2073.0,323.0,5.0
2015-03-01 12:00:00+02:00,19.0,2086.0,0.0,804.0,2073.0,348.0,5.0
2015-03-01 13:00:00+02:00,20.0,2093.0,0.0,612.0,2071.0,375.0,6.0
2015-03-01 14:00:00+02:00,20.0,2087.0,0.0,474.0,2070.0,378.0,11.0
2015-03-01 15:00:00+02:00,22.0,2088.0,0.0,469.0,2071.0,301.0,14.0
2015-03-01 16:00:00+02:00,20.0,2097.0,3.0,664.0,2074.0,172.0,20.0
2015-03-01 17:00:00+02:00,19.0,2293.0,188.0,837.0,2073.0,32.0,33.0
2015-03-01 18:00:00+02:00,20.0,2352.0,483.0,1052.0,2072.0,0.0,51.0
2015-03-01 19:00:00+02:00,19.0,2331.0,610.0,1100.0,2072.0,0.0,74.0
2015-03-01 20:00:00+02:00,21.0,2240.0,575.0,968.0,2073.0,0.0,86.0
2015-03-01 21:00:00+02:00,21.0,2247.0,433.0,842.0,2075.0,0.0,105.0
2015-03-01 22:00:00+02:00,21.0,2251.0,244.0,769.0,2075.0,0.0,123.0
2015-03-01 23:00:00+02:00,19.0,2136.0,122.0,683.0,2072.0,0.0,131.0
2015-03-02 00:00:00+02:00,20.0,2134.0,59.0,500.0,2071.0,0.0,166.0
2015-03-02 01:00:00+02:00,22.0,2207.0,0.0,417.0,2073.0,0.0,187.0
2015-03-02 02:00:00+02:00,21.0,2205.0,0.0,368.0,2071.0,0.0,242.0
2015-03-02 03:00:00+02:00,20.0,2220.0,0.0,368.0,2070.0,0.0,287.0
2015-03-02 04:00:00+02:00,20.0,2222.0,0.0,368.0,2071.0,0.0,276.0
2015-03-02 05:00:00+02:00,21.0,2310.0,0.0,367.0,2072.0,0.0,271.0
2015-03-02 06:00:00+02:00,21.0,2361.0,0.0,381.0,2073.0,0.0,254.0
2015-03-02 07:00:00+02:00,21.0,2544.0,0.0,657.0,2071.0,32.0,269.0
2015-03-02 08:00:00+02:00,21.0,2491.0,46.0,833.0,2070.0,140.0,306.0
2015-03-02 09:00:00+02:00,20.0,2289.0,81.0,999.0,2071.0,315.0,256.0
2015-03-02 10:00:00+02:00,21.0,2247.0,46.0,904.0,2072.0,477.0,187.0
2015-03-02 11:00:00+02:00,19.0,2170.0,41.0,821.0,2070.0,673.0,195.0
2015-03-02 12:00:00+02:00,19.0,2145.0,40.0,727.0,2069.0,729.0,189.0
2015-03-02 13:00:00+02:00,21.0,2101.0,41.0,718.0,2070.0,701.0,181.0
2015-03-02 14:00:00+02:00,20.0,2109.0,41.0,685.0,2072.0,587.0,151.0
2015-03-02 15:00:00+02:00,21.0,2130.0,41.0,638.0,2071.0,444.0,138.0
2015-03-02 16:00:00+02:00,18.0,2367.0,41.0,662.0,2071.0,233.0,174.0
2015-03-02 17:00:00+02:00,20.0,2435.0,196.0,809.0,2071.0,47.0,209.0
2015-03-02 18:00:00+02:00,20.0,2510.0,559.0,959.0,2073.0,1.0,249.0
2015-03-02 19:00:00+02:00,19.0,2453.0,734.0,1036.0,2072.0,0.0,261.0
2015-03-02 20:00:00+02:00,21.0,2330.0,569.0,1029.0,2072.0,0.0,237.0
2015-03-02 21:00:00+02:00,21.0,2134.0,430.0,1017.0,2073.0,0.0,231.0
2015-03-02 22:00:00+02:00,20.0,2118.0,329.0,991.0,2074.0,0.0,210.0
2015-03-02 23:00:00+02:00,20.0,2084.0,44.0,784.0,2076.0,0.0,164.0
2015-03-03 00:00:00+02:00,20.0,2188.0,40.0,613.0,2074.0,0.0,177.0
