,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Wind Onshore
2015-03-01 00:00:00+01:00,53.82,3734.28,32.339999999999996,257.25,6083.580000000001,0.0,5.688,0.0,7.579
2015-03-01 01:00:00+01:00,53.82,3346.42,32.83,256.76,5924.5,0.0,5.784,0.0,8.91
2015-03-01 02:00:00+01:00,53.82,3194.7200000000003,32.83,256.76,5966.320000000001,0.0,5.784,0.0,10.109
2015-03-01 03:00:00+01:00,53.59,3026.6200000000003,32.83,256.27,5964.68,0.0,5.784,0.0,11.604999999999999
2015-03-01 04:00:00+01:00,53.82,3043.0200000000004,32.83,256.27,5967.96,0.0,5.784,0.0,14.453999999999999
2015-03-01 05:00:00+01:00,53.82,3143.0600000000004,32.83,256.76,6060.620000000001,0.0,5.784,0.0,16.896
2015-03-01 06:00:00+01:00,53.82,3204.5600000000004,32.83,256.76,5845.780000000001,0.0,5.784,0.0,19.084999999999997
2015-03-01 07:00:00+01:00,53.82,3488.28,32.83,256.27,5864.64,0.0,5.784,0.0,18.953
2015-03-01 08:00:00+01:00,54.050000000000004,3914.6800000000003,33.32,256.76,5803.14,0.0,6.0,0.0,18.546
2015-03-01 09:00:00+01:00,53.82,4405.860000000001,33.32,257.25,5818.72,0.0,6.288,0.0,17.237
2015-03-01 10:00:00+01:00,53.82,4466.54,32.339999999999996,259.7,5644.88,0.48,6.36,1.032,20.57
2015-03-01 11:00:00+01:00,53.82,4429.64,31.36,259.21,5598.96,1.92,6.336,1.032,24.320999999999998
2015-03-01 12:00:00+01:00,54.050000000000004,4296.8,31.36,258.23,5615.360000000001,0.0,5.856,1.032,26.421999999999997
2015-03-01 13:00:00+01:00,53.82,4283.68,33.32,258.23,5594.040000000001,0.0,5.688,1.032,26.598
2015-03-01 14:00:00+01:00,53.82,3995.86,33.32,254.31,5479.240000000001,0.0,5.64,1.032,25.915999999999997
2015-03-01 15:00:00+01:00,53.82,3744.9400000000005,32.83,253.32999999999998,5522.700000000001,0.0,5.472,0.0,25.035999999999998
2015-03-01 16:00:00+01:00,53.82,3908.1200000000003,32.83,253.32999999999998,5673.580000000001,0.0,5.4,0.0,22.682
2015-03-01 17:00:00+01:00,53.82,4605.9400000000005,32.83,258.71999999999997,5931.88,0.0,5.808,1.032,23.595
2015-03-01 18:00:00+01:00,53.82,4774.860000000001,32.339999999999996,266.56,6533.76,3.12,5.856,1.032,22.627
2015-03-01 19:00:00+01:00,53.82,4747.8,32.339999999999996,266.56,6885.540000000001,0.96,5.928,1.032,21.439
