,Fossil Gas,Nuclear,Solar,Wind Onshore
2015-04-01 00:00:00+02:00,0.0,,0.0,25.0
2015-04-01 01:00:00+02:00,0.0,,0.0,23.0
2015-04-01 02:00:00+02:00,0.0,,0.0,23.0
2015-04-01 03:00:00+02:00,0.0,,0.0,22.0
2015-04-01 04:00:00+02:00,0.0,,0.0,21.0
2015-04-01 05:00:00+02:00,0.0,,0.0,21.0
2015-04-01 06:00:00+02:00,0.0,,0.0,19.0
2015-04-01 07:00:00+02:00,0.0,,2.0,19.0
2015-04-01 08:00:00+02:00,0.0,,11.0,19.0
2015-04-01 09:00:00+02:00,0.0,,21.0,21.0
2015-04-01 10:00:00+02:00,0.0,,42.0,20.0
2015-04-01 11:00:00+02:00,0.0,,52.0,17.0
2015-04-01 12:00:00+02:00,0.0,,57.0,16.0
2015-04-01 13:00:00+02:00,0.0,,66.0,17.0
2015-04-01 14:00:00+02:00,0.0,,65.0,18.0
2015-04-01 15:00:00+02:00,0.0,,69.0,15.0
2015-04-01 16:00:00+02:00,0.0,,48.0,16.0
2015-04-01 17:00:00+02:00,0.0,,33.0,15.0
2015-04-01 18:00:00+02:00,0.0,,14.0,16.0
2015-04-01 19:00:00+02:00,0.0,,2.0,12.0
2015-04-01 20:00:00+02:00,0.0,,0.0,10.0
2015-04-01 21:00:00+02:00,0.0,,0.0,9.0
2015-04-01 22:00:00+02:00,0.0,,0.0,12.0
2015-04-01 23:00:00+02:00,0.0,,0.0,13.0
2015-04-02 00:00:00+02:00,0.0,,0.0,13.0
2015-04-02 01:00:00+02:00,0.0,,0.0,14.0
2015-04-02 02:00:00+02:00,0.0,,0.0,16.0
2015-04-02 03:00:00+02:00,0.0,,0.0,17.0
2015-04-02 04:00:00+02:00,0.0,,0.0,16.0
2015-04-02 05:00:00+02:00,0.0,,0.0,18.0
2015-04-02 06:00:00+02:00,0.0,,0.0,19.0
2015-04-02 07:00:00+02:00,0.0,,1.0,18.0
2015-04-02 08:00:00+02:00,23.0,,5.0,20.0
2015-04-02 09:00:00+02:00,278.0,,12.0,20.0
2015-04-02 10:00:00+02:00,272.0,,20.0,18.0
2015-04-02 11:00:00+02:00,162.0,,28.0,16.0
2015-04-02 12:00:00+02:00,10.0,,32.0,21.0
2015-04-02 13:00:00+02:00,0.0,,26.0,21.0
2015-04-02 14:00:00+02:00,0.0,,22.0,20.0
2015-04-02 15:00:00+02:00,0.0,,19.0,21.0
2015-04-02 16:00:00+02:00,0.0,,15.0,21.0
2015-04-02 17:00:00+02:00,0.0,,9.0,23.0
2015-04-02 18:00:00+02:00,0.0,,4.0,22.0
2015-04-02 19:00:00+02:00,0.0,,0.0,12.0
2015-04-02 20:00:00+02:00,0.0,,0.0,12.0
2015-04-02 21:00:00+02:00,0.0,,0.0,11.0
2015-04-02 22:00:00+02:00,0.0,,0.0,5.0
2015-04-02 23:00:00+02:00,0.0,,0.0,6.0
2015-04-03 00:00:00+02:00,0.0,,0.0,5.0
2015-04-03 01:00:00+02:00,0.0,,0.0,4.0
2015-04-03 02:00:00+02:00,0.0,,0.0,4.0
2015-04-03 03:00:00+02:00,0.0,,0.0,5.0
2015-04-03 04:00:00+02:00,0.0,,0.0,5.0
2015-04-03 05:00:00+02:00,0.0,,0.0,6.0
2015-04-03 06:00:00+02:00,0.0,,0.0,6.0
2015-04-03 07:00:00+02:00,0.0,,3.0,6.0
2015-04-03 08:00:00+02:00,0.0,,16.0,6.0
2015-04-03 09:00:00+02:00,0.0,,37.0,4.0
2015-04-03 10:00:00+02:00,0.0,,61.0,3.0
2015-04-03 11:00:00+02:00,0.0,,84.0,3.0
2015-04-03 12:00:00+02:00,0.0,,105.0,2.0
2015-04-03 13:00:00+02:00,0.0,,114.0,3.0
2015-04-03 14:00:00+02:00,0.0,,102.0,6.0
2015-04-03 15:00:00+02:00,0.0,,76.0,5.0
2015-04-03 16:00:00+02:00,0.0,,48.0,5.0
