,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Wind Onshore
2015-04-01 00:00:00+02:00,234.0,4059.0,60.0,585.0,7259.0,0.0,226.0,0.0,3283.0
2015-04-01 01:00:00+02:00,234.0,4027.0,62.0,575.0,7183.0,0.0,226.0,0.0,3361.0
2015-04-01 02:00:00+02:00,234.0,3924.0,62.0,575.0,7119.0,0.0,226.0,0.0,3327.0
2015-04-01 03:00:00+02:00,234.0,4008.0,62.0,575.0,7240.0,0.0,226.0,0.0,3264.0
2015-04-01 04:00:00+02:00,234.0,4029.0,62.0,575.0,7243.0,0.0,225.0,0.0,3260.0
2015-04-01 05:00:00+02:00,234.0,4296.0,63.0,585.0,7286.0,0.0,224.0,0.0,3094.0
2015-04-01 06:00:00+02:00,236.0,5302.0,63.0,589.0,7613.0,0.0,219.0,0.0,3102.0
2015-04-01 07:00:00+02:00,239.0,6259.0,63.0,631.0,8082.0,0.0,223.0,0.0,3073.0
2015-04-01 08:00:00+02:00,240.0,6364.0,63.0,632.0,8611.0,60.0,253.0,28.0,3069.0
2015-04-01 09:00:00+02:00,239.0,6333.0,63.0,627.0,8879.0,80.0,260.0,28.0,3237.0
2015-04-01 10:00:00+02:00,239.0,6385.0,63.0,634.0,8855.0,80.0,262.0,28.0,3328.0
2015-04-01 11:00:00+02:00,203.0,6547.0,55.0,636.0,8864.0,80.0,256.0,28.0,3502.0
2015-04-01 12:00:00+02:00,142.0,6571.0,50.0,637.0,8924.0,80.0,246.0,29.0,3469.0
2015-04-01 13:00:00+02:00,156.0,6612.0,47.0,635.0,8779.0,20.0,236.0,29.0,3624.0
2015-04-01 14:00:00+02:00,231.0,6599.0,48.0,633.0,8406.0,0.0,235.0,28.0,3606.0
2015-04-01 15:00:00+02:00,238.0,6352.0,50.0,633.0,8265.0,22.0,234.0,28.0,3443.0
