,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
2015-05-01 00:00:00+02:00,81.19,909.4399999999999,348.5,0.0,2.448,0.672,29.112000000000002,420.66,0.0,247.15496000000002,0.84,0.9129999999999999
2015-05-01 01:00:00+02:00,80.73,902.5799999999999,355.06,0.0,0.40800000000000003,0.744,29.172,378.02000000000004,0.0,240.69942,0.996,0.5609999999999999
2015-05-01 02:00:00+02:00,81.19,880.04,355.88000000000005,0.0,7.68,0.768,29.16,382.94000000000005,0.0,244.38830000000002,0.648,0.27499999999999997
2015-05-01 03:00:00+02:00,83.26,854.56,356.70000000000005,0.0,10.416,0.72,29.148,418.20000000000005,0.0,242.54386000000002,1.3920000000000001,0.242
2015-05-01 04:00:00+02:00,82.57000000000001,819.28,356.70000000000005,0.0,16.512,0.6,29.136,380.48,0.0,242.54386000000002,1.848,0.286
2015-05-01 05:00:00+02:00,82.11,808.01,354.24,0.0,14.136000000000001,0.48,29.148,375.56,0.0,243.46608,1.6440000000000001,0.7809999999999999
2015-05-01 06:00:00+02:00,81.65,798.6999999999999,348.5,0.0,1.296,0.36,29.136,411.64000000000004,0.615,242.54386000000002,1.56,1.4849999999999999
2015-05-01 07:00:00+02:00,81.65,930.51,345.22,0.0,0.888,0.336,29.124000000000002,479.70000000000005,6.314,239.77720000000002,1.68,2.1999999999999997
2015-05-01 08:00:00+02:00,81.88000000000001,950.6,348.5,0.0,0.48,0.40800000000000003,29.088,557.6,15.006,240.69942,1.68,1.7049999999999998
2015-05-01 09:00:00+02:00,81.42,996.66,351.78000000000003,0.0,3.912,0.504,29.088,611.72,30.094,240.69942,1.68,1.518
2015-05-01 10:00:00+02:00,81.65,915.3199999999999,348.5,0.0,2.2560000000000002,0.6,29.136,594.5,53.956,240.69942,1.824,1.474
2015-05-01 11:00:00+02:00,81.65,971.18,332.92,0.0,0.48,0.672,29.124000000000002,541.2,61.377,239.77720000000002,1.464,0.99
2015-05-01 12:00:00+02:00,81.42,880.04,323.90000000000003,0.0,0.336,0.648,29.136,514.14,72.93900000000001,238.85498,1.668,0.9129999999999999
2015-05-01 13:00:00+02:00,75.44,879.55,316.52000000000004,0.0,9.24,0.5760000000000001,29.124000000000002,492.82000000000005,79.33500000000001,241.62164,1.584,1.012
2015-05-01 14:00:00+02:00,70.84,862.89,312.42,0.0,9.216000000000001,0.48,29.136,476.42,73.308,241.62164,2.004,0.9129999999999999
2015-05-01 15:00:00+02:00,71.3,876.61,293.56,0.0,9.168000000000001,0.528,29.136,468.22,65.928,243.46608,2.112,0.957
2015-05-01 16:00:00+02:00,72.45,863.87,293.56,0.0,4.296,0.6,29.136,457.56000000000006,56.334,241.62164,2.88,0.869
2015-05-01 17:00:00+02:00,76.59,862.4,341.12,0.0,1.488,0.672,29.124000000000002,482.98,44.895,242.54386000000002,3.456,1.067
2015-05-01 18:00:00+02:00,79.58,895.72,358.34000000000003,0.0,4.464,0.624,29.124000000000002,469.04,28.782,242.54386000000002,3.912,1.1989999999999998
2015-05-01 19:00:00+02:00,79.81,926.59,355.06,0.0,0.216,0.552,29.112000000000002,505.94000000000005,11.726,241.62164,3.9,1.188
2015-05-01 20:00:00+02:00,80.73,942.76,355.06,0.0,2.2560000000000002,0.504,29.112000000000002,524.8000000000001,1.599,243.46608,3.8160000000000003,1.232
2015-05-01 21:00:00+02:00,80.27000000000001,944.23,359.16,0.0,9.216000000000001,0.552,29.112000000000002,525.62,0.0,243.46608,3.372,1.331
2015-05-01 22:00:00+02:00,79.58,914.34,358.34000000000003,0.0,13.944,0.528,29.088,490.36,0.0,242.54386000000002,3.456,1.5399999999999998
2015-05-01 23:00:00+02:00,81.19,931.0,356.70000000000005,0.0,11.448,0.528,27.456,449.36,0.0,244.38830000000002,3.084,1.8809999999999998
2015-05-02 00:00:00+02:00,82.11,860.4399999999999,352.6,0.0,1.6320000000000001,0.648,24.816,350.14000000000004,0.0,243.46608,2.112,1.8259999999999998
2015-05-02 01:00:00+02:00,81.19,829.5699999999999,314.06,0.0,0.984,0.744,24.132,321.44,0.0,242.54386000000002,1.6560000000000001,1.551
2015-05-02 02:00:00+02:00,76.36,836.92,254.20000000000002,0.0,10.392,0.6960000000000001,24.132,312.42,0.0,241.62164,1.368,1.43
2015-05-02 03:00:00+02:00,74.06,854.56,197.62,0.0,13.08,0.528,24.144000000000002,319.8,0.0,242.54386000000002,0.768,1.1769999999999998
2015-05-02 04:00:00+02:00,74.29,863.87,208.28000000000003,0.0,13.008000000000001,0.384,24.156,327.18,0.0,244.38830000000002,0.432,0.638
2015-05-02 05:00:00+02:00,74.52000000000001,849.17,273.88,0.0,10.248,0.384,24.12,347.68,0.0,244.38830000000002,0.336,0.5609999999999999
2015-05-02 06:00:00+02:00,74.06,816.34,321.44,0.0,10.56,0.456,24.12,373.92,1.189,245.31052,0.372,0.495
2015-05-02 07:00:00+02:00,74.06,822.22,342.76000000000005,0.0,1.512,0.504,24.108,447.72,10.291,243.46608,0.492,0.5609999999999999
2015-05-02 08:00:00+02:00,74.06,830.55,359.16,0.0,2.472,0.504,24.12,526.44,26.035,244.38830000000002,0.684,0.43999999999999995
2015-05-02 09:00:00+02:00,74.29,854.56,356.70000000000005,0.0,6.912,0.504,24.12,566.62,41.615,241.62164,0.744,0.176
2015-05-02 10:00:00+02:00,79.35000000000001,838.88,330.46000000000004,0.0,5.208,0.528,24.12,597.7800000000001,51.988,240.69942,0.624,0.16499999999999998
2015-05-02 11:00:00+02:00,81.19,860.93,264.86,0.0,3.7680000000000002,0.5760000000000001,24.12,591.22,57.277,241.62164,1.056,0.143
2015-05-02 12:00:00+02:00,80.5,853.09,261.58000000000004,0.0,5.352,0.624,24.108,593.6800000000001,59.655,240.69942,1.344,0.16499999999999998
2015-05-02 13:00:00+02:00,81.42,804.09,260.76000000000005,0.0,5.472,0.5760000000000001,24.096,599.4200000000001,60.68,237.93276,1.452,0.253
2015-05-02 14:00:00+02:00,81.19,810.9499999999999,249.28000000000003,0.0,3.528,0.528,24.108,580.5600000000001,56.17,237.01054000000002,1.548,0.264
2015-05-02 15:00:00+02:00,80.27000000000001,808.99,256.66,0.0,0.432,0.48,24.108,571.5400000000001,44.485,237.93276,1.752,0.297
2015-05-02 16:00:00+02:00,80.96000000000001,814.87,264.04,0.0,0.024,0.504,24.108,578.1,34.399,238.85498,2.2800000000000002,0.638
2015-05-02 17:00:00+02:00,80.96000000000001,851.13,264.86,0.0,0.216,0.48,24.096,578.1,18.614,237.01054000000002,2.82,0.748
2015-05-02 18:00:00+02:00,81.19,887.39,264.04,0.0,2.52,0.504,24.084,584.6600000000001,10.455,238.85498,3.204,0.693
2015-05-02 19:00:00+02:00,79.35000000000001,888.86,262.40000000000003,0.0,5.112,0.504,24.072,574.0,4.5920000000000005,239.77720000000002,3.9,0.6489999999999999
2015-05-02 20:00:00+02:00,80.5,881.02,261.58000000000004,0.0,4.992,0.48,24.072,533.0,0.779,241.62164,4.644,0.715
2015-05-02 21:00:00+02:00,79.81,893.76,261.58000000000004,0.0,4.5600000000000005,0.456,24.084,502.66,0.0,240.69942,4.38,0.957
2015-05-02 22:00:00+02:00,78.89,908.9499999999999,262.40000000000003,0.0,4.752,0.456,24.084,508.40000000000003,0.0,240.69942,4.188,1.4189999999999998
2015-05-02 23:00:00+02:00,79.35000000000001,864.36,257.48,0.0,3.408,0.48,24.084,485.44000000000005,0.0,240.69942,5.124,1.815
2015-05-03 00:00:00+02:00,80.96000000000001,781.55,141.86,0.0,2.4,0.48,24.096,343.58000000000004,0.0,238.85498,4.944,1.9469999999999998
2015-05-03 01:00:00+02:00,76.13000000000001,766.36,136.12,0.0,4.848,0.504,24.108,341.12,0.0,238.85498,4.2,1.936
2015-05-03 02:00:00+02:00,74.98,782.53,116.44000000000001,0.0,4.896,0.552,24.108,344.40000000000003,0.0,238.85498,3.48,1.573
2015-05-03 03:00:00+02:00,74.52000000000001,834.96,117.26,0.0,4.92,0.5760000000000001,24.132,363.26000000000005,0.0,240.69942,2.436,1.397
2015-05-03 04:00:00+02:00,51.75,849.17,118.08000000000001,0.0,4.944,0.552,24.144000000000002,419.84000000000003,0.0,239.77720000000002,2.7,1.265
2015-05-03 05:00:00+02:00,35.88,836.43,135.3,0.0,0.6960000000000001,0.552,24.12,431.32000000000005,0.0,239.77720000000002,2.94,1.628
2015-05-03 06:00:00+02:00,46.0,790.86,149.24,0.0,4.224,0.5760000000000001,24.108,447.72,0.5740000000000001,239.77720000000002,2.2800000000000002,2.31
2015-05-03 07:00:00+02:00,53.59,839.86,123.00000000000001,0.0,4.92,0.552,24.12,514.96,4.346,238.85498,1.848,1.958
2015-05-03 08:00:00+02:00,60.260000000000005,827.61,125.46000000000001,0.0,5.28,0.552,24.12,558.4200000000001,11.029,237.93276,2.664,1.518
2015-05-03 09:00:00+02:00,68.31,779.59,138.58,0.0,0.28800000000000003,0.552,24.108,588.76,18.901,237.93276,4.008,1.5839999999999999
2015-05-03 10:00:00+02:00,76.82000000000001,837.9,140.22,0.0,2.4,0.552,24.072,590.4000000000001,18.327,234.24388000000002,3.3240000000000003,2.178
2015-05-03 11:00:00+02:00,80.04,864.85,145.96,0.0,6.984,0.528,24.072,590.4000000000001,16.031000000000002,235.1661,4.056,2.937
2015-05-03 12:00:00+02:00,81.42,849.17,154.98000000000002,0.0,13.104000000000001,0.504,24.060000000000002,597.7800000000001,16.154,235.1661,5.28,3.663
2015-05-03 13:00:00+02:00,81.42,855.54,184.5,0.0,10.584,0.48,24.060000000000002,596.96,15.334000000000001,236.08832,6.612,4.311999999999999
2015-05-03 14:00:00+02:00,80.5,845.25,205.00000000000003,0.0,4.008,0.504,24.048000000000002,610.9000000000001,15.416,232.39944,6.972,5.236
2015-05-03 15:00:00+02:00,78.66,832.51,216.48000000000002,0.0,2.832,0.504,24.072,601.88,16.687,232.39944,7.38,6.127
2015-05-03 16:00:00+02:00,80.27000000000001,787.43,224.68,0.0,1.56,0.504,24.084,596.96,18.081,221.33280000000002,7.752,6.545
2015-05-03 17:00:00+02:00,80.27000000000001,758.52,184.5,0.0,1.944,0.504,24.072,587.94,25.133000000000003,220.41058,7.728,6.6
2015-05-03 18:00:00+02:00,80.27000000000001,812.91,130.38000000000002,0.0,9.504,0.504,24.048000000000002,551.0400000000001,20.664,220.41058,7.776,6.754
2015-05-03 19:00:00+02:00,79.81,805.0699999999999,137.76000000000002,0.0,0.504,0.528,24.048000000000002,543.6600000000001,10.373000000000001,218.56614000000002,7.8,6.082999999999999
2015-05-03 20:00:00+02:00,79.35000000000001,789.39,184.5,0.0,1.008,0.672,24.024,520.7,2.255,216.7217,7.716,4.213
2015-05-03 21:00:00+02:00,80.96000000000001,820.75,180.4,0.0,2.568,0.72,24.048000000000002,497.74000000000007,0.0,219.48836,7.644,3.9709999999999996
2015-05-03 22:00:00+02:00,79.35000000000001,805.0699999999999,177.94000000000003,0.0,0.12,0.6960000000000001,24.060000000000002,481.34000000000003,0.0,217.64392,7.644,3.6849999999999996
2015-05-03 23:00:00+02:00,81.19,779.1,123.00000000000001,0.0,3.12,0.648,24.060000000000002,453.46000000000004,0.0,218.56614000000002,7.152,3.19
2015-05-04 00:00:00+02:00,80.96000000000001,798.21,126.28000000000002,0.0,5.448,0.5760000000000001,24.072,382.12,0.0,217.64392,6.732,3.0799999999999996
