,Biomass
2015-03-01 00:00:00+01:00,328.0
2015-03-01 01:00:00+01:00,323.0
2015-03-01 02:00:00+01:00,333.0
2015-03-01 03:00:00+01:00,335.0
2015-03-01 04:00:00+01:00,334.0
2015-03-01 05:00:00+01:00,333.0
2015-03-01 06:00:00+01:00,316.0
2015-03-01 07:00:00+01:00,328.0
2015-03-01 08:00:00+01:00,335.0
2015-03-01 09:00:00+01:00,334.0
2015-03-01 10:00:00+01:00,331.0
2015-03-01 11:00:00+01:00,332.0
2015-03-01 12:00:00+01:00,336.0
2015-03-01 13:00:00+01:00,333.0
2015-03-01 14:00:00+01:00,320.0
2015-03-01 15:00:00+01:00,321.0
2015-03-01 16:00:00+01:00,318.0
2015-03-01 17:00:00+01:00,321.0
2015-03-01 18:00:00+01:00,323.0
2015-03-01 19:00:00+01:00,320.0
2015-03-01 20:00:00+01:00,320.0
2015-03-01 21:00:00+01:00,320.0
2015-03-01 22:00:00+01:00,321.0
2015-03-01 23:00:00+01:00,319.0
2015-03-03 00:00:00+01:00,306.0
2015-03-03 01:00:00+01:00,303.0
2015-03-03 02:00:00+01:00,301.0
2015-03-03 03:00:00+01:00,295.0
2015-03-03 04:00:00+01:00,300.0
2015-03-03 05:00:00+01:00,303.0
2015-03-03 06:00:00+01:00,306.0
2015-03-03 07:00:00+01:00,301.0
2015-03-03 08:00:00+01:00,305.0
2015-03-03 09:00:00+01:00,305.0
2015-03-03 10:00:00+01:00,305.0
2015-03-03 11:00:00+01:00,305.0
2015-03-03 12:00:00+01:00,302.0
2015-03-03 13:00:00+01:00,304.0
2015-03-03 14:00:00+01:00,304.0
2015-03-03 15:00:00+01:00,303.0
2015-03-03 16:00:00+01:00,304.0
2015-03-03 17:00:00+01:00,304.0
2015-03-03 18:00:00+01:00,303.0
2015-03-03 19:00:00+01:00,302.0
2015-03-03 20:00:00+01:00,308.0
2015-03-03 21:00:00+01:00,313.0
2015-03-03 22:00:00+01:00,315.0
2015-03-03 23:00:00+01:00,311.0
2015-03-06 00:00:00+01:00,303.0
2015-03-06 01:00:00+01:00,304.0
2015-03-06 02:00:00+01:00,306.0
2015-03-06 03:00:00+01:00,301.0
2015-03-06 04:00:00+01:00,302.0
2015-03-06 05:00:00+01:00,291.0
2015-03-06 06:00:00+01:00,277.0
2015-03-06 07:00:00+01:00,282.0
2015-03-06 08:00:00+01:00,287.0
2015-03-06 09:00:00+01:00,275.0
2015-03-06 10:00:00+01:00,291.0
2015-03-06 11:00:00+01:00,301.0
2015-03-06 12:00:00+01:00,299.0
2015-03-06 13:00:00+01:00,301.0
2015-03-06 14:00:00+01:00,299.0
2015-03-06 15:00:00+01:00,301.0
2015-03-06 16:00:00+01:00,301.0
2015-03-06 17:00:00+01:00,314.0
2015-03-06 18:00:00+01:00,314.0
2015-03-06 19:00:00+01:00,312.0
2015-03-06 20:00:00+01:00,321.0
2015-03-06 21:00:00+01:00,320.0
2015-03-06 22:00:00+01:00,313.0
2015-03-06 23:00:00+01:00,296.0
2015-03-10 00:00:00+01:00,328.0
2015-03-10 01:00:00+01:00,328.0
2015-03-10 02:00:00+01:00,328.0
2015-03-10 03:00:00+01:00,324.0
2015-03-10 04:00:00+01:00,329.0
2015-03-10 05:00:00+01:00,330.0
2015-03-10 06:00:00+01:00,328.0
2015-03-10 07:00:00+01:00,321.0
2015-03-10 08:00:00+01:00,329.0
2015-03-10 09:00:00+01:00,324.0
2015-03-10 10:00:00+01:00,318.0
2015-03-10 11:00:00+01:00,322.0
2015-03-10 12:00:00+01:00,331.0
2015-03-10 13:00:00+01:00,329.0
2015-03-10 14:00:00+01:00,315.0
2015-03-10 15:00:00+01:00,320.0
2015-03-10 16:00:00+01:00,322.0
2015-03-10 17:00:00+01:00,321.0
2015-03-10 18:00:00+01:00,319.0
2015-03-10 19:00:00+01:00,320.0
2015-03-10 20:00:00+01:00,306.0
2015-03-10 21:00:00+01:00,312.0
2015-03-10 22:00:00+01:00,318.0
2015-03-10 23:00:00+01:00,317.0
2015-03-13 00:00:00+01:00,287.0
2015-03-13 01:00:00+01:00,284.0
2015-03-13 02:00:00+01:00,284.0
2015-03-13 03:00:00+01:00,282.0
2015-03-13 04:00:00+01:00,290.0
2015-03-13 05:00:00+01:00,287.0
2015-03-13 06:00:00+01:00,287.0
2015-03-13 07:00:00+01:00,290.0
2015-03-13 08:00:00+01:00,293.0
2015-03-13 09:00:00+01:00,276.0
2015-03-13 10:00:00+01:00,277.0
2015-03-13 11:00:00+01:00,285.0
2015-03-13 12:00:00+01:00,285.0
2015-03-13 13:00:00+01:00,285.0
2015-03-13 14:00:00+01:00,285.0
2015-03-13 15:00:00+01:00,281.0
2015-03-13 16:00:00+01:00,285.0
2015-03-13 17:00:00+01:00,287.0
2015-03-13 18:00:00+01:00,287.0
2015-03-13 19:00:00+01:00,289.0
2015-03-13 20:00:00+01:00,285.0
2015-03-13 21:00:00+01:00,289.0
2015-03-13 22:00:00+01:00,279.0
2015-03-13 23:00:00+01:00,264.0
2015-03-14 00:00:00+01:00,278.0
2015-03-14 01:00:00+01:00,277.0
2015-03-14 02:00:00+01:00,277.0
2015-03-14 03:00:00+01:00,278.0
2015-03-14 04:00:00+01:00,279.0
2015-03-14 05:00:00+01:00,279.0
2015-03-14 06:00:00+01:00,265.0
2015-03-14 07:00:00+01:00,277.0
2015-03-14 08:00:00+01:00,278.0
2015-03-14 09:00:00+01:00,278.0
2015-03-14 10:00:00+01:00,278.0
2015-03-14 11:00:00+01:00,280.0
2015-03-14 12:00:00+01:00,279.0
2015-03-14 13:00:00+01:00,278.0
2015-03-14 14:00:00+01:00,275.0
2015-03-14 15:00:00+01:00,276.0
2015-03-14 16:00:00+01:00,278.0
2015-03-14 17:00:00+01:00,279.0
2015-03-14 18:00:00+01:00,279.0
2015-03-14 19:00:00+01:00,278.0
2015-03-14 20:00:00+01:00,279.0
2015-03-14 21:00:00+01:00,276.0
2015-03-14 22:00:00+01:00,275.0
2015-03-14 23:00:00+01:00,270.0
2015-03-15 00:00:00+01:00,262.0
2015-03-15 01:00:00+01:00,263.0
2015-03-15 02:00:00+01:00,270.0
2015-03-15 03:00:00+01:00,265.0
2015-03-15 04:00:00+01:00,264.0
2015-03-15 05:00:00+01:00,261.0
2015-03-15 06:00:00+01:00,251.0
2015-03-15 07:00:00+01:00,265.0
2015-03-15 08:00:00+01:00,265.0
2015-03-15 09:00:00+01:00,263.0
2015-03-15 10:00:00+01:00,265.0
2015-03-15 11:00:00+01:00,268.0
2015-03-15 12:00:00+01:00,267.0
2015-03-15 13:00:00+01:00,263.0
2015-03-15 14:00:00+01:00,266.0
2015-03-15 15:00:00+01:00,263.0
2015-03-15 16:00:00+01:00,269.0
2015-03-15 17:00:00+01:00,267.0
2015-03-15 18:00:00+01:00,264.0
2015-03-15 19:00:00+01:00,265.0
2015-03-15 20:00:00+01:00,264.0
2015-03-15 21:00:00+01:00,268.0
2015-03-15 22:00:00+01:00,269.0
2015-03-15 23:00:00+01:00,267.0
2015-03-23 00:00:00+01:00,278.0
2015-03-23 01:00:00+01:00,286.0
2015-03-23 02:00:00+01:00,284.0
2015-03-23 03:00:00+01:00,279.0
2015-03-23 04:00:00+01:00,283.0
2015-03-23 05:00:00+01:00,280.0
2015-03-23 06:00:00+01:00,278.0
2015-03-23 07:00:00+01:00,288.0
2015-03-23 08:00:00+01:00,282.0
2015-03-23 09:00:00+01:00,277.0
2015-03-23 10:00:00+01:00,254.0
2015-03-23 11:00:00+01:00,251.0
2015-03-23 12:00:00+01:00,241.0
2015-03-23 13:00:00+01:00,241.0
2015-03-23 14:00:00+01:00,283.0
2015-03-23 15:00:00+01:00,288.0
2015-03-23 16:00:00+01:00,294.0
2015-03-23 17:00:00+01:00,295.0
2015-03-23 18:00:00+01:00,276.0
2015-03-23 19:00:00+01:00,277.0
2015-03-23 20:00:00+01:00,280.0
2015-03-23 21:00:00+01:00,276.0
2015-03-23 22:00:00+01:00,274.0
2015-03-23 23:00:00+01:00,274.0
