,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
2015-06-01 00:00:00+02:00,59.800000000000004,1781.8600000000001,108.28999999999999,50.47,133.66,2.199,0.024,2.352,0.672,34.428,0.0,,0.0,8.29998,0.9019999999999999
2015-06-01 01:00:00+02:00,58.88,1819.5800000000002,110.25,46.55,127.92000000000002,2.199,0.0,2.352,0.672,34.464,0.0,,0.0,8.29998,0.737
2015-06-01 02:00:00+02:00,59.11,1955.7,112.7,46.55,123.82000000000001,2.932,0.0,2.352,0.672,34.488,0.0,,0.0,8.29998,0.748
2015-06-01 03:00:00+02:00,59.11,1990.9600000000003,109.75999999999999,46.55,127.10000000000001,2.932,0.0,2.352,0.672,34.488,0.0,,0.0,8.29998,0.7809999999999999
2015-06-01 04:00:00+02:00,59.11,2031.9600000000003,103.88,47.04,118.08000000000001,2.932,0.0,2.352,0.672,34.44,0.0,,0.0,8.29998,0.737
2015-06-01 05:00:00+02:00,59.11,2177.1000000000004,110.74,47.04,135.3,2.932,0.0,2.2560000000000002,0.96,34.488,0.0,,1.066,8.29998,0.825
2015-06-01 06:00:00+02:00,59.57,2670.7400000000002,119.07,50.96,164.0,2.932,0.264,2.376,1.416,34.524,0.0,,4.92,8.29998,0.693
2015-06-01 07:00:00+02:00,59.57,2987.26,117.11,53.41,206.64000000000001,2.932,0.024,1.848,9.216000000000001,34.488,0.0,,13.489,8.29998,0.5609999999999999
2015-06-01 08:00:00+02:00,59.800000000000004,3098.78,117.6,55.86,252.56000000000003,2.932,8.232,1.824,9.528,34.44,0.0,,24.19,8.29998,0.46199999999999997
2015-06-01 09:00:00+02:00,59.57,3137.32,120.53999999999999,54.39,278.8,2.932,11.184000000000001,1.824,9.144,33.012,0.0,,33.743,8.29998,0.517
2015-06-01 10:00:00+02:00,59.57,3174.2200000000003,120.53999999999999,54.39,275.52000000000004,2.932,8.184000000000001,2.2800000000000002,1.248,32.808,0.0,,40.221000000000004,8.29998,0.473
2015-06-01 11:00:00+02:00,59.34,3221.78,126.42,52.43,274.70000000000005,2.932,8.088000000000001,2.376,0.8160000000000001,32.784,0.0,,44.157000000000004,8.29998,0.374
2015-06-01 12:00:00+02:00,59.34,3103.7000000000003,122.00999999999999,51.94,266.5,2.932,1.848,2.4,0.672,33.636,0.0,,45.797000000000004,8.29998,0.374
2015-06-01 13:00:00+02:00,59.34,3069.26,122.99,51.94,280.44,2.932,0.0,2.352,0.768,34.032000000000004,0.0,,46.412,8.29998,0.297
2015-06-01 14:00:00+02:00,59.11,3024.98,118.58,50.47,279.62,2.932,0.0,2.376,0.648,34.128,0.0,,43.911,8.29998,0.319
2015-06-01 15:00:00+02:00,59.11,3024.1600000000003,118.09,50.47,278.8,2.932,0.0,2.424,0.648,34.104,0.0,,40.385000000000005,8.29998,0.495
2015-06-01 16:00:00+02:00,59.34,2987.26,118.09,47.53,277.98,2.932,0.0,2.2800000000000002,1.176,34.068,0.0,,30.299000000000003,8.29998,0.38499999999999995
2015-06-01 17:00:00+02:00,59.11,3094.6800000000003,118.09,48.51,279.62,2.932,3.528,2.232,1.1520000000000001,34.056,0.0,,21.402,8.29998,0.484
2015-06-01 18:00:00+02:00,59.11,3135.6800000000003,118.58,51.449999999999996,280.44,2.932,11.496,2.2560000000000002,0.984,34.08,0.0,,10.086,8.29998,0.46199999999999997
2015-06-01 19:00:00+02:00,59.57,3153.7200000000003,118.58,52.43,278.8,2.932,14.52,1.968,2.952,34.056,0.0,,3.5260000000000002,8.29998,0.473
