,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Wind Onshore
2015-06-01 00:00:00+02:00,309.0,1803.0,7955.0,98.0,269.0
2015-06-01 01:00:00+02:00,309.0,1803.0,7054.0,104.0,317.0
2015-06-01 02:00:00+02:00,304.0,1800.0,6797.0,99.0,326.0
2015-06-01 03:00:00+02:00,307.0,1807.0,6733.0,88.0,312.0
2015-06-01 04:00:00+02:00,309.0,1809.0,7338.0,104.0,320.0
2015-06-01 05:00:00+02:00,309.0,1803.0,8788.0,103.0,308.0
2015-06-01 06:00:00+02:00,310.0,1831.0,11801.0,103.0,286.0
2015-06-01 07:00:00+02:00,314.0,1826.0,14776.0,102.0,320.0
2015-06-01 08:00:00+02:00,312.0,1800.0,14996.0,102.0,331.0
2015-06-01 09:00:00+02:00,310.0,1812.0,14649.0,119.0,339.0
2015-06-01 10:00:00+02:00,309.0,1827.0,14593.0,103.0,375.0
2015-06-01 11:00:00+02:00,313.0,1827.0,14573.0,104.0,364.0
2015-06-01 12:00:00+02:00,312.0,1825.0,14645.0,108.0,361.0
2015-06-01 13:00:00+02:00,312.0,1821.0,14431.0,107.0,357.0
2015-06-01 14:00:00+02:00,312.0,1828.0,14823.0,122.0,430.0
2015-06-01 15:00:00+02:00,313.0,1823.0,14930.0,122.0,429.0
2015-06-01 16:00:00+02:00,313.0,1816.0,14424.0,114.0,443.0
2015-06-01 17:00:00+02:00,312.0,1826.0,14511.0,98.0,418.0
2015-06-01 18:00:00+02:00,314.0,1827.0,14755.0,92.0,413.0
2015-06-01 19:00:00+02:00,314.0,1826.0,14775.0,85.0,415.0
2015-06-01 20:00:00+02:00,314.0,1829.0,14882.0,85.0,436.0
2015-06-01 21:00:00+02:00,315.0,1830.0,14952.0,80.0,468.0
2015-06-01 22:00:00+02:00,318.0,1833.0,14640.0,86.0,466.0
2015-06-01 23:00:00+02:00,318.0,1828.0,12687.0,93.0,509.0
2015-06-02 00:00:00+02:00,317.0,1829.0,10609.0,91.0,556.0
2015-06-02 01:00:00+02:00,316.0,1827.0,9367.0,91.0,556.0
2015-06-02 02:00:00+02:00,318.0,1817.0,8717.0,87.0,577.0
2015-06-02 03:00:00+02:00,318.0,1821.0,8197.0,78.0,567.0
2015-06-02 04:00:00+02:00,316.0,1821.0,8185.0,77.0,545.0
2015-06-02 05:00:00+02:00,316.0,1824.0,9116.0,77.0,463.0
2015-06-02 06:00:00+02:00,315.0,1844.0,12340.0,84.0,402.0
2015-06-02 07:00:00+02:00,314.0,1839.0,15125.0,113.0,372.0
2015-06-02 08:00:00+02:00,312.0,1832.0,15468.0,93.0,351.0
2015-06-02 09:00:00+02:00,310.0,1843.0,14766.0,117.0,332.0
2015-06-02 10:00:00+02:00,315.0,1765.0,14039.0,119.0,284.0
2015-06-02 11:00:00+02:00,313.0,1775.0,13722.0,113.0,266.0
2015-06-02 12:00:00+02:00,315.0,1785.0,12944.0,103.0,295.0
2015-06-02 13:00:00+02:00,315.0,1794.0,12450.0,115.0,326.0
2015-06-02 14:00:00+02:00,315.0,1795.0,12065.0,116.0,396.0
2015-06-02 15:00:00+02:00,314.0,1795.0,11945.0,111.0,406.0
2015-06-02 16:00:00+02:00,311.0,1792.0,11924.0,121.0,447.0
2015-06-02 17:00:00+02:00,312.0,1800.0,12670.0,121.0,442.0
2015-06-02 18:00:00+02:00,314.0,1801.0,13238.0,121.0,423.0
2015-06-02 19:00:00+02:00,315.0,1801.0,13069.0,128.0,422.0
2015-06-02 20:00:00+02:00,316.0,1797.0,12525.0,126.0,376.0
2015-06-02 21:00:00+02:00,316.0,1800.0,11737.0,119.0,369.0
2015-06-02 22:00:00+02:00,317.0,1798.0,10952.0,128.0,332.0
2015-06-02 23:00:00+02:00,317.0,1794.0,9487.0,128.0,370.0
2015-06-03 00:00:00+02:00,317.0,1546.0,7737.0,127.0,393.0
2015-06-03 01:00:00+02:00,316.0,1554.0,7324.0,126.0,338.0
2015-06-03 02:00:00+02:00,317.0,1552.0,7213.0,113.0,295.0
2015-06-03 03:00:00+02:00,318.0,1546.0,6658.0,124.0,274.0
