,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2015-10-01 00:00:00+02:00,3836.0,17991.0,,767.0,14763.0,195.0,18.0,391.0,1306.0,38.0,9332.0,3302.0,61.0,0.0,358.0,106.0,6369.0
2015-10-01 00:15:00+02:00,3834.0,17957.0,,764.0,14446.0,189.0,18.0,39.0,1304.0,30.0,9334.0,3231.0,55.0,0.0,352.0,98.0,6253.0
2015-10-01 00:30:00+02:00,3827.0,17985.0,,761.0,14272.0,187.0,18.0,345.0,1299.0,87.0,9329.0,3066.0,54.0,0.0,354.0,87.0,6048.0
2015-10-01 00:45:00+02:00,3827.0,18065.0,,760.0,14193.0,189.0,18.0,36.0,1304.0,77.0,9318.0,2866.0,54.0,0.0,358.0,82.0,5984.0
2015-10-01 01:00:00+02:00,3824.0,18302.0,,766.0,14132.0,188.0,18.0,36.0,1300.0,103.0,9361.0,3092.0,53.0,0.0,356.0,88.0,5748.0
2015-10-01 01:15:00+02:00,3820.0,18290.0,,768.0,14100.0,189.0,18.0,367.0,1298.0,63.0,9340.0,3021.0,54.0,0.0,335.0,91.0,5577.0
2015-10-01 01:30:00+02:00,3818.0,18275.0,,768.0,14035.0,189.0,18.0,367.0,1299.0,60.0,9342.0,3191.0,54.0,0.0,336.0,94.0,5405.0
2015-10-01 01:45:00+02:00,3817.0,18256.0,,766.0,13904.0,188.0,18.0,369.0,1297.0,54.0,9342.0,3042.0,54.0,0.0,355.0,96.0,5261.0
2015-10-01 02:00:00+02:00,3815.0,18288.0,,764.0,13800.0,188.0,18.0,34.0,1287.0,112.0,9363.0,3066.0,54.0,0.0,344.0,100.0,5142.0
2015-10-01 02:15:00+02:00,3817.0,18257.0,,764.0,13930.0,187.0,18.0,365.0,1284.0,66.0,9348.0,3016.0,54.0,0.0,351.0,108.0,5005.0
2015-10-01 02:30:00+02:00,3820.0,18275.0,,764.0,14045.0,188.0,18.0,341.0,1282.0,93.0,9362.0,3055.0,53.0,0.0,356.0,102.0,4939.0
2015-10-01 02:45:00+02:00,3823.0,18286.0,,795.0,14215.0,187.0,19.0,367.0,1278.0,62.0,9344.0,3154.0,54.0,0.0,356.0,102.0,4833.0
2015-10-01 03:00:00+02:00,3834.0,18334.0,,815.0,14196.0,188.0,19.0,391.0,1275.0,65.0,9361.0,3170.0,54.0,0.0,351.0,107.0,4730.0
2015-10-01 03:15:00+02:00,3844.0,18340.0,,848.0,14268.0,188.0,19.0,39.0,1268.0,61.0,9353.0,3291.0,54.0,0.0,353.0,105.0,4613.0
2015-10-01 03:30:00+02:00,3846.0,18343.0,,870.0,14260.0,187.0,19.0,39.0,1262.0,68.0,9362.0,3385.0,60.0,0.0,349.0,88.0,4569.0
2015-10-01 03:45:00+02:00,3843.0,18341.0,,871.0,14285.0,185.0,18.0,38.0,1259.0,74.0,9365.0,3444.0,64.0,0.0,341.0,72.0,4564.0
2015-10-01 04:00:00+02:00,3839.0,18257.0,,886.0,14423.0,186.0,18.0,38.0,1262.0,67.0,9355.0,3245.0,64.0,0.0,345.0,71.0,4582.0
2015-10-01 04:15:00+02:00,3839.0,18256.0,,928.0,14575.0,185.0,18.0,38.0,1259.0,75.0,9359.0,3231.0,66.0,0.0,342.0,76.0,4596.0
2015-10-01 04:30:00+02:00,3838.0,18272.0,,943.0,14732.0,184.0,18.0,38.0,1255.0,98.0,9362.0,3103.0,73.0,0.0,332.0,68.0,4653.0
2015-10-01 04:45:00+02:00,3842.0,18176.0,,950.0,15022.0,184.0,18.0,38.0,1251.0,93.0,9355.0,3387.0,75.0,0.0,336.0,69.0,4659.0
2015-10-01 05:00:00+02:00,3851.0,18045.0,,952.0,15457.0,184.0,18.0,38.0,1246.0,110.0,9346.0,3734.0,75.0,0.0,339.0,80.0,4640.0
2015-10-01 05:15:00+02:00,3871.0,18044.0,,1026.0,15818.0,184.0,18.0,38.0,1241.0,112.0,9352.0,3799.0,75.0,0.0,332.0,94.0,4648.0
2015-10-01 05:30:00+02:00,3874.0,18084.0,,1031.0,16072.0,184.0,18.0,38.0,1239.0,117.0,9365.0,3987.0,75.0,0.0,334.0,111.0,4718.0
2015-10-01 05:45:00+02:00,3876.0,18170.0,,1040.0,16618.0,183.0,18.0,260.0,1236.0,159.0,9370.0,4468.0,75.0,0.0,330.0,130.0,4751.0
