,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Solar,Wind Onshore
2015-10-02 00:00:00+02:00,,,,,,,,,0.0,
2015-10-02 01:00:00+02:00,,,,,,,,,0.0,
2015-10-02 02:00:00+02:00,,,,,,,,,0.0,
2015-10-02 03:00:00+02:00,,,,,,,,,0.0,
2015-10-02 04:00:00+02:00,,,,,,,,,0.0,
2015-10-02 05:00:00+02:00,,,,,,,,,0.0,
2015-10-02 06:00:00+02:00,,,,,,,,,0.0,
2015-10-02 07:00:00+02:00,,,,,,,,,97.0,
2015-10-02 08:00:00+02:00,,,,,,,,,901.0,
2015-10-02 09:00:00+02:00,,,,,,,,,2046.0,
2015-10-02 10:00:00+02:00,,,,,,,,,2817.0,
2015-10-02 11:00:00+02:00,,,,,,,,,3005.0,
2015-10-02 12:00:00+02:00,,,,,,,,,3101.0,
2015-10-02 13:00:00+02:00,,,,,,,,,3039.0,
2015-10-02 14:00:00+02:00,,,,,,,,,3086.0,
2015-10-02 15:00:00+02:00,,,,,,,,,2616.0,
2015-10-02 16:00:00+02:00,,,,,,,,,2034.0,
2015-10-02 17:00:00+02:00,,,,,,,,,1010.0,
2015-10-02 18:00:00+02:00,,,,,,,,,149.0,
2015-10-02 19:00:00+02:00,,,,,,,,,0.0,
2015-10-02 20:00:00+02:00,,,,,,,,,0.0,
2015-10-02 21:00:00+02:00,,,,,,,,,0.0,
2015-10-02 22:00:00+02:00,,,,,,,,,0.0,
2015-10-02 23:00:00+02:00,,,,,,,,,0.0,
2015-10-03 00:00:00+02:00,,,,,,,,,0.0,
2015-10-03 01:00:00+02:00,,,,,,,,,0.0,
2015-10-03 02:00:00+02:00,,,,,,,,,0.0,
2015-10-03 03:00:00+02:00,,,,,,,,,0.0,
2015-10-03 04:00:00+02:00,,,,,,,,,0.0,
2015-10-03 05:00:00+02:00,,,,,,,,,0.0,
2015-10-03 06:00:00+02:00,,,,,,,,,0.0,
2015-10-03 07:00:00+02:00,,,,,,,,,192.0,
2015-10-03 08:00:00+02:00,,,,,,,,,1760.0,
2015-10-03 09:00:00+02:00,,,,,,,,,3824.0,
2015-10-03 10:00:00+02:00,,,,,,,,,5115.0,
2015-10-03 11:00:00+02:00,,,,,,,,,6111.0,
2015-10-03 12:00:00+02:00,,,,,,,,,6896.0,
2015-10-03 13:00:00+02:00,,,,,,,,,6866.0,
2015-10-03 14:00:00+02:00,,,,,,,,,6789.0,
2015-10-03 15:00:00+02:00,,,,,,,,,5692.0,
2015-10-03 16:00:00+02:00,,,,,,,,,3999.0,
2015-10-03 17:00:00+02:00,,,,,,,,,1915.0,
2015-10-03 18:00:00+02:00,,,,,,,,,171.0,
2015-10-03 19:00:00+02:00,,,,,,,,,0.0,
2015-10-03 20:00:00+02:00,,,,,,,,,0.0,
2015-10-03 21:00:00+02:00,,,,,,,,,0.0,
2015-10-03 22:00:00+02:00,,,,,,,,,0.0,
2015-10-03 23:00:00+02:00,,,,,,,,,0.0,
2015-10-04 00:00:00+02:00,,,,,,,,,0.0,
2015-10-04 01:00:00+02:00,,,,,,,,,0.0,
2015-10-04 02:00:00+02:00,,,,,,,,,0.0,
2015-10-04 03:00:00+02:00,,,,,,,,,0.0,
2015-10-04 04:00:00+02:00,,,,,,,,,0.0,
2015-10-04 05:00:00+02:00,,,,,,,,,0.0,
2015-10-04 06:00:00+02:00,,,,,,,,,0.0,
2015-10-04 07:00:00+02:00,,,,,,,,,195.0,
2015-10-04 08:00:00+02:00,,,,,,,,,1272.0,
2015-10-04 09:00:00+02:00,,,,,,,,,2488.0,
2015-10-04 10:00:00+02:00,,,,,,,,,3607.0,
2015-10-04 11:00:00+02:00,,,,,,,,,4765.0,
2015-10-04 12:00:00+02:00,,,,,,,,,5358.0,
2015-10-04 13:00:00+02:00,,,,,,,,,6664.0,
2015-10-04 14:00:00+02:00,,,,,,,,,6307.0,
2015-10-04 15:00:00+02:00,,,,,,,,,5679.0,
2015-10-04 16:00:00+02:00,,,,,,,,,3921.0,
2015-10-04 17:00:00+02:00,,,,,,,,,1581.0,
2015-10-04 18:00:00+02:00,,,,,,,,,133.0,
