,Solar
2015-12-01 00:00:00+01:00,0.0
2015-12-01 01:00:00+01:00,0.0
2015-12-01 02:00:00+01:00,0.0
2015-12-01 03:00:00+01:00,0.0
2015-12-01 04:00:00+01:00,0.0
2015-12-01 05:00:00+01:00,0.0
2015-12-01 06:00:00+01:00,0.0
2015-12-01 07:00:00+01:00,184.0
2015-12-01 08:00:00+01:00,1570.0
2015-12-01 09:00:00+01:00,3613.0
2015-12-01 10:00:00+01:00,5361.0
2015-12-01 11:00:00+01:00,6251.0
2015-12-01 12:00:00+01:00,6180.0
2015-12-01 13:00:00+01:00,5194.0
2015-12-01 14:00:00+01:00,3453.0
2015-12-01 15:00:00+01:00,1345.0
2015-12-01 16:00:00+01:00,137.0
2015-12-01 17:00:00+01:00,29.0
2015-12-01 18:00:00+01:00,29.0
2015-12-01 19:00:00+01:00,29.0
2015-12-01 20:00:00+01:00,29.0
2015-12-01 21:00:00+01:00,29.0
2015-12-01 22:00:00+01:00,29.0
2015-12-01 23:00:00+01:00,29.0
2015-12-02 00:00:00+01:00,0.0
2015-12-02 01:00:00+01:00,0.0
2015-12-02 02:00:00+01:00,0.0
2015-12-02 03:00:00+01:00,0.0
2015-12-02 04:00:00+01:00,0.0
2015-12-02 05:00:00+01:00,0.0
2015-12-02 06:00:00+01:00,0.0
2015-12-02 07:00:00+01:00,200.0
2015-12-02 08:00:00+01:00,1578.0
2015-12-02 09:00:00+01:00,3490.0
2015-12-02 10:00:00+01:00,5090.0
2015-12-02 11:00:00+01:00,5900.0
2015-12-02 12:00:00+01:00,5905.0
2015-12-02 13:00:00+01:00,5276.0
2015-12-02 14:00:00+01:00,3478.0
2015-12-02 15:00:00+01:00,1334.0
2015-12-02 16:00:00+01:00,94.0
2015-12-02 17:00:00+01:00,0.0
2015-12-02 18:00:00+01:00,0.0
2015-12-02 19:00:00+01:00,0.0
2015-12-02 20:00:00+01:00,0.0
2015-12-02 21:00:00+01:00,0.0
2015-12-02 22:00:00+01:00,0.0
2015-12-02 23:00:00+01:00,0.0
2015-12-03 00:00:00+01:00,0.0
2015-12-03 01:00:00+01:00,0.0
2015-12-03 02:00:00+01:00,0.0
2015-12-03 03:00:00+01:00,0.0
2015-12-03 04:00:00+01:00,0.0
2015-12-03 05:00:00+01:00,0.0
2015-12-03 06:00:00+01:00,0.0
2015-12-03 07:00:00+01:00,120.0
2015-12-03 08:00:00+01:00,1121.0
2015-12-03 09:00:00+01:00,2519.0
2015-12-03 10:00:00+01:00,3667.0
2015-12-03 11:00:00+01:00,3942.0
2015-12-03 12:00:00+01:00,4008.0
2015-12-03 13:00:00+01:00,3470.0
2015-12-03 14:00:00+01:00,2433.0
2015-12-03 15:00:00+01:00,886.0
2015-12-03 16:00:00+01:00,87.0
2015-12-03 17:00:00+01:00,29.0
2015-12-03 18:00:00+01:00,29.0
2015-12-03 19:00:00+01:00,29.0
2015-12-03 20:00:00+01:00,29.0
2015-12-03 21:00:00+01:00,29.0
2015-12-03 22:00:00+01:00,29.0
2015-12-03 23:00:00+01:00,29.0
2015-12-04 00:00:00+01:00,0.0
2015-12-04 01:00:00+01:00,0.0
2015-12-04 02:00:00+01:00,0.0
2015-12-04 03:00:00+01:00,0.0
2015-12-04 04:00:00+01:00,0.0
2015-12-04 05:00:00+01:00,0.0
2015-12-04 06:00:00+01:00,0.0
2015-12-04 07:00:00+01:00,100.0
2015-12-04 08:00:00+01:00,880.0
2015-12-04 09:00:00+01:00,2048.0
2015-12-04 10:00:00+01:00,2980.0
2015-12-04 11:00:00+01:00,3340.0
2015-12-04 12:00:00+01:00,3201.0
2015-12-04 13:00:00+01:00,2546.0
2015-12-04 14:00:00+01:00,2150.0
2015-12-04 15:00:00+01:00,840.0
2015-12-04 16:00:00+01:00,91.0
2015-12-04 17:00:00+01:00,29.0
2015-12-04 18:00:00+01:00,29.0
2015-12-04 19:00:00+01:00,29.0
2015-12-04 20:00:00+01:00,29.0
2015-12-04 21:00:00+01:00,29.0
2015-12-04 22:00:00+01:00,29.0
2015-12-04 23:00:00+01:00,29.0
2015-12-05 00:00:00+01:00,0.0
2015-12-05 01:00:00+01:00,0.0
2015-12-05 02:00:00+01:00,0.0
2015-12-05 03:00:00+01:00,0.0
2015-12-05 04:00:00+01:00,0.0
