,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Wind Onshore
2015-12-01 00:00:00+01:00,186.69,31.704,279.408,1.6400000000000001,4.213
2015-12-01 01:00:00+01:00,185.71,31.560000000000002,253.44,1.6400000000000001,3.993
2015-12-01 02:00:00+01:00,188.65,31.296,240.672,1.6400000000000001,4.202
2015-12-01 03:00:00+01:00,182.77,31.344,241.56,1.6400000000000001,4.4879999999999995
2015-12-01 04:00:00+01:00,180.81,31.392,273.072,1.6400000000000001,4.048
2015-12-01 05:00:00+01:00,179.82999999999998,31.224,334.512,1.6400000000000001,4.521
2015-12-01 06:00:00+01:00,182.28,31.608,410.496,1.6400000000000001,4.2459999999999996
2015-12-01 07:00:00+01:00,183.75,31.512,472.248,1.6400000000000001,4.191
2015-12-01 08:00:00+01:00,182.77,31.176000000000002,484.8,1.6400000000000001,3.839
2015-12-01 09:00:00+01:00,182.77,31.104,490.296,1.6400000000000001,3.036
2015-12-01 10:00:00+01:00,164.64,31.176000000000002,483.744,1.6400000000000001,3.2009999999999996
2015-12-01 11:00:00+01:00,158.76,31.056,485.16,1.6400000000000001,2.75
2015-12-01 12:00:00+01:00,158.76,30.84,480.91200000000003,2.46,3.586
2015-12-01 13:00:00+01:00,158.76,30.768,482.064,2.46,3.553
2015-12-01 14:00:00+01:00,174.93,30.792,491.88,2.46,3.5639999999999996
2015-12-01 15:00:00+01:00,180.81,31.248,514.848,2.46,3.278
2015-12-01 16:00:00+01:00,188.65,31.128,538.8,2.46,2.794
2015-12-01 17:00:00+01:00,188.16,31.056,543.192,2.46,2.387
2015-12-01 18:00:00+01:00,188.65,30.984,540.288,2.46,2.255
2015-12-01 19:00:00+01:00,188.16,30.96,534.504,2.46,1.628
2015-12-01 20:00:00+01:00,166.6,30.744,498.336,2.46,1.1989999999999998
2015-12-01 21:00:00+01:00,163.66,30.624000000000002,468.91200000000003,2.46,1.254
2015-12-01 22:00:00+01:00,171.01,30.504,431.32800000000003,2.46,1.617
2015-12-01 23:00:00+01:00,169.54,30.504,392.52,2.46,1.551
2015-12-02 00:00:00+01:00,170.03,30.264,390.48,1.6400000000000001,1.7049999999999998
2015-12-02 01:00:00+01:00,183.26,30.336000000000002,373.392,1.6400000000000001,1.892
2015-12-02 02:00:00+01:00,182.77,30.144000000000002,337.968,1.6400000000000001,1.8699999999999999
2015-12-02 03:00:00+01:00,185.71,30.384,344.16,1.6400000000000001,1.859
2015-12-02 04:00:00+01:00,186.2,30.336000000000002,399.504,1.6400000000000001,1.8039999999999998
2015-12-02 05:00:00+01:00,186.2,30.024,438.86400000000003,1.6400000000000001,2.112
2015-12-02 06:00:00+01:00,185.71,30.144000000000002,480.88800000000003,1.6400000000000001,2.497
2015-12-02 07:00:00+01:00,185.22,30.552,526.032,1.6400000000000001,2.629
2015-12-02 08:00:00+01:00,188.65,30.696,539.4,1.6400000000000001,2.31
2015-12-02 09:00:00+01:00,187.67,30.648,523.872,1.6400000000000001,2.057
2015-12-02 10:00:00+01:00,186.69,30.888,517.5120000000001,1.6400000000000001,2.266
2015-12-02 11:00:00+01:00,187.67,30.792,512.088,1.6400000000000001,3.3
2015-12-02 12:00:00+01:00,185.71,30.6,505.92,2.46,3.586
2015-12-02 13:00:00+01:00,187.18,30.504,497.928,2.46,4.004
2015-12-02 14:00:00+01:00,181.79,30.576,495.312,2.46,5.093
2015-12-02 15:00:00+01:00,182.28,30.576,497.064,2.46,5.071
2015-12-02 16:00:00+01:00,188.65,30.768,498.48,2.46,5.016
2015-12-02 17:00:00+01:00,187.67,31.008,499.488,2.46,5.225
2015-12-02 18:00:00+01:00,187.18,31.272000000000002,490.08,2.46,5.104
2015-12-02 19:00:00+01:00,188.16,31.224,474.79200000000003,2.46,5.071
2015-12-02 20:00:00+01:00,187.18,31.032,442.296,2.46,5.191999999999999
2015-12-02 21:00:00+01:00,187.67,30.744,403.272,2.46,4.939
2015-12-02 22:00:00+01:00,189.14,30.816,364.968,2.46,5.027
2015-12-02 23:00:00+01:00,188.16,30.984,324.072,2.46,4.960999999999999
2015-12-03 00:00:00+01:00,186.69,30.168,299.52,3.2800000000000002,5.279999999999999
2015-12-03 01:00:00+01:00,188.16,30.240000000000002,287.016,3.2800000000000002,4.829
2015-12-03 02:00:00+01:00,188.65,30.288,286.944,3.2800000000000002,4.872999999999999
2015-12-03 03:00:00+01:00,186.2,30.216,303.408,3.2800000000000002,5.027
2015-12-03 04:00:00+01:00,186.69,30.12,334.872,3.2800000000000002,5.0489999999999995
2015-12-03 05:00:00+01:00,186.2,30.168,373.416,3.2800000000000002,4.9719999999999995
2015-12-03 06:00:00+01:00,187.67,30.288,437.736,3.2800000000000002,5.005
2015-12-03 07:00:00+01:00,188.16,30.408,506.42400000000004,2.46,5.137
2015-12-03 08:00:00+01:00,188.65,30.048000000000002,514.6320000000001,2.46,4.994
2015-12-03 09:00:00+01:00,186.69,30.144000000000002,507.144,2.46,4.939
2015-12-03 10:00:00+01:00,185.71,30.312,509.904,2.46,5.191999999999999
2015-12-03 11:00:00+01:00,185.71,30.48,496.632,3.2800000000000002,5.159
2015-12-03 12:00:00+01:00,185.71,30.552,491.136,3.2800000000000002,4.994
2015-12-03 13:00:00+01:00,184.73,30.552,491.784,3.2800000000000002,5.269
2015-12-03 14:00:00+01:00,182.77,30.504,498.576,3.2800000000000002,5.093
2015-12-03 15:00:00+01:00,184.24,30.648,514.944,3.2800000000000002,4.718999999999999
2015-12-03 16:00:00+01:00,184.24,30.288,512.904,3.2800000000000002,4.741
2015-12-03 17:00:00+01:00,184.73,30.672,517.32,3.2800000000000002,4.785
2015-12-03 18:00:00+01:00,187.18,30.624000000000002,513.096,3.2800000000000002,5.082
2015-12-03 19:00:00+01:00,186.2,30.576,489.528,3.2800000000000002,5.258
2015-12-03 20:00:00+01:00,185.71,30.408,458.064,3.2800000000000002,5.544
2015-12-03 21:00:00+01:00,186.69,30.432000000000002,427.152,3.2800000000000002,5.654
2015-12-03 22:00:00+01:00,188.16,30.288,386.832,3.2800000000000002,5.9399999999999995
2015-12-03 23:00:00+01:00,187.67,30.36,331.44,3.2800000000000002,5.588
2015-12-04 00:00:00+01:00,188.16,31.416,296.04,4.1000000000000005,5.137
2015-12-04 01:00:00+01:00,188.16,31.272000000000002,269.37600000000003,3.2800000000000002,4.949999999999999
2015-12-04 02:00:00+01:00,188.16,31.464000000000002,256.656,4.1000000000000005,4.752
2015-12-04 03:00:00+01:00,188.65,31.344,247.08,4.1000000000000005,4.532
2015-12-04 04:00:00+01:00,188.65,31.68,257.928,4.1000000000000005,3.7289999999999996
2015-12-04 05:00:00+01:00,188.16,31.632,287.30400000000003,4.1000000000000005,3.718
2015-12-04 06:00:00+01:00,188.16,32.112,350.808,4.1000000000000005,3.707
2015-12-04 07:00:00+01:00,188.16,32.160000000000004,416.35200000000003,4.1000000000000005,3.355
2015-12-04 08:00:00+01:00,189.14,32.208,434.016,4.1000000000000005,2.9589999999999996
2015-12-04 09:00:00+01:00,218.04999999999998,32.352000000000004,432.144,4.1000000000000005,2.948
2015-12-04 10:00:00+01:00,247.45,32.424,426.312,4.1000000000000005,2.904
2015-12-04 11:00:00+01:00,187.67,32.544000000000004,420.024,4.1000000000000005,3.0909999999999997
2015-12-04 12:00:00+01:00,187.18,32.616,415.968,4.1000000000000005,3.5639999999999996
2015-12-04 13:00:00+01:00,185.22,32.688,404.40000000000003,4.1000000000000005,3.6519999999999997
2015-12-04 14:00:00+01:00,184.24,32.664,398.40000000000003,4.1000000000000005,3.399
2015-12-04 15:00:00+01:00,187.67,32.592,400.584,4.1000000000000005,3.553
2015-12-04 16:00:00+01:00,187.67,32.88,418.368,4.1000000000000005,4.257
2015-12-04 17:00:00+01:00,187.67,32.808,431.712,4.1000000000000005,4.697
2015-12-04 18:00:00+01:00,187.67,32.928,405.88800000000003,4.1000000000000005,4.598
2015-12-04 19:00:00+01:00,187.18,32.904,380.736,4.1000000000000005,5.236
2015-12-04 20:00:00+01:00,187.18,32.64,352.56,4.1000000000000005,4.553999999999999
2015-12-04 21:00:00+01:00,187.18,32.592,326.25600000000003,4.1000000000000005,4.411
2015-12-04 22:00:00+01:00,184.73,32.568,300.384,4.1000000000000005,4.653
2015-12-04 23:00:00+01:00,184.73,32.352000000000004,280.248,4.1000000000000005,4.213
2015-12-05 00:00:00+01:00,184.73,32.016,266.856,4.92,4.6419999999999995
2015-12-05 01:00:00+01:00,184.24,31.896,255.48000000000002,4.92,4.8069999999999995
2015-12-05 02:00:00+01:00,184.73,31.032,241.15200000000002,4.92,4.763
2015-12-05 03:00:00+01:00,181.79,30.96,234.936,4.92,5.191999999999999
2015-12-05 04:00:00+01:00,182.28,30.936,231.192,4.92,5.181
2015-12-05 05:00:00+01:00,184.24,30.768,234.864,4.92,5.609999999999999
2015-12-05 06:00:00+01:00,186.2,30.648,240.096,4.92,5.951
2015-12-05 07:00:00+01:00,185.22,30.912,255.216,4.92,5.786
2015-12-05 08:00:00+01:00,188.16,31.008,272.928,4.92,6.082999999999999
2015-12-05 09:00:00+01:00,188.16,31.128,297.24,4.92,6.138
2015-12-05 10:00:00+01:00,188.65,30.888,301.56,4.92,5.9399999999999995
2015-12-05 11:00:00+01:00,187.67,31.152,307.728,4.92,6.039
2015-12-05 12:00:00+01:00,188.16,31.152,312.432,4.92,5.951
2015-12-05 13:00:00+01:00,184.24,31.104,311.112,4.92,6.314
2015-12-05 14:00:00+01:00,186.2,30.984,306.168,4.92,6.6
2015-12-05 15:00:00+01:00,186.69,30.96,316.344,4.92,6.468
2015-12-05 16:00:00+01:00,189.14,30.864,323.42400000000004,4.92,6.545
2015-12-05 17:00:00+01:00,188.65,30.6,320.112,4.92,6.236999999999999
2015-12-05 18:00:00+01:00,186.2,30.576,309.744,4.92,5.598999999999999
2015-12-05 19:00:00+01:00,186.69,30.48,284.112,4.92,5.609999999999999
2015-12-05 20:00:00+01:00,183.26,30.48,274.368,4.92,6.0169999999999995
2015-12-05 21:00:00+01:00,183.26,30.504,262.368,4.92,5.973
2015-12-05 22:00:00+01:00,181.79,30.456,252.576,4.92,5.83
2015-12-05 23:00:00+01:00,181.29999999999998,30.552,237.45600000000002,4.92,5.885
2015-12-06 00:00:00+01:00,181.79,31.080000000000002,238.032,4.92,5.6209999999999996
