,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Wind Offshore,Wind Onshore
2015-05-31 23:00:00+01:00,1600.83,1892.15,0.0,1.452,4.524,44.658,179.17000000000002,0.0,13.542,16.2195
2015-05-31 23:30:00+01:00,1274.98,1751.93,0.0,1.8960000000000001,4.14,44.574,179.17000000000002,0.0,14.814,16.2085
2015-06-01 00:00:00+01:00,1239.455,1361.2,0.0,0.0,4.428,44.628,178.76000000000002,0.0,13.974,15.883999999999999
2015-06-01 00:30:00+01:00,1073.835,1349.3100000000002,0.0,0.0,4.0440000000000005,44.586,175.07000000000002,0.0,14.706,15.917
2015-06-01 01:00:00+01:00,1057.91,1376.7800000000002,0.0,0.0,4.2,44.592,173.02,0.0,17.286,15.267999999999999
2015-06-01 01:30:00+01:00,1075.06,1342.75,0.0,0.0,4.152,44.664,174.25,0.0,16.662,15.6695
2015-06-01 02:00:00+01:00,1024.345,1525.6100000000001,0.0,0.0,4.08,44.598,162.77,0.0,15.93,15.394499999999999
2015-06-01 02:30:00+01:00,1024.1,1508.39,0.0,0.0,3.396,44.628,174.25,0.0,15.84,15.399999999999999
2015-06-01 03:00:00+01:00,1009.645,1524.38,0.0,0.0,3.2880000000000003,44.718,174.66000000000003,0.0,15.582,15.960999999999999
2015-06-01 03:30:00+01:00,992.25,1487.89,0.0,0.0,3.36,44.676,180.4,0.0,15.354000000000001,16.291
2015-06-01 04:00:00+01:00,1055.95,1532.99,0.0,0.0,3.384,44.616,154.57000000000002,0.0,14.064,16.489
2015-06-01 04:30:00+01:00,1009.4,1437.0500000000002,0.0,0.0,3.372,44.646,182.04000000000002,0.0,13.242,15.938999999999998
2015-06-01 05:00:00+01:00,1062.565,1328.8100000000002,0.0,0.0,3.588,44.658,177.12,0.0,11.868,14.893999999999998
2015-06-01 05:30:00+01:00,1116.71,1551.8500000000001,0.0,0.0,3.732,44.706,177.12,2.419,11.532,14.101999999999999
2015-06-01 06:00:00+01:00,1279.635,1659.68,0.0,0.0,3.588,44.748,177.53,6.15,10.938,13.915
2015-06-01 06:30:00+01:00,1654.73,1885.5900000000001,0.0,6.804,3.936,44.682,164.82000000000002,11.972000000000001,10.872,15.466
2015-06-01 07:00:00+01:00,2187.85,2073.78,0.0,0.0,4.428,44.736000000000004,121.36000000000001,17.876,10.974,15.344999999999999
2015-06-01 07:30:00+01:00,2565.64,2181.61,0.0,4.452,4.452,44.724000000000004,175.07000000000002,26.240000000000002,11.304,15.411
2015-06-01 08:00:00+01:00,2687.895,2373.4900000000002,0.0,5.676,4.452,44.652,175.07000000000002,36.695,10.872,16.8905
2015-06-01 08:30:00+01:00,2598.715,2498.54,0.0,7.836,4.716,44.736000000000004,172.61,47.355000000000004,10.548,17.633
2015-06-01 09:00:00+01:00,2657.7599999999998,2561.27,0.0,5.088,5.628,44.712,175.07000000000002,58.015,11.118,19.392999999999997
2015-06-01 09:30:00+01:00,2577.645,2566.6000000000004,0.0,3.66,5.4,44.766,178.76000000000002,69.495,11.07,20.1355
2015-06-01 10:00:00+01:00,2620.52,2594.48,0.0,4.26,4.416,44.718,175.48000000000002,75.44,11.538,20.889
2015-06-01 10:30:00+01:00,2639.63,2613.34,0.0,3.636,4.404,44.76,170.97,79.745,11.586,21.2795
2015-06-01 11:00:00+01:00,2603.86,2632.2000000000003,0.0,3.624,4.392,44.76,179.17000000000002,77.69500000000001,12.384,21.6315
2015-06-01 11:30:00+01:00,2608.025,2707.23,0.0,3.948,4.38,44.724000000000004,179.17000000000002,76.465,13.146,21.813
2015-06-01 12:00:00+01:00,2615.375,2690.01,0.0,3.7560000000000002,4.452,44.730000000000004,179.17000000000002,78.515,13.554,22.368499999999997
2015-06-01 12:30:00+01:00,2574.95,2652.2900000000004,0.0,3.6,4.5120000000000005,44.772,179.17000000000002,86.51,14.292,22.7865
2015-06-01 13:00:00+01:00,2428.685,2632.2000000000003,0.0,3.7920000000000003,4.272,44.766,178.76000000000002,88.355,14.724,23.298
2015-06-01 13:30:00+01:00,2404.92,2649.01,0.0,3.7680000000000002,4.2,44.778,178.35000000000002,82.41,15.882,22.891
2015-06-01 14:00:00+01:00,2388.505,2658.44,0.0,4.188,4.2,44.802,177.94000000000003,70.72500000000001,16.38,23.6225
2015-06-01 14:30:00+01:00,2469.845,2668.69,0.0,3.612,4.056,44.808,177.12,59.86,16.512,23.584
2015-06-01 15:00:00+01:00,2401.98,2670.7400000000002,0.0,3.66,4.056,44.826,178.76000000000002,49.61,18.594,23.616999999999997
2015-06-01 15:30:00+01:00,2432.115,2658.03,0.0,4.056,4.272,44.79,178.76000000000002,38.95,19.812,23.171499999999998
2015-06-01 16:00:00+01:00,2702.105,2670.7400000000002,0.0,4.956,4.404,44.730000000000004,179.17000000000002,31.16,19.842,23.5785
2015-06-01 16:30:00+01:00,2876.79,2715.02,0.0,4.896,4.6080000000000005,44.79,158.26000000000002,27.880000000000003,20.286,23.628
2015-06-01 17:00:00+01:00,3086.265,2749.46,0.0,5.184,4.86,44.766,188.60000000000002,26.240000000000002,20.232,23.4685
2015-06-01 17:30:00+01:00,3046.575,2752.3300000000004,0.0,6.852,4.824,44.814,222.63000000000002,22.345000000000002,20.154,24.2165
2015-06-01 18:00:00+01:00,3012.765,2742.0800000000004,0.0,4.464,4.824,44.82,279.62,19.639,19.974,26.4715
2015-06-01 18:30:00+01:00,2917.215,2648.19,0.0,4.8,4.776,44.46,385.81,15.047,19.632,26.828999999999997
2015-06-01 19:00:00+01:00,2953.72,2668.69,0.0,7.056,4.872,41.22,390.73,10.2705,19.11,26.301
2015-06-01 19:30:00+01:00,2779.035,2737.98,0.0,5.196,5.112,40.734,405.08000000000004,5.904,19.602,26.537499999999998
2015-06-01 20:00:00+01:00,2620.0299999999997,2703.13,0.0,4.5120000000000005,5.1000000000000005,40.782000000000004,386.63000000000005,3.5055,20.76,26.663999999999998
2015-06-01 20:30:00+01:00,2430.4,2566.19,0.0,7.08,5.0280000000000005,40.758,403.85,1.7630000000000001,20.886,25.8995
2015-06-01 21:00:00+01:00,2294.425,2609.65,0.0,10.452,5.148,40.788000000000004,396.47,0.615,21.312,25.927
2015-06-01 21:30:00+01:00,2238.565,2553.48,0.0,5.904,5.124,40.800000000000004,384.17,1.3940000000000001,20.976,25.9545
2015-06-01 22:00:00+01:00,1989.155,2464.1000000000004,0.0,3.624,4.992,40.752,383.76000000000005,0.0,20.502,26.5265
2015-06-01 22:30:00+01:00,1670.8999999999999,2263.2000000000003,0.0,2.064,4.872,40.764,388.68,0.0,20.208000000000002,25.750999999999998
2015-06-01 23:00:00+01:00,1337.7,2059.4300000000003,0.0,0.0,5.088,40.77,387.04,0.0,19.608,25.9985
2015-06-01 23:30:00+01:00,1206.135,1715.8500000000001,0.0,0.192,4.764,40.65,297.66,0.0,19.752,24.9425
2015-06-02 00:00:00+01:00,1121.855,1373.5,0.0,0.0,4.98,40.704,290.69,0.0,20.538,23.979999999999997
2015-06-02 00:30:00+01:00,1193.885,1388.67,0.0,0.0,4.74,40.668,262.81,0.0,20.658,23.759999999999998
2015-06-02 01:00:00+01:00,1089.76,1362.43,0.0,0.0,4.6080000000000005,40.764,326.36,0.0,20.724,23.0395
2015-06-02 01:30:00+01:00,1121.12,1388.2600000000002,0.0,0.0,4.716,40.758,339.07000000000005,0.0,20.538,22.357499999999998
2015-06-02 02:00:00+01:00,1085.84,1429.2600000000002,0.0,0.0,4.716,40.758,338.25,0.0,20.478,21.543499999999998
2015-06-02 02:30:00+01:00,1044.435,1419.42,0.0,0.0,4.74,40.782000000000004,371.46000000000004,0.0,20.136,21.3675
2015-06-02 03:00:00+01:00,1067.71,1513.3100000000002,0.0,0.0,4.74,40.746,399.75000000000006,0.0,20.04,20.9605
