,Fossil Gas,Hydro Pumped Storage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore
2015-07-01 00:00:00+02:00,0.0,7.296,21.864,4.44,0.0,0.011
2015-07-01 01:00:00+02:00,0.0,5.136,19.032,4.428,0.0,0.0
2015-07-01 02:00:00+02:00,0.0,1.104,17.16,4.428,0.0,0.011
2015-07-01 03:00:00+02:00,0.0,0.048,17.04,4.428,0.0,0.011
2015-07-01 04:00:00+02:00,0.0,0.0,16.392,4.428,0.0,0.011
2015-07-01 05:00:00+02:00,0.0,1.296,19.992,4.428,0.0,0.011
2015-07-01 06:00:00+02:00,0.0,9.552,28.656000000000002,4.416,0.328,0.011
2015-07-01 07:00:00+02:00,0.0,20.784,56.088,4.428,1.2710000000000001,0.011
2015-07-01 08:00:00+02:00,0.0,20.712,57.768,4.428,2.706,0.011
2015-07-01 09:00:00+02:00,0.0,18.192,60.72,4.428,4.1000000000000005,0.0
2015-07-01 10:00:00+02:00,0.0,16.416,57.696,4.416,5.248,0.0
2015-07-01 11:00:00+02:00,0.0,15.648,48.72,4.416,5.986000000000001,0.0
2015-07-01 12:00:00+02:00,0.0,15.792,45.792,4.416,6.437,0.011
2015-07-01 13:00:00+02:00,0.0,14.280000000000001,35.904,4.416,6.5600000000000005,0.044
2015-07-01 14:00:00+02:00,0.0,13.968,30.384,4.404,6.355,0.077
2015-07-01 15:00:00+02:00,0.0,6.768,27.456,4.416,5.863,0.077
2015-07-01 16:00:00+02:00,0.0,15.864,41.088,4.392,5.043,0.066
2015-07-01 17:00:00+02:00,0.0,18.864,55.056000000000004,4.392,3.895,0.066
2015-07-01 18:00:00+02:00,0.0,20.352,65.47200000000001,4.416,2.501,0.05499999999999999
2015-07-01 19:00:00+02:00,0.0,22.344,67.536,4.404,1.1480000000000001,0.044
2015-07-01 20:00:00+02:00,0.0,21.912,67.896,4.416,0.328,0.033
2015-07-01 21:00:00+02:00,0.0,20.136,58.992000000000004,4.404,0.0,0.033
2015-07-01 22:00:00+02:00,0.0,14.448,55.68,4.404,0.0,0.033
2015-07-01 23:00:00+02:00,0.0,9.936,35.976,4.404,0.0,0.022
2015-07-02 00:00:00+02:00,0.0,4.632,24.792,4.404,0.0,0.022
2015-07-02 01:00:00+02:00,0.0,1.416,24.336000000000002,4.404,0.0,0.011
2015-07-02 02:00:00+02:00,0.0,0.936,23.808,4.404,0.0,0.0
2015-07-02 03:00:00+02:00,0.0,0.0,20.832,4.404,0.0,0.0
2015-07-02 04:00:00+02:00,0.0,0.0,19.68,4.404,0.0,0.0
2015-07-02 05:00:00+02:00,0.0,0.0,21.384,4.404,0.0,0.011
2015-07-02 06:00:00+02:00,0.0,9.6,33.312,4.404,0.328,0.011
2015-07-02 07:00:00+02:00,0.0,20.496,57.696,4.404,1.23,0.011
2015-07-02 08:00:00+02:00,0.0,21.84,63.984,4.392,2.583,0.011
2015-07-02 09:00:00+02:00,0.0,17.64,51.288000000000004,4.392,3.9770000000000003,0.011
2015-07-02 10:00:00+02:00,0.0,14.112,38.448,4.392,5.0840000000000005,0.011
2015-07-02 11:00:00+02:00,0.0,18.384,57.072,4.392,5.863,0.0
2015-07-02 12:00:00+02:00,0.0,14.928,49.032000000000004,4.392,6.273000000000001,0.0
2015-07-02 13:00:00+02:00,0.0,14.808,38.904,4.38,6.396,0.033
2015-07-02 14:00:00+02:00,0.0,15.312000000000001,32.160000000000004,4.38,6.15,0.066
2015-07-02 15:00:00+02:00,0.0,15.072000000000001,39.648,4.38,5.617,0.066
2015-07-02 16:00:00+02:00,0.0,16.032,44.976,4.38,4.756,0.05499999999999999
2015-07-02 17:00:00+02:00,0.0,18.864,50.88,4.38,3.608,0.044
2015-07-02 18:00:00+02:00,0.0,19.56,59.28,4.38,2.009,0.044
2015-07-02 19:00:00+02:00,0.0,20.904,65.712,4.38,0.984,0.033
2015-07-02 20:00:00+02:00,0.0,19.632,63.168,4.38,0.369,0.044
2015-07-02 21:00:00+02:00,0.0,17.304000000000002,53.856,4.38,0.0,0.033
