,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Waste,Wind Onshore
2016-07-01 00:00:00+02:00,68.31,101.92,3343.27,1124.22,49.844,25.422,1.104,123.048,27.432000000000002,9001.960000000001,0.0,40.57768,3.157
2016-07-01 01:00:00+02:00,68.54,105.35,2918.44,1096.3400000000001,43.247,25.498,1.104,116.184,22.224,8411.560000000001,0.0,42.42212,3.278
2016-07-01 02:00:00+02:00,67.85000000000001,108.78,2707.74,1118.48,43.247,25.498,0.40800000000000003,114.672,16.512,8186.880000000001,0.0,43.34434,2.915
2016-07-01 03:00:00+02:00,69.0,113.19,2523.99,1140.6200000000001,42.513999999999996,25.232,0.36,114.048,16.416,7917.920000000001,0.0,42.42212,2.783
2016-07-01 04:00:00+02:00,69.23,114.17,2464.21,1146.3600000000001,43.247,24.928,0.36,114.816,16.728,7850.68,0.0,42.42212,2.3539999999999996
2016-07-01 05:00:00+02:00,68.77,114.17,2545.5499999999997,1143.0800000000002,43.247,24.89,1.848,115.656,16.824,7821.9800000000005,0.082,42.42212,1.7489999999999999
2016-07-01 06:00:00+02:00,68.77,113.67999999999999,3110.52,1116.02,49.844,24.89,4.728,119.52,22.152,8209.84,11.726,42.42212,1.1219999999999999
2016-07-01 07:00:00+02:00,68.08,113.67999999999999,4111.59,1089.78,49.844,24.852,17.64,130.584,35.424,9223.36,58.63,41.499900000000004,0.957
2016-07-01 08:00:00+02:00,69.0,113.19,4601.1,1093.0600000000002,46.179,24.738,21.6,149.352,38.04,9366.86,148.297,41.499900000000004,0.748
2016-07-01 09:00:00+02:00,68.54,112.7,4692.24,1143.9,43.247,24.738,19.728,147.672,37.416000000000004,9726.02,232.388,41.499900000000004,0.5389999999999999
2016-07-01 10:00:00+02:00,68.54,122.5,4487.91,1148.8200000000002,45.446,24.624,18.288,141.6,34.824,9553.820000000002,298.31600000000003,41.499900000000004,1.0779999999999998
2016-07-01 11:00:00+02:00,68.77,120.05,4525.64,1149.64,43.98,24.509999999999998,13.056000000000001,140.856,33.288000000000004,9631.720000000001,346.819,40.57768,1.0999999999999999
2016-07-01 12:00:00+02:00,68.54,119.07,4503.1,1152.1000000000001,43.247,24.624,7.752,126.936,26.736,9131.52,373.223,40.57768,1.65
2016-07-01 13:00:00+02:00,67.62,115.14999999999999,4441.85,1151.2800000000002,47.644999999999996,24.548,7.848,122.49600000000001,25.488,9113.480000000001,371.46000000000004,40.57768,3.19
2016-07-01 14:00:00+02:00,62.56,113.19,4564.84,1152.1000000000001,46.912,24.168,15.864,122.976,29.136,9520.2,355.06,47.03322,4.3999999999999995
2016-07-01 15:00:00+02:00,62.1,113.19,4562.39,1052.88,48.378,24.054,22.368000000000002,130.464,33.456,9800.640000000001,310.78000000000003,48.87766,5.598999999999999
2016-07-01 16:00:00+02:00,66.7,113.19,4625.11,995.4800000000001,52.043,24.092,17.352,134.784,36.696,10358.240000000002,244.27800000000002,48.87766,5.5
2016-07-01 17:00:00+02:00,59.57,113.67999999999999,4607.47,997.94,53.509,24.054,12.624,141.0,41.784,10939.62,169.002,47.03322,4.444
2016-07-01 18:00:00+02:00,58.88,113.67999999999999,4823.5599999999995,992.2,52.775999999999996,24.054,15.408,151.824,44.04,10829.740000000002,97.293,47.95544,2.904
2016-07-01 19:00:00+02:00,60.49,113.67999999999999,4913.72,979.9000000000001,49.844,24.016,16.728,155.928,44.232,11194.640000000001,32.554,49.79988,2.464
2016-07-01 20:00:00+02:00,64.17,114.17,4928.42,978.2600000000001,47.644999999999996,24.054,16.992,155.088,45.384,11019.160000000002,4.715,48.87766,2.134
2016-07-01 21:00:00+02:00,64.63000000000001,114.17,4819.15,974.98,52.043,24.054,26.856,152.136,44.088,10926.5,0.0,47.95544,1.9689999999999999
2016-07-01 22:00:00+02:00,64.4,114.66,4477.13,974.1600000000001,49.111,24.13,12.504,146.544,43.008,10461.560000000001,0.0,50.722100000000005,2.2329999999999997
2016-07-01 23:00:00+02:00,60.03,114.66,4252.71,954.48,53.509,24.358,4.872,129.6,35.160000000000004,9471.0,0.0,49.79988,2.2769999999999997
2016-07-02 00:00:00+02:00,66.01,115.14999999999999,3551.52,944.6400000000001,43.247,25.346,6.5280000000000005,128.376,32.232,8590.320000000002,0.0,41.499900000000004,0.9239999999999999
2016-07-02 01:00:00+02:00,66.01,118.09,3147.27,966.7800000000001,43.247,25.384,1.1280000000000001,121.128,23.904,7981.880000000001,0.0,41.499900000000004,0.759
2016-07-02 02:00:00+02:00,66.24000000000001,117.11,3094.84,974.98,42.513999999999996,25.46,1.104,111.048,19.68,7314.400000000001,0.0,42.42212,0.605
