,Biomass,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
2015-07-01 00:00:00+02:00,2.5875,306.8625,669.12,0.0,1.437,523.7750000000001,0.0,8.069425,0.756,0.84425
2015-07-01 00:15:00+02:00,2.5875,294.0,568.465,0.0,1.437,516.3950000000001,0.0,8.069425,0.759,0.8195
2015-07-01 00:30:00+02:00,2.5875,280.28,635.9100000000001,0.0,1.434,503.68500000000006,0.01025,8.530535,0.786,0.8524999999999999
2015-07-01 00:45:00+02:00,2.5875,274.89,636.32,0.0,1.434,474.37000000000006,0.0205,8.530535,0.789,0.8634999999999999
2015-07-01 01:00:00+02:00,2.5875,248.43,618.2800000000001,0.0,1.434,446.90000000000003,0.03075,8.29998,0.75,0.81675
2015-07-01 01:15:00+02:00,2.5875,233.73,554.115,0.0,1.434,430.09000000000003,0.03075,8.530535,0.6960000000000001,0.78375
2015-07-01 01:30:00+02:00,2.5875,224.17499999999998,554.115,0.0,1.434,431.32000000000005,0.03075,8.530535,0.645,0.836
2015-07-01 01:45:00+02:00,2.5875,220.3775,611.105,0.0,1.434,426.81000000000006,0.03075,8.530535,0.5760000000000001,0.9047499999999999
2015-07-01 02:00:00+02:00,2.5875,220.6225,602.2900000000001,0.0,1.434,407.54,0.03075,8.530535,0.534,0.89925
2015-07-01 02:15:00+02:00,2.5875,225.5225,603.11,0.0,1.437,387.86,0.041,8.530535,0.528,0.86625
2015-07-01 02:30:00+02:00,2.5875,223.44,550.63,0.0,1.434,386.63000000000005,0.041,8.761090000000001,0.516,0.81675
2015-07-01 02:45:00+02:00,2.5875,224.42,592.6550000000001,0.0,1.434,378.225,0.041,8.530535,0.51,0.78375
2015-07-01 03:00:00+02:00,2.5875,221.3575,588.35,0.0,1.434,371.46000000000004,0.041,8.530535,0.48,0.7617499999999999
2015-07-01 03:15:00+02:00,2.5875,226.9925,590.605,0.0,1.434,363.875,0.041,8.530535,0.456,0.7397499999999999
2015-07-01 03:30:00+02:00,2.5875,222.3375,586.095,0.0,1.434,361.62,0.041,8.761090000000001,0.453,0.71775
2015-07-01 03:45:00+02:00,2.5875,222.46,579.33,0.0,1.437,358.95500000000004,0.03075,8.530535,0.435,0.7204999999999999
2015-07-01 04:00:00+02:00,2.5875,222.0925,537.9200000000001,0.0,1.437,358.13500000000005,0.0205,8.761090000000001,0.438,0.72325
2015-07-01 04:15:00+02:00,2.5875,224.42,535.6650000000001,0.0,1.437,355.675,0.0205,8.761090000000001,0.48,0.704
2015-07-01 04:30:00+02:00,2.5875,226.135,585.48,0.0,1.437,351.37,0.0205,8.530535,0.462,0.715
2015-07-01 04:45:00+02:00,2.5875,222.95,539.1500000000001,0.0,1.437,349.32000000000005,0.0205,8.530535,0.444,0.6902499999999999
2015-07-01 05:00:00+02:00,2.5875,227.115,605.1600000000001,0.0,1.437,354.44500000000005,0.0205,8.530535,0.459,0.6902499999999999
2015-07-01 05:15:00+02:00,2.5875,228.9525,614.7950000000001,0.0,1.437,364.49,0.0205,8.761090000000001,0.47100000000000003,0.68475
