,Biomass,Fossil Brown coal/Lignite,Hydro Pumped Storage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore
2015-08-01 01:00:00+03:00,5.75,2003.2600000000002,0.648,3.696,23.916,0.0,3.465
2015-08-01 02:00:00+03:00,5.75,1944.2200000000003,0.0,3.072,23.904,0.0,3.6849999999999996
2015-08-01 03:00:00+03:00,5.5200000000000005,1891.7400000000002,0.0,2.952,23.88,0.0,3.0469999999999997
2015-08-01 04:00:00+03:00,5.5200000000000005,1846.64,0.0,3.0,23.904,0.0,2.8819999999999997
2015-08-01 05:00:00+03:00,5.5200000000000005,1876.16,0.0,2.88,23.904,0.0,3.355
2015-08-01 06:00:00+03:00,5.75,1943.4,0.0,2.904,23.916,0.28700000000000003,3.96
2015-08-01 07:00:00+03:00,5.75,2053.28,0.0,2.976,23.892,2.706,3.993
2015-08-01 08:00:00+03:00,5.75,2145.1200000000003,0.0,3.576,23.88,8.528,3.8829999999999996
2015-08-01 09:00:00+03:00,5.29,2086.0800000000004,0.0,4.848,23.868000000000002,15.826,3.2889999999999997
2015-08-01 10:00:00+03:00,5.5200000000000005,1887.64,0.0,6.192,23.868000000000002,21.853,2.75
2015-08-01 11:00:00+03:00,5.5200000000000005,1859.7600000000002,0.0,7.224,23.88,25.625,2.299
2015-08-01 12:00:00+03:00,5.0600000000000005,1894.2,0.0,6.96,23.844,27.757,2.0349999999999997
2015-08-01 13:00:00+03:00,5.5200000000000005,2012.2800000000002,0.0,3.648,23.856,26.855,2.0349999999999997
2015-08-01 14:00:00+03:00,5.5200000000000005,2010.64,0.0,3.408,23.796,25.42,1.7489999999999999
2015-08-01 15:00:00+03:00,5.5200000000000005,2168.0800000000004,0.0,3.888,23.796,22.673000000000002,1.408
2015-08-01 16:00:00+03:00,5.5200000000000005,2293.54,0.0,5.5920000000000005,23.76,17.917,1.1989999999999998
2015-08-01 17:00:00+03:00,5.75,2252.54,0.0,6.408,23.796,13.120000000000001,1.155
2015-08-01 18:00:00+03:00,5.75,2229.5800000000004,1.608,9.864,23.772000000000002,6.847,1.3199999999999998
2015-08-01 19:00:00+03:00,5.75,2199.2400000000002,3.192,13.272,23.772000000000002,2.009,0.99
2015-08-01 20:00:00+03:00,5.75,2186.1200000000003,3.216,15.984,23.76,0.123,0.484
2015-08-01 21:00:00+03:00,5.5200000000000005,2186.94,3.528,20.424,23.772000000000002,0.0,0.39599999999999996
2015-08-01 22:00:00+03:00,5.98,2161.52,3.2880000000000003,17.784,23.772000000000002,0.0,0.374
2015-08-01 23:00:00+03:00,5.98,2104.94,1.704,15.528,23.76,0.0,0.43999999999999995
2015-08-02 00:00:00+03:00,5.75,2095.1000000000004,0.0,9.312,23.784,0.0,0.506
2015-08-02 01:00:00+03:00,5.98,1964.7200000000003,0.0,5.88,23.844,0.0,0.748
2015-08-02 02:00:00+03:00,5.98,1884.3600000000001,0.0,3.7920000000000003,23.796,0.0,0.9129999999999999
2015-08-02 03:00:00+03:00,6.21,1878.6200000000001,0.0,3.048,23.796,0.0,1.067
2015-08-02 04:00:00+03:00,6.21,1890.92,0.0,2.7840000000000003,23.796,0.0,1.001
2015-08-02 05:00:00+03:00,5.98,1871.2400000000002,0.0,2.352,23.796,0.0,1.133
2015-08-02 06:00:00+03:00,5.98,1856.4800000000002,0.0,2.616,23.772000000000002,0.369,1.4409999999999998
2015-08-02 07:00:00+03:00,6.21,1927.8200000000002,0.0,4.6080000000000005,23.772000000000002,2.706,0.8909999999999999
2015-08-02 08:00:00+03:00,5.98,1945.8600000000001,0.0,8.232,23.748,8.569,0.814
2015-08-02 09:00:00+03:00,5.98,1938.4800000000002,0.0,7.92,23.736,15.334000000000001,1.2979999999999998
2015-08-02 10:00:00+03:00,5.5200000000000005,1952.42,0.0,5.136,23.76,20.705000000000002,1.595
2015-08-02 11:00:00+03:00,5.98,1908.14,0.0,4.008,23.736,24.559,1.9469999999999998
2015-08-02 12:00:00+03:00,5.98,1859.7600000000002,0.0,3.408,23.748,26.117,2.332
2015-08-02 13:00:00+03:00,5.98,1860.5800000000002,0.0,3.168,23.772000000000002,27.757,2.343
2015-08-02 14:00:00+03:00,5.75,1949.14,0.0,3.12,23.712,27.347,2.178
2015-08-02 15:00:00+03:00,5.98,1983.5800000000002,0.0,3.024,23.676000000000002,24.272000000000002,1.7049999999999998
2015-08-02 16:00:00+03:00,5.98,1888.46,1.824,4.992,23.688,20.582,1.496
