,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Wind Onshore
2015-08-01 00:00:00+02:00,170.52,37.344,183.72,40.18,1.386
2015-08-01 01:00:00+02:00,171.5,37.368,174.864,40.18,1.21
2015-08-01 02:00:00+02:00,171.5,37.32,171.768,38.540000000000006,1.0999999999999999
2015-08-01 03:00:00+02:00,171.5,37.272,170.736,37.720000000000006,0.9349999999999999
2015-08-01 04:00:00+02:00,171.5,37.2,168.744,37.720000000000006,0.9129999999999999
2015-08-01 05:00:00+02:00,171.99,37.272,168.816,36.900000000000006,0.9349999999999999
2015-08-01 06:00:00+02:00,172.48,37.32,171.936,36.900000000000006,0.968
2015-08-01 07:00:00+02:00,172.97,37.368,194.16,36.080000000000005,0.8909999999999999
2015-08-01 08:00:00+02:00,172.97,37.392,220.752,37.720000000000006,0.869
2015-08-01 09:00:00+02:00,172.48,37.296,244.20000000000002,36.080000000000005,0.9349999999999999
2015-08-01 10:00:00+02:00,171.99,37.152,255.24,35.260000000000005,1.067
2015-08-01 11:00:00+02:00,171.99,37.2,254.52,36.080000000000005,1.1769999999999998
2015-08-01 12:00:00+02:00,172.48,37.272,251.976,34.440000000000005,1.3639999999999999
2015-08-01 13:00:00+02:00,172.48,37.368,243.336,35.260000000000005,1.4629999999999999
2015-08-01 14:00:00+02:00,171.99,37.272,235.08,36.080000000000005,1.595
2015-08-01 15:00:00+02:00,171.99,37.32,237.0,36.080000000000005,1.98
2015-08-01 16:00:00+02:00,172.48,37.272,241.44,36.900000000000006,2.255
2015-08-01 17:00:00+02:00,172.48,37.32,243.50400000000002,36.080000000000005,2.2439999999999998
2015-08-01 18:00:00+02:00,172.97,37.392,249.144,36.900000000000006,2.1229999999999998
2015-08-01 19:00:00+02:00,172.97,37.44,251.496,37.720000000000006,1.8259999999999998
2015-08-01 20:00:00+02:00,173.46,37.392,251.544,36.900000000000006,1.7049999999999998
2015-08-01 21:00:00+02:00,172.97,37.344,253.704,31.160000000000004,1.65
2015-08-01 22:00:00+02:00,172.97,37.272,241.94400000000002,36.080000000000005,1.4629999999999999
2015-08-01 23:00:00+02:00,172.97,37.176,220.728,36.900000000000006,1.331
2015-08-02 00:00:00+02:00,172.97,36.744,203.448,35.260000000000005,1.276
2015-08-02 01:00:00+02:00,172.97,36.864000000000004,184.296,36.900000000000006,1.276
2015-08-02 02:00:00+02:00,172.97,36.816,173.424,37.720000000000006,1.166
2015-08-02 03:00:00+02:00,172.97,36.72,170.68800000000002,37.720000000000006,1.034
2015-08-02 04:00:00+02:00,172.48,36.6,167.616,38.540000000000006,1.166
2015-08-02 05:00:00+02:00,172.97,36.456,166.032,34.440000000000005,1.254
2015-08-02 06:00:00+02:00,172.97,36.744,170.256,39.36,1.144
2015-08-02 07:00:00+02:00,172.97,36.624,185.784,21.32,0.814
2015-08-02 08:00:00+02:00,172.97,36.816,217.608,21.32,0.6819999999999999
2015-08-02 09:00:00+02:00,173.46,36.672000000000004,236.016,21.32,0.6599999999999999
2015-08-02 10:00:00+02:00,173.46,36.792,246.048,21.32,0.715
2015-08-02 11:00:00+02:00,173.46,36.696,248.352,21.32,0.869
2015-08-02 12:00:00+02:00,172.97,36.744,243.024,31.160000000000004,0.7919999999999999
2015-08-02 13:00:00+02:00,173.46,36.672000000000004,235.848,35.260000000000005,0.968
2015-08-02 14:00:00+02:00,172.97,36.648,218.904,33.620000000000005,0.979
2015-08-02 15:00:00+02:00,172.48,36.696,220.94400000000002,39.36,0.9239999999999999
2015-08-02 16:00:00+02:00,172.97,36.792,227.4,33.620000000000005,0.825
2015-08-02 17:00:00+02:00,172.48,36.792,233.568,38.540000000000006,0.825
2015-08-02 18:00:00+02:00,172.48,36.792,241.344,30.340000000000003,0.836
2015-08-02 19:00:00+02:00,172.97,36.816,252.864,36.900000000000006,0.616
2015-08-02 20:00:00+02:00,173.46,36.816,255.072,36.900000000000006,0.572
2015-08-02 21:00:00+02:00,172.97,36.96,260.568,36.900000000000006,0.484
2015-08-02 22:00:00+02:00,172.48,37.008,254.88,41.82,0.43999999999999995
2015-08-02 23:00:00+02:00,173.46,37.032000000000004,234.264,41.0,0.418
2015-08-03 00:00:00+02:00,174.44,36.648,207.144,36.900000000000006,0.297
2015-08-03 01:00:00+02:00,175.42,36.6,191.832,38.540000000000006,0.352
2015-08-03 02:00:00+02:00,176.4,36.696,181.94400000000002,39.36,0.363
2015-08-03 03:00:00+02:00,175.91,36.744,179.04,38.540000000000006,0.45099999999999996
2015-08-03 04:00:00+02:00,176.4,35.664,177.672,36.900000000000006,0.528
2015-08-03 05:00:00+02:00,175.91,36.408,199.512,39.36,0.605
2015-08-03 06:00:00+02:00,175.91,36.432,244.416,36.900000000000006,0.715
2015-08-03 07:00:00+02:00,175.42,36.624,316.272,37.720000000000006,0.759
2015-08-03 08:00:00+02:00,175.91,36.936,361.32,37.720000000000006,0.825
2015-08-03 09:00:00+02:00,157.78,37.224000000000004,371.32800000000003,44.28,0.979
2015-08-03 10:00:00+02:00,157.29,37.272,371.832,44.28,1.067
2015-08-03 11:00:00+02:00,156.8,36.552,368.40000000000003,49.2,1.2429999999999999
2015-08-03 12:00:00+02:00,157.29,36.552,363.744,48.38,1.3639999999999999
2015-08-03 13:00:00+02:00,157.29,36.624,358.968,41.82,1.694
2015-08-03 14:00:00+02:00,156.8,37.296,349.08,37.720000000000006,2.002
2015-08-03 15:00:00+02:00,155.32999999999998,37.488,330.744,37.720000000000006,2.266
2015-08-03 16:00:00+02:00,156.31,37.512,309.504,45.1,2.618
2015-08-03 17:00:00+02:00,156.31,37.512,304.2,46.74,2.673
2015-08-03 18:00:00+02:00,156.31,37.488,298.56,46.74,2.816
2015-08-03 19:00:00+02:00,156.31,37.488,292.2,48.38,2.9259999999999997
2015-08-03 20:00:00+02:00,156.31,37.464,272.688,48.38,3.234
2015-08-03 21:00:00+02:00,156.31,37.608000000000004,261.264,48.38,3.3659999999999997
2015-08-03 22:00:00+02:00,156.8,37.776,244.056,48.38,3.4869999999999997
2015-08-03 23:00:00+02:00,156.31,37.968,215.136,48.38,3.7729999999999997
2015-08-04 00:00:00+02:00,156.8,37.944,178.656,46.74,3.795
2015-08-04 01:00:00+02:00,156.8,37.992,166.968,45.1,3.751
2015-08-04 02:00:00+02:00,156.8,38.232,162.48,45.1,3.784
2015-08-04 03:00:00+02:00,156.31,38.184,162.192,47.56,3.795
2015-08-04 04:00:00+02:00,156.8,38.184,166.94400000000002,47.56,3.718
2015-08-04 05:00:00+02:00,156.8,38.160000000000004,182.4,47.56,3.3219999999999996
2015-08-04 06:00:00+02:00,156.8,38.160000000000004,222.84,47.56,3.146
2015-08-04 07:00:00+02:00,156.31,38.376,281.808,47.56,2.9699999999999998
2015-08-04 08:00:00+02:00,156.8,38.472,317.616,47.56,2.827
2015-08-04 09:00:00+02:00,155.32999999999998,38.472,325.608,31.980000000000004,2.8379999999999996
2015-08-04 10:00:00+02:00,156.8,38.592,332.904,47.56,2.86
2015-08-04 11:00:00+02:00,156.8,38.544000000000004,337.968,43.46,2.816
2015-08-04 12:00:00+02:00,156.8,38.52,335.616,45.1,2.706
2015-08-04 13:00:00+02:00,156.31,38.52,337.44,45.1,2.387
2015-08-04 14:00:00+02:00,155.82,38.544000000000004,334.344,38.540000000000006,2.3209999999999997
2015-08-04 15:00:00+02:00,156.31,38.568,327.528,37.720000000000006,2.112
2015-08-04 16:00:00+02:00,158.76,38.496,322.512,40.18,2.497
2015-08-04 17:00:00+02:00,171.5,38.592,322.8,42.64,2.222
2015-08-04 18:00:00+02:00,171.99,38.424,311.472,41.82,1.9249999999999998
2015-08-04 19:00:00+02:00,171.5,38.4,301.656,41.82,1.9249999999999998
2015-08-04 20:00:00+02:00,171.99,38.472,290.904,41.82,1.617
2015-08-04 21:00:00+02:00,171.5,38.64,288.24,43.46,1.43
2015-08-04 22:00:00+02:00,172.48,38.664,272.112,43.46,1.474
2015-08-04 23:00:00+02:00,172.97,38.592,238.392,42.64,1.65
2015-08-05 00:00:00+02:00,172.97,38.04,201.792,50.84,1.8039999999999998
2015-08-05 01:00:00+02:00,173.46,37.56,183.504,53.300000000000004,2.068
2015-08-05 02:00:00+02:00,172.97,37.44,179.328,51.660000000000004,1.793
2015-08-05 03:00:00+02:00,171.99,37.416000000000004,178.584,53.300000000000004,1.859
2015-08-05 04:00:00+02:00,172.48,37.656,183.216,54.120000000000005,2.255
2015-08-05 05:00:00+02:00,172.48,37.752,197.904,54.120000000000005,2.222
2015-08-05 06:00:00+02:00,172.48,37.392,250.392,54.120000000000005,2.343
2015-08-05 07:00:00+02:00,172.97,37.824,309.76800000000003,51.660000000000004,2.189
2015-08-05 08:00:00+02:00,172.48,37.44,331.92,49.2,1.8259999999999998
2015-08-05 09:00:00+02:00,172.97,37.416000000000004,337.056,50.84,1.837
2015-08-05 10:00:00+02:00,172.48,37.56,342.12,46.74,1.859
2015-08-05 11:00:00+02:00,172.97,37.512,343.824,46.74,1.8699999999999999
