,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Wind Onshore
2015-08-01 00:00:00+02:00,24.61,4715.820000000001,28.91,131.32,5679.320000000001,121.678,0.0,1.8,0.0,5.808
2015-08-01 01:00:00+02:00,10.120000000000001,4277.9400000000005,28.91,114.17,5761.320000000001,121.678,0.0,1.8,0.0,5.896
2015-08-01 02:00:00+02:00,10.35,3979.4600000000005,29.89,113.67999999999999,5678.5,122.411,0.0,1.8,0.0,5.851999999999999
2015-08-01 03:00:00+02:00,10.120000000000001,3818.7400000000002,32.339999999999996,113.67999999999999,5728.52,121.678,0.0,1.8,0.0,5.588
2015-08-01 04:00:00+02:00,10.35,3655.5600000000004,32.83,113.19,5708.02,121.678,0.0,1.8,0.0,5.752999999999999
2015-08-01 05:00:00+02:00,10.35,3489.1000000000004,32.83,113.67999999999999,5526.8,125.343,0.0,1.8,0.0,5.489
2015-08-01 06:00:00+02:00,10.35,3774.4600000000005,32.339999999999996,113.67999999999999,5922.860000000001,125.343,0.0,1.8,0.0,4.234999999999999
2015-08-01 07:00:00+02:00,10.35,4191.02,32.83,132.79,6505.06,126.076,0.0,1.8,0.0,3.278
2015-08-01 08:00:00+02:00,10.120000000000001,5007.740000000001,32.339999999999996,144.55,6720.72,126.809,0.0,1.8960000000000001,0.0,1.9029999999999998
2015-08-01 09:00:00+02:00,10.120000000000001,5350.5,31.849999999999998,145.04,6725.64,127.542,0.0,2.016,0.0,2.4859999999999998
2015-08-01 10:00:00+02:00,10.120000000000001,5409.54,31.36,144.55,6694.4800000000005,128.275,1.032,2.16,0.84,2.794
2015-08-01 11:00:00+02:00,10.35,5442.34,30.87,143.57,6664.14,128.275,4.656,2.376,0.96,2.0789999999999997
2015-08-01 12:00:00+02:00,10.120000000000001,5526.8,30.87,143.07999999999998,6759.26,134.87199999999999,1.08,2.52,0.96,1.4629999999999999
2015-08-01 13:00:00+02:00,10.35,5478.42,31.36,141.60999999999999,6746.14,135.605,1.224,2.4,0.96,1.276
2015-08-01 14:00:00+02:00,10.35,5329.18,31.36,141.12,6569.84,128.275,2.136,1.992,0.12,1.144
2015-08-01 15:00:00+02:00,10.120000000000001,5115.160000000001,31.36,140.14,6514.900000000001,131.207,2.616,1.968,0.0,1.111
2015-08-01 16:00:00+02:00,10.35,4822.42,31.849999999999998,140.14,6473.900000000001,129.74099999999999,1.32,1.944,0.0,1.353
2015-08-01 17:00:00+02:00,10.120000000000001,4586.26,31.849999999999998,140.14,6478.000000000001,129.74099999999999,0.48,1.944,0.0,1.7269999999999999
2015-08-01 18:00:00+02:00,10.120000000000001,4428.0,33.81,137.2,6444.38,129.74099999999999,6.264,1.992,0.0,1.837
2015-08-01 19:00:00+02:00,10.120000000000001,4261.54,33.81,136.71,6479.64,129.74099999999999,6.5760000000000005,2.3040000000000003,0.0,2.2769999999999997
2015-08-01 20:00:00+02:00,10.120000000000001,4391.92,34.3,137.2,6564.92,129.008,6.5520000000000005,2.2800000000000002,0.0,5.016
2015-08-01 21:00:00+02:00,10.120000000000001,4480.4800000000005,33.81,142.1,6488.660000000001,128.275,5.688,1.992,0.0,9.735
2015-08-01 22:00:00+02:00,10.120000000000001,4288.6,33.32,133.77,5938.4400000000005,128.275,1.008,1.824,0.0,12.110999999999999
2015-08-01 23:00:00+02:00,10.35,3778.5600000000004,32.83,128.87,5517.780000000001,129.008,0.0,1.8,0.0,13.552
2015-08-02 00:00:00+02:00,10.120000000000001,3445.6400000000003,32.339999999999996,112.7,5293.92,129.008,0.0,1.8,0.0,14.729
2015-08-02 01:00:00+02:00,10.35,3259.5000000000005,31.849999999999998,111.72,5048.740000000001,129.008,0.0,1.8,0.0,14.629999999999999
2015-08-02 02:00:00+02:00,10.120000000000001,3127.48,32.339999999999996,111.72,4970.84,129.008,0.0,1.8,0.0,13.584999999999999
2015-08-02 03:00:00+02:00,10.35,3075.0000000000005,32.83,112.21,4883.1,129.008,0.0,1.8,0.0,13.937
2015-08-02 04:00:00+02:00,10.120000000000001,3105.34,33.32,112.21,4914.26,129.008,0.0,1.8,0.0,13.453
2015-08-02 05:00:00+02:00,10.120000000000001,3060.2400000000002,33.32,112.21,4860.14,127.542,0.0,1.8,0.0,11.616
2015-08-02 06:00:00+02:00,10.120000000000001,3223.42,33.32,112.21,5060.22,126.809,0.0,1.8,0.0,9.427
2015-08-02 07:00:00+02:00,10.120000000000001,3712.9600000000005,32.83,111.23,5312.780000000001,126.076,0.0,1.8,0.0,4.939
2015-08-02 08:00:00+02:00,10.120000000000001,4213.9800000000005,33.81,110.74,5557.96,127.542,0.0,1.968,0.0,1.7599999999999998
2015-08-02 09:00:00+02:00,10.120000000000001,4576.42,31.849999999999998,109.75999999999999,5862.18,130.474,0.0,2.064,0.0,1.529
2015-08-02 10:00:00+02:00,10.120000000000001,4830.620000000001,30.87,128.38,6005.68,131.94,0.624,2.16,0.0,2.0349999999999997
2015-08-02 11:00:00+02:00,10.120000000000001,4855.22,29.89,130.34,6076.200000000001,131.94,1.1280000000000001,2.4,0.84,2.706
2015-08-02 12:00:00+02:00,10.35,4881.46,30.38,129.85,6183.620000000001,137.071,1.176,2.592,0.96,2.651
2015-08-02 13:00:00+02:00,10.120000000000001,4936.400000000001,30.87,129.85,6218.06,136.338,0.5760000000000001,2.3040000000000003,0.96,1.9689999999999999
2015-08-02 14:00:00+02:00,10.120000000000001,4866.700000000001,31.849999999999998,130.34,6045.040000000001,135.605,0.07200000000000001,2.16,0.12,1.672
2015-08-02 15:00:00+02:00,10.120000000000001,4610.860000000001,32.83,130.34,6109.820000000001,129.008,0.0,1.944,0.0,1.4849999999999999
2015-08-02 16:00:00+02:00,10.120000000000001,4552.64,33.32,130.34,5973.700000000001,127.542,0.0,1.944,0.0,1.408
2015-08-02 17:00:00+02:00,10.120000000000001,4596.92,32.83,112.21,5954.02,128.275,0.0,1.944,0.0,1.2429999999999999
2015-08-02 18:00:00+02:00,10.120000000000001,4387.820000000001,32.339999999999996,130.34,6015.52,128.275,4.5120000000000005,1.968,0.0,1.353
2015-08-02 19:00:00+02:00,10.120000000000001,4177.08,31.849999999999998,135.73,6138.52,128.275,9.288,1.992,0.0,1.936
2015-08-02 20:00:00+02:00,10.120000000000001,4347.64,31.36,136.71,6318.92,128.275,3.024,1.968,0.0,4.026
2015-08-02 21:00:00+02:00,10.120000000000001,4525.58,31.36,140.14,6363.200000000001,137.071,5.832,2.184,0.84,6.545
2015-08-02 22:00:00+02:00,10.120000000000001,4528.860000000001,31.36,132.3,5788.38,130.474,4.104,1.8960000000000001,0.12,8.349
2015-08-02 23:00:00+02:00,10.120000000000001,4177.08,31.36,127.89,5256.200000000001,129.008,0.0,1.824,0.0,8.459
2015-08-03 00:00:00+02:00,10.120000000000001,3939.28,31.849999999999998,113.19,5373.46,130.474,0.0,1.824,0.0,7.039999999999999
2015-08-03 01:00:00+02:00,10.35,3875.32,33.32,111.72,5334.92,129.74099999999999,0.0,1.824,0.0,6.688
2015-08-03 02:00:00+02:00,10.35,3718.7000000000003,33.32,111.72,5339.84,129.008,0.0,1.824,0.0,6.303
2015-08-03 03:00:00+02:00,10.120000000000001,3703.1200000000003,31.849999999999998,111.72,5423.4800000000005,128.275,0.0,1.848,0.0,5.675999999999999
2015-08-03 04:00:00+02:00,10.120000000000001,3676.0600000000004,32.339999999999996,112.21,5594.040000000001,128.275,0.0,1.848,0.0,4.587
2015-08-03 05:00:00+02:00,10.35,3558.8,32.339999999999996,112.21,5830.200000000001,126.809,0.0,1.824,0.0,3.7399999999999998
2015-08-03 06:00:00+02:00,10.35,4273.02,32.83,135.73,6520.64,126.076,0.0,1.8,0.0,2.772
2015-08-03 07:00:00+02:00,11.270000000000001,4805.200000000001,32.339999999999996,118.58,7664.540000000001,134.139,0.0,1.992,0.0,1.4629999999999999
2015-08-03 08:00:00+02:00,11.270000000000001,5279.160000000001,32.339999999999996,114.17,8193.44,137.071,0.0,2.112,0.0,0.429
2015-08-03 09:00:00+02:00,11.270000000000001,5697.360000000001,31.36,112.7,8435.34,137.804,3.072,2.04,0.0,0.121
2015-08-03 10:00:00+02:00,11.270000000000001,5686.700000000001,30.87,112.21,8763.34,137.804,2.496,2.16,0.0,0.09899999999999999
2015-08-03 11:00:00+02:00,11.5,5735.900000000001,31.36,112.21,8952.76,139.27,4.704,2.568,0.84,0.176
2015-08-03 12:00:00+02:00,11.5,5809.700000000001,31.849999999999998,111.72,8992.94,140.003,7.104,2.64,0.96,0.308
2015-08-03 13:00:00+02:00,11.5,5787.56,31.849999999999998,111.23,8964.24,138.537,13.104000000000001,2.376,0.96,0.517
2015-08-03 14:00:00+02:00,11.5,5825.280000000001,31.36,110.74,8982.28,137.804,3.7920000000000003,2.04,0.12,1.155
2015-08-03 15:00:00+02:00,11.5,5890.88,31.36,110.74,8755.960000000001,138.537,0.8160000000000001,1.944,0.0,1.386
2015-08-03 16:00:00+02:00,11.5,5874.4800000000005,31.849999999999998,111.23,8465.68,137.804,4.056,1.92,0.0,1.672
2015-08-03 17:00:00+02:00,11.5,5508.76,31.36,111.23,8012.22,136.338,4.5360000000000005,1.92,0.0,1.8809999999999998
2015-08-03 18:00:00+02:00,11.5,5380.84,30.87,111.23,7962.200000000001,136.338,4.5360000000000005,1.944,0.0,2.5959999999999996
2015-08-03 19:00:00+02:00,11.5,5550.580000000001,30.87,111.23,8022.06,137.071,1.728,1.944,0.0,3.014
2015-08-03 20:00:00+02:00,11.5,5710.4800000000005,30.38,112.7,7994.18,137.804,0.36,2.232,0.0,5.0489999999999995
2015-08-03 21:00:00+02:00,11.5,5612.900000000001,31.849999999999998,112.7,7971.22,139.27,0.0,2.3040000000000003,0.0,8.426
2015-08-03 22:00:00+02:00,10.35,4983.96,32.339999999999996,112.7,7491.52,138.537,0.0,1.824,0.0,11.428999999999998
2015-08-03 23:00:00+02:00,10.35,3803.9800000000005,32.339999999999996,106.33,7055.280000000001,131.207,0.0,1.8,0.0,12.298
2015-08-04 00:00:00+02:00,10.120000000000001,3696.5600000000004,32.83,94.57,6664.14,131.207,0.0,1.776,0.0,12.616999999999999
2015-08-04 01:00:00+02:00,10.120000000000001,3537.4800000000005,32.83,85.75,6551.8,131.94,0.0,1.8,0.0,11.462
2015-08-04 02:00:00+02:00,10.35,3617.0200000000004,32.83,85.26,6472.26,131.207,0.0,1.8,0.0,10.174999999999999
2015-08-04 03:00:00+02:00,10.35,3630.1400000000003,32.83,85.26,6487.84,131.207,0.0,1.8,0.0,9.338999999999999
2015-08-04 04:00:00+02:00,10.120000000000001,3715.42,32.83,85.26,6468.160000000001,131.207,0.0,1.776,0.0,8.546999999999999
2015-08-04 05:00:00+02:00,10.35,3659.6600000000003,32.339999999999996,86.24,6450.9400000000005,129.008,0.0,1.8,0.0,8.315999999999999
