,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
2015-09-01 00:00:00+02:00,75.44,2065.5800000000004,120.53999999999999,40.18,514.14,1.466,0.0,1.776,0.48,40.548,0.0,,0.0,16.59996,0.418
2015-09-01 01:00:00+02:00,75.67,2110.6800000000003,119.56,40.18,511.68000000000006,1.466,0.0,1.776,0.48,40.656,0.0,,0.0,16.59996,0.484
2015-09-01 02:00:00+02:00,75.44,2119.7000000000003,125.44,39.69,455.92,1.466,0.0,1.776,0.48,40.692,0.0,,0.0,16.59996,0.46199999999999997
2015-09-01 03:00:00+02:00,75.44,2077.88,126.42,39.69,433.78000000000003,1.466,0.0,1.752,0.552,40.704,0.0,,0.0,16.59996,0.46199999999999997
2015-09-01 04:00:00+02:00,75.44,2068.04,122.5,39.2,433.78000000000003,1.466,0.0,1.8,0.432,40.764,0.0,,0.0,16.59996,0.605
2015-09-01 05:00:00+02:00,73.37,2094.28,128.38,39.2,487.08000000000004,1.466,0.0,1.704,0.72,40.788000000000004,0.0,,0.123,16.59996,0.473
2015-09-01 06:00:00+02:00,74.06,2295.1800000000003,130.82999999999998,45.08,509.22,1.466,0.12,1.68,0.936,40.800000000000004,0.0,,0.8200000000000001,16.59996,0.43999999999999995
2015-09-01 07:00:00+02:00,75.9,2316.5,126.91,49.0,499.38000000000005,1.466,2.016,1.536,2.52,40.848,0.0,,7.421,16.59996,0.38499999999999995
2015-09-01 08:00:00+02:00,76.13000000000001,2293.54,118.09,51.449999999999996,495.28000000000003,1.466,1.848,1.248,7.248,40.896,0.0,,21.894000000000002,16.59996,0.27499999999999997
2015-09-01 09:00:00+02:00,75.9,2210.7200000000003,120.05,49.49,484.62000000000006,1.466,1.512,1.296,5.4,40.86,0.0,,36.695,16.59996,0.187
2015-09-01 10:00:00+02:00,75.9,2240.2400000000002,124.95,48.019999999999996,492.82000000000005,6.5969999999999995,0.0,1.488,2.52,40.764,0.0,,47.273,16.59996,0.16499999999999998
2015-09-01 11:00:00+02:00,75.67,2290.26,137.69,48.51,508.40000000000003,1.466,0.0,1.512,2.2800000000000002,40.644,0.0,,53.915,16.59996,0.143
2015-09-01 12:00:00+02:00,75.67,2264.02,130.34,47.53,500.20000000000005,1.466,2.112,1.776,0.72,40.548,0.0,,56.621,16.59996,0.187
2015-09-01 13:00:00+02:00,75.44,2241.88,129.85,46.55,502.66,1.466,3.984,1.776,0.624,40.452,0.0,,54.817,16.59996,0.27499999999999997
2015-09-01 14:00:00+02:00,75.44,2247.6200000000003,130.82999999999998,46.06,504.3,1.466,6.24,1.8,0.552,40.332,0.0,,48.913000000000004,16.59996,0.297
2015-09-01 15:00:00+02:00,75.44,2264.84,137.69,46.06,509.22,1.466,6.168,1.848,0.456,40.236000000000004,0.0,,39.975,16.59996,0.407
2015-09-01 16:00:00+02:00,75.67,2264.84,127.39999999999999,43.61,496.92,1.466,5.328,1.776,0.6960000000000001,40.14,0.0,,29.274,16.59996,0.627
2015-09-01 17:00:00+02:00,75.67,2278.78,120.53999999999999,45.08,501.02000000000004,1.466,5.976,1.3920000000000001,2.592,40.176,0.0,,16.031000000000002,16.59996,1.0999999999999999
2015-09-01 18:00:00+02:00,75.9,2283.7000000000003,126.91,46.06,501.02000000000004,1.466,7.056,1.272,5.352,40.2,0.0,,4.8790000000000004,16.59996,1.045
2015-09-01 19:00:00+02:00,75.9,2270.5800000000004,123.97,46.06,505.12000000000006,1.466,7.656000000000001,1.2,9.648,40.224000000000004,0.0,,0.656,16.59996,1.166
2015-09-01 20:00:00+02:00,75.9,2267.3,127.89,46.06,504.3,1.466,11.88,1.176,9.912,40.368,0.0,,0.20500000000000002,16.59996,1.43
2015-09-01 21:00:00+02:00,75.67,2203.34,118.09,44.1,493.64000000000004,1.466,5.256,1.2,9.408,40.464,0.0,,0.0,16.59996,1.331
2015-09-01 22:00:00+02:00,75.44,2164.8,120.05,43.61,499.38000000000005,1.466,3.888,1.3920000000000001,2.64,40.524,0.0,,0.0,16.59996,1.353
2015-09-01 23:00:00+02:00,75.44,2046.7200000000003,119.56,40.18,460.84000000000003,1.466,0.07200000000000001,1.752,0.5760000000000001,40.62,0.0,,0.0,16.59996,1.331
2015-09-02 00:00:00+02:00,75.44,2114.78,114.66,40.67,487.90000000000003,1.466,0.0,1.776,0.432,40.716,0.0,,0.0,16.59996,1.3419999999999999
2015-09-02 01:00:00+02:00,75.44,2057.38,117.6,40.67,485.44000000000005,1.466,0.0,1.776,0.40800000000000003,40.752,0.0,,0.0,16.59996,1.188
2015-09-02 02:00:00+02:00,75.44,2145.1200000000003,115.14999999999999,40.18,446.90000000000003,1.466,0.0,1.752,0.432,40.812,0.0,,0.0,16.59996,0.957
2015-09-02 03:00:00+02:00,75.44,2081.1600000000003,116.13,39.69,447.72,1.466,0.0,1.728,0.552,40.86,0.0,,0.0,16.59996,0.979
2015-09-02 04:00:00+02:00,75.44,2084.44,116.13,39.69,455.92,1.466,0.0,1.752,0.456,40.992,0.0,,0.0,16.59996,0.726
2015-09-02 05:00:00+02:00,75.44,2141.02,121.03,39.69,506.76000000000005,1.466,0.0,1.68,0.72,41.1,0.0,,0.123,16.59996,0.726
2015-09-02 06:00:00+02:00,75.9,2218.1000000000004,124.46,45.57,505.94000000000005,1.466,0.0,1.6560000000000001,0.912,41.208,0.0,,0.451,16.59996,0.594
2015-09-02 07:00:00+02:00,75.9,2214.0,121.52,48.51,501.84000000000003,1.466,6.6240000000000006,1.512,2.496,41.256,0.0,,3.444,16.59996,0.39599999999999996
2015-09-02 08:00:00+02:00,75.9,2223.84,112.21,51.449999999999996,480.52000000000004,1.466,7.464,1.3920000000000001,2.64,41.256,0.0,,11.562000000000001,16.59996,0.264
2015-09-02 09:00:00+02:00,75.9,2150.04,104.86,49.0,476.42,1.466,8.232,1.416,2.4,41.232,0.0,,20.295,16.59996,0.209
2015-09-02 10:00:00+02:00,75.44,2156.6000000000004,104.37,41.65,474.78000000000003,1.466,1.752,1.464,2.184,41.256,0.0,,27.798000000000002,16.59996,0.154
