,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
2015-09-01 00:00:00+02:00,2.0700000000000003,57.82,130.38000000000002,8.063,0.0,143.86632,6.732,9.812
2015-09-01 01:00:00+02:00,1.1500000000000001,44.1,138.58,4.398,0.0,142.02188,7.488,9.030999999999999
2015-09-01 02:00:00+02:00,0.6900000000000001,44.589999999999996,142.68,4.398,0.0,142.02188,7.5360000000000005,8.195
2015-09-01 03:00:00+02:00,0.92,50.47,154.98000000000002,7.33,0.0,141.09966,6.84,6.864
2015-09-01 04:00:00+02:00,1.1500000000000001,58.8,171.38000000000002,10.262,0.0,144.78854,4.104,6.005999999999999
2015-09-01 05:00:00+02:00,0.92,52.43,148.42000000000002,6.5969999999999995,0.0,143.86632,3.732,5.324
2015-09-01 06:00:00+02:00,1.1500000000000001,80.85,196.8,8.796,0.041,153.08852000000002,3.924,4.543
2015-09-01 07:00:00+02:00,1.61,103.39,322.26000000000005,6.5969999999999995,0.451,153.08852000000002,5.016,3.795
2015-09-01 08:00:00+02:00,5.0600000000000005,241.57,455.1,18.325,1.23,158.62184000000002,5.6160000000000005,3.146
2015-09-01 09:00:00+02:00,10.120000000000001,218.54,436.24,13.193999999999999,1.968,154.01074,5.916,2.8379999999999996
2015-09-01 10:00:00+02:00,10.81,195.51,441.16,41.048,2.706,152.1663,6.096,3.2449999999999997
2015-09-01 11:00:00+02:00,11.040000000000001,190.12,457.56000000000006,13.927,3.567,157.69962,6.096,3.6409999999999996
2015-09-01 12:00:00+02:00,11.040000000000001,247.94,469.86,16.858999999999998,3.608,159.54406,6.768,4.114
2015-09-01 13:00:00+02:00,9.66,206.29,476.42,17.592,3.5260000000000002,160.46628,7.26,5.258
2015-09-01 14:00:00+02:00,7.590000000000001,127.89,440.34000000000003,11.728,3.7720000000000002,157.69962,7.632000000000001,6.622
2015-09-01 15:00:00+02:00,9.200000000000001,150.43,431.32000000000005,10.995,3.444,158.62184000000002,8.004,7.997
2015-09-01 16:00:00+02:00,8.97,112.21,410.82000000000005,8.796,2.501,157.69962,8.22,8.734
2015-09-01 17:00:00+02:00,8.74,94.57,400.98,7.33,1.845,157.69962,8.796,9.878
2015-09-01 18:00:00+02:00,8.51,100.94,266.5,5.864,1.23,155.85518000000002,8.964,11.154
2015-09-01 19:00:00+02:00,5.75,68.11,356.70000000000005,5.131,0.533,155.85518000000002,11.136000000000001,12.924999999999999
2015-09-01 20:00:00+02:00,3.22,53.41,238.62,4.398,0.451,154.93296,12.372,14.409999999999998
2015-09-01 21:00:00+02:00,3.22,52.43,151.70000000000002,4.398,0.451,155.85518000000002,13.092,16.587999999999997
2015-09-01 22:00:00+02:00,2.0700000000000003,55.37,139.4,5.864,0.451,156.7774,12.540000000000001,17.555999999999997
2015-09-01 23:00:00+02:00,1.84,51.94,30.340000000000003,3.665,0.451,153.08852000000002,13.296000000000001,18.656
2015-09-02 00:00:00+02:00,1.84,54.39,36.900000000000006,4.398,0.451,155.85518000000002,12.744,18.930999999999997
2015-09-02 01:00:00+02:00,2.3000000000000003,65.66,62.32000000000001,8.796,0.451,155.85518000000002,12.72,19.206
