,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2015-10-01 00:00:00+02:00,123.51,762.6,0.0,2523.99,6051.6,301.996,0.0,0.0,0.0,7.704,10.872,50.208,0.0,72.144,72.16000000000001,,15.744,212.1106,0.0,10.956
2015-10-01 01:00:00+02:00,123.51,765.8800000000001,0.0,2538.69,6049.96,292.467,0.0,0.0,0.0,9.384,10.752,36.528,0.0,72.168,72.16000000000001,,6.847,209.34394,0.0,9.866999999999999
2015-10-01 02:00:00+02:00,125.12,752.7600000000001,0.0,2409.33,6042.580000000001,285.137,0.0,0.0,0.0,11.328,10.488,18.888,0.0,72.168,72.16000000000001,,4.182,203.81062,0.0,10.274
2015-10-01 03:00:00+02:00,127.19000000000001,715.86,0.0,2203.04,6000.76,282.938,0.0,0.0,0.0,11.712,10.368,16.704,0.0,72.168,72.16000000000001,,4.223,208.42172000000002,0.0,10.263
2015-10-01 04:00:00+02:00,128.57,739.6400000000001,0.0,2199.12,6016.34,282.205,0.0,0.0,0.0,15.84,10.296,14.808,0.0,72.168,71.34,,4.182,219.48836,0.0,9.878
2015-10-01 05:00:00+02:00,129.72,762.6,0.0,2276.05,6032.740000000001,271.943,0.0,0.0,0.0,11.76,10.536,17.904,0.0,72.168,71.34,,4.182,225.02168,0.0,9.086
2015-10-01 06:00:00+02:00,129.03,728.1600000000001,0.0,2495.57,5938.4400000000005,282.938,0.0,0.0,0.0,3.6,10.656,39.432,0.0,72.156,71.34,,4.182,234.24388000000002,0.0,9.79
2015-10-01 07:00:00+02:00,128.57,724.8800000000001,0.0,2764.09,5933.52,293.933,0.0,0.0,0.0,0.0,10.704,94.152,0.0,72.12,72.16000000000001,,4.223,243.46608,0.0,10.978
2015-10-01 08:00:00+02:00,130.18,742.9200000000001,0.0,2987.04,5953.200000000001,310.05899999999997,0.0,0.0,0.0,0.0,10.848,101.664,0.0,72.12,72.16000000000001,,9.553,244.38830000000002,0.0,13.013
2015-10-01 09:00:00+02:00,129.72,747.0200000000001,0.0,2889.04,6083.580000000001,315.923,0.0,0.0,0.0,0.0,11.64,105.84,0.0,72.06,71.34,,49.569,237.01054000000002,0.0,13.354
2015-10-01 10:00:00+02:00,129.49,669.12,0.0,2790.5499999999997,6024.540000000001,319.58799999999997,0.0,0.0,0.0,0.0,11.832,106.512,0.0,72.048,69.7,,120.007,232.39944,0.0,9.372
2015-10-01 11:00:00+02:00,125.81,692.08,0.0,2776.34,6013.06,311.525,0.0,0.0,0.0,2.904,11.4,96.144,0.0,72.036,67.24000000000001,,185.115,234.24388000000002,0.0,9.107999999999999
2015-10-01 12:00:00+02:00,127.42,687.98,0.0,2734.2,6041.76,307.127,0.0,0.0,0.0,3.984,11.376,90.456,0.0,72.036,71.34,,206.804,230.555,0.0,14.806
2015-10-01 13:00:00+02:00,128.8,722.4200000000001,0.0,2670.0099999999998,6051.6,307.86,0.0,0.0,0.0,0.216,11.592,74.208,0.0,70.548,72.98,,209.387,223.17724,0.0,23.529
2015-10-01 14:00:00+02:00,129.95000000000002,733.08,0.0,2662.17,6075.38,311.525,0.0,0.0,0.0,0.0,12.216000000000001,55.536,0.0,72.084,73.80000000000001,,200.9,222.25502,0.0,28.622
2015-10-01 15:00:00+02:00,129.03,735.5400000000001,0.0,2643.5499999999997,6070.46,307.86,0.0,0.0,0.0,1.728,12.0,49.776,0.0,72.06,72.16000000000001,,182.983,222.25502,0.0,34.605999999999995
2015-10-01 16:00:00+02:00,127.88000000000001,733.08,0.0,2591.12,5997.4800000000005,300.53,0.0,0.0,0.0,1.992,11.544,46.584,0.0,71.964,63.96000000000001,,172.815,221.33280000000002,0.0,41.931999999999995
2015-10-01 17:00:00+02:00,129.72,726.5200000000001,0.0,2578.38,5941.72,313.724,0.0,0.0,0.0,1.992,11.952,39.864000000000004,0.0,72.0,65.60000000000001,,153.996,224.09946000000002,0.0,48.520999999999994
2015-10-01 18:00:00+02:00,128.34,625.6600000000001,0.0,2664.13,5520.240000000001,313.724,0.0,0.0,0.0,1.728,12.216000000000001,34.128,0.0,72.012,69.7,,117.137,227.78834,0.0,51.501999999999995
2015-10-01 19:00:00+02:00,129.95000000000002,581.38,0.0,2842.0,5438.240000000001,321.787,0.0,0.0,0.0,0.0,12.432,84.696,0.0,72.024,74.62,,53.423,234.24388000000002,0.0,48.4
