,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Solar,Wind Onshore
2015-10-02 00:00:00+02:00,,,,,,,,,0.0,
2015-10-02 01:00:00+02:00,,,,,,,,,0.0,
2015-10-02 02:00:00+02:00,,,,,,,,,0.0,
2015-10-02 03:00:00+02:00,,,,,,,,,0.0,
2015-10-02 04:00:00+02:00,,,,,,,,,0.0,
2015-10-02 05:00:00+02:00,,,,,,,,,0.0,
2015-10-02 06:00:00+02:00,,,,,,,,,0.0,
2015-10-02 07:00:00+02:00,,,,,,,,,3.9770000000000003,
2015-10-02 08:00:00+02:00,,,,,,,,,36.941,
2015-10-02 09:00:00+02:00,,,,,,,,,83.88600000000001,
2015-10-02 10:00:00+02:00,,,,,,,,,115.497,
2015-10-02 11:00:00+02:00,,,,,,,,,123.205,
2015-10-02 12:00:00+02:00,,,,,,,,,127.141,
2015-10-02 13:00:00+02:00,,,,,,,,,124.599,
2015-10-02 14:00:00+02:00,,,,,,,,,126.52600000000001,
2015-10-02 15:00:00+02:00,,,,,,,,,107.256,
2015-10-02 16:00:00+02:00,,,,,,,,,83.394,
2015-10-02 17:00:00+02:00,,,,,,,,,41.410000000000004,
2015-10-02 18:00:00+02:00,,,,,,,,,6.109,
2015-10-02 19:00:00+02:00,,,,,,,,,0.0,
2015-10-02 20:00:00+02:00,,,,,,,,,0.0,
2015-10-02 21:00:00+02:00,,,,,,,,,0.0,
2015-10-02 22:00:00+02:00,,,,,,,,,0.0,
2015-10-02 23:00:00+02:00,,,,,,,,,0.0,
2015-10-03 00:00:00+02:00,,,,,,,,,0.0,
2015-10-03 01:00:00+02:00,,,,,,,,,0.0,
2015-10-03 02:00:00+02:00,,,,,,,,,0.0,
2015-10-03 03:00:00+02:00,,,,,,,,,0.0,
2015-10-03 04:00:00+02:00,,,,,,,,,0.0,
2015-10-03 05:00:00+02:00,,,,,,,,,0.0,
2015-10-03 06:00:00+02:00,,,,,,,,,0.0,
2015-10-03 07:00:00+02:00,,,,,,,,,7.872,
2015-10-03 08:00:00+02:00,,,,,,,,,72.16,
2015-10-03 09:00:00+02:00,,,,,,,,,156.78400000000002,
2015-10-03 10:00:00+02:00,,,,,,,,,209.715,
2015-10-03 11:00:00+02:00,,,,,,,,,250.55100000000002,
2015-10-03 12:00:00+02:00,,,,,,,,,282.736,
2015-10-03 13:00:00+02:00,,,,,,,,,281.50600000000003,
2015-10-03 14:00:00+02:00,,,,,,,,,278.349,
2015-10-03 15:00:00+02:00,,,,,,,,,233.372,
2015-10-03 16:00:00+02:00,,,,,,,,,163.959,
2015-10-03 17:00:00+02:00,,,,,,,,,78.515,
2015-10-03 18:00:00+02:00,,,,,,,,,7.011,
2015-10-03 19:00:00+02:00,,,,,,,,,0.0,
2015-10-03 20:00:00+02:00,,,,,,,,,0.0,
2015-10-03 21:00:00+02:00,,,,,,,,,0.0,
2015-10-03 22:00:00+02:00,,,,,,,,,0.0,
2015-10-03 23:00:00+02:00,,,,,,,,,0.0,
2015-10-04 00:00:00+02:00,,,,,,,,,0.0,
2015-10-04 01:00:00+02:00,,,,,,,,,0.0,
2015-10-04 02:00:00+02:00,,,,,,,,,0.0,
2015-10-04 03:00:00+02:00,,,,,,,,,0.0,
2015-10-04 04:00:00+02:00,,,,,,,,,0.0,
2015-10-04 05:00:00+02:00,,,,,,,,,0.0,
2015-10-04 06:00:00+02:00,,,,,,,,,0.0,
2015-10-04 07:00:00+02:00,,,,,,,,,7.995,
2015-10-04 08:00:00+02:00,,,,,,,,,52.152,
2015-10-04 09:00:00+02:00,,,,,,,,,102.00800000000001,
2015-10-04 10:00:00+02:00,,,,,,,,,147.887,
2015-10-04 11:00:00+02:00,,,,,,,,,195.365,
2015-10-04 12:00:00+02:00,,,,,,,,,219.678,
2015-10-04 13:00:00+02:00,,,,,,,,,273.224,
2015-10-04 14:00:00+02:00,,,,,,,,,258.587,
2015-10-04 15:00:00+02:00,,,,,,,,,232.839,
2015-10-04 16:00:00+02:00,,,,,,,,,160.761,
2015-10-04 17:00:00+02:00,,,,,,,,,64.821,
2015-10-04 18:00:00+02:00,,,,,,,,,5.453,
