,Solar
2015-11-01 00:00:00+01:00,2.9930000000000003
2015-11-01 01:00:00+01:00,2.9930000000000003
2015-11-01 02:00:00+01:00,2.9930000000000003
2015-11-01 03:00:00+01:00,2.9930000000000003
2015-11-01 04:00:00+01:00,2.9930000000000003
2015-11-01 05:00:00+01:00,2.9930000000000003
2015-11-01 06:00:00+01:00,3.075
2015-11-01 07:00:00+01:00,33.251000000000005
2015-11-01 08:00:00+01:00,132.963
2015-11-01 09:00:00+01:00,220.703
2015-11-01 10:00:00+01:00,279.825
2015-11-01 11:00:00+01:00,312.789
2015-11-01 12:00:00+01:00,305.57300000000004
2015-11-01 13:00:00+01:00,275.069
2015-11-01 14:00:00+01:00,209.715
2015-11-01 15:00:00+01:00,110.741
2015-11-01 16:00:00+01:00,22.099
2015-11-01 17:00:00+01:00,1.2710000000000001
2015-11-01 18:00:00+01:00,1.189
2015-11-01 19:00:00+01:00,1.189
2015-11-01 20:00:00+01:00,1.189
2015-11-01 21:00:00+01:00,1.189
2015-11-01 22:00:00+01:00,1.189
2015-11-01 23:00:00+01:00,1.189
2015-11-02 00:00:00+01:00,0.0
2015-11-02 01:00:00+01:00,0.0
2015-11-02 02:00:00+01:00,0.0
2015-11-02 03:00:00+01:00,0.0
2015-11-02 04:00:00+01:00,0.0
2015-11-02 05:00:00+01:00,0.0
2015-11-02 06:00:00+01:00,0.738
2015-11-02 07:00:00+01:00,41.697
2015-11-02 08:00:00+01:00,156.005
2015-11-02 09:00:00+01:00,246.656
2015-11-02 10:00:00+01:00,305.286
2015-11-02 11:00:00+01:00,328.656
2015-11-02 12:00:00+01:00,327.54900000000004
2015-11-02 13:00:00+01:00,298.19300000000004
2015-11-02 14:00:00+01:00,225.5
2015-11-02 15:00:00+01:00,121.893
2015-11-02 16:00:00+01:00,20.992
2015-11-02 17:00:00+01:00,1.23
2015-11-02 18:00:00+01:00,1.189
2015-11-02 19:00:00+01:00,1.189
2015-11-02 20:00:00+01:00,1.189
2015-11-02 21:00:00+01:00,1.189
2015-11-02 22:00:00+01:00,1.189
2015-11-02 23:00:00+01:00,1.189
2015-11-03 00:00:00+01:00,0.0
2015-11-03 01:00:00+01:00,0.0
2015-11-03 02:00:00+01:00,0.0
2015-11-03 03:00:00+01:00,0.0
2015-11-03 04:00:00+01:00,0.0
2015-11-03 05:00:00+01:00,0.0
2015-11-03 06:00:00+01:00,0.451
2015-11-03 07:00:00+01:00,40.754000000000005
2015-11-03 08:00:00+01:00,144.32
2015-11-03 09:00:00+01:00,228.53400000000002
2015-11-03 10:00:00+01:00,262.113
2015-11-03 11:00:00+01:00,286.139
2015-11-03 12:00:00+01:00,274.86400000000003
2015-11-03 13:00:00+01:00,237.472
2015-11-03 14:00:00+01:00,191.306
2015-11-03 15:00:00+01:00,98.933
2015-11-03 16:00:00+01:00,15.99
2015-11-03 17:00:00+01:00,1.189
2015-11-03 18:00:00+01:00,1.189
2015-11-03 19:00:00+01:00,1.189
2015-11-03 20:00:00+01:00,1.189
2015-11-03 21:00:00+01:00,1.189
2015-11-03 22:00:00+01:00,1.189
2015-11-03 23:00:00+01:00,1.189
2015-11-04 00:00:00+01:00,0.0
2015-11-04 01:00:00+01:00,0.0
2015-11-04 02:00:00+01:00,0.0
2015-11-04 03:00:00+01:00,0.0
2015-11-04 04:00:00+01:00,0.0
