,Biomass,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Onshore
2015-10-31 23:00:00+00:00,65.55,347.40999999999997,968.4200000000001,8.352,14.76,1.752,26.240000000000002,0.0,10.460999999999999
2015-11-01 00:00:00+00:00,65.32000000000001,169.04999999999998,968.4200000000001,1.92,18.84,3.912,24.6,0.0,7.744
2015-11-01 01:00:00+00:00,65.55,168.07,968.4200000000001,0.768,11.376,4.296,26.240000000000002,0.0,5.159
2015-11-01 02:00:00+00:00,65.09,167.57999999999998,968.4200000000001,0.768,7.464,4.272,27.060000000000002,0.0,6.566999999999999
2015-11-01 03:00:00+00:00,65.32000000000001,167.57999999999998,967.6,1.752,6.216,0.192,26.240000000000002,0.0,9.713
2015-11-01 04:00:00+00:00,64.4,167.57999999999998,920.0400000000001,1.104,6.168,0.192,24.6,0.0,13.925999999999998
2015-11-01 05:00:00+00:00,63.480000000000004,167.57999999999998,950.3800000000001,0.0,7.152,0.792,25.42,0.0,18.392
2015-11-01 06:00:00+00:00,63.71,167.57999999999998,883.1400000000001,0.0,10.392,0.216,23.78,0.0,19.756
2015-11-01 07:00:00+00:00,64.17,166.10999999999999,820.82,0.0,11.136000000000001,0.528,24.6,0.041,20.57
2015-11-01 08:00:00+00:00,65.32000000000001,165.62,756.0400000000001,0.0,12.144,1.056,27.060000000000002,0.41000000000000003,24.738999999999997
2015-11-01 09:00:00+00:00,65.09,164.15,656.0,0.0,12.504,0.792,26.240000000000002,0.861,28.753999999999998
2015-11-01 10:00:00+00:00,65.32000000000001,162.68,694.5400000000001,0.07200000000000001,13.152000000000001,0.984,27.060000000000002,1.8860000000000001,31.910999999999998
2015-11-01 11:00:00+00:00,65.55,161.7,800.32,3.144,16.464,0.984,27.060000000000002,2.5420000000000003,32.032
2015-11-01 12:00:00+00:00,65.78,160.72,820.0000000000001,0.024,12.84,0.984,25.42,2.5420000000000003,32.394999999999996
2015-11-01 13:00:00+00:00,63.71,160.23,660.9200000000001,0.0,12.264000000000001,0.984,25.42,1.845,33.055
2015-11-01 14:00:00+00:00,64.86,159.25,344.40000000000003,0.0,9.936,0.984,25.42,1.3940000000000001,34.474
2015-11-01 15:00:00+00:00,65.32000000000001,158.76,296.02000000000004,0.0,11.376,0.984,26.240000000000002,0.656,36.684999999999995
2015-11-01 16:00:00+00:00,65.09,158.76,612.5400000000001,0.0,12.576,2.928,27.060000000000002,0.123,37.466
2015-11-01 17:00:00+00:00,63.25,159.25,959.4000000000001,4.272,18.336000000000002,2.856,26.240000000000002,0.0,37.884
2015-11-01 18:00:00+00:00,64.17,158.76,967.6,8.496,14.736,2.8080000000000003,24.6,0.0,39.071999999999996
2015-11-01 19:00:00+00:00,64.17,158.76,966.7800000000001,8.376,13.896,3.048,24.6,0.0,39.577999999999996
2015-11-01 20:00:00+00:00,63.25,159.25,968.4200000000001,12.624,15.096,3.0,22.96,0.0,38.510999999999996
2015-11-01 21:00:00+00:00,64.17,159.74,968.4200000000001,10.92,15.264000000000001,2.7600000000000002,24.6,0.0,38.038
2015-11-01 22:00:00+00:00,64.86,161.7,968.4200000000001,2.688,12.096,0.6960000000000001,23.78,0.0,37.158
2015-11-01 23:00:00+00:00,63.71,163.66,680.6,0.0,14.4,0.12,23.78,0.0,35.387
2015-11-02 00:00:00+00:00,64.17,165.62,378.84000000000003,0.0,10.968,0.216,24.6,0.0,32.669999999999995
2015-11-02 01:00:00+00:00,64.63000000000001,166.10999999999999,400.16,0.40800000000000003,6.744,0.096,25.42,0.0,31.107999999999997
2015-11-02 02:00:00+00:00,64.4,166.10999999999999,399.34000000000003,0.0,5.376,0.24,26.240000000000002,0.0,30.173
2015-11-02 03:00:00+00:00,63.02,167.09,583.0200000000001,0.0,6.192,0.24,27.060000000000002,0.0,26.971999999999998
2015-11-02 04:00:00+00:00,63.02,167.09,796.22,0.0,5.856,0.216,26.240000000000002,0.0,24.189
2015-11-02 05:00:00+00:00,63.480000000000004,202.37,1088.14,0.0,8.856,0.216,25.42,0.0,20.284
2015-11-02 06:00:00+00:00,63.480000000000004,325.84999999999997,1196.38,0.984,10.656,0.672,23.78,0.0,14.795
2015-11-02 07:00:00+00:00,63.71,516.95,1206.22,4.728,15.912,1.032,24.6,0.28700000000000003,11.594
2015-11-02 08:00:00+00:00,63.480000000000004,758.03,1205.4,9.744,10.8,1.824,24.6,1.312,9.174
2015-11-02 09:00:00+00:00,61.64,754.11,1240.66,10.56,9.312,1.776,25.42,2.7470000000000003,9.273
2015-11-02 10:00:00+00:00,62.790000000000006,780.5699999999999,1292.3200000000002,9.36,9.072000000000001,3.144,26.240000000000002,4.059,9.405
2015-11-02 11:00:00+00:00,64.4,795.27,1366.94,9.0,9.624,2.7840000000000003,26.240000000000002,3.321,8.799999999999999
2015-11-02 12:00:00+00:00,64.86,793.8,1428.44,11.736,12.216000000000001,5.184,27.060000000000002,2.911,8.448
2015-11-02 13:00:00+00:00,64.86,801.64,1435.8200000000002,10.200000000000001,12.36,4.824,27.060000000000002,3.2390000000000003,8.854999999999999
2015-11-02 14:00:00+00:00,63.71,793.31,1435.8200000000002,12.288,13.464,5.016,26.240000000000002,2.337,10.879
2015-11-02 15:00:00+00:00,64.63000000000001,803.11,1435.8200000000002,12.624,17.376,4.104,27.880000000000003,1.2710000000000001,13.441999999999998
