,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Waste,Wind Onshore
2015-12-01 00:00:00+01:00,21.85,656.82,307.23,0.0,0.312,0.384,17.304000000000002,73.80000000000001,,22.13328,1.628
2015-12-01 00:15:00+01:00,21.85,659.2800000000001,289.1,0.0,0.312,0.384,17.28,73.80000000000001,,23.055500000000002,1.474
2015-12-01 00:30:00+01:00,22.080000000000002,650.2600000000001,261.17,0.0,0.312,0.384,17.268,73.80000000000001,,21.21106,1.3419999999999999
2015-12-01 00:45:00+01:00,22.310000000000002,639.6,237.65,0.0,0.312,0.384,17.268,73.80000000000001,,23.055500000000002,1.386
2015-12-01 01:00:00+01:00,22.080000000000002,650.2600000000001,294.49,0.0,0.312,0.384,17.292,74.62,,21.21106,1.7489999999999999
2015-12-01 01:15:00+01:00,22.310000000000002,651.9000000000001,265.09,0.0,0.312,0.384,17.28,74.62,,22.13328,2.1999999999999997
2015-12-01 01:30:00+01:00,22.080000000000002,646.1600000000001,238.63,0.0,0.312,0.384,17.28,74.62,,22.13328,2.31
2015-12-01 01:45:00+01:00,18.86,651.08,220.5,0.0,0.312,0.384,17.28,74.62,,22.13328,2.42
2015-12-01 02:00:00+01:00,16.1,660.1,249.9,0.0,0.312,0.384,17.28,53.300000000000004,,20.28884,2.706
2015-12-01 02:15:00+01:00,15.41,652.72,243.04,0.0,0.312,0.384,17.268,53.300000000000004,,20.28884,2.574
2015-12-01 02:30:00+01:00,14.72,652.72,242.06,0.0,0.312,0.384,17.28,53.300000000000004,,22.13328,2.431
2015-12-01 02:45:00+01:00,14.72,651.08,224.42,0.0,0.312,0.384,17.28,53.300000000000004,,21.21106,2.706
2015-12-01 03:00:00+01:00,14.72,650.2600000000001,239.60999999999999,0.0,0.312,0.384,17.292,53.300000000000004,,19.36662,2.739
2015-12-01 03:15:00+01:00,15.180000000000001,653.5400000000001,241.07999999999998,0.0,0.312,0.384,17.28,53.300000000000004,,21.21106,2.662
2015-12-01 03:30:00+01:00,14.950000000000001,656.0,233.73,0.0,0.312,0.384,17.292,53.300000000000004,,21.21106,2.816
2015-12-01 03:45:00+01:00,14.950000000000001,652.72,226.87,0.0,0.312,0.384,17.292,53.300000000000004,,22.13328,2.8049999999999997
