,Hydro Water Reservoir,Nuclear,Other,Wind Onshore
2015-12-01 00:00:00+01:00,130.752,67.26,1021.72,35.937
2015-12-01 01:00:00+01:00,125.904,67.248,1021.72,37.906
2015-12-01 02:00:00+01:00,124.464,67.272,1024.18,39.577999999999996
2015-12-01 03:00:00+01:00,124.488,67.308,1027.46,40.931
2015-12-01 04:00:00+01:00,132.144,67.272,1033.2,42.207
2015-12-01 05:00:00+01:00,154.89600000000002,67.26,1038.94,44.055
2015-12-01 06:00:00+01:00,205.12800000000001,67.236,1047.14,44.891
2015-12-01 07:00:00+01:00,231.43200000000002,67.224,1065.18,45.419
2015-12-01 08:00:00+01:00,240.672,67.248,1066.8200000000002,45.232
2015-12-01 09:00:00+01:00,239.73600000000002,67.368,1066.8200000000002,44.44
2015-12-01 10:00:00+01:00,241.536,67.34400000000001,1013.5200000000001,43.692
2015-12-01 11:00:00+01:00,240.50400000000002,67.34400000000001,999.58,43.153
2015-12-01 12:00:00+01:00,234.72,67.33200000000001,959.4000000000001,42.041999999999994
2015-12-01 13:00:00+01:00,235.752,67.284,939.72,41.833
2015-12-01 14:00:00+01:00,242.544,67.308,953.6600000000001,42.943999999999996
2015-12-01 15:00:00+01:00,246.84,67.296,945.46,41.382
2015-12-01 16:00:00+01:00,250.68,67.296,1042.22,41.8
2015-12-01 17:00:00+01:00,249.288,67.26,1140.6200000000001,42.757
2015-12-01 18:00:00+01:00,250.94400000000002,67.236,1144.72,42.492999999999995
2015-12-01 19:00:00+01:00,248.424,67.248,1138.16,40.887
2015-12-01 20:00:00+01:00,240.192,67.248,1068.46,39.138
2015-12-01 21:00:00+01:00,225.096,67.248,1052.88,38.092999999999996
2015-12-01 22:00:00+01:00,207.936,67.284,980.72,37.015
2015-12-01 23:00:00+01:00,185.112,67.284,965.1400000000001,36.102
2015-12-02 00:00:00+01:00,149.136,67.284,957.7600000000001,33.769999999999996
2015-12-02 01:00:00+01:00,141.36,67.296,955.3000000000001,32.428
2015-12-02 02:00:00+01:00,140.088,67.284,929.8800000000001,29.479999999999997
2015-12-02 03:00:00+01:00,140.712,67.272,929.8800000000001,27.907
2015-12-02 04:00:00+01:00,147.43200000000002,67.26,927.4200000000001,25.663
2015-12-02 05:00:00+01:00,174.288,67.2,925.7800000000001,23.628
2015-12-02 06:00:00+01:00,229.15200000000002,67.188,947.9200000000001,19.91
2015-12-02 07:00:00+01:00,273.76800000000003,67.188,1147.18,16.61
2015-12-02 08:00:00+01:00,278.952,67.176,1179.98,14.289
2015-12-02 09:00:00+01:00,278.04,67.188,1186.5400000000002,14.079999999999998
2015-12-02 10:00:00+01:00,280.128,67.116,1167.68,14.245
2015-12-02 11:00:00+01:00,277.8,67.104,1103.72,15.543
2015-12-02 12:00:00+01:00,265.896,67.14,1191.46,18.656
2015-12-02 13:00:00+01:00,259.296,67.224,1111.1000000000001,24.255
2015-12-02 14:00:00+01:00,257.712,67.14,1035.66,29.479999999999997
2015-12-02 15:00:00+01:00,258.048,67.104,999.58,32.912
2015-12-02 16:00:00+01:00,256.728,67.092,1000.4000000000001,36.233999999999995
2015-12-02 17:00:00+01:00,257.592,67.08,1008.6,39.193
2015-12-02 18:00:00+01:00,240.96,67.104,1019.2600000000001,39.094
2015-12-02 19:00:00+01:00,229.272,67.104,1014.34,39.016999999999996
2015-12-02 20:00:00+01:00,223.22400000000002,67.104,1010.2400000000001,40.524
2015-12-02 21:00:00+01:00,213.72,67.104,998.7600000000001,41.227999999999994
2015-12-02 22:00:00+01:00,192.696,67.056,996.3000000000001,41.568999999999996
2015-12-02 23:00:00+01:00,169.416,67.056,993.84,39.963
2015-12-03 00:00:00+01:00,136.656,67.032,967.6,39.303
2015-12-03 01:00:00+01:00,132.024,67.032,952.0200000000001,37.586999999999996
2015-12-03 02:00:00+01:00,132.312,66.888,948.7400000000001,36.927
2015-12-03 03:00:00+01:00,134.712,66.816,949.5600000000001,35.617999999999995
2015-12-03 04:00:00+01:00,140.424,66.84,947.9200000000001,32.791
2015-12-03 05:00:00+01:00,168.84,66.912,952.84,31.294999999999998
2015-12-03 06:00:00+01:00,223.44,66.9,974.98,28.819999999999997
2015-12-03 07:00:00+01:00,256.992,66.888,1068.46,28.776
2015-12-03 08:00:00+01:00,263.184,69.36,1104.5400000000002,29.721999999999998
2015-12-03 09:00:00+01:00,260.37600000000003,72.336,1128.3200000000002,30.514
2015-12-03 10:00:00+01:00,253.24800000000002,72.36,995.4800000000001,30.668
2015-12-03 11:00:00+01:00,249.336,73.296,990.5600000000001,30.282999999999998
2015-12-03 12:00:00+01:00,245.184,74.976,971.7,29.270999999999997
2015-12-03 13:00:00+01:00,244.872,76.092,984.0000000000001,28.688
2015-12-03 14:00:00+01:00,244.464,76.008,1007.7800000000001,28.127
2015-12-03 15:00:00+01:00,245.232,75.792,1027.46,27.555
2015-12-03 16:00:00+01:00,247.008,75.792,1103.72,27.851999999999997
2015-12-03 17:00:00+01:00,247.608,76.08,1230.0,27.61
2015-12-03 18:00:00+01:00,244.44,76.764,1151.2800000000002,28.159999999999997
2015-12-03 19:00:00+01:00,238.656,76.944,1129.14,27.785999999999998
2015-12-03 20:00:00+01:00,218.28,76.944,1084.0400000000002,28.237
2015-12-03 21:00:00+01:00,198.576,76.92,1078.3000000000002,30.029999999999998
2015-12-03 22:00:00+01:00,187.44,77.496,984.82,31.801
2015-12-03 23:00:00+01:00,167.76,77.592,960.22,34.034
2015-12-04 00:00:00+01:00,124.34400000000001,77.592,954.48,34.793
2015-12-04 01:00:00+01:00,117.768,77.628,943.0000000000001,36.905
2015-12-04 02:00:00+01:00,115.632,78.156,958.58,38.257999999999996
2015-12-04 03:00:00+01:00,113.208,78.288,962.6800000000001,40.513
2015-12-04 04:00:00+01:00,119.016,78.276,967.6,41.954
2015-12-04 05:00:00+01:00,140.064,78.312,965.1400000000001,43.12
2015-12-04 06:00:00+01:00,188.352,78.912,987.2800000000001,44.473
2015-12-04 07:00:00+01:00,218.28,79.032,1008.6,45.297999999999995
2015-12-04 08:00:00+01:00,221.616,79.08,1007.7800000000001,44.208999999999996
2015-12-04 09:00:00+01:00,216.6,79.08,1007.7800000000001,43.318
2015-12-04 10:00:00+01:00,219.888,79.056,1007.7800000000001,40.458
2015-12-04 11:00:00+01:00,218.76,79.044,993.84,36.882999999999996
2015-12-04 12:00:00+01:00,223.728,78.996,990.5600000000001,33.924
2015-12-04 13:00:00+01:00,224.04,79.032,987.2800000000001,32.296
2015-12-04 14:00:00+01:00,225.24,79.08,985.6400000000001,33.352
2015-12-04 15:00:00+01:00,219.40800000000002,79.116,985.6400000000001,37.411
2015-12-04 16:00:00+01:00,221.71200000000002,79.092,987.2800000000001,42.064
2015-12-04 17:00:00+01:00,219.192,79.092,999.58,44.748
2015-12-04 18:00:00+01:00,214.512,79.116,1028.28,46.992
2015-12-04 19:00:00+01:00,210.672,79.128,1036.48,47.839
2015-12-04 20:00:00+01:00,193.296,79.14,1046.3200000000002,47.355
2015-12-04 21:00:00+01:00,176.184,79.14,1043.8600000000001,46.079
2015-12-04 22:00:00+01:00,167.544,79.14,1035.66,43.098
2015-12-04 23:00:00+01:00,138.72,79.152,954.48,41.195
2015-12-05 00:00:00+01:00,97.08,79.188,906.1,39.534
2015-12-05 01:00:00+01:00,85.488,79.188,894.6200000000001,40.336999999999996
2015-12-05 02:00:00+01:00,83.136,79.2,890.5200000000001,42.272999999999996
2015-12-05 03:00:00+01:00,82.2,79.2,864.2800000000001,44.088
2015-12-05 04:00:00+01:00,81.72,79.176,862.6400000000001,45.991
2015-12-05 05:00:00+01:00,83.928,79.224,863.46,48.641999999999996
2015-12-05 06:00:00+01:00,95.52,79.224,862.6400000000001,51.535
2015-12-05 07:00:00+01:00,120.024,79.212,860.1800000000001,52.931999999999995
2015-12-05 08:00:00+01:00,131.52,79.2,858.5400000000001,53.372
2015-12-05 09:00:00+01:00,140.784,79.2,851.1600000000001,53.778999999999996
2015-12-05 10:00:00+01:00,142.296,79.152,858.5400000000001,54.439
2015-12-05 11:00:00+01:00,144.36,79.116,870.0200000000001,53.823
2015-12-05 12:00:00+01:00,137.16,79.104,870.0200000000001,53.712999999999994
2015-12-05 13:00:00+01:00,133.704,79.188,860.1800000000001,53.317
2015-12-05 14:00:00+01:00,137.736,79.428,861.0000000000001,53.053
2015-12-05 15:00:00+01:00,149.66400000000002,79.368,864.2800000000001,51.919999999999995
2015-12-05 16:00:00+01:00,172.96800000000002,79.368,856.9000000000001,49.951
2015-12-05 17:00:00+01:00,175.824,79.464,859.36,48.839999999999996
