,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2016-03-01 00:00:00+01:00,274.39,3336.9900000000002,242.305,2299.69,37.56625,0.22799999999999998,2.0220000000000002,11.634,0.40800000000000003,,31.686,833.1200000000001,,0.0,88.99423,1.7730000000000001,15.798749999999998
2016-03-01 00:15:00+01:00,274.505,3365.28,220.6225,2281.65,37.56625,0.22799999999999998,1.104,11.664,0.162,,31.569,915.325,,0.0,88.07201,1.905,14.45125
2016-03-01 00:30:00+01:00,274.4475,3363.6400000000003,215.9675,2262.79,37.56625,0.22799999999999998,0.756,11.676,0.426,,31.611,914.71,,0.0,88.99423,2.019,13.568499999999998
2016-03-01 00:45:00+01:00,274.21750000000003,3361.1800000000003,215.10999999999999,2266.8900000000003,37.56625,0.22799999999999998,1.338,11.694,0.612,,31.632,861.0000000000001,,0.0,87.84145500000001,2.016,12.784749999999999
2016-03-01 01:00:00+01:00,273.8725,3365.0750000000003,213.7625,2281.855,37.56625,0.22799999999999998,1.416,11.676,0.3,,31.689,816.5150000000001,,0.0,88.99423,1.992,12.078
2016-03-01 01:15:00+01:00,273.8725,3360.36,214.7425,2243.9300000000003,37.56625,0.22799999999999998,1.458,11.676,0.228,,31.665,820.82,,0.0,88.53312,2.052,11.20075
2016-03-01 01:30:00+01:00,273.7,3351.34,216.09,2219.945,37.56625,0.22799999999999998,0.978,11.682,0.114,,31.629,848.4950000000001,,0.0,89.224785,2.0460000000000003,10.320749999999999
2016-03-01 01:45:00+01:00,273.52750000000003,3339.4500000000003,215.4775,2191.4500000000003,37.56625,0.22799999999999998,0.5640000000000001,11.694,0.10200000000000001,,31.53,843.3700000000001,,0.0,89.224785,1.998,9.58375
2016-03-01 02:00:00+01:00,271.45750000000004,3357.2850000000003,216.2125,2145.94,37.56625,0.22799999999999998,4.926,11.67,0.47400000000000003,,31.659,777.7700000000001,,0.0,86.68868,1.95,9.1025
2016-03-01 02:15:00+01:00,271.1125,3354.4150000000004,215.6,2056.15,37.56625,0.22799999999999998,5.238,11.67,0.41400000000000003,,31.605,804.83,,0.0,86.45812500000001,1.794,8.78075
2016-03-01 02:30:00+01:00,270.71000000000004,3356.0550000000003,217.56,2059.84,37.56625,0.22799999999999998,4.962,11.682,0.402,,31.626,789.0450000000001,,0.0,84.38313000000001,1.7910000000000001,8.26925
2016-03-01 02:45:00+01:00,271.1125,3353.1850000000004,219.03,2042.6200000000001,37.56625,0.22799999999999998,0.834,11.682,0.456,,31.569,805.6500000000001,,0.0,84.613685,1.824,8.027249999999999
2016-03-01 03:00:00+01:00,271.055,3355.6450000000004,218.04999999999998,1960.6200000000001,37.383,0.22799999999999998,0.906,11.67,0.168,,31.59,806.0600000000001,,0.0,85.535905,2.13,7.92275
2016-03-01 03:15:00+01:00,271.1125,3345.6000000000004,218.9075,1928.4350000000002,37.383,0.22799999999999998,1.176,11.718,0.462,,31.599,778.3850000000001,,0.0,88.763675,2.352,7.85675
2016-03-01 03:30:00+01:00,270.5375,3343.1400000000003,220.3775,1942.17,37.56625,0.22799999999999998,1.176,11.688,0.522,,31.611,751.94,,0.0,89.224785,2.49,7.9254999999999995
2016-03-01 03:45:00+01:00,269.1,3346.01,218.04999999999998,1941.3500000000001,37.56625,0.22799999999999998,1.176,11.658,0.42,,31.578,759.9350000000001,,0.0,89.45534,2.607,8.406749999999999
2016-03-01 04:00:00+01:00,269.33,3335.3500000000004,220.01,1993.2150000000001,37.383,0.22799999999999998,0.978,11.676,0.40800000000000003,,31.62,808.725,,0.0,87.380345,2.871,8.7835
2016-03-01 04:15:00+01:00,270.0775,3354.8250000000003,220.745,2038.5200000000002,37.56625,0.22799999999999998,0.9480000000000001,11.700000000000001,0.126,,31.545,810.57,,0.0,87.380345,3.315,9.121749999999999
2016-03-01 04:30:00+01:00,270.825,3369.38,222.95,2056.15,37.56625,0.22799999999999998,0.9420000000000001,11.712,0.28800000000000003,,31.464000000000002,809.1350000000001,,0.0,89.45534,3.759,9.325249999999999
2016-03-01 04:45:00+01:00,270.65250000000003,3383.1150000000002,231.28,2064.145,37.56625,0.2185,4.578,11.688,0.306,,31.38,820.4100000000001,,0.0,89.685895,4.152,9.5095
2016-03-01 05:00:00+01:00,271.17,3402.59,239.365,2121.135,37.93275,0.2185,0.066,11.67,0.51,,31.29,870.225,,0.0,88.302565,4.1610000000000005,9.966
2016-03-01 05:15:00+01:00,271.5725,3437.6450000000004,240.4675,2188.375,37.7495,0.2185,0.654,11.682,0.396,,31.341,885.19,,0.0,89.224785,4.317,10.32625
2016-03-01 05:30:00+01:00,271.17,3443.1800000000003,242.305,2266.8900000000003,37.7495,0.2185,0.678,11.682,0.306,,31.35,813.0300000000001,,0.0,90.83867000000001,4.515,10.32625
2016-03-01 05:45:00+01:00,271.2275,3456.71,249.41,2391.1200000000003,37.93275,0.2185,0.786,11.61,0.324,,31.365000000000002,824.1,,0.0,89.685895,4.446,10.07875
2016-03-01 06:00:00+01:00,270.94,3469.215,254.92249999999999,2570.905,37.93275,0.2185,1.584,11.604000000000001,0.40800000000000003,,31.281000000000002,979.4900000000001,,0.0,87.6109,4.563,9.63875
2016-03-01 06:15:00+01:00,270.8825,3490.945,260.0675,2810.3450000000003,37.56625,0.2185,5.64,11.61,0.504,,31.491,1074.815,,0.0,86.919235,4.83,9.53975
2016-03-01 06:30:00+01:00,269.445,3497.9150000000004,262.15,2992.795,37.383,0.2185,6.804,11.562,0.8220000000000001,,31.743000000000002,1082.605,,0.01025,84.84424,4.962,9.550749999999999
2016-03-01 06:45:00+01:00,269.6175,3503.4500000000003,270.6025,3085.045,37.7495,0.2185,14.178,11.568,0.486,,31.869,1093.6750000000002,,0.0205,83.46091,5.229,9.39125
2016-03-01 07:00:00+01:00,270.1925,3506.7300000000005,270.84749999999997,3191.44,37.19975,0.2185,10.152000000000001,11.544,0.378,,31.737000000000002,1176.4950000000001,,0.369,83.230355,5.505,9.270249999999999
2016-03-01 07:15:00+01:00,270.135,3514.315,272.8075,3266.675,37.19975,0.2185,15.318,11.586,0.546,,31.908,1176.7,,1.42475,84.613685,5.739,8.85225
2016-03-01 07:30:00+01:00,269.33,3514.11,274.7675,3311.775,37.19975,0.2185,9.396,11.592,0.462,,31.902,1196.7900000000002,,4.35625,84.613685,5.973,8.035499999999999
2016-03-01 07:45:00+01:00,269.5025,3516.1600000000003,274.5225,3330.84,37.19975,0.2185,11.07,11.61,0.354,,31.884,1271.2050000000002,,7.0520000000000005,86.919235,6.426,7.52675
2016-03-01 08:00:00+01:00,268.6975,3515.7500000000005,272.195,3320.795,37.19975,0.2185,16.35,11.616,0.624,,31.821,1274.2800000000002,,9.686250000000001,86.919235,6.5040000000000004,7.09775
2016-03-01 08:15:00+01:00,268.9275,3519.8500000000004,272.3175,3331.045,37.19975,0.209,17.022000000000002,11.688,0.732,,31.884,1283.3000000000002,,13.899000000000001,86.919235,6.654,6.8694999999999995
2016-03-01 08:30:00+01:00,269.5025,3518.6200000000003,274.2775,3331.2500000000005,37.19975,0.209,14.334,11.706,0.66,,31.899,1330.45,,20.828,87.14979000000001,6.687,6.731999999999999
2016-03-01 08:45:00+01:00,269.79,3513.4950000000003,274.89,3327.7650000000003,37.19975,0.209,20.958000000000002,11.694,0.462,,31.893,1320.815,,26.137500000000003,88.53312,6.744,6.542249999999999
2016-03-01 09:00:00+01:00,269.8475,3509.8050000000003,273.665,3336.3750000000005,37.19975,0.209,21.96,11.676,0.432,,31.86,1342.9550000000002,,32.01075,86.919235,6.801,6.54775
2016-03-01 09:15:00+01:00,270.48,3505.7050000000004,273.90999999999997,3337.8100000000004,37.383,0.2185,21.348,11.67,0.51,,31.845000000000002,1335.7800000000002,,38.13,86.919235,6.93,6.6027499999999995
2016-03-01 09:30:00+01:00,270.9975,3502.2200000000003,274.5225,3334.1200000000003,37.56625,0.2185,19.584,11.646,0.294,,31.869,1392.1550000000002,,44.239000000000004,89.224785,7.002,6.517499999999999
2016-03-01 09:45:00+01:00,271.055,3501.6050000000005,274.155,3330.0200000000004,37.56625,0.2185,17.742,11.664,0.276,,31.854,1392.1550000000002,,48.92325,88.53312,7.047,6.7677499999999995
2016-03-01 10:00:00+01:00,269.27250000000004,3518.8250000000003,275.5025,3334.735,37.56625,0.2185,17.52,11.658,0.678,,31.764,1398.305,,53.546,86.45812500000001,7.215,6.83925
2016-03-01 10:15:00+01:00,270.3075,3518.2100000000005,274.7675,3342.1150000000002,37.56625,0.2185,15.066,11.694,0.228,,31.857,1531.9650000000001,,58.250750000000004,85.30535,7.305,7.471749999999999
2016-03-01 10:30:00+01:00,270.25,3510.8300000000004,276.4825,3341.7050000000004,37.56625,0.2185,12.618,11.742,0.318,,31.878,1548.775,,61.981750000000005,84.38313000000001,7.476,8.13175
2016-03-01 10:45:00+01:00,270.1925,3515.545,275.7475,3322.8450000000003,37.56625,0.2185,7.482,11.736,0.3,,31.887,1616.63,,65.5795,86.68868,7.632000000000001,8.659749999999999
2016-03-01 11:00:00+01:00,270.3075,3511.65,273.665,3314.235,37.56625,0.2185,11.304,11.754,0.14400000000000002,,31.809,1621.5500000000002,,69.003,87.14979000000001,7.632000000000001,9.415999999999999
2016-03-01 11:15:00+01:00,271.63,3512.675,273.7875,3297.835,37.56625,0.2185,9.096,11.790000000000001,0.198,,31.851,1780.22,,71.6885,86.68868,7.635,10.15575
2016-03-01 11:30:00+01:00,271.63,3510.215,273.2975,3295.5800000000004,37.7495,0.2185,6.390000000000001,11.778,0.186,,31.866,1794.9800000000002,,74.79425,88.99423,7.6770000000000005,10.78
2016-03-01 11:45:00+01:00,271.8025,3518.6200000000003,273.7875,3260.1150000000002,37.56625,0.2185,3.552,11.778,0.132,,31.848,1880.4650000000001,,77.60275,87.14979000000001,7.746,11.6105
2016-03-01 12:00:00+01:00,270.65250000000003,3494.4300000000003,266.1925,3193.4900000000002,37.56625,0.2185,5.694,11.76,0.276,,31.872,1876.775,,83.4145,87.380345,7.755,12.42175
2016-03-01 12:15:00+01:00,270.365,3506.7300000000005,266.4375,3161.715,37.56625,0.2185,3.5460000000000003,11.766,0.24,,31.857,1966.3600000000001,,82.23575000000001,86.919235,7.788,13.232999999999999
2016-03-01 12:30:00+01:00,269.6175,3503.0400000000004,266.07,3152.695,37.56625,0.2185,1.968,11.790000000000001,0.198,,31.857,2024.3750000000002,,83.07625,84.613685,7.767,14.1845
2016-03-01 12:45:00+01:00,269.445,3504.6800000000003,267.1725,3136.5000000000005,37.7495,0.2185,2.19,11.784,0.168,,31.821,2041.5950000000003,,,86.22757,7.821,14.874749999999999
2016-03-01 13:00:00+01:00,269.3875,3514.315,267.05,3150.03,37.7495,0.2185,4.998,11.814,0.45,,31.869,2052.8700000000003,,,86.919235,7.845,15.331249999999999
2016-03-01 13:15:00+01:00,269.445,3512.2650000000003,267.4175,3151.26,37.7495,0.2185,4.26,11.790000000000001,0.258,,31.851,2084.235,,,86.919235,7.908,15.707999999999998
2016-03-01 13:30:00+01:00,269.3875,3514.5200000000004,265.7025,3160.0750000000003,37.7495,0.2185,2.838,11.832,0.312,,31.842000000000002,2110.6800000000003,,,86.22757,7.92,16.16725
2016-03-01 13:45:00+01:00,269.90500000000003,3501.4,264.6,3157.2050000000004,37.93275,0.2185,1.074,11.85,0.126,,31.743000000000002,2202.11,,,88.53312,7.923,16.544
2016-03-01 14:00:00+01:00,270.365,3488.485,265.2125,3127.8900000000003,38.116,0.2185,2.382,11.844,0.234,,31.821,2064.5550000000003,,74.1075,85.07479500000001,7.9110000000000005,17.63025
2016-03-01 14:15:00+01:00,269.79,3499.965,263.62,3130.3500000000004,38.116,0.2185,2.202,11.808,0.3,,31.824,1903.015,,70.4995,82.53869,7.83,18.41125
2016-03-01 14:30:00+01:00,270.135,3480.9,257.495,3170.53,38.116,0.2185,4.578,11.790000000000001,0.27,,31.818,1845.2050000000002,,65.23100000000001,81.385915,7.824,19.175749999999997
2016-03-01 14:45:00+01:00,270.65250000000003,3451.585,255.6575,3172.17,38.116,0.2185,7.938,11.82,0.222,,31.8,1762.795,,59.4705,82.99980000000001,7.821,20.27575
