,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore
2016-09-01 00:00:00+02:00,227.0,80.0,1441.0,1334.0,0.0,2.0
2016-09-01 01:00:00+02:00,217.0,79.0,1120.0,1335.0,0.0,1.0
2016-09-01 02:00:00+02:00,202.0,79.0,1202.0,1336.0,0.0,0.0
2016-09-01 03:00:00+02:00,169.0,79.0,689.0,1339.0,0.0,0.0
2016-09-01 04:00:00+02:00,148.0,78.0,665.0,1337.0,0.0,0.0
2016-09-01 05:00:00+02:00,169.0,77.0,797.0,1338.0,0.0,0.0
2016-09-01 06:00:00+02:00,519.0,77.0,974.0,1339.0,0.0,0.0
2016-09-01 07:00:00+02:00,1649.0,78.0,2043.0,1338.0,12.0,0.0
2016-09-01 08:00:00+02:00,1986.0,78.0,2216.0,1340.0,51.0,0.0
2016-09-01 09:00:00+02:00,1717.0,78.0,2044.0,1337.0,111.0,0.0
2016-09-01 10:00:00+02:00,1574.0,78.0,2038.0,1340.0,166.0,0.0
2016-09-01 11:00:00+02:00,1587.0,78.0,2019.0,1337.0,201.0,2.0
2016-09-01 12:00:00+02:00,1476.0,78.0,1783.0,1335.0,215.0,5.0
2016-09-01 13:00:00+02:00,1466.0,78.0,1884.0,1330.0,215.0,6.0
2016-09-01 14:00:00+02:00,1288.0,78.0,1643.0,1334.0,199.0,7.0
2016-09-01 15:00:00+02:00,1351.0,78.0,1631.0,1334.0,179.0,8.0
2016-09-01 16:00:00+02:00,1386.0,78.0,1680.0,1327.0,144.0,8.0
2016-09-01 17:00:00+02:00,1553.0,78.0,1744.0,1326.0,99.0,7.0
2016-09-01 18:00:00+02:00,1648.0,78.0,1975.0,1326.0,47.0,6.0
2016-09-01 19:00:00+02:00,1789.0,78.0,2388.0,1326.0,9.0,6.0
2016-09-01 20:00:00+02:00,1718.0,78.0,2335.0,1328.0,0.0,5.0
2016-09-01 21:00:00+02:00,1143.0,79.0,1997.0,1330.0,0.0,3.0
2016-09-01 22:00:00+02:00,1107.0,78.0,1866.0,1334.0,0.0,2.0
2016-09-01 23:00:00+02:00,904.0,79.0,1466.0,1335.0,0.0,2.0
2016-09-02 00:00:00+02:00,317.0,79.0,1009.0,1337.0,0.0,1.0
2016-09-02 01:00:00+02:00,164.0,78.0,945.0,1340.0,0.0,0.0
2016-09-02 02:00:00+02:00,110.0,78.0,899.0,1339.0,0.0,0.0
2016-09-02 03:00:00+02:00,116.0,78.0,893.0,1340.0,0.0,0.0
2016-09-02 04:00:00+02:00,115.0,78.0,892.0,1342.0,0.0,0.0
2016-09-02 05:00:00+02:00,129.0,77.0,896.0,1344.0,0.0,0.0
2016-09-02 06:00:00+02:00,343.0,77.0,1359.0,1343.0,0.0,0.0
2016-09-02 07:00:00+02:00,1586.0,77.0,2006.0,1347.0,14.0,0.0
2016-09-02 08:00:00+02:00,1829.0,76.0,2221.0,1345.0,60.0,1.0
2016-09-02 09:00:00+02:00,1378.0,76.0,1756.0,1343.0,114.0,0.0
2016-09-02 10:00:00+02:00,1533.0,76.0,1899.0,1337.0,162.0,0.0
2016-09-02 11:00:00+02:00,1399.0,75.0,1835.0,1335.0,206.0,0.0
2016-09-02 12:00:00+02:00,1451.0,75.0,1882.0,1332.0,228.0,1.0
2016-09-02 13:00:00+02:00,1326.0,75.0,1878.0,1328.0,232.0,5.0
2016-09-02 14:00:00+02:00,1126.0,75.0,1849.0,1328.0,222.0,7.0
2016-09-02 15:00:00+02:00,723.0,76.0,1349.0,1326.0,194.0,7.0
2016-09-02 16:00:00+02:00,580.0,76.0,1216.0,1324.0,149.0,7.0
2016-09-02 17:00:00+02:00,738.0,76.0,1540.0,1324.0,96.0,7.0
2016-09-02 18:00:00+02:00,1086.0,76.0,1898.0,1327.0,46.0,6.0
2016-09-02 19:00:00+02:00,1428.0,77.0,2116.0,1326.0,11.0,4.0
2016-09-02 20:00:00+02:00,1466.0,77.0,2244.0,1328.0,0.0,3.0
2016-09-02 21:00:00+02:00,1106.0,78.0,1963.0,1333.0,0.0,2.0
2016-09-02 22:00:00+02:00,1035.0,78.0,2076.0,1339.0,0.0,2.0
2016-09-02 23:00:00+02:00,394.0,79.0,1791.0,1335.0,0.0,2.0
2016-09-03 00:00:00+02:00,633.0,77.0,1722.0,356.0,0.0,1.0
2016-09-03 01:00:00+02:00,436.0,75.0,1477.0,357.0,0.0,0.0
2016-09-03 02:00:00+02:00,217.0,75.0,1279.0,356.0,0.0,0.0
2016-09-03 03:00:00+02:00,158.0,75.0,721.0,356.0,0.0,0.0
2016-09-03 04:00:00+02:00,177.0,75.0,593.0,625.0,0.0,0.0
2016-09-03 05:00:00+02:00,148.0,75.0,608.0,957.0,0.0,0.0
2016-09-03 06:00:00+02:00,146.0,74.0,848.0,1103.0,0.0,0.0
2016-09-03 07:00:00+02:00,208.0,74.0,1197.0,1277.0,13.0,0.0
2016-09-03 08:00:00+02:00,398.0,74.0,1627.0,1299.0,45.0,0.0
2016-09-03 09:00:00+02:00,364.0,75.0,1589.0,1343.0,95.0,0.0
2016-09-03 10:00:00+02:00,394.0,75.0,1639.0,1341.0,144.0,0.0
2016-09-03 11:00:00+02:00,365.0,74.0,1621.0,1338.0,182.0,0.0
2016-09-03 12:00:00+02:00,370.0,74.0,1563.0,1335.0,215.0,0.0
2016-09-03 13:00:00+02:00,177.0,74.0,1076.0,1334.0,219.0,2.0
2016-09-03 14:00:00+02:00,218.0,73.0,1070.0,1330.0,188.0,6.0
2016-09-03 15:00:00+02:00,250.0,73.0,863.0,1330.0,151.0,6.0
2016-09-03 16:00:00+02:00,225.0,73.0,885.0,1327.0,114.0,6.0
