,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2016-12-01 00:00:00+01:00,266.39750000000004,2761.1450000000004,283.5875,1096.9550000000002,35.73375,0.2375,0.606,9.906,0.834,30.078,631.605,,0.0,86.22757,9.663,57.37325
2016-12-01 00:15:00+01:00,266.0525,2786.9750000000004,277.9525,1069.075,35.73375,0.2375,0.018000000000000002,9.888,0.87,30.069,743.945,,0.0,86.22757,9.654,57.763749999999995
2016-12-01 00:30:00+01:00,266.225,2766.2700000000004,276.2375,1023.565,35.73375,0.2375,0.018000000000000002,9.864,0.276,30.051000000000002,802.575,,0.0,86.22757,9.606,57.98374999999999
2016-12-01 00:45:00+01:00,266.1675,2738.3900000000003,275.87,980.9250000000001,35.73375,0.2375,0.018000000000000002,9.852,0.054,30.036,725.495,,0.0,87.14979000000001,9.654,57.870999999999995
2016-12-01 01:00:00+01:00,264.845,2713.585,280.03499999999997,965.96,35.73375,0.2375,0.39,9.798,0.312,30.096,710.94,,0.0,86.22757,9.609,57.961749999999995
2016-12-01 01:15:00+01:00,264.5,2687.3450000000003,276.97249999999997,953.455,35.917,0.2375,0.28800000000000003,9.78,0.21,30.033,730.825,,0.0,86.22757,9.705,57.57125
2016-12-01 01:30:00+01:00,264.90250000000003,2693.905,275.87,919.6300000000001,36.10025,0.2375,0.084,9.768,0.246,30.057000000000002,733.2850000000001,,0.0,85.30535,9.66,57.656499999999994
2016-12-01 01:45:00+01:00,264.845,2696.98,276.36,891.5450000000001,35.917,0.2375,0.18,9.762,0.09,30.015,704.585,,0.0,85.07479500000001,9.501,57.617999999999995
2016-12-01 02:00:00+01:00,265.0175,2678.1200000000003,279.545,872.8900000000001,35.73375,0.2375,0.09,9.738,0.168,30.084,703.97,,0.0,84.38313000000001,9.417,58.3
2016-12-01 02:15:00+01:00,264.845,2660.9,278.4425,884.985,35.73375,0.2375,0.15,9.72,0.138,30.051000000000002,673.4250000000001,,0.0,84.84424,9.402000000000001,58.288999999999994
2016-12-01 02:30:00+01:00,264.73,2654.9550000000004,277.34,898.3100000000001,35.5505,0.2375,0.162,9.714,0.108,30.021,677.5250000000001,,0.0,87.14979000000001,9.438,58.723499999999994
2016-12-01 02:45:00+01:00,264.7875,2663.565,276.2375,903.4350000000001,35.73375,0.2375,0.078,9.69,0.138,30.0,675.2700000000001,,0.0,86.68868,9.441,58.74825
2016-12-01 03:00:00+01:00,264.385,2694.52,275.625,894.21,35.5505,0.2375,0.018000000000000002,9.684000000000001,0.12,30.060000000000002,672.195,,0.0,86.22757,9.414,59.18
2016-12-01 03:15:00+01:00,264.73,2685.7050000000004,276.4825,909.9950000000001,35.5505,0.2375,0.018000000000000002,9.696,0.066,29.955000000000002,661.945,,0.0,85.30535,9.387,59.515499999999996
2016-12-01 03:30:00+01:00,265.19,2686.73,278.1975,918.4000000000001,35.73375,0.2375,0.018000000000000002,9.69,0.138,29.991,666.6600000000001,,0.0,85.30535,9.414,60.126
2016-12-01 03:45:00+01:00,265.19,2691.445,277.7075,921.2700000000001,35.5505,0.247,0.018000000000000002,9.648,0.114,30.0,683.6750000000001,,0.0,85.07479500000001,9.516,60.458749999999995
2016-12-01 04:00:00+01:00,262.1425,2691.65,283.71,945.2550000000001,35.5505,0.247,0.018000000000000002,9.606,0.14400000000000002,30.102,723.855,,0.0,86.68868,9.552,60.623749999999994
2016-12-01 04:15:00+01:00,265.305,2708.6650000000004,285.7925,949.5600000000001,35.36725,0.2375,0.018000000000000002,9.606,0.18,30.099,691.465,,0.0,86.68868,9.495000000000001,60.62649999999999
2016-12-01 04:30:00+01:00,265.765,2720.965,286.895,971.7,35.5505,0.2375,0.018000000000000002,9.612,0.216,30.156000000000002,651.2850000000001,,0.0,88.53312,9.396,61.0995
2016-12-01 04:45:00+01:00,266.57,2742.2850000000003,289.9575,1038.1200000000001,35.5505,0.2375,0.018000000000000002,9.606,0.14400000000000002,30.186,635.5,,0.0,86.919235,9.312,61.2645
2016-12-01 05:00:00+01:00,266.39750000000004,2701.2850000000003,296.205,1093.47,35.5505,0.2375,0.018000000000000002,9.588000000000001,0.28800000000000003,30.138,644.11,,0.0,87.14979000000001,9.321,61.522999999999996
2016-12-01 05:15:00+01:00,267.03000000000003,2637.3250000000003,299.145,1182.8500000000001,35.5505,0.2375,0.018000000000000002,9.6,0.222,30.183,626.6850000000001,,0.0,86.22757,9.348,62.413999999999994
2016-12-01 05:30:00+01:00,267.14500000000004,2631.585,299.5125,1215.24,35.73375,0.2375,0.018000000000000002,9.618,0.168,30.183,653.745,,0.0,88.302565,9.525,62.24075
2016-12-01 05:45:00+01:00,267.8925,2632.2000000000003,300.125,1266.0800000000002,35.5505,0.2375,1.062,9.618,0.264,30.177,644.11,,0.0,88.53312,9.645,63.09325
2016-12-01 06:00:00+01:00,268.065,2620.925,306.25,1248.6550000000002,35.36725,0.2375,1.554,9.594,0.3,30.054000000000002,829.6350000000001,,0.0,87.84145500000001,9.627,64.16575
2016-12-01 06:15:00+01:00,267.83500000000004,2617.235,318.99,1263.005,35.5505,0.2375,4.692,9.564,0.228,30.048000000000002,871.8650000000001,,0.0,88.07201,9.642,64.78725
2016-12-01 06:30:00+01:00,267.95,2617.645,328.91249999999997,1327.375,35.73375,0.2375,11.586,9.516,0.864,30.075,921.2700000000001,,0.0,86.919235,9.708,65.32625
2016-12-01 06:45:00+01:00,268.3525,2631.9950000000003,336.385,1472.105,52.4095,0.2375,16.602,9.522,0.618,30.060000000000002,913.48,,0.0,88.07201,9.723,65.74425
2016-12-01 07:00:00+01:00,268.87,2610.4700000000003,339.815,1506.1350000000002,59.55625,0.2375,13.308,9.468,0.162,29.898,986.0500000000001,,0.0,86.68868,9.726,65.868
2016-12-01 07:15:00+01:00,268.87,2615.8,350.34999999999997,1551.8500000000001,59.55625,0.2375,19.434,9.462,0.534,30.054000000000002,1042.015,,0.10250000000000001,86.22757,9.723,66.12925
2016-12-01 07:30:00+01:00,269.33,2624.82,350.7175,1581.3700000000001,59.55625,0.2375,22.926000000000002,9.48,0.756,30.048000000000002,1087.525,,0.082,85.76646000000001,9.756,66.15124999999999
2016-12-01 07:45:00+01:00,269.33,2605.55,353.53499999999997,1596.5400000000002,59.55625,0.2375,26.376,9.504,1.266,30.057000000000002,1117.4550000000002,,0.123,84.613685,9.72,65.92575
2016-12-01 08:00:00+01:00,269.21500000000003,2635.48,368.235,1600.025,59.373,0.2375,26.658,9.522,1.17,30.018,1137.9550000000002,,0.738,82.30813500000001,9.711,65.87075
2016-12-01 08:15:00+01:00,269.33,2693.7000000000003,367.01,1623.19,59.373,0.2375,23.256,9.552,1.116,30.015,1161.5300000000002,,1.97825,80.924805,9.738,65.98899999999999
2016-12-01 08:30:00+01:00,269.675,2704.77,368.235,1641.64,59.55625,0.2375,25.086000000000002,9.558,0.63,30.018,1187.3600000000001,,3.7310000000000003,79.080365,9.612,65.99725
2016-12-01 08:45:00+01:00,270.595,2711.125,369.705,1649.43,59.55625,0.2375,21.978,9.516,0.726,30.021,1168.295,,6.15,78.3887,9.546,65.83775
