,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
2016-01-01 00:00:00+01:00,57.04,935.41,0.0,0.0,0.024,0.552,58.464,410.00000000000006,0.0,242.54386000000002,5.1000000000000005,6.193
2016-01-01 01:00:00+01:00,62.56,873.67,0.0,0.0,0.048,0.5760000000000001,58.464,387.04,0.0,244.38830000000002,4.452,5.2139999999999995
2016-01-01 02:00:00+01:00,63.02,856.52,0.0,0.0,2.136,0.5760000000000001,58.476,373.92,0.0,243.46608,4.128,3.6959999999999997
2016-01-01 03:00:00+01:00,64.17,844.76,0.0,0.0,6.192,0.5760000000000001,58.476,367.36,0.0,243.46608,2.22,2.4749999999999996
2016-01-01 04:00:00+01:00,70.61,813.89,0.0,0.0,6.456,0.5760000000000001,58.428000000000004,368.18,0.0,245.31052,1.056,2.1559999999999997
2016-01-01 05:00:00+01:00,73.83,827.61,0.0,0.0,13.272,0.5760000000000001,58.44,372.28000000000003,0.0,247.15496000000002,0.468,1.716
2016-01-01 06:00:00+01:00,74.75,806.05,0.0,0.0,8.544,0.5760000000000001,58.488,375.56,0.0,244.38830000000002,0.048,1.0999999999999999
2016-01-01 07:00:00+01:00,73.83,801.15,0.0,0.0,6.024,0.5760000000000001,58.548,395.24,0.0,247.15496000000002,0.084,0.528
2016-01-01 08:00:00+01:00,74.06,803.11,0.0,0.0,2.7840000000000003,0.552,58.56,428.86,0.0,247.15496000000002,0.084,0.38499999999999995
2016-01-01 09:00:00+01:00,74.06,824.18,0.0,0.0,3.696,0.5760000000000001,58.572,443.62000000000006,4.961,244.38830000000002,0.048,0.583
2016-01-01 10:00:00+01:00,76.36,791.35,0.0,0.0,3.672,0.6,58.548,448.54,13.325000000000001,242.54386000000002,0.3,0.616
2016-01-01 11:00:00+01:00,76.59,770.28,0.0,0.0,4.152,0.6,58.524,452.64000000000004,22.919,244.38830000000002,0.72,0.572
2016-01-01 12:00:00+01:00,75.44,781.06,0.0,0.0,1.1280000000000001,0.6,58.536,457.56000000000006,22.632,244.38830000000002,1.032,0.473
2016-01-01 13:00:00+01:00,74.98,810.9499999999999,0.0,0.0,1.08,0.6,58.56,458.38000000000005,17.712,244.38830000000002,1.8960000000000001,0.715
2016-01-01 14:00:00+01:00,76.36,822.22,0.0,0.0,0.216,0.6,58.56,462.48,9.143,245.31052,2.436,1.111
2016-01-01 15:00:00+01:00,75.44,778.12,0.0,0.0,0.384,0.6,58.524,462.48,3.7720000000000002,240.69942,2.352,1.43
2016-01-01 16:00:00+01:00,76.36,797.72,0.0,0.0,1.032,0.624,58.56,466.58000000000004,0.369,238.85498,2.832,1.9029999999999998
2016-01-01 17:00:00+01:00,76.82000000000001,795.27,0.0,0.0,0.48,0.624,58.524,437.88000000000005,0.0,234.24388000000002,4.5,3.146
2016-01-01 18:00:00+01:00,77.05,915.3199999999999,0.0,0.0,5.976,0.624,58.524,421.48,0.0,234.24388000000002,4.932,3.718
2016-01-01 19:00:00+01:00,77.74000000000001,934.92,0.0,0.0,19.272000000000002,0.6,58.536,421.48,0.0,232.39944,4.5600000000000005,3.377
2016-01-01 20:00:00+01:00,77.74000000000001,918.26,0.0,0.0,6.336,0.624,58.488,419.02000000000004,0.0,230.555,5.7,3.4429999999999996
2016-01-01 21:00:00+01:00,78.89,836.92,0.0,0.0,0.168,0.624,58.5,405.90000000000003,0.0,233.32166,7.416,4.587
2016-01-01 22:00:00+01:00,77.28,847.21,0.0,0.0,0.024,0.6,58.536,392.78000000000003,0.0,233.32166,6.6240000000000006,4.664
2016-01-01 23:00:00+01:00,78.66,831.53,0.0,0.0,0.024,0.5760000000000001,58.524,416.56000000000006,0.0,233.32166,6.984,4.939
2016-01-02 00:00:00+01:00,79.12,792.33,0.0,0.0,0.6,0.5760000000000001,58.524,387.86,0.0,226.86612000000002,6.84,5.114999999999999
2016-01-02 01:00:00+01:00,70.15,780.5699999999999,0.0,0.0,10.656,0.5760000000000001,58.524,380.48,0.0,230.555,7.032,5.433999999999999
2016-01-02 02:00:00+01:00,53.59,761.9499999999999,0.0,0.0,18.432000000000002,0.5760000000000001,58.536,378.84000000000003,0.0,229.63278,6.516,5.665
2016-01-02 03:00:00+01:00,52.900000000000006,774.6899999999999,0.0,0.0,14.304,0.5760000000000001,58.524,379.66,0.0,230.555,6.756,5.5
2016-01-02 04:00:00+01:00,55.660000000000004,783.51,0.0,0.0,20.568,0.5760000000000001,58.512,378.84000000000003,0.0,230.555,6.648000000000001,5.202999999999999
2016-01-02 05:00:00+01:00,61.18,785.47,0.0,0.0,21.936,0.552,58.5,387.86,0.0,232.39944,7.104,4.983
2016-01-02 06:00:00+01:00,61.870000000000005,796.74,0.0,0.0,12.864,0.552,58.464,388.68,0.0,229.63278,7.6080000000000005,4.433
2016-01-02 07:00:00+01:00,62.1,776.16,0.0,0.0,8.28,0.552,58.428000000000004,405.08000000000004,0.0,230.555,7.248,4.356
2016-01-02 08:00:00+01:00,63.71,812.42,0.0,0.0,0.5760000000000001,0.552,58.428000000000004,457.56000000000006,0.0,225.9439,7.0200000000000005,4.0809999999999995
2016-01-02 09:00:00+01:00,67.39,837.9,0.0,0.0,0.048,0.552,58.584,490.36,1.1480000000000001,225.9439,6.732,4.311999999999999
2016-01-02 10:00:00+01:00,68.31,903.56,0.0,0.0,0.024,0.552,58.764,501.84000000000003,7.298,223.17724,6.864,3.9269999999999996
2016-01-02 11:00:00+01:00,68.08,889.84,0.0,0.0,0.024,0.552,58.908,514.14,17.384,225.02168,6.972,3.872
2016-01-02 12:00:00+01:00,67.85000000000001,880.53,0.0,0.0,3.192,0.528,59.028,506.76000000000005,24.108,218.56614000000002,6.9,3.8829999999999996
2016-01-02 13:00:00+01:00,72.68,824.67,0.0,0.0,0.528,0.528,59.148,497.74000000000007,19.598000000000003,226.86612000000002,7.488,4.664
2016-01-02 14:00:00+01:00,65.55,901.6,0.0,0.0,5.352,0.504,59.232,496.1,7.831,226.86612000000002,7.488,5.093
2016-01-02 15:00:00+01:00,63.25,945.21,0.0,0.0,8.856,0.504,59.28,500.20000000000005,2.337,225.02168,7.428,5.148
2016-01-02 16:00:00+01:00,64.17,786.4499999999999,0.0,0.0,1.8,0.504,59.244,504.3,0.123,225.9439,7.62,5.356999999999999
2016-01-02 17:00:00+01:00,65.09,827.12,0.0,0.0,15.864,0.504,59.172000000000004,496.92,0.0,229.63278,7.728,5.72
2016-01-02 18:00:00+01:00,67.62,898.66,0.0,32.252,26.976,0.504,54.456,487.08000000000004,0.0,230.555,7.788,6.489999999999999
2016-01-02 19:00:00+01:00,66.24000000000001,1108.3799999999999,0.0,0.0,23.304000000000002,0.504,54.06,501.84000000000003,0.0,230.555,7.812,6.9079999999999995
2016-01-02 20:00:00+01:00,63.940000000000005,968.24,0.0,0.0,12.072000000000001,0.504,54.072,472.32000000000005,0.0,230.555,7.812,7.348
2016-01-02 21:00:00+01:00,61.870000000000005,950.6,0.0,0.0,1.968,0.48,54.06,460.02000000000004,0.0,232.39944,7.812,8.019
2016-01-02 22:00:00+01:00,63.02,984.9,0.0,0.0,2.736,0.504,54.072,432.14000000000004,0.0,229.63278,7.8,7.502
2016-01-02 23:00:00+01:00,65.09,1019.6899999999999,0.0,0.0,5.352,0.504,54.096000000000004,452.64000000000004,0.0,231.47722000000002,7.788,6.720999999999999
2016-01-03 00:00:00+01:00,64.63000000000001,935.41,0.0,0.0,3.336,0.504,54.084,410.82000000000005,0.0,229.63278,7.488,6.577999999999999
2016-01-03 01:00:00+01:00,65.55,902.5799999999999,0.0,0.0,2.592,0.528,54.108000000000004,395.24,0.0,224.09946000000002,7.596,6.512
2016-01-03 02:00:00+01:00,68.31,854.56,0.0,0.0,14.184000000000001,0.528,54.084,392.78000000000003,0.0,224.09946000000002,7.62,6.523
2016-01-03 03:00:00+01:00,63.940000000000005,862.4,0.0,0.0,16.56,0.6,54.036,395.24,0.0,225.02168,7.632000000000001,6.478999999999999
2016-01-03 04:00:00+01:00,62.1,871.71,0.0,0.0,16.872,0.672,54.072,387.86,0.0,226.86612000000002,7.704,6.093999999999999
2016-01-03 05:00:00+01:00,60.260000000000005,870.73,0.0,0.0,12.864,0.72,54.096000000000004,396.88000000000005,0.0,225.9439,7.728,5.742
2016-01-03 06:00:00+01:00,60.260000000000005,868.28,0.0,0.0,18.744,0.72,54.108000000000004,404.26000000000005,0.0,225.02168,7.6080000000000005,5.752999999999999
