,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Wind Offshore,Wind Onshore
2017-01-31 23:00:00+00:00,14468.0,7352.0,0.0,49.0,343.0,7441.0,2087.0,0.0,957.0,907.0
2017-01-31 23:30:00+00:00,12651.0,7465.0,0.0,40.0,338.0,7442.0,2086.0,0.0,947.0,943.0
2017-02-01 00:00:00+00:00,12305.0,7772.0,0.0,0.0,322.0,7441.0,2086.0,0.0,949.0,932.0
2017-02-01 00:30:00+00:00,11990.0,8030.0,0.0,0.0,312.0,7437.0,2089.0,0.0,1033.0,924.0
2017-02-01 01:00:00+00:00,11792.0,8044.0,0.0,0.0,281.0,7447.0,2087.0,0.0,1066.0,947.0
2017-02-01 01:30:00+00:00,10655.0,7824.0,0.0,0.0,273.0,7457.0,2087.0,0.0,1153.0,955.0
2017-02-01 02:00:00+00:00,10086.0,7498.0,0.0,0.0,309.0,7448.0,2087.0,0.0,1235.0,901.0
2017-02-01 02:30:00+00:00,10205.0,6678.0,0.0,0.0,305.0,7452.0,2089.0,0.0,1353.0,868.0
2017-02-01 03:00:00+00:00,9787.0,6744.0,0.0,0.0,301.0,7451.0,2086.0,0.0,1387.0,865.0
2017-02-01 03:30:00+00:00,9019.0,6990.0,0.0,0.0,300.0,7453.0,2086.0,0.0,1404.0,839.0
2017-02-01 04:00:00+00:00,9428.0,7179.0,0.0,0.0,334.0,7451.0,2090.0,0.0,1441.0,866.0
2017-02-01 04:30:00+00:00,9722.0,7332.0,0.0,0.0,340.0,7456.0,2090.0,0.0,1457.0,879.0
2017-02-01 05:00:00+00:00,9736.0,7396.0,0.0,0.0,368.0,7451.0,2091.0,0.0,1451.0,961.0
2017-02-01 05:30:00+00:00,10463.0,7402.0,0.0,0.0,369.0,7456.0,2086.0,0.0,1450.0,1014.0
2017-02-01 06:00:00+00:00,11622.0,8026.0,0.0,40.0,369.0,7458.0,2089.0,0.0,1441.0,1099.0
2017-02-01 06:30:00+00:00,13621.0,8571.0,0.0,40.0,373.0,7449.0,2088.0,0.0,1484.0,1184.0
2017-02-01 07:00:00+00:00,16395.0,8840.0,0.0,342.0,458.0,7454.0,2083.0,0.0,1583.0,1298.0
2017-02-01 07:30:00+00:00,19246.0,9003.0,0.0,380.0,474.0,7452.0,2087.0,2.0,1588.0,1378.0
2017-02-01 08:00:00+00:00,20172.0,8836.0,0.0,441.0,474.0,7443.0,2088.0,48.0,1595.0,1491.0
2017-02-01 08:30:00+00:00,20519.0,8498.0,0.0,486.0,449.0,7448.0,2082.0,142.0,1689.0,1579.0
2017-02-01 09:00:00+00:00,20616.0,8247.0,0.0,783.0,532.0,7446.0,2053.0,281.0,1738.0,1710.0
2017-02-01 09:30:00+00:00,20408.0,8244.0,0.0,790.0,532.0,7456.0,2084.0,457.0,1867.0,1820.0
2017-02-01 10:00:00+00:00,20277.0,8249.0,0.0,882.0,562.0,7445.0,2085.0,619.0,1946.0,1952.0
2017-02-01 10:30:00+00:00,20019.0,8196.0,0.0,601.0,558.0,7453.0,2087.0,799.0,2140.0,2048.0
2017-02-01 11:00:00+00:00,20189.0,8222.0,0.0,606.0,449.0,7450.0,2084.0,985.0,2310.0,2279.0
2017-02-01 11:30:00+00:00,19911.0,8129.0,0.0,343.0,448.0,7457.0,2085.0,1160.0,2261.0,2251.0
2017-02-01 12:00:00+00:00,20359.0,8128.0,0.0,436.0,447.0,7448.0,2086.0,1280.0,2256.0,2517.0
2017-02-01 12:30:00+00:00,19692.0,8220.0,0.0,341.0,430.0,7457.0,2086.0,1350.0,2244.0,2762.0
2017-02-01 13:00:00+00:00,19348.0,8274.0,0.0,382.0,373.0,7443.0,2088.0,1380.0,2224.0,3047.0
2017-02-01 13:30:00+00:00,18721.0,7955.0,0.0,467.0,359.0,7448.0,2089.0,1380.0,2150.0,3178.0
2017-02-01 14:00:00+00:00,18670.0,8022.0,0.0,342.0,357.0,7443.0,2088.0,1610.0,2158.0,3472.0
2017-02-01 14:30:00+00:00,18240.0,7628.0,0.0,341.0,356.0,7446.0,2091.0,1020.0,2288.0,3810.0
2017-02-01 15:00:00+00:00,17224.0,7603.0,0.0,217.0,486.0,7453.0,2089.0,713.0,2394.0,4011.0
2017-02-01 15:30:00+00:00,17256.0,7482.0,0.0,400.0,553.0,7445.0,2091.0,430.0,2475.0,4153.0
2017-02-01 16:00:00+00:00,17338.0,7935.0,0.0,341.0,600.0,7438.0,2092.0,224.0,2501.0,4133.0
2017-02-01 16:30:00+00:00,17459.0,7758.0,0.0,400.0,604.0,7462.0,2092.0,33.0,2459.0,4342.0
2017-02-01 17:00:00+00:00,19781.0,7910.0,0.0,358.0,727.0,7439.0,2092.0,0.0,2570.0,4446.0
2017-02-01 17:30:00+00:00,20684.0,8171.0,0.0,555.0,786.0,7445.0,2092.0,0.0,2760.0,4343.0
2017-02-01 18:00:00+00:00,20363.0,8512.0,0.0,508.0,794.0,7449.0,2091.0,0.0,2773.0,4695.0
2017-02-01 18:30:00+00:00,19934.0,8163.0,0.0,502.0,719.0,7444.0,2083.0,0.0,2709.0,4798.0
2017-02-01 19:00:00+00:00,19175.0,7944.0,0.0,388.0,623.0,7454.0,1991.0,0.0,2846.0,4945.0
2017-02-01 19:30:00+00:00,18514.0,7728.0,0.0,474.0,615.0,7439.0,1999.0,0.0,2679.0,4920.0
2017-02-01 20:00:00+00:00,16865.0,7889.0,0.0,367.0,585.0,7450.0,2088.0,0.0,2583.0,4957.0
2017-02-01 20:30:00+00:00,14733.0,7371.0,0.0,374.0,552.0,7445.0,2057.0,0.0,2610.0,5055.0
2017-02-01 21:00:00+00:00,13653.0,6769.0,0.0,400.0,485.0,7452.0,2045.0,0.0,2683.0,5152.0
2017-02-01 21:30:00+00:00,11398.0,6126.0,0.0,395.0,475.0,7452.0,2048.0,0.0,2651.0,5248.0
2017-02-01 22:00:00+00:00,9362.0,6145.0,0.0,588.0,448.0,7443.0,2035.0,0.0,2552.0,5086.0
2017-02-01 22:30:00+00:00,8021.0,5639.0,0.0,489.0,402.0,7443.0,2051.0,0.0,2433.0,4883.0
2017-02-01 23:00:00+00:00,6251.0,5558.0,0.0,41.0,341.0,7453.0,2048.0,0.0,2606.0,4807.0
2017-02-01 23:30:00+00:00,5768.0,4701.0,0.0,110.0,305.0,7439.0,2049.0,0.0,2640.0,4506.0
