,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2017-05-01 00:00:00+02:00,4664.0,6799.0,1299.0,1156.0,177.0,18.0,729.0,1647.0,78.0,,5499.0,3200.0,178.0,0.0,302.0,3405.0,23952.0
2017-05-01 00:15:00+02:00,4665.0,6789.0,1295.0,1155.0,186.0,18.0,505.0,1619.0,64.0,,5595.0,3171.0,178.0,0.0,304.0,3380.0,24114.0
2017-05-01 00:30:00+02:00,4665.0,6684.0,1312.0,1152.0,190.0,18.0,314.0,1613.0,70.0,,5683.0,3232.0,178.0,0.0,304.0,3380.0,24016.0
2017-05-01 00:45:00+02:00,4661.0,6672.0,1312.0,1150.0,190.0,18.0,295.0,1612.0,62.0,,5691.0,3240.0,178.0,0.0,309.0,3382.0,23810.0
2017-05-01 01:00:00+02:00,4660.0,6675.0,1311.0,1133.0,191.0,18.0,307.0,1614.0,76.0,,5696.0,3054.0,178.0,0.0,307.0,3382.0,23478.0
2017-05-01 01:15:00+02:00,4662.0,6602.0,1314.0,1134.0,190.0,19.0,321.0,1615.0,79.0,,5709.0,3035.0,178.0,0.0,297.0,3381.0,23207.0
2017-05-01 01:30:00+02:00,4670.0,6606.0,1317.0,1127.0,190.0,19.0,301.0,1615.0,61.0,,5706.0,3097.0,178.0,0.0,308.0,3376.0,22966.0
2017-05-01 01:45:00+02:00,4664.0,6647.0,1321.0,1135.0,190.0,19.0,298.0,1617.0,59.0,,5703.0,3154.0,178.0,0.0,315.0,3370.0,22746.0
2017-05-01 02:00:00+02:00,4663.0,6752.0,1313.0,1161.0,190.0,19.0,300.0,1618.0,66.0,,5713.0,2817.0,178.0,0.0,304.0,3370.0,22595.0
2017-05-01 02:15:00+02:00,4666.0,6787.0,1316.0,1164.0,190.0,19.0,363.0,1621.0,60.0,,5663.0,2719.0,178.0,0.0,300.0,3371.0,22439.0
2017-05-01 02:30:00+02:00,4666.0,6836.0,1322.0,1155.0,190.0,19.0,253.0,1622.0,75.0,,5657.0,2818.0,178.0,0.0,298.0,3371.0,22026.0
2017-05-01 02:45:00+02:00,4649.0,6833.0,1316.0,1149.0,190.0,19.0,369.0,1619.0,71.0,,5663.0,2890.0,178.0,0.0,298.0,3367.0,21750.0
2017-05-01 03:00:00+02:00,4633.0,6841.0,1306.0,1150.0,190.0,19.0,285.0,1616.0,78.0,,5675.0,2716.0,178.0,0.0,298.0,3371.0,21540.0
2017-05-01 03:15:00+02:00,4636.0,6839.0,1305.0,1158.0,190.0,19.0,143.0,1616.0,69.0,,5701.0,2692.0,178.0,0.0,301.0,3376.0,21062.0
2017-05-01 03:30:00+02:00,4641.0,6838.0,1319.0,1167.0,190.0,19.0,366.0,1610.0,70.0,,5807.0,2773.0,178.0,0.0,305.0,3376.0,20673.0
2017-05-01 03:45:00+02:00,4650.0,6917.0,1311.0,1159.0,191.0,19.0,534.0,1608.0,70.0,,5933.0,2494.0,178.0,0.0,305.0,3376.0,20340.0
2017-05-01 04:00:00+02:00,4648.0,6919.0,1315.0,1215.0,190.0,19.0,160.0,1610.0,90.0,,6019.0,2429.0,178.0,0.0,300.0,3377.0,19966.0
2017-05-01 04:15:00+02:00,4645.0,6859.0,1320.0,1226.0,190.0,19.0,793.0,1613.0,122.0,,6025.0,2447.0,178.0,0.0,307.0,3378.0,19526.0
2017-05-01 04:30:00+02:00,4654.0,6871.0,1329.0,1223.0,191.0,19.0,802.0,1612.0,114.0,,6029.0,2504.0,178.0,0.0,317.0,3375.0,19129.0
2017-05-01 04:45:00+02:00,4657.0,6891.0,1317.0,1223.0,190.0,19.0,511.0,1612.0,121.0,,6023.0,2370.0,178.0,0.0,309.0,3368.0,18953.0
2017-05-01 05:00:00+02:00,4643.0,7224.0,1314.0,1268.0,190.0,19.0,563.0,1608.0,81.0,,5999.0,2499.0,178.0,0.0,314.0,3375.0,18794.0
2017-05-01 05:15:00+02:00,4659.0,7471.0,1333.0,1256.0,190.0,18.0,138.0,1603.0,61.0,,5974.0,2595.0,178.0,0.0,315.0,3375.0,18588.0
2017-05-01 05:30:00+02:00,4658.0,7649.0,1326.0,1270.0,190.0,18.0,14.0,1599.0,68.0,,5967.0,2481.0,178.0,13.0,309.0,3376.0,18392.0
2017-05-01 05:45:00+02:00,4661.0,7679.0,1321.0,1305.0,190.0,19.0,173.0,1598.0,44.0,,5948.0,2414.0,178.0,39.0,313.0,3377.0,18203.0
2017-05-01 06:00:00+02:00,4657.0,7428.0,1318.0,1356.0,190.0,19.0,1.0,1594.0,56.0,,5928.0,2578.0,178.0,156.0,315.0,3376.0,18266.0
2017-05-01 06:15:00+02:00,4663.0,7395.0,1323.0,1357.0,190.0,18.0,1.0,1596.0,44.0,,5934.0,2261.0,178.0,419.0,304.0,3372.0,17973.0
