,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Wind Offshore,Wind Onshore
2017-05-31 23:00:00+01:00,2956.66,372.69000000000005,0.0,0.0,0.492,50.424,723.6500000000001,0.0,2.136,12.9635
2017-05-31 23:30:00+01:00,2499.49,340.3,0.0,0.0,0.504,50.406,579.74,0.0,1.986,7.5295
2017-06-01 00:00:00+01:00,2321.865,224.68,0.0,0.0,0.504,50.478,587.94,0.0,2.394,14.2615
2017-06-01 00:30:00+01:00,2075.8849999999998,258.71000000000004,0.0,0.0,0.504,50.436,662.1500000000001,0.0,2.964,14.575
2017-06-01 01:00:00+01:00,1982.295,245.59000000000003,0.0,0.0,0.168,50.418,601.88,0.0,3.24,14.783999999999999
2017-06-01 02:30:00+01:00,1872.78,257.89000000000004,0.0,0.0,0.14400000000000002,50.43,645.75,0.0,0.0,0.0
2017-06-01 03:00:00+01:00,1889.44,298.89000000000004,0.0,0.0,0.14400000000000002,50.496,635.09,0.0,0.168,6.512
2017-06-01 03:30:00+01:00,1927.905,298.07000000000005,0.0,0.0,0.14400000000000002,50.412,626.8900000000001,0.0,0.0,0.0
2017-06-01 04:00:00+01:00,1954.12,336.61,0.0,0.0,0.14400000000000002,50.466,624.84,0.0,0.18,6.688
2017-06-01 04:30:00+01:00,1925.21,339.89000000000004,0.0,0.0,0.14400000000000002,50.370000000000005,612.95,0.3075,0.17400000000000002,6.699
2017-06-01 05:00:00+01:00,1916.145,339.48,0.0,0.0,0.14400000000000002,50.466,614.1800000000001,0.3075,1.056,6.8694999999999995
2017-06-01 05:30:00+01:00,1960.98,358.34000000000003,0.0,0.0,0.14400000000000002,50.466,670.35,5.3505,3.5100000000000002,16.423
2017-06-01 06:00:00+01:00,2088.87,282.08000000000004,0.0,0.0,0.14400000000000002,50.502,589.99,5.3505,2.85,17.1325
2017-06-01 06:30:00+01:00,2378.46,217.3,0.0,0.0,0.14400000000000002,50.466,575.23,19.188000000000002,2.748,17.8585
2017-06-01 07:00:00+01:00,2684.22,248.46,0.0,3.096,0.684,50.454,633.86,19.188000000000002,2.862,19.337999999999997
2017-06-01 07:30:00+01:00,3024.525,225.09,0.0,3.8280000000000003,0.852,50.496,765.8800000000001,40.036500000000004,3.3120000000000003,18.958499999999997
2017-06-01 08:00:00+01:00,3152.415,225.50000000000003,0.0,3.6,1.212,50.436,780.23,40.036500000000004,3.0060000000000002,18.804499999999997
2017-06-01 08:30:00+01:00,3238.6549999999997,236.57000000000002,0.0,4.6080000000000005,1.212,50.46,786.3800000000001,63.96,3.12,19.107
2017-06-01 09:00:00+01:00,3286.43,264.45000000000005,0.0,2.724,1.212,50.508,794.99,63.96,2.856,20.069499999999998
2017-06-01 09:30:00+01:00,3222.485,207.05,0.0,3.6,1.068,50.49,798.6800000000001,93.60300000000001,2.946,21.131
2017-06-01 10:00:00+01:00,3125.955,196.8,0.0,4.944,1.068,50.454,802.7800000000001,93.60300000000001,2.814,21.526999999999997
2017-06-01 10:30:00+01:00,3116.89,205.82000000000002,0.0,3.6,1.068,50.484,802.7800000000001,115.21000000000001,3.024,21.482999999999997
2017-06-01 11:00:00+01:00,3094.595,225.09,0.0,4.632,1.02,50.436,697.4100000000001,115.21000000000001,2.802,21.703
2017-06-01 11:30:00+01:00,3137.47,225.50000000000003,0.0,3.6,1.02,50.472,593.2700000000001,129.2935,2.748,22.2365
2017-06-01 12:00:00+01:00,3105.62,225.09,0.0,4.824,0.78,50.4,641.6500000000001,142.88500000000002,2.5260000000000002,21.7415
2017-06-01 12:30:00+01:00,3133.5499999999997,225.50000000000003,0.0,4.704,0.48,50.43,625.25,133.1475,2.682,21.3565
2017-06-01 13:00:00+01:00,3062.99,216.07000000000002,0.0,3.6,0.312,50.46,589.1700000000001,131.2615,2.736,21.262999999999998
2017-06-01 13:30:00+01:00,3085.5299999999997,153.34,0.0,4.0200000000000005,0.312,50.46,585.8900000000001,129.35500000000002,2.778,20.592
2017-06-01 14:00:00+01:00,2829.75,177.12,0.0,4.152,0.312,50.4,588.76,125.009,2.976,20.4545
2017-06-01 14:30:00+01:00,2821.91,161.54000000000002,0.0,3.9,0.036000000000000004,50.394,581.7900000000001,120.66300000000001,2.976,20.4985
2017-06-01 15:00:00+01:00,2776.83,200.9,0.0,4.32,0.312,50.448,716.2700000000001,128.945,3.18,20.108
2017-06-01 15:30:00+01:00,2960.335,225.09,0.0,3.636,0.504,50.412,680.19,114.7795,2.97,18.848499999999998
2017-06-01 16:00:00+01:00,3080.14,227.96,0.0,4.116,1.452,50.472,692.9000000000001,114.7795,2.952,18.172
2017-06-01 16:30:00+01:00,3283.49,321.03000000000003,0.0,4.5840000000000005,1.872,50.4,730.21,95.03800000000001,2.88,17.2425
2017-06-01 17:00:00+01:00,3303.09,369.41,0.0,3.6,2.196,50.46,849.5200000000001,95.03800000000001,3.468,17.237
