,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Waste,Wind Onshore
2017-07-01 00:00:00+02:00,21.16,464.12000000000006,416.5,0.0,0.24,0.312,21.984,78.72,,0.0,0.9129999999999999
2017-07-01 00:15:00+02:00,21.39,462.48,437.08,0.0,0.24,0.312,21.936,78.72,,0.0,0.6709999999999999
2017-07-01 00:30:00+02:00,21.16,460.84000000000003,379.75,0.0,0.24,0.312,21.924,78.72,,0.0,0.704
2017-07-01 00:45:00+02:00,21.16,465.76000000000005,355.74,0.0,0.24,0.312,21.924,78.72,,0.0,0.737
2017-07-01 01:00:00+02:00,21.16,469.04,370.44,0.0,0.24,0.312,21.984,78.72,,0.0,0.7809999999999999
2017-07-01 01:15:00+02:00,21.16,469.04,351.33,0.0,0.24,0.312,21.948,78.72,,0.92222,0.693
2017-07-01 01:30:00+02:00,21.16,469.86,309.68,0.0,0.24,0.312,21.96,78.72,,0.0,0.7699999999999999
2017-07-01 01:45:00+02:00,21.16,470.68000000000006,295.96,0.0,0.24,0.312,21.936,71.34,,0.0,0.946
2017-07-01 02:00:00+02:00,21.16,467.40000000000003,288.61,0.0,0.24,0.312,21.972,71.34,,0.0,0.8799999999999999
2017-07-01 02:15:00+02:00,21.16,470.68000000000006,272.44,0.0,0.24,0.312,21.948,71.34,,0.0,0.869
2017-07-01 02:30:00+02:00,20.93,469.86,260.68,0.0,0.24,0.312,21.948,71.34,,0.0,0.825
2017-07-01 02:45:00+02:00,19.78,469.86,269.99,0.0,0.24,0.312,21.96,71.34,,0.92222,0.836
2017-07-01 03:00:00+02:00,17.48,464.94000000000005,268.52,0.0,0.264,0.312,21.984,71.34,,0.92222,0.7919999999999999
2017-07-01 03:15:00+02:00,14.26,456.74,249.9,0.0,0.264,0.312,21.96,71.34,,0.92222,0.9239999999999999
2017-07-01 03:30:00+02:00,13.110000000000001,458.38000000000005,250.39,0.0,0.24,0.312,21.972,71.34,,0.92222,0.7809999999999999
2017-07-01 03:45:00+02:00,12.42,460.84000000000003,267.54,0.0,0.24,0.312,21.984,71.34,,0.92222,0.6819999999999999
2017-07-01 04:00:00+02:00,11.73,460.84000000000003,287.14,0.0,0.24,0.312,21.984,71.34,,0.0,0.616
2017-07-01 04:15:00+02:00,11.5,460.02000000000004,295.96,0.0,0.24,0.312,21.972,71.34,,0.0,0.5389999999999999
2017-07-01 04:30:00+02:00,11.040000000000001,460.02000000000004,274.4,0.0,0.24,0.312,21.96,71.34,,0.0,0.39599999999999996
2017-07-01 04:45:00+02:00,10.81,460.84000000000003,246.96,0.0,0.24,0.312,21.972,71.34,,0.0,0.308
2017-07-01 05:00:00+02:00,10.81,460.02000000000004,292.04,0.0,0.24,0.312,21.996000000000002,79.54,,0.0,0.154
2017-07-01 05:15:00+02:00,11.040000000000001,460.02000000000004,268.52,0.0,0.24,0.312,21.96,79.54,,0.0,0.10999999999999999
2017-07-01 05:30:00+02:00,11.040000000000001,457.56000000000006,253.82,0.0,0.24,0.312,21.972,79.54,,0.0,0.09899999999999999
2017-07-01 05:45:00+02:00,11.040000000000001,458.38000000000005,263.62,0.0,0.24,0.312,21.96,79.54,,0.0,0.121
2017-07-01 06:00:00+02:00,11.5,457.56000000000006,276.36,0.0,0.24,0.312,22.008,79.54,,0.0,0.121
2017-07-01 06:15:00+02:00,12.42,450.18,300.37,0.0,0.264,0.312,22.02,79.54,,0.0,0.154
2017-07-01 06:30:00+02:00,13.8,446.08000000000004,320.95,0.0,0.264,0.312,22.02,79.54,,0.0,0.16499999999999998
2017-07-01 06:45:00+02:00,14.72,456.74,351.33,0.0,0.28800000000000003,0.312,22.008,79.54,,0.0,0.242
2017-07-01 07:00:00+02:00,15.64,457.56000000000006,332.21999999999997,0.0,0.28800000000000003,0.312,22.008,79.54,,0.0,0.308
2017-07-01 07:15:00+02:00,17.94,455.1,347.40999999999997,0.0,0.28800000000000003,0.312,22.02,79.54,,0.0,0.32999999999999996
2017-07-01 07:30:00+02:00,20.470000000000002,456.74,357.7,0.0,0.28800000000000003,0.312,22.032,79.54,,0.0,0.429
2017-07-01 07:45:00+02:00,21.16,458.38000000000005,367.99,0.0,0.28800000000000003,0.312,22.02,79.54,,0.0,0.5389999999999999
