,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
2017-08-01 00:00:00+02:00,224.0,2313.0,206.0,444.0,203.0,4.0,0.0,106.0,17.0,2667.0,101.0,260.0,0.0,19.0,66.0
2017-08-01 01:00:00+02:00,223.0,2323.0,206.0,426.0,204.0,4.0,0.0,107.0,14.0,2669.0,101.0,261.0,0.0,19.0,57.0
2017-08-01 02:00:00+02:00,222.0,2305.0,206.0,431.0,203.0,4.0,0.0,107.0,13.0,2672.0,101.0,261.0,0.0,19.0,57.0
2017-08-01 03:00:00+02:00,221.0,2298.0,205.0,439.0,199.0,4.0,0.0,107.0,13.0,2673.0,101.0,261.0,0.0,19.0,58.0
2017-08-01 04:00:00+02:00,221.0,2252.0,205.0,408.0,202.0,4.0,0.0,107.0,13.0,2675.0,101.0,260.0,1.0,19.0,58.0
2017-08-01 05:00:00+02:00,221.0,2207.0,203.0,412.0,210.0,4.0,0.0,107.0,13.0,2677.0,101.0,259.0,4.0,19.0,49.0
2017-08-01 06:00:00+02:00,221.0,2391.0,208.0,442.0,213.0,4.0,0.0,102.0,39.0,2677.0,103.0,260.0,58.0,19.0,54.0
2017-08-01 07:00:00+02:00,221.0,2465.0,207.0,441.0,210.0,4.0,0.0,101.0,51.0,2677.0,114.0,264.0,245.0,19.0,110.0
2017-08-01 08:00:00+02:00,222.0,2554.0,200.0,459.0,210.0,4.0,15.0,101.0,56.0,2678.0,120.0,266.0,582.0,19.0,63.0
2017-08-01 09:00:00+02:00,221.0,2599.0,201.0,435.0,212.0,4.0,7.0,103.0,45.0,2671.0,121.0,266.0,948.0,19.0,50.0
2017-08-01 10:00:00+02:00,221.0,2579.0,207.0,428.0,210.0,4.0,13.0,108.0,27.0,2664.0,117.0,266.0,1216.0,19.0,62.0
2017-08-01 11:00:00+02:00,222.0,2512.0,204.0,430.0,212.0,4.0,52.0,110.0,18.0,2661.0,112.0,261.0,1386.0,19.0,62.0
2017-08-01 12:00:00+02:00,217.0,2583.0,208.0,427.0,213.0,4.0,73.0,102.0,60.0,2655.0,107.0,256.0,1455.0,19.0,67.0
2017-08-01 13:00:00+02:00,219.0,2571.0,207.0,421.0,201.0,4.0,43.0,100.0,62.0,2607.0,106.0,255.0,1448.0,19.0,63.0
2017-08-01 14:00:00+02:00,222.0,2508.0,207.0,421.0,209.0,4.0,21.0,99.0,69.0,2597.0,105.0,252.0,1366.0,19.0,53.0
2017-08-01 15:00:00+02:00,224.0,2518.0,209.0,419.0,211.0,4.0,63.0,100.0,70.0,2602.0,103.0,250.0,1204.0,19.0,47.0
2017-08-01 16:00:00+02:00,225.0,2533.0,213.0,423.0,213.0,4.0,33.0,99.0,84.0,2607.0,101.0,248.0,950.0,19.0,46.0
2017-08-01 17:00:00+02:00,225.0,2575.0,212.0,433.0,215.0,4.0,430.0,93.0,109.0,2612.0,106.0,249.0,614.0,19.0,42.0
2017-08-01 18:00:00+02:00,224.0,2553.0,210.0,442.0,215.0,4.0,404.0,96.0,84.0,2620.0,114.0,253.0,259.0,19.0,47.0
2017-08-01 19:00:00+02:00,224.0,2556.0,207.0,447.0,214.0,4.0,402.0,93.0,113.0,2629.0,117.0,258.0,59.0,19.0,59.0
2017-08-01 20:00:00+02:00,223.0,2553.0,209.0,449.0,206.0,4.0,399.0,94.0,107.0,2642.0,114.0,261.0,5.0,19.0,96.0
2017-08-01 21:00:00+02:00,223.0,2603.0,217.0,453.0,205.0,4.0,462.0,89.0,161.0,2671.0,108.0,260.0,1.0,19.0,110.0
2017-08-01 22:00:00+02:00,224.0,2600.0,216.0,445.0,207.0,4.0,181.0,106.0,26.0,2679.0,102.0,258.0,0.0,19.0,116.0
