,Biomass,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
2017-09-01 00:00:00+02:00,77.97,1064.28,0.0,2.328,0.12,70.152,268.96000000000004,0.0,174.29958000000002,0.96,1.276
2017-09-01 01:00:00+02:00,77.74000000000001,928.55,0.0,1.1520000000000001,0.07200000000000001,70.14,288.64000000000004,0.0,174.29958000000002,1.092,1.3419999999999999
2017-09-01 02:00:00+02:00,77.97,921.6899999999999,0.0,1.512,0.07200000000000001,70.164,306.68,0.0,172.45514,0.444,1.287
2017-09-01 03:00:00+02:00,78.66,937.86,0.0,7.152,0.07200000000000001,70.176,273.06,0.0,172.45514,0.432,1.1989999999999998
2017-09-01 04:00:00+02:00,79.35000000000001,933.4499999999999,0.0,7.848,0.07200000000000001,70.2,274.70000000000005,0.0,175.2218,0.108,0.99
2017-09-01 05:00:00+02:00,78.2,969.22,0.0,4.488,0.07200000000000001,70.212,310.78000000000003,0.0,174.29958000000002,0.0,0.9019999999999999
2017-09-01 06:00:00+02:00,77.97,1198.05,0.0,2.88,0.096,70.224,327.18,0.0,174.29958000000002,0.07200000000000001,1.023
2017-09-01 07:00:00+02:00,78.2,1327.8999999999999,0.0,1.368,0.096,70.26,453.46000000000004,3.403,173.37736,0.084,0.9239999999999999
2017-09-01 08:00:00+02:00,77.05,1348.97,0.0,13.92,0.096,70.224,504.3,16.892,169.68848,0.096,0.814
2017-09-01 09:00:00+02:00,77.05,1341.62,0.0,14.304,0.096,70.152,509.22,37.31,173.37736,0.096,0.715
2017-09-01 10:00:00+02:00,76.59,1339.66,0.0,5.6160000000000005,0.07200000000000001,69.96000000000001,511.68000000000006,55.35,172.45514,0.084,0.638
2017-09-01 11:00:00+02:00,76.13000000000001,1366.12,0.0,4.704,0.096,69.552,536.2800000000001,61.623000000000005,173.37736,0.096,0.748
2017-09-01 12:00:00+02:00,73.83,1403.85,0.0,2.976,0.12,69.516,584.6600000000001,64.903,176.14402,0.012,0.726
