,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Wind Onshore
2017-10-01 00:00:00+02:00,24.0,3446.0,77.0,670.0,6159.0,191.0,0.0,244.0,0.0,2884.0
2017-10-01 01:00:00+02:00,0.0,3257.0,76.0,645.0,6049.0,176.0,0.0,240.0,0.0,2808.0
2017-10-01 02:00:00+02:00,0.0,3197.0,77.0,640.0,6000.0,176.0,0.0,241.0,0.0,2686.0
2017-10-01 03:00:00+02:00,0.0,3173.0,78.0,640.0,5974.0,191.0,0.0,240.0,0.0,2598.0
2017-10-01 04:00:00+02:00,0.0,3253.0,78.0,653.0,6079.0,174.0,0.0,240.0,0.0,2490.0
2017-10-01 05:00:00+02:00,0.0,3331.0,79.0,664.0,6174.0,183.0,0.0,240.0,0.0,2449.0
2017-10-01 06:00:00+02:00,0.0,3364.0,80.0,707.0,6198.0,179.0,0.0,240.0,0.0,2387.0
2017-10-01 07:00:00+02:00,0.0,3693.0,80.0,739.0,6221.0,180.0,0.0,240.0,0.0,2237.0
2017-10-01 08:00:00+02:00,0.0,4624.0,79.0,742.0,6296.0,175.0,0.0,257.0,0.0,1640.0
2017-10-01 09:00:00+02:00,0.0,5376.0,78.0,824.0,6830.0,186.0,0.0,256.0,0.0,1034.0
2017-10-01 10:00:00+02:00,0.0,5312.0,79.0,818.0,7033.0,179.0,0.0,265.0,0.0,936.0
2017-10-01 11:00:00+02:00,0.0,5242.0,80.0,816.0,6948.0,177.0,0.0,266.0,0.0,1112.0
2017-10-01 12:00:00+02:00,0.0,5285.0,79.0,815.0,6652.0,175.0,0.0,278.0,0.0,1263.0
2017-10-01 13:00:00+02:00,0.0,5270.0,78.0,816.0,6558.0,173.0,0.0,280.0,0.0,1285.0
2017-10-01 14:00:00+02:00,0.0,5230.0,77.0,828.0,6331.0,162.0,0.0,278.0,0.0,1206.0
2017-10-01 15:00:00+02:00,0.0,5159.0,76.0,850.0,6165.0,178.0,0.0,256.0,0.0,1132.0
2017-10-01 16:00:00+02:00,0.0,5117.0,74.0,909.0,6236.0,172.0,0.0,256.0,0.0,1030.0
2017-10-01 17:00:00+02:00,0.0,5151.0,74.0,869.0,6446.0,165.0,0.0,257.0,38.0,940.0
2017-10-01 18:00:00+02:00,0.0,5180.0,75.0,847.0,7461.0,172.0,0.0,266.0,43.0,1290.0
2017-10-01 19:00:00+02:00,0.0,5252.0,77.0,831.0,7892.0,176.0,79.0,289.0,43.0,1851.0
2017-10-01 20:00:00+02:00,0.0,5378.0,78.0,849.0,7156.0,180.0,11.0,285.0,43.0,2114.0
2017-10-01 21:00:00+02:00,0.0,4997.0,79.0,834.0,6356.0,184.0,0.0,279.0,5.0,2166.0
2017-10-01 22:00:00+02:00,0.0,4272.0,79.0,745.0,6289.0,191.0,0.0,238.0,0.0,2185.0
2017-10-01 23:00:00+02:00,0.0,4094.0,76.0,736.0,6349.0,194.0,0.0,231.0,0.0,2126.0
2017-10-02 00:00:00+02:00,0.0,3938.0,77.0,696.0,6237.0,192.0,0.0,217.0,0.0,1992.0
2017-10-02 01:00:00+02:00,0.0,3648.0,78.0,693.0,6323.0,190.0,0.0,214.0,0.0,1955.0
2017-10-02 02:00:00+02:00,0.0,3735.0,79.0,692.0,6301.0,195.0,0.0,214.0,0.0,1954.0
2017-10-02 03:00:00+02:00,0.0,3662.0,80.0,693.0,6426.0,196.0,0.0,214.0,0.0,2013.0
2017-10-02 04:00:00+02:00,0.0,3696.0,79.0,693.0,6569.0,190.0,0.0,214.0,0.0,2137.0
2017-10-02 05:00:00+02:00,0.0,4265.0,79.0,713.0,6870.0,195.0,0.0,214.0,0.0,2204.0
2017-10-02 06:00:00+02:00,0.0,5678.0,78.0,830.0,7687.0,196.0,0.0,215.0,0.0,2264.0
2017-10-02 07:00:00+02:00,0.0,5944.0,78.0,815.0,8580.0,194.0,0.0,215.0,0.0,2432.0
2017-10-02 08:00:00+02:00,0.0,6210.0,77.0,886.0,9279.0,193.0,73.0,231.0,38.0,2200.0
2017-10-02 09:00:00+02:00,0.0,6281.0,76.0,912.0,9441.0,194.0,81.0,259.0,43.0,1983.0
2017-10-02 10:00:00+02:00,0.0,6085.0,75.0,841.0,9195.0,190.0,78.0,267.0,43.0,2212.0
2017-10-02 11:00:00+02:00,0.0,5964.0,72.0,829.0,8848.0,189.0,10.0,266.0,43.0,2717.0
2017-10-02 12:00:00+02:00,0.0,5944.0,76.0,799.0,8465.0,196.0,0.0,257.0,43.0,3168.0
2017-10-02 13:00:00+02:00,0.0,5860.0,74.0,802.0,8335.0,177.0,0.0,261.0,43.0,3381.0
2017-10-02 14:00:00+02:00,0.0,5786.0,75.0,809.0,8194.0,193.0,0.0,263.0,43.0,3530.0
2017-10-02 15:00:00+02:00,0.0,5750.0,71.0,859.0,7820.0,179.0,95.0,250.0,43.0,3475.0
2017-10-02 16:00:00+02:00,0.0,5729.0,73.0,866.0,7733.0,179.0,128.0,247.0,43.0,3392.0
2017-10-02 17:00:00+02:00,0.0,5673.0,75.0,851.0,7842.0,197.0,17.0,245.0,43.0,3543.0
2017-10-02 18:00:00+02:00,0.0,5823.0,76.0,907.0,8389.0,183.0,0.0,235.0,5.0,3762.0
2017-10-02 19:00:00+02:00,0.0,6103.0,76.0,939.0,8892.0,172.0,350.0,253.0,0.0,3671.0
2017-10-02 20:00:00+02:00,0.0,5931.0,78.0,926.0,8301.0,177.0,638.0,265.0,0.0,3492.0
2017-10-02 21:00:00+02:00,0.0,5347.0,79.0,861.0,7707.0,184.0,515.0,240.0,0.0,3447.0
2017-10-02 22:00:00+02:00,0.0,4425.0,78.0,821.0,7382.0,184.0,415.0,211.0,0.0,3230.0
2017-10-02 23:00:00+02:00,0.0,3613.0,78.0,776.0,7381.0,177.0,309.0,211.0,0.0,2942.0
2017-10-03 00:00:00+02:00,0.0,3830.0,76.0,766.0,7454.0,172.0,0.0,206.0,0.0,2717.0
2017-10-03 01:00:00+02:00,0.0,3862.0,77.0,764.0,7447.0,180.0,0.0,206.0,0.0,2579.0
2017-10-03 02:00:00+02:00,0.0,3782.0,78.0,763.0,7347.0,198.0,0.0,206.0,0.0,2566.0
2017-10-03 03:00:00+02:00,0.0,4001.0,79.0,764.0,7438.0,191.0,0.0,206.0,0.0,2432.0
2017-10-03 04:00:00+02:00,0.0,4135.0,73.0,765.0,7573.0,187.0,0.0,206.0,0.0,2350.0
2017-10-03 05:00:00+02:00,0.0,4166.0,73.0,792.0,7813.0,194.0,0.0,206.0,0.0,2201.0
2017-10-03 06:00:00+02:00,0.0,5400.0,74.0,850.0,8184.0,194.0,0.0,206.0,0.0,2285.0
2017-10-03 07:00:00+02:00,0.0,5978.0,74.0,833.0,8836.0,182.0,0.0,212.0,0.0,2047.0
2017-10-03 08:00:00+02:00,0.0,6172.0,73.0,880.0,9598.0,166.0,51.0,226.0,0.0,1836.0
2017-10-03 09:00:00+02:00,0.0,6164.0,74.0,887.0,9912.0,162.0,150.0,254.0,0.0,1706.0
2017-10-03 10:00:00+02:00,0.0,6180.0,74.0,887.0,9922.0,159.0,208.0,268.0,38.0,1574.0
