,Biomass,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Onshore
2017-11-30 23:00:00+00:00,328.0,2451.0,1164.0,75.0,124.0,0.0,34.0,0.0,1387.0
2017-12-01 00:00:00+00:00,328.0,2055.0,1112.0,0.0,5.0,0.0,34.0,0.0,1353.0
2017-12-01 01:00:00+00:00,327.0,1816.0,1111.0,0.0,5.0,0.0,35.0,0.0,1459.0
2017-12-01 02:00:00+00:00,324.0,1709.0,1100.0,0.0,5.0,0.0,34.0,0.0,1690.0
2017-12-01 03:00:00+00:00,327.0,1606.0,835.0,0.0,6.0,0.0,35.0,0.0,2086.0
2017-12-01 04:00:00+00:00,325.0,1780.0,991.0,0.0,5.0,0.0,33.0,0.0,2106.0
2017-12-01 05:00:00+00:00,325.0,2031.0,1114.0,0.0,4.0,0.0,33.0,0.0,2259.0
2017-12-01 06:00:00+00:00,322.0,2079.0,1113.0,0.0,1.0,0.0,31.0,0.0,2456.0
2017-12-01 07:00:00+00:00,323.0,2040.0,1112.0,0.0,160.0,0.0,33.0,5.0,2843.0
2017-12-01 08:00:00+00:00,324.0,2249.0,1110.0,0.0,175.0,36.0,34.0,98.0,3125.0
2017-12-01 09:00:00+00:00,324.0,2056.0,1108.0,0.0,184.0,40.0,34.0,225.0,3012.0
2017-12-01 10:00:00+00:00,321.0,1901.0,1109.0,0.0,181.0,40.0,34.0,295.0,2914.0
2017-12-01 11:00:00+00:00,318.0,1939.0,1107.0,0.0,56.0,0.0,34.0,321.0,3023.0
2017-12-01 12:00:00+00:00,322.0,1861.0,1095.0,0.0,18.0,0.0,34.0,322.0,2995.0
2017-12-01 13:00:00+00:00,324.0,1870.0,1106.0,0.0,5.0,0.0,34.0,300.0,3033.0
2017-12-01 14:00:00+00:00,326.0,1718.0,1116.0,0.0,5.0,0.0,34.0,253.0,2956.0
2017-12-01 15:00:00+00:00,323.0,1904.0,1114.0,0.0,5.0,0.0,35.0,184.0,2761.0
2017-12-01 16:00:00+00:00,327.0,1991.0,1224.0,0.0,6.0,0.0,35.0,50.0,2769.0
2017-12-01 17:00:00+00:00,330.0,2495.0,1347.0,264.0,443.0,0.0,34.0,0.0,2569.0
2017-12-01 18:00:00+00:00,328.0,2614.0,1402.0,953.0,496.0,34.0,36.0,0.0,2325.0
2017-12-01 19:00:00+00:00,331.0,2627.0,1411.0,1184.0,481.0,188.0,36.0,0.0,2000.0
2017-12-01 20:00:00+00:00,329.0,2419.0,1408.0,993.0,291.0,35.0,35.0,0.0,1829.0
2017-12-01 21:00:00+00:00,324.0,2567.0,1406.0,1266.0,249.0,1.0,34.0,0.0,1734.0
2017-12-01 22:00:00+00:00,322.0,2227.0,1405.0,377.0,122.0,0.0,34.0,0.0,1833.0
