,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
2018-03-01 00:00:00+01:00,308.0,2028.0,0.0,0.0,34.0,36.0,4962.0,757.0,0.0,249.0,818.0,1110.0
2018-03-01 01:00:00+01:00,316.0,1963.0,0.0,0.0,884.0,35.0,4961.0,762.0,0.0,251.0,817.0,1047.0
2018-03-01 02:00:00+01:00,334.0,1986.0,0.0,0.0,879.0,35.0,4962.0,766.0,0.0,258.0,814.0,1071.0
2018-03-01 03:00:00+01:00,344.0,2000.0,0.0,0.0,1055.0,34.0,4960.0,751.0,0.0,257.0,813.0,991.0
2018-03-01 04:00:00+01:00,330.0,1901.0,0.0,0.0,1098.0,33.0,4960.0,730.0,0.0,261.0,802.0,1053.0
2018-03-01 05:00:00+01:00,321.0,1959.0,0.0,0.0,1054.0,34.0,4961.0,726.0,0.0,256.0,808.0,1091.0
2018-03-01 06:00:00+01:00,326.0,2659.0,0.0,0.0,38.0,33.0,4961.0,736.0,0.0,261.0,807.0,1056.0
2018-03-01 07:00:00+01:00,323.0,3519.0,0.0,0.0,632.0,33.0,4958.0,738.0,6.0,260.0,811.0,1103.0
2018-03-01 08:00:00+01:00,319.0,3559.0,0.0,0.0,358.0,32.0,4957.0,734.0,112.0,256.0,815.0,1116.0
2018-03-01 09:00:00+01:00,317.0,3668.0,0.0,0.0,625.0,30.0,4957.0,724.0,323.0,258.0,820.0,1113.0
2018-03-01 10:00:00+01:00,327.0,3602.0,0.0,0.0,198.0,26.0,4953.0,727.0,655.0,260.0,816.0,1117.0
2018-03-01 11:00:00+01:00,335.0,3644.0,0.0,1.0,301.0,21.0,4951.0,730.0,1110.0,258.0,821.0,1074.0
2018-03-01 12:00:00+01:00,346.0,3452.0,0.0,85.0,4.0,23.0,4950.0,730.0,1435.0,257.0,818.0,986.0
2018-03-01 13:00:00+01:00,352.0,3166.0,0.0,84.0,226.0,28.0,4949.0,724.0,1511.0,261.0,820.0,1041.0
2018-03-01 14:00:00+01:00,310.0,3116.0,0.0,0.0,16.0,29.0,4949.0,729.0,1280.0,260.0,819.0,1055.0
2018-03-01 15:00:00+01:00,309.0,3130.0,0.0,0.0,17.0,31.0,4949.0,755.0,870.0,262.0,811.0,1073.0
2018-03-01 16:00:00+01:00,311.0,3078.0,0.0,0.0,65.0,34.0,4952.0,779.0,449.0,259.0,808.0,1156.0
2018-03-01 17:00:00+01:00,319.0,3133.0,0.0,0.0,116.0,36.0,4953.0,785.0,131.0,258.0,821.0,1158.0
2018-03-01 18:00:00+01:00,322.0,3211.0,0.0,0.0,850.0,36.0,4953.0,785.0,3.0,255.0,817.0,1182.0
2018-03-01 19:00:00+01:00,322.0,3496.0,0.0,0.0,913.0,36.0,4955.0,786.0,0.0,257.0,812.0,1190.0
2018-03-01 20:00:00+01:00,334.0,3196.0,0.0,0.0,668.0,34.0,4957.0,789.0,0.0,251.0,816.0,1176.0
2018-03-01 21:00:00+01:00,348.0,3032.0,0.0,0.0,229.0,33.0,4956.0,788.0,0.0,240.0,812.0,1177.0
2018-03-01 22:00:00+01:00,336.0,2462.0,0.0,0.0,1.0,31.0,4956.0,786.0,0.0,242.0,804.0,1211.0
2018-03-01 23:00:00+01:00,332.0,2015.0,0.0,0.0,184.0,31.0,4957.0,791.0,0.0,246.0,815.0,1197.0
2018-03-02 00:00:00+01:00,329.0,1862.0,0.0,0.0,83.0,32.0,4958.0,795.0,0.0,249.0,811.0,1165.0
2018-03-02 01:00:00+01:00,329.0,1903.0,0.0,0.0,266.0,32.0,4957.0,795.0,0.0,254.0,809.0,1092.0
2018-03-02 02:00:00+01:00,343.0,1882.0,0.0,0.0,529.0,32.0,4958.0,799.0,0.0,254.0,808.0,1015.0
2018-03-02 03:00:00+01:00,348.0,1784.0,0.0,0.0,1094.0,33.0,4958.0,798.0,0.0,256.0,809.0,930.0
2018-03-02 04:00:00+01:00,352.0,1745.0,0.0,0.0,1115.0,33.0,4958.0,788.0,0.0,256.0,811.0,993.0
2018-03-02 05:00:00+01:00,351.0,1771.0,0.0,0.0,1081.0,34.0,4958.0,792.0,0.0,254.0,800.0,985.0
2018-03-02 06:00:00+01:00,352.0,2212.0,0.0,0.0,191.0,34.0,4958.0,779.0,0.0,254.0,803.0,903.0
