,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Wind Offshore,Wind Onshore
2018-03-31 23:00:00+01:00,2076.0,14010.0,1052.0,0.0,148.0,131.0,7461.0,131.0,0.0,1110.0,2087.0
2018-03-31 23:30:00+01:00,2079.0,12767.0,883.0,0.0,240.0,129.0,7457.0,131.0,0.0,1163.0,1997.0
2018-04-01 00:00:00+01:00,2076.0,12706.0,467.0,0.0,40.0,109.0,7467.0,130.0,0.0,51.0,1024.0
2018-04-01 00:30:00+01:00,2076.0,12250.0,309.0,0.0,0.0,107.0,7471.0,130.0,0.0,1107.0,1835.0
2018-04-01 01:00:00+01:00,2072.0,12516.0,370.0,0.0,0.0,106.0,7461.0,130.0,0.0,1068.0,1708.0
2018-04-01 01:30:00+01:00,2079.0,12791.0,467.0,0.0,0.0,121.0,7467.0,130.0,0.0,971.0,1672.0
2018-04-01 02:00:00+01:00,2077.0,13111.0,507.0,0.0,0.0,205.0,7451.0,130.0,0.0,992.0,1509.0
2018-04-01 02:30:00+01:00,1874.0,13129.0,507.0,0.0,0.0,266.0,7466.0,130.0,0.0,1243.0,1450.0
2018-04-01 03:00:00+01:00,1466.0,13180.0,508.0,0.0,0.0,269.0,7463.0,131.0,0.0,1323.0,1354.0
2018-04-01 03:30:00+01:00,1461.0,13123.0,505.0,0.0,0.0,268.0,7461.0,130.0,0.0,81.0,814.0
2018-04-01 04:00:00+01:00,1450.0,13145.0,502.0,0.0,0.0,267.0,7459.0,131.0,0.0,1240.0,1311.0
2018-04-01 04:30:00+01:00,1452.0,13034.0,508.0,0.0,0.0,260.0,7465.0,130.0,0.0,86.0,786.0
2018-04-01 05:00:00+01:00,1464.0,12988.0,504.0,0.0,0.0,125.0,7447.0,130.0,3.0,1139.0,1272.0
2018-04-01 05:30:00+01:00,1463.0,12954.0,534.0,0.0,0.0,136.0,7457.0,130.0,1.0,1163.0,1289.0
2018-04-01 06:00:00+01:00,1463.0,13212.0,567.0,0.0,0.0,141.0,7463.0,129.0,0.0,1161.0,1293.0
2018-04-01 06:30:00+01:00,1462.0,13407.0,815.0,0.0,0.0,140.0,7461.0,129.0,2.0,982.0,1257.0
