,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Waste,Wind Onshore
2018-04-01 00:00:00+02:00,83.0,488.0,375.0,0.0,5.0,0.0,1925.0,88.0,14.0,18.0,59.0
2018-04-01 00:15:00+02:00,82.0,445.0,392.0,0.0,5.0,0.0,1925.0,88.0,14.0,19.0,73.0
2018-04-01 00:30:00+02:00,82.0,435.0,350.0,0.0,5.0,0.0,1924.0,88.0,14.0,19.0,90.0
2018-04-01 00:45:00+02:00,83.0,427.0,310.0,0.0,5.0,0.0,1924.0,88.0,13.0,19.0,86.0
2018-04-01 01:00:00+02:00,83.0,420.0,365.0,0.0,5.0,0.0,1924.0,88.0,12.0,19.0,85.0
2018-04-01 01:15:00+02:00,82.0,392.0,366.0,0.0,5.0,0.0,1923.0,88.0,11.0,19.0,81.0
2018-04-01 01:30:00+02:00,81.0,398.0,345.0,0.0,5.0,0.0,1918.0,88.0,12.0,19.0,92.0
2018-04-01 01:45:00+02:00,83.0,390.0,285.0,0.0,5.0,0.0,1918.0,79.0,11.0,19.0,119.0
2018-04-01 02:00:00+02:00,83.0,368.0,329.0,0.0,5.0,0.0,1921.0,79.0,12.0,19.0,133.0
2018-04-01 02:15:00+02:00,83.0,322.0,339.0,0.0,5.0,0.0,1917.0,79.0,10.0,19.0,142.0
2018-04-01 02:30:00+02:00,83.0,311.0,321.0,1.0,5.0,0.0,1917.0,79.0,8.0,19.0,156.0
2018-04-01 02:45:00+02:00,82.0,311.0,286.0,1.0,5.0,0.0,1916.0,79.0,7.0,19.0,155.0
2018-04-01 03:00:00+02:00,77.0,295.0,364.0,1.0,5.0,0.0,1918.0,79.0,6.0,19.0,160.0
2018-04-01 03:15:00+02:00,67.0,316.0,345.0,1.0,5.0,0.0,1917.0,79.0,6.0,19.0,173.0
