,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2018-09-01 00:00:00+02:00,4487.0,14147.0,4989.0,11105.0,285.0,13.0,602.0,1659.0,126.0,7864.0,237.0,129.0,0.0,553.0,485.0,3951.0
2018-09-01 00:15:00+02:00,4477.0,14131.0,4922.0,11035.0,277.0,13.0,508.0,1659.0,111.0,7854.0,236.0,129.0,0.0,545.0,472.0,3821.0
2018-09-01 00:30:00+02:00,4487.0,14117.0,4933.0,10814.0,287.0,13.0,478.0,1660.0,105.0,7854.0,236.0,129.0,0.0,560.0,514.0,3716.0
2018-09-01 00:45:00+02:00,4503.0,14148.0,4904.0,10467.0,287.0,13.0,312.0,1661.0,103.0,7859.0,236.0,129.0,0.0,542.0,549.0,3689.0
2018-09-01 01:00:00+02:00,4479.0,14152.0,4887.0,10316.0,303.0,13.0,370.0,1666.0,108.0,7873.0,236.0,129.0,0.0,558.0,539.0,3706.0
2018-09-01 01:15:00+02:00,4482.0,14152.0,4433.0,10218.0,300.0,13.0,646.0,1674.0,106.0,7871.0,245.0,129.0,0.0,555.0,552.0,3718.0
2018-09-01 01:30:00+02:00,4490.0,14104.0,4442.0,10224.0,296.0,13.0,259.0,1680.0,106.0,7872.0,245.0,129.0,0.0,560.0,517.0,3728.0
2018-09-01 01:45:00+02:00,4500.0,14112.0,4441.0,10165.0,289.0,13.0,320.0,1684.0,128.0,7874.0,245.0,129.0,0.0,555.0,489.0,3834.0
2018-09-01 02:00:00+02:00,4500.0,14152.0,4498.0,10092.0,300.0,13.0,256.0,1689.0,128.0,7887.0,244.0,129.0,0.0,561.0,449.0,3902.0
2018-09-01 02:15:00+02:00,4493.0,14118.0,4430.0,10038.0,291.0,13.0,241.0,1697.0,129.0,7882.0,245.0,129.0,0.0,557.0,432.0,3974.0
2018-09-01 02:30:00+02:00,4505.0,14122.0,4439.0,9985.0,294.0,13.0,212.0,1708.0,122.0,7882.0,244.0,129.0,0.0,556.0,409.0,4051.0
2018-09-01 02:45:00+02:00,4498.0,14135.0,4421.0,9869.0,304.0,13.0,196.0,1713.0,100.0,7876.0,245.0,129.0,0.0,557.0,371.0,4136.0
2018-09-01 03:00:00+02:00,4504.0,14116.0,4290.0,9651.0,310.0,13.0,195.0,1729.0,148.0,7884.0,244.0,129.0,0.0,552.0,349.0,4204.0
2018-09-01 03:15:00+02:00,4510.0,14099.0,4272.0,9598.0,298.0,13.0,196.0,1742.0,116.0,7881.0,244.0,129.0,0.0,551.0,327.0,4205.0
2018-09-01 03:30:00+02:00,4511.0,14103.0,4298.0,9570.0,290.0,13.0,196.0,1748.0,126.0,7881.0,245.0,129.0,0.0,550.0,326.0,4183.0
2018-09-01 03:45:00+02:00,4519.0,14137.0,4282.0,9546.0,296.0,13.0,231.0,1758.0,142.0,7882.0,245.0,129.0,0.0,544.0,325.0,4135.0
2018-09-01 04:00:00+02:00,4508.0,14143.0,4340.0,9599.0,286.0,14.0,233.0,1772.0,118.0,7886.0,245.0,129.0,0.0,547.0,316.0,4044.0
2018-09-01 04:15:00+02:00,4514.0,14131.0,4327.0,9628.0,292.0,14.0,249.0,1784.0,84.0,7881.0,245.0,129.0,0.0,551.0,302.0,3942.0
