,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
2018-09-01 00:00:00+02:00,382.0,162.0,247.0,20.0,0.0,122.0,91.0,127.0
2018-09-01 01:00:00+02:00,382.0,141.0,202.0,12.0,0.0,119.0,72.0,117.0
2018-09-01 02:00:00+02:00,381.0,146.0,210.0,13.0,0.0,119.0,84.0,119.0
2018-09-01 03:00:00+02:00,358.0,124.0,203.0,13.0,0.0,113.0,90.0,115.0
2018-09-01 04:00:00+02:00,375.0,117.0,195.0,11.0,0.0,115.0,96.0,120.0
2018-09-01 05:00:00+02:00,373.0,120.0,202.0,12.0,0.0,113.0,142.0,112.0
2018-09-01 06:00:00+02:00,312.0,122.0,200.0,12.0,2.0,114.0,173.0,106.0
2018-09-01 07:00:00+02:00,379.0,133.0,205.0,13.0,28.0,116.0,156.0,113.0
2018-09-01 08:00:00+02:00,388.0,152.0,206.0,12.0,95.0,117.0,159.0,111.0
2018-09-01 09:00:00+02:00,387.0,156.0,188.0,13.0,201.0,118.0,154.0,106.0
2018-09-01 10:00:00+02:00,382.0,157.0,187.0,13.0,276.0,118.0,154.0,95.0
2018-09-01 11:00:00+02:00,296.0,155.0,183.0,12.0,331.0,117.0,116.0,77.0
2018-09-01 12:00:00+02:00,240.0,156.0,190.0,13.0,327.0,118.0,130.0,76.0
2018-09-01 13:00:00+02:00,132.0,171.0,215.0,18.0,328.0,121.0,181.0,88.0
2018-09-01 14:00:00+02:00,214.0,130.0,178.0,11.0,322.0,119.0,138.0,131.0
2018-09-01 15:00:00+02:00,229.0,132.0,185.0,12.0,356.0,118.0,93.0,174.0
2018-09-01 16:00:00+02:00,219.0,130.0,188.0,11.0,334.0,120.0,88.0,178.0
2018-09-01 17:00:00+02:00,320.0,153.0,201.0,13.0,217.0,123.0,78.0,165.0
2018-09-01 18:00:00+02:00,398.0,169.0,193.0,12.0,111.0,122.0,56.0,117.0
2018-09-01 19:00:00+02:00,401.0,184.0,205.0,14.0,31.0,122.0,38.0,73.0
2018-09-01 20:00:00+02:00,408.0,169.0,198.0,13.0,1.0,123.0,16.0,83.0
2018-09-01 21:00:00+02:00,401.0,158.0,195.0,12.0,0.0,122.0,1.0,81.0
2018-09-01 22:00:00+02:00,361.0,134.0,191.0,12.0,0.0,121.0,2.0,51.0
2018-09-01 23:00:00+02:00,358.0,118.0,188.0,11.0,0.0,120.0,2.0,49.0
2018-09-02 00:00:00+02:00,302.0,143.0,237.0,19.0,0.0,123.0,4.0,37.0
2018-09-02 01:00:00+02:00,306.0,130.0,217.0,15.0,0.0,120.0,2.0,25.0
2018-09-02 02:00:00+02:00,249.0,120.0,196.0,12.0,0.0,118.0,8.0,23.0
2018-09-02 03:00:00+02:00,232.0,117.0,192.0,11.0,0.0,120.0,2.0,28.0
2018-09-02 04:00:00+02:00,220.0,116.0,191.0,11.0,0.0,118.0,3.0,31.0
2018-09-02 05:00:00+02:00,218.0,117.0,187.0,11.0,0.0,119.0,3.0,34.0
2018-09-02 06:00:00+02:00,218.0,119.0,184.0,11.0,4.0,120.0,15.0,34.0
2018-09-02 07:00:00+02:00,227.0,131.0,193.0,11.0,48.0,122.0,28.0,35.0
2018-09-02 08:00:00+02:00,237.0,154.0,192.0,12.0,159.0,120.0,14.0,32.0
2018-09-02 09:00:00+02:00,374.0,154.0,191.0,11.0,316.0,119.0,5.0,30.0
2018-09-02 10:00:00+02:00,379.0,154.0,186.0,11.0,453.0,121.0,1.0,31.0
2018-09-02 11:00:00+02:00,379.0,133.0,187.0,11.0,509.0,117.0,6.0,33.0
2018-09-02 12:00:00+02:00,385.0,134.0,192.0,12.0,537.0,110.0,21.0,45.0
2018-09-02 13:00:00+02:00,381.0,139.0,200.0,14.0,510.0,110.0,49.0,69.0
2018-09-02 14:00:00+02:00,381.0,129.0,185.0,11.0,452.0,110.0,74.0,105.0
2018-09-02 15:00:00+02:00,383.0,136.0,205.0,13.0,418.0,111.0,88.0,127.0
2018-09-02 16:00:00+02:00,384.0,131.0,197.0,12.0,335.0,109.0,100.0,158.0
2018-09-02 17:00:00+02:00,369.0,136.0,196.0,12.0,240.0,109.0,125.0,188.0
2018-09-02 18:00:00+02:00,362.0,170.0,260.0,14.0,122.0,110.0,168.0,210.0
2018-09-02 19:00:00+02:00,360.0,173.0,297.0,14.0,30.0,111.0,196.0,217.0
2018-09-02 20:00:00+02:00,366.0,144.0,254.0,11.0,1.0,109.0,248.0,262.0
2018-09-02 21:00:00+02:00,348.0,135.0,253.0,11.0,0.0,109.0,252.0,324.0
