,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2018-11-01 00:00:00+01:00,78.66,2735.18,754.4000000000001,161.26,8.76,68.04,26.544,548.028,0.0,220.41058,52.943
2018-11-01 01:00:00+01:00,78.43,1911.0,323.08000000000004,167.857,54.576,67.464,18.816,546.54,0.0,223.17724,46.837999999999994
2018-11-01 02:00:00+01:00,78.43,1590.54,78.72,166.391,47.952,66.24,18.984,545.544,0.0,225.02168,44.836
2018-11-01 03:00:00+01:00,78.43,1479.8,16.400000000000002,167.124,63.168,66.072,11.808,541.14,0.0,225.9439,44.297
2018-11-01 04:00:00+01:00,78.66,1455.79,16.400000000000002,167.124,65.688,66.57600000000001,10.656,536.124,0.0,228.71056000000002,43.867999999999995
2018-11-01 05:00:00+01:00,78.66,1421.49,13.940000000000001,167.124,69.21600000000001,67.44,11.616,530.736,0.0,221.33280000000002,47.068999999999996
2018-11-01 06:00:00+01:00,78.66,1519.0,13.120000000000001,167.124,68.712,68.808,10.992,535.068,0.0,223.17724,45.958
2018-11-01 07:00:00+01:00,78.43,1621.8999999999999,12.3,167.124,68.64,68.424,11.040000000000001,537.552,3.936,220.41058,45.254
2018-11-01 08:00:00+01:00,78.2,1807.61,12.3,167.857,58.44,68.496,14.88,541.7760000000001,12.095,218.56614000000002,46.584999999999994
2018-11-01 09:00:00+01:00,78.43,2061.43,13.120000000000001,167.857,48.6,70.128,23.088,546.924,34.973,218.56614000000002,41.096
2018-11-01 10:00:00+01:00,78.43,2148.65,11.48,167.857,29.64,73.224,20.376,545.544,63.017,218.56614000000002,36.872
2018-11-01 11:00:00+01:00,78.2,2253.02,19.68,167.857,16.92,72.24,17.688,546.24,89.74900000000001,216.7217,35.189
2018-11-01 12:00:00+01:00,78.66,2345.14,27.060000000000002,167.857,8.736,70.176,16.848,549.12,99.343,220.41058,32.769
2018-11-01 13:00:00+01:00,78.66,2387.77,27.060000000000002,167.857,0.456,64.68,17.328,547.152,97.129,220.41058,32.692
2018-11-01 14:00:00+01:00,78.66,2453.92,26.240000000000002,167.857,30.384,65.112,16.392,543.864,76.424,218.56614000000002,33.891
2018-11-01 15:00:00+01:00,78.66,2499.49,26.240000000000002,167.857,44.28,64.416,17.376,546.2280000000001,50.143,220.41058,31.779
2018-11-01 16:00:00+01:00,78.43,2742.5299999999997,29.520000000000003,167.857,37.896,66.0,19.968,546.0360000000001,22.181,224.09946000000002,32.296
2018-11-01 17:00:00+01:00,78.66,3049.7599999999998,30.340000000000003,167.857,20.112000000000002,73.92,29.064,544.848,6.314,225.02168,35.079
2018-11-01 18:00:00+01:00,78.66,3249.68,31.160000000000004,167.124,10.872,83.784,32.832,545.484,0.0,224.09946000000002,35.475
2018-11-01 19:00:00+01:00,78.43,3251.64,30.340000000000003,167.124,26.112000000000002,85.032,33.72,549.804,0.0,222.25502,36.41
2018-11-01 20:00:00+01:00,78.66,3177.16,30.340000000000003,167.124,11.28,82.152,28.416,549.1800000000001,0.0,221.33280000000002,36.916
2018-11-01 21:00:00+01:00,78.66,2804.27,30.340000000000003,167.124,1.272,74.16,18.264,547.884,0.0,223.17724,36.201
2018-11-01 22:00:00+01:00,78.66,2977.73,29.520000000000003,167.857,4.896,69.408,17.952,546.072,0.0,222.25502,31.151999999999997
2018-11-01 23:00:00+01:00,78.66,2866.5,28.700000000000003,167.857,15.912,66.264,18.528,544.62,0.0,223.17724,24.717
2018-11-02 00:00:00+01:00,78.66,2884.14,30.340000000000003,167.857,16.68,60.24,13.824,538.32,0.0,222.25502,19.767
2018-11-02 01:00:00+01:00,78.66,2633.2599999999998,30.340000000000003,167.857,58.296,58.776,15.432,532.236,0.0,221.33280000000002,16.137
2018-11-02 02:00:00+01:00,78.66,2635.71,30.340000000000003,167.124,71.08800000000001,58.632,17.184,526.74,0.0,220.41058,13.607
2018-11-02 03:00:00+01:00,78.66,2701.86,31.160000000000004,167.857,76.536,59.424,23.352,524.604,0.0,221.33280000000002,11.495
2018-11-02 04:00:00+01:00,78.66,2685.2,30.340000000000003,167.857,76.128,57.192,12.096,523.5,0.0,226.86612000000002,9.988
2018-11-02 05:00:00+01:00,78.43,3105.62,30.340000000000003,167.857,65.688,58.272,12.72,527.028,0.0,226.86612000000002,9.009
2018-11-02 06:00:00+01:00,78.89,3207.54,31.160000000000004,167.857,35.232,62.328,25.152,535.836,0.0,223.17724,9.251
2018-11-02 07:00:00+01:00,79.12,3166.87,242.72000000000003,167.857,2.736,67.776,31.848,538.416,3.608,218.56614000000002,9.097
2018-11-02 08:00:00+01:00,79.35000000000001,3155.11,122.18,167.857,3.648,70.656,35.088,541.02,12.095,219.48836,10.197
2018-11-02 09:00:00+01:00,79.12,3367.2799999999997,31.160000000000004,167.857,29.424,74.688,40.08,537.3,36.572,217.64392,9.976999999999999
2018-11-02 10:00:00+01:00,78.66,3414.32,29.520000000000003,167.857,29.904,76.752,38.976,530.796,73.021,214.87726,7.975
2018-11-02 11:00:00+01:00,78.66,3349.15,25.42,168.59,11.208,77.712,30.336000000000002,530.148,101.557,215.79948000000002,8.415
2018-11-02 12:00:00+01:00,78.43,3210.48,26.240000000000002,167.857,6.768,72.312,18.264,531.9,116.153,217.64392,10.747
2018-11-02 13:00:00+01:00,78.43,3236.45,26.240000000000002,167.857,6.696,68.568,21.576,532.5120000000001,114.718,216.7217,12.594999999999999
2018-11-02 14:00:00+01:00,78.43,3148.25,26.240000000000002,168.59,5.376,65.232,16.68,531.996,99.79400000000001,218.56614000000002,13.904
2018-11-02 15:00:00+01:00,78.66,3082.1,26.240000000000002,168.59,2.904,65.808,23.52,532.02,73.10300000000001,221.33280000000002,15.796
2018-11-02 16:00:00+01:00,78.66,3216.36,27.060000000000002,167.857,1.104,67.128,29.616,534.672,31.529,223.17724,16.907
2018-11-02 17:00:00+01:00,78.66,3329.5499999999997,26.240000000000002,167.857,24.72,79.632,41.4,538.488,7.462000000000001,223.17724,18.974999999999998
2018-11-02 18:00:00+01:00,79.35000000000001,3495.66,27.060000000000002,166.391,67.992,89.952,57.24,538.176,0.0,225.9439,21.252
2018-11-02 19:00:00+01:00,79.35000000000001,3417.2599999999998,26.240000000000002,166.391,63.72,88.968,52.512,539.064,0.0,225.02168,23.308999999999997
2018-11-02 20:00:00+01:00,78.66,3336.9,27.060000000000002,166.391,32.232,84.024,41.016,539.628,0.0,224.09946000000002,25.102
2018-11-02 21:00:00+01:00,78.2,3343.27,27.060000000000002,165.658,1.824,77.688,36.744,538.32,0.0,222.25502,25.773
2018-11-02 22:00:00+01:00,78.43,3184.5099999999998,27.060000000000002,165.658,0.096,72.936,32.688,533.664,0.0,221.33280000000002,26.378
2018-11-02 23:00:00+01:00,78.43,3249.68,27.060000000000002,165.658,10.032,69.624,33.72,527.16,0.0,221.33280000000002,25.872
2018-11-03 00:00:00+01:00,76.36,3158.0499999999997,35.260000000000005,164.192,12.120000000000001,61.152,31.8,522.24,0.0,223.17724,26.355999999999998
2018-11-03 01:00:00+01:00,75.44,3058.09,34.440000000000005,164.192,7.632000000000001,59.088,32.496,517.404,0.0,224.09946000000002,27.368
2018-11-03 02:00:00+01:00,75.67,3041.43,35.260000000000005,164.192,28.584,57.336,24.816,508.104,0.0,226.86612000000002,28.973999999999997
2018-11-03 03:00:00+01:00,75.67,3076.71,34.440000000000005,164.192,65.28,55.392,22.584,509.184,0.0,225.9439,30.227999999999998
2018-11-03 04:00:00+01:00,75.44,3098.7599999999998,35.260000000000005,164.192,79.656,53.952,23.400000000000002,510.86400000000003,0.0,225.9439,30.624
2018-11-03 05:00:00+01:00,75.21000000000001,3064.95,34.440000000000005,164.192,71.376,53.856,22.728,508.824,0.0,220.41058,31.548
2018-11-03 06:00:00+01:00,75.21000000000001,3120.32,35.260000000000005,164.192,48.0,55.056000000000004,27.984,511.788,0.0,216.7217,31.448999999999998
2018-11-03 07:00:00+01:00,75.21000000000001,3209.0099999999998,34.440000000000005,164.192,8.064,58.368,28.128,512.184,3.9770000000000003,213.03282000000002,32.339999999999996
2018-11-03 08:00:00+01:00,75.21000000000001,3331.5099999999998,34.440000000000005,164.192,3.12,62.616,29.256,514.5360000000001,21.115000000000002,212.1106,33.088
2018-11-03 09:00:00+01:00,75.21000000000001,3389.82,34.440000000000005,164.192,13.704,63.480000000000004,33.384,514.02,62.484,211.18838,29.205
2018-11-03 10:00:00+01:00,75.21000000000001,3432.94,35.260000000000005,164.192,16.92,66.096,31.944,512.904,110.659,209.34394,23.462999999999997
