,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2019-02-01 01:00:00+02:00,6.9,1860.5800000000002,186.2,51.660000000000004,0.0,2.88,7.5120000000000005,25.356,0.0,3.68888,1.694
2019-02-01 02:00:00+02:00,6.67,1811.38,186.69,52.480000000000004,0.0,2.88,7.5120000000000005,25.344,0.0,3.68888,1.7489999999999999
2019-02-01 03:00:00+02:00,6.9,1786.7800000000002,186.69,51.660000000000004,0.0,2.856,7.416,25.344,0.0,3.68888,2.42
2019-02-01 04:00:00+02:00,7.13,1775.3000000000002,188.16,51.660000000000004,0.0,2.832,7.5120000000000005,25.368000000000002,0.0,3.68888,3.102
2019-02-01 05:00:00+02:00,7.36,1861.4,189.63,51.660000000000004,0.0,2.8080000000000003,7.464,25.344,0.0,2.76666,3.19
2019-02-01 06:00:00+02:00,7.13,2103.3,190.12,51.660000000000004,0.0,3.048,7.344,25.344,0.0,2.76666,3.058
2019-02-01 07:00:00+02:00,6.9,2296.82,189.63,50.84,0.0,3.24,7.488,25.344,0.164,2.76666,2.904
2019-02-01 08:00:00+02:00,7.13,2332.0800000000004,187.18,50.84,0.0,4.272,8.88,25.332,5.617,3.68888,2.8489999999999998
2019-02-01 09:00:00+02:00,7.36,2297.6400000000003,184.24,51.660000000000004,0.0,4.416,9.192,25.344,14.350000000000001,3.68888,2.673
2019-02-01 10:00:00+02:00,7.36,2237.78,179.34,51.660000000000004,0.0,4.248,8.52,25.356,18.655,3.68888,2.8819999999999997
2019-02-01 11:00:00+02:00,7.82,2130.36,173.46,51.660000000000004,0.0,4.104,7.464,25.356,20.049,3.68888,2.948
2019-02-01 12:00:00+02:00,7.82,2076.2400000000002,173.46,52.480000000000004,0.0,3.936,7.296,25.344,19.229,2.76666,3.0029999999999997
2019-02-01 13:00:00+02:00,7.82,1864.68,171.5,50.84,0.0,3.84,7.008,25.356,22.55,2.76666,2.42
2019-02-01 14:00:00+02:00,7.82,1783.5000000000002,174.44,50.84,0.0,3.96,6.744,25.356,19.475,3.68888,2.2439999999999998
2019-02-01 15:00:00+02:00,7.82,1954.88,170.52,50.02,0.0,4.032,7.2,25.38,11.193,4.6111,1.9029999999999998
2019-02-01 16:00:00+02:00,7.82,2273.86,176.89,51.660000000000004,0.0,3.864,6.912,25.368000000000002,3.157,4.6111,1.4409999999999998
2019-02-01 17:00:00+02:00,7.82,2314.86,184.24,51.660000000000004,0.504,4.056,12.72,25.368000000000002,0.082,4.6111,1.045
2019-02-01 18:00:00+02:00,7.590000000000001,2323.88,188.65,51.660000000000004,3.648,3.8160000000000003,21.192,25.344,0.0,3.68888,0.858
2019-02-01 19:00:00+02:00,7.13,2325.52,187.67,51.660000000000004,3.24,3.696,22.080000000000002,25.332,0.0,3.68888,1.045
2019-02-01 20:00:00+02:00,6.9,2312.4,188.16,50.02,1.032,3.2880000000000003,19.92,25.344,0.0,3.68888,1.2209999999999999
2019-02-01 21:00:00+02:00,6.9,2304.2000000000003,188.16,49.2,0.0,3.192,16.68,25.356,0.0,3.68888,1.188
2019-02-01 22:00:00+02:00,7.13,2296.82,189.14,50.02,0.0,2.904,14.4,25.344,0.0,3.68888,0.506
2019-02-01 23:00:00+02:00,7.13,2292.7200000000003,188.65,50.02,0.0,2.688,9.0,25.356,0.0,3.68888,0.43999999999999995
2019-02-02 00:00:00+02:00,6.67,2250.9,185.22,49.2,0.0,2.664,2.352,25.368000000000002,0.0,3.68888,0.627
2019-02-02 01:00:00+02:00,6.9,2016.38,185.71,50.02,0.0,2.64,2.112,25.344,0.0,3.68888,0.825
2019-02-02 02:00:00+02:00,7.13,1884.3600000000001,186.2,50.02,0.0,2.664,3.36,25.368000000000002,0.0,3.68888,0.979
2019-02-02 03:00:00+02:00,7.13,1851.5600000000002,186.2,50.02,0.0,2.712,2.976,25.38,0.0,3.68888,1.1989999999999998
2019-02-02 04:00:00+02:00,6.67,1836.8000000000002,186.69,50.84,0.0,2.736,3.192,25.392,0.0,3.68888,1.133
2019-02-02 05:00:00+02:00,6.67,1835.9800000000002,190.12,50.84,0.0,2.832,4.32,25.392,0.0,3.68888,1.133
2019-02-02 06:00:00+02:00,6.9,1968.8200000000002,190.12,50.84,0.0,3.048,4.632,25.368000000000002,0.0,3.68888,1.518
2019-02-02 07:00:00+02:00,6.44,2088.54,189.63,50.84,0.0,3.168,5.16,25.356,0.20500000000000002,3.68888,2.75
2019-02-02 08:00:00+02:00,7.13,2102.48,190.12,50.84,0.0,3.504,9.168000000000001,25.332,3.608,3.68888,3.553
