,Hydro Water Reservoir,Nuclear,Other,Wind Onshore
2019-04-01 00:00:00+02:00,121.872,97.08,1254.6000000000001,35.486
2019-04-01 01:00:00+02:00,117.072,97.092,1260.3400000000001,32.824
2019-04-01 02:00:00+02:00,117.98400000000001,97.08,1261.98,29.534999999999997
2019-04-01 03:00:00+02:00,121.632,97.056,1275.1000000000001,27.049
2019-04-01 04:00:00+02:00,146.808,97.08,1230.8200000000002,24.892999999999997
2019-04-01 05:00:00+02:00,194.448,97.068,1240.66,22.869
2019-04-01 06:00:00+02:00,245.256,97.008,1257.88,22.076999999999998
2019-04-01 07:00:00+02:00,253.94400000000002,96.97200000000001,1261.98,21.549
2019-04-01 08:00:00+02:00,255.672,96.97200000000001,1301.3400000000001,21.416999999999998
2019-04-01 09:00:00+02:00,255.48000000000002,97.008,1324.3000000000002,22.913
2019-04-01 10:00:00+02:00,251.568,97.008,1343.98,23.605999999999998
2019-04-01 11:00:00+02:00,238.584,97.008,1322.66,26.201999999999998
2019-04-01 12:00:00+02:00,225.096,96.97200000000001,1300.5200000000002,27.621
2019-04-01 13:00:00+02:00,217.008,96.876,1301.3400000000001,29.601
2019-04-01 14:00:00+02:00,202.752,96.888,1290.68,29.964
2019-04-01 15:00:00+02:00,205.22400000000002,96.9,1281.66,29.997
2019-04-01 16:00:00+02:00,215.73600000000002,96.912,1261.16,29.116999999999997
2019-04-01 17:00:00+02:00,218.808,96.888,1252.96,28.038999999999998
2019-04-01 18:00:00+02:00,239.64000000000001,96.864,1250.5,27.522
2019-04-01 19:00:00+02:00,243.12,96.852,1230.8200000000002,28.137999999999998
2019-04-01 20:00:00+02:00,236.832,96.876,1252.14,29.436
2019-04-01 21:00:00+02:00,217.824,96.936,1248.0400000000002,30.194999999999997
2019-04-01 22:00:00+02:00,190.704,95.47200000000001,1242.3000000000002,31.701999999999998
2019-04-01 23:00:00+02:00,148.848,92.256,1227.5400000000002,32.747
2019-04-02 00:00:00+02:00,114.168,90.97200000000001,1191.46,33.55
2019-04-02 01:00:00+02:00,112.608,89.58,1196.38,34.562
2019-04-02 02:00:00+02:00,109.584,86.736,1183.26,35.552
2019-04-02 03:00:00+02:00,114.408,85.056,1195.5600000000002,36.321999999999996
2019-04-02 04:00:00+02:00,122.784,85.056,1212.7800000000002,37.388999999999996
2019-04-02 05:00:00+02:00,158.424,85.056,1238.2,36.739999999999995
2019-04-02 06:00:00+02:00,229.368,85.008,1263.6200000000001,36.41
2019-04-02 07:00:00+02:00,246.24,84.98400000000001,1296.42,35.783
