,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Solar,Waste,Wind Onshore
2019-05-01 00:00:00+02:00,300.0,74.0,291.0,0.0,0.0,78.0,4389.0,440.0,22.0,0.0,0.0,100.0,2476.0
2019-05-01 00:15:00+02:00,300.0,74.0,228.0,0.0,0.0,52.0,4382.0,443.0,22.0,0.0,0.0,100.0,2488.0
2019-05-01 00:30:00+02:00,300.0,74.0,181.0,0.0,0.0,12.0,4368.0,420.0,22.0,0.0,0.0,100.0,2512.0
2019-05-01 00:45:00+02:00,300.0,74.0,158.0,0.0,0.0,0.0,4380.0,310.0,22.0,0.0,0.0,100.0,2508.0
2019-05-01 01:00:00+02:00,300.0,74.0,158.0,0.0,0.0,0.0,4370.0,323.0,22.0,0.0,0.0,100.0,2524.0
2019-05-01 01:15:00+02:00,300.0,73.0,138.0,0.0,0.0,0.0,4322.0,329.0,22.0,0.0,0.0,100.0,2532.0
2019-05-01 01:30:00+02:00,300.0,71.0,142.0,0.0,0.0,0.0,4294.0,325.0,22.0,0.0,0.0,100.0,2540.0
2019-05-01 01:45:00+02:00,300.0,72.0,131.0,0.0,0.0,0.0,4324.0,217.0,22.0,0.0,0.0,100.0,2556.0
2019-05-01 02:00:00+02:00,296.0,72.0,133.0,0.0,0.0,0.0,4270.0,370.0,22.0,0.0,0.0,100.0,2576.0
2019-05-01 02:15:00+02:00,296.0,71.0,53.0,0.0,0.0,0.0,4230.0,389.0,22.0,0.0,0.0,100.0,2588.0
2019-05-01 02:30:00+02:00,296.0,71.0,0.0,0.0,0.0,0.0,4224.0,406.0,22.0,0.0,0.0,100.0,2608.0
2019-05-01 02:45:00+02:00,296.0,72.0,0.0,0.0,0.0,0.0,4246.0,372.0,22.0,0.0,0.0,100.0,2568.0
2019-05-01 03:00:00+02:00,296.0,72.0,0.0,0.0,0.0,0.0,4240.0,365.0,22.0,0.0,0.0,100.0,2496.0
2019-05-01 03:15:00+02:00,296.0,72.0,0.0,0.0,0.0,0.0,4223.0,391.0,22.0,0.0,0.0,100.0,2448.0
2019-05-01 03:30:00+02:00,296.0,71.0,0.0,0.0,0.0,0.0,4211.0,409.0,22.0,0.0,0.0,100.0,2464.0
2019-05-01 03:45:00+02:00,296.0,72.0,0.0,0.0,0.0,0.0,4212.0,351.0,22.0,0.0,0.0,100.0,2460.0
2019-05-01 04:00:00+02:00,296.0,72.0,0.0,0.0,0.0,0.0,4174.0,355.0,22.0,0.0,0.0,100.0,2412.0
2019-05-01 04:15:00+02:00,296.0,72.0,0.0,0.0,0.0,0.0,4175.0,342.0,22.0,0.0,0.0,100.0,2392.0
2019-05-01 04:30:00+02:00,296.0,72.0,0.0,0.0,0.0,0.0,4158.0,352.0,22.0,0.0,0.0,100.0,2396.0
2019-05-01 04:45:00+02:00,296.0,72.0,0.0,0.0,0.0,0.0,4148.0,373.0,22.0,0.0,0.0,100.0,2400.0
2019-05-01 05:00:00+02:00,296.0,71.0,0.0,0.0,0.0,0.0,4171.0,338.0,22.0,0.0,8.0,100.0,2408.0
2019-05-01 05:15:00+02:00,296.0,71.0,0.0,0.0,0.0,0.0,4173.0,312.0,22.0,0.0,16.0,100.0,2388.0
2019-05-01 05:30:00+02:00,296.0,70.0,0.0,0.0,0.0,0.0,4154.0,310.0,22.0,0.0,24.0,100.0,2372.0
2019-05-01 05:45:00+02:00,296.0,70.0,0.0,0.0,0.0,0.0,4183.0,309.0,22.0,0.0,28.0,100.0,2324.0
2019-05-01 06:00:00+02:00,296.0,61.0,0.0,0.0,0.0,0.0,4163.0,377.0,22.0,0.0,40.0,100.0,2284.0
2019-05-01 06:15:00+02:00,296.0,53.0,0.0,0.0,0.0,0.0,4153.0,405.0,22.0,0.0,52.0,100.0,2200.0
2019-05-01 06:30:00+02:00,296.0,52.0,0.0,0.0,0.0,0.0,4182.0,399.0,22.0,0.0,64.0,100.0,2172.0
2019-05-01 06:45:00+02:00,296.0,50.0,0.0,0.0,0.0,0.0,4171.0,386.0,22.0,0.0,76.0,100.0,2164.0
2019-05-01 07:00:00+02:00,292.0,52.0,0.0,0.0,0.0,0.0,4318.0,366.0,22.0,0.0,108.0,100.0,2120.0
2019-05-01 07:15:00+02:00,292.0,52.0,0.0,0.0,0.0,0.0,4348.0,360.0,22.0,0.0,132.0,100.0,2072.0
2019-05-01 07:30:00+02:00,292.0,51.0,0.0,0.0,0.0,0.0,4330.0,372.0,22.0,0.0,160.0,100.0,2076.0
2019-05-01 07:45:00+02:00,292.0,52.0,0.0,0.0,0.0,0.0,4352.0,330.0,22.0,0.0,184.0,100.0,2000.0
2019-05-01 08:00:00+02:00,292.0,60.0,0.0,0.0,0.0,0.0,4430.0,307.0,22.0,0.0,216.0,100.0,1972.0
2019-05-01 08:15:00+02:00,292.0,67.0,0.0,0.0,0.0,0.0,4463.0,264.0,22.0,0.0,252.0,100.0,1976.0
2019-05-01 08:30:00+02:00,292.0,69.0,0.0,0.0,0.0,0.0,4480.0,237.0,22.0,0.0,284.0,100.0,1972.0
2019-05-01 08:45:00+02:00,292.0,69.0,0.0,0.0,0.0,0.0,4472.0,227.0,22.0,0.0,316.0,100.0,2004.0
2019-05-01 09:00:00+02:00,292.0,68.0,0.0,0.0,0.0,0.0,4460.0,240.0,22.0,0.0,368.0,100.0,1932.0
2019-05-01 09:15:00+02:00,292.0,68.0,0.0,0.0,0.0,0.0,4405.0,232.0,22.0,0.0,416.0,100.0,1868.0
2019-05-01 09:30:00+02:00,292.0,67.0,0.0,0.0,0.0,0.0,4350.0,209.0,22.0,0.0,468.0,100.0,1896.0
2019-05-01 09:45:00+02:00,292.0,65.0,0.0,0.0,0.0,0.0,4294.0,206.0,22.0,0.0,516.0,100.0,2064.0
2019-05-01 10:00:00+02:00,292.0,52.0,0.0,0.0,0.0,0.0,4287.0,151.0,22.0,0.0,540.0,100.0,2200.0
2019-05-01 10:15:00+02:00,292.0,50.0,0.0,0.0,0.0,0.0,4247.0,149.0,22.0,0.0,560.0,100.0,2300.0
2019-05-01 10:30:00+02:00,292.0,51.0,0.0,0.0,0.0,0.0,4220.0,141.0,22.0,0.0,584.0,100.0,2404.0
2019-05-01 10:45:00+02:00,292.0,50.0,0.0,0.0,0.0,0.0,4182.0,134.0,22.0,0.0,604.0,100.0,2424.0
2019-05-01 11:00:00+02:00,292.0,50.0,0.0,0.0,0.0,0.0,4164.0,138.0,22.0,0.0,628.0,100.0,2436.0
2019-05-01 11:15:00+02:00,292.0,50.0,0.0,0.0,0.0,0.0,4129.0,142.0,22.0,0.0,656.0,100.0,2500.0
2019-05-01 11:30:00+02:00,292.0,50.0,0.0,0.0,0.0,0.0,4115.0,142.0,22.0,0.0,680.0,100.0,2404.0
2019-05-01 11:45:00+02:00,292.0,50.0,0.0,0.0,0.0,0.0,4088.0,138.0,22.0,0.0,704.0,100.0,2328.0
2019-05-01 12:00:00+02:00,292.0,50.0,0.0,0.0,0.0,0.0,4046.0,135.0,22.0,0.0,728.0,100.0,2244.0
2019-05-01 12:15:00+02:00,292.0,50.0,0.0,0.0,0.0,0.0,3960.0,123.0,22.0,0.0,756.0,100.0,2208.0
2019-05-01 12:30:00+02:00,292.0,49.0,0.0,0.0,0.0,0.0,3874.0,122.0,22.0,0.0,780.0,100.0,2212.0
2019-05-01 12:45:00+02:00,292.0,46.0,0.0,0.0,0.0,0.0,3790.0,119.0,22.0,0.0,804.0,100.0,2180.0
2019-05-01 13:00:00+02:00,292.0,39.0,0.0,0.0,0.0,0.0,3823.0,105.0,22.0,0.0,780.0,100.0,2196.0
2019-05-01 13:15:00+02:00,292.0,38.0,0.0,0.0,0.0,0.0,3795.0,112.0,22.0,0.0,756.0,100.0,2188.0
2019-05-01 13:30:00+02:00,292.0,38.0,0.0,0.0,0.0,0.0,3790.0,110.0,22.0,0.0,732.0,100.0,2256.0
2019-05-01 13:45:00+02:00,292.0,38.0,0.0,0.0,0.0,0.0,3789.0,98.0,22.0,0.0,708.0,100.0,2140.0
2019-05-01 14:00:00+02:00,292.0,38.0,0.0,0.0,0.0,0.0,3864.0,91.0,22.0,0.0,696.0,100.0,2008.0
2019-05-01 14:15:00+02:00,292.0,38.0,0.0,0.0,0.0,0.0,3790.0,87.0,22.0,0.0,684.0,100.0,1996.0
2019-05-01 14:30:00+02:00,292.0,38.0,0.0,0.0,0.0,0.0,3768.0,87.0,22.0,0.0,672.0,100.0,1980.0
2019-05-01 14:45:00+02:00,292.0,38.0,0.0,0.0,0.0,0.0,3780.0,86.0,22.0,0.0,660.0,100.0,1952.0
2019-05-01 15:00:00+02:00,292.0,38.0,0.0,0.0,0.0,0.0,3874.0,105.0,22.0,0.0,640.0,100.0,1988.0
2019-05-01 15:15:00+02:00,292.0,38.0,0.0,0.0,0.0,0.0,3836.0,114.0,22.0,0.0,616.0,100.0,2108.0
2019-05-01 15:30:00+02:00,292.0,38.0,0.0,0.0,0.0,0.0,3771.0,108.0,22.0,0.0,592.0,100.0,2340.0
2019-05-01 15:45:00+02:00,292.0,38.0,0.0,0.0,0.0,0.0,3776.0,111.0,22.0,0.0,572.0,100.0,2320.0
2019-05-01 16:00:00+02:00,292.0,39.0,0.0,0.0,0.0,0.0,3877.0,130.0,22.0,0.0,532.0,100.0,2372.0
2019-05-01 16:15:00+02:00,292.0,39.0,0.0,0.0,0.0,0.0,3917.0,129.0,22.0,0.0,492.0,100.0,2440.0
2019-05-01 16:30:00+02:00,292.0,39.0,0.0,0.0,0.0,0.0,3925.0,135.0,22.0,0.0,452.0,100.0,2588.0
