,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Waste,Wind Onshore
2019-07-01 00:00:00+02:00,134.32,395.43,5820.22,1770.38,158.328,25.118,0.048,143.376,42.144,1763.0000000000002,0.0,22.13328,1.43
2019-07-01 01:00:00+02:00,130.87,398.37,5523.28,1746.6000000000001,158.328,25.08,0.0,130.94400000000002,29.88,1653.1200000000001,0.0,23.97772,1.265
2019-07-01 02:00:00+02:00,135.24,399.34999999999997,5330.22,1693.3000000000002,158.328,25.194,0.0,124.464,28.584,1570.3000000000002,0.0,23.055500000000002,1.4409999999999998
2019-07-01 03:00:00+02:00,135.01000000000002,403.76,5222.91,1593.2600000000002,158.328,25.27,0.0,122.808,28.848,1517.0000000000002,0.0,23.055500000000002,1.4849999999999999
2019-07-01 04:00:00+02:00,136.16,402.78,5321.4,1547.3400000000001,158.328,25.232,0.0,125.712,31.608,1530.1200000000001,0.0,23.055500000000002,1.496
2019-07-01 05:00:00+02:00,136.39000000000001,401.31,5670.7699999999995,1606.38,158.328,24.282,0.0,128.088,32.496,1632.6200000000001,0.082,22.13328,1.496
2019-07-01 06:00:00+02:00,135.47,401.31,6285.23,1864.68,157.595,23.75,1.368,142.12800000000001,39.96,1840.0800000000002,13.489,23.055500000000002,1.5619999999999998
2019-07-01 07:00:00+02:00,131.56,401.31,7523.46,2117.2400000000002,158.328,23.712,12.984,162.984,45.528,2223.02,76.137,22.13328,1.331
2019-07-01 08:00:00+02:00,129.72,394.94,8325.59,2092.6400000000003,157.595,25.041999999999998,31.824,170.976,45.648,2318.1400000000003,172.282,22.13328,1.21
2019-07-01 09:00:00+02:00,129.49,393.46999999999997,8704.85,2029.5000000000002,156.862,24.966,31.248,172.824,48.528,2476.4,259.53000000000003,23.055500000000002,1.331
2019-07-01 10:00:00+02:00,132.71,395.92,8798.44,1977.0200000000002,156.862,25.003999999999998,22.872,167.88,47.712,2354.2200000000003,326.606,20.28884,1.254
2019-07-01 11:00:00+02:00,131.33,393.46999999999997,8903.789999999999,2060.6600000000003,156.862,25.003999999999998,20.904,164.472,46.608000000000004,2515.76,370.435,22.13328,1.529
2019-07-01 12:00:00+02:00,132.94,389.06,8844.99,2227.1200000000003,114.348,24.89,6.72,154.752,44.496,2373.9,393.149,23.055500000000002,2.662
2019-07-01 13:00:00+02:00,131.56,391.02,9052.26,2343.5600000000004,113.615,24.966,6.864,152.952,42.24,2505.1000000000004,396.798,22.13328,4.146999999999999
2019-07-01 14:00:00+02:00,127.42,393.96,9075.78,2507.5600000000004,113.615,24.776,17.832,157.8,46.752,2647.78,380.31600000000003,19.36662,5.917999999999999
2019-07-01 15:00:00+02:00,126.27000000000001,388.57,9237.97,2484.6000000000004,113.615,24.7,30.576,161.256,50.424,2680.5800000000004,338.332,20.28884,7.710999999999999
