,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Wind Onshore
2019-07-01 00:00:00+02:00,59.34,3261.96,33.81,500.78,4887.200000000001,130.474,0.0,2.52,0.0,34.187999999999995
2019-07-01 01:00:00+02:00,57.96,2906.9,32.339999999999996,502.74,4957.72,131.207,0.0,2.52,0.0,31.845
2019-07-01 02:00:00+02:00,58.42,2872.46,32.339999999999996,503.23,5157.8,131.207,0.0,2.52,0.0,30.162
2019-07-01 03:00:00+02:00,58.650000000000006,2901.98,32.339999999999996,504.7,5403.8,131.207,0.0,2.52,0.0,26.191
2019-07-01 04:00:00+02:00,59.11,3079.1000000000004,33.32,506.17,5552.22,130.474,0.0,2.52,0.0,21.174999999999997
2019-07-01 05:00:00+02:00,61.410000000000004,3192.26,34.79,508.62,6068.820000000001,130.474,0.0,2.52,0.0,16.863
2019-07-01 06:00:00+02:00,62.1,3536.6600000000003,34.79,511.56,6965.900000000001,130.474,0.024,2.52,0.0,12.122
2019-07-01 07:00:00+02:00,63.02,3961.4200000000005,34.79,514.01,7925.3,130.474,0.024,2.52,0.0,10.350999999999999
2019-07-01 08:00:00+02:00,63.02,4252.52,33.32,526.26,8179.500000000001,129.74099999999999,0.888,2.712,1.104,9.504
2019-07-01 09:00:00+02:00,63.02,4531.320000000001,34.3,528.71,8330.380000000001,130.474,1.3920000000000001,3.504,1.248,10.251999999999999
2019-07-01 10:00:00+02:00,63.71,4553.46,34.3,524.3,8431.24,127.542,1.8960000000000001,3.48,1.248,11.814
2019-07-01 11:00:00+02:00,63.25,4599.38,34.3,524.3,8532.92,126.809,1.872,3.528,1.248,14.222999999999999
2019-07-01 12:00:00+02:00,62.1,4601.84,33.32,523.3199999999999,8631.320000000002,128.275,2.448,3.48,1.248,15.344999999999999
2019-07-01 13:00:00+02:00,63.71,4562.4800000000005,32.83,524.79,8678.060000000001,129.74099999999999,4.104,3.456,1.248,15.587
2019-07-01 14:00:00+02:00,63.25,4373.06,31.36,519.89,8567.36,128.275,3.84,3.072,0.432,15.476999999999999
2019-07-01 15:00:00+02:00,63.940000000000005,4229.56,31.36,517.4399999999999,8497.66,131.94,5.736,2.928,0.312,15.84
2019-07-01 16:00:00+02:00,64.4,4282.860000000001,32.339999999999996,515.48,8364.820000000002,129.74099999999999,7.872,2.856,0.312,15.026
2019-07-01 17:00:00+02:00,62.56,4327.14,32.83,514.99,8086.840000000001,129.74099999999999,7.728,2.664,0.312,14.751
2019-07-01 18:00:00+02:00,63.25,4320.58,33.32,516.95,8068.8,129.74099999999999,2.616,2.712,0.048,14.739999999999998
2019-07-01 19:00:00+02:00,63.25,4146.740000000001,33.81,517.4399999999999,7899.06,130.474,5.088,2.976,0.0,13.607
2019-07-01 20:00:00+02:00,62.56,4039.32,34.79,518.42,7907.26,129.74099999999999,7.6080000000000005,3.096,0.0,12.859
2019-07-01 21:00:00+02:00,63.25,3789.2200000000003,34.79,508.62,7816.240000000001,129.008,1.032,2.856,0.0,14.652
2019-07-01 22:00:00+02:00,62.1,3271.8,34.3,514.99,7123.34,129.008,0.07200000000000001,2.544,0.0,18.502
2019-07-01 23:00:00+02:00,60.720000000000006,2544.46,33.32,515.48,6569.84,129.008,5.304,2.496,0.0,18.172
2019-07-02 00:00:00+02:00,58.88,2513.3,32.83,515.97,6369.76,129.008,0.48,2.376,0.0,19.073999999999998
2019-07-02 01:00:00+02:00,58.42,2677.3,32.339999999999996,516.95,6425.52,127.542,0.0,2.352,0.0,21.119999999999997
2019-07-02 02:00:00+02:00,58.42,2778.1600000000003,32.339999999999996,519.4,6491.9400000000005,127.542,0.0,2.352,0.0,20.482
2019-07-02 03:00:00+02:00,58.650000000000006,2896.2400000000002,33.32,521.85,6610.02,127.542,0.0,2.352,0.0,21.208
2019-07-02 04:00:00+02:00,58.190000000000005,2797.84,34.79,521.85,6367.3,127.542,0.0,2.352,0.0,22.802999999999997
2019-07-02 05:00:00+02:00,60.260000000000005,2843.76,35.769999999999996,521.85,6057.34,126.809,0.0,2.352,0.0,23.496
2019-07-02 06:00:00+02:00,61.870000000000005,3671.9600000000005,34.79,521.85,6411.580000000001,126.809,0.024,2.328,0.0,20.448999999999998
2019-07-02 07:00:00+02:00,63.02,4203.320000000001,33.81,519.89,7026.580000000001,126.809,0.024,2.328,0.0,21.087
2019-07-02 08:00:00+02:00,63.02,4441.9400000000005,34.3,534.1,7588.280000000001,126.809,0.024,2.616,1.08,23.660999999999998
2019-07-02 09:00:00+02:00,63.25,4210.700000000001,34.79,531.65,7590.740000000001,122.411,2.736,3.12,1.248,26.84
2019-07-02 10:00:00+02:00,63.480000000000004,3964.7000000000003,35.28,527.73,7741.620000000001,119.479,3.024,3.096,1.248,30.293999999999997
2019-07-02 11:00:00+02:00,63.25,3936.0000000000005,34.79,527.73,7798.200000000001,119.479,2.976,2.712,1.248,34.848
2019-07-02 12:00:00+02:00,63.02,4067.2000000000003,33.32,525.77,7869.540000000001,119.479,2.496,2.856,1.224,37.455
2019-07-02 13:00:00+02:00,63.02,3700.6600000000003,33.81,521.85,8108.160000000001,118.746,0.336,2.904,0.14400000000000002,38.687
2019-07-02 14:00:00+02:00,62.790000000000006,3526.0000000000005,33.81,520.38,7850.68,118.746,0.024,2.832,0.0,40.183
2019-07-02 15:00:00+02:00,62.56,3555.5200000000004,34.3,520.87,7580.080000000001,119.479,0.024,2.736,0.0,41.338
2019-07-02 16:00:00+02:00,62.790000000000006,3403.0000000000005,35.28,523.3199999999999,7655.52,118.746,0.024,2.712,0.0,40.568
2019-07-02 17:00:00+02:00,62.790000000000006,3197.1800000000003,35.769999999999996,529.6899999999999,7670.280000000001,118.746,0.6,2.736,0.0,40.138999999999996
2019-07-02 18:00:00+02:00,63.25,2959.38,36.26,532.63,7404.6,118.746,7.44,2.616,0.0,37.741
2019-07-02 19:00:00+02:00,63.02,2880.6600000000003,36.26,533.12,7166.8,118.01299999999999,8.232,2.832,0.0,34.177
2019-07-02 20:00:00+02:00,63.02,2958.5600000000004,36.26,521.85,7253.72,118.746,7.8,2.856,0.0,27.676
2019-07-02 21:00:00+02:00,63.02,3076.6400000000003,36.26,524.3,7165.160000000001,118.746,1.776,2.616,0.0,25.003
2019-07-02 22:00:00+02:00,62.56,2892.1400000000003,36.26,528.22,6721.540000000001,119.479,0.024,2.472,0.0,24.442
2019-07-02 23:00:00+02:00,61.64,2670.7400000000002,35.28,530.67,6060.620000000001,121.678,0.0,2.472,0.0,24.837999999999997
2019-07-03 00:00:00+02:00,59.800000000000004,2706.82,35.28,531.16,6120.4800000000005,121.678,0.0,2.448,0.0,23.804
2019-07-03 01:00:00+02:00,59.57,2707.6400000000003,36.26,530.67,6078.660000000001,121.678,0.0,2.472,0.0,23.804
2019-07-03 02:00:00+02:00,59.34,2538.7200000000003,36.26,532.63,5951.56,120.945,0.0,2.496,0.0,24.86
2019-07-03 03:00:00+02:00,59.34,2543.6400000000003,36.26,533.61,5844.96,120.945,0.0,2.52,0.0,26.828999999999997
2019-07-03 04:00:00+02:00,60.03,2477.2200000000003,35.769999999999996,535.5699999999999,5834.3,121.678,0.0,2.496,0.0,25.773
2019-07-03 05:00:00+02:00,59.57,2679.76,36.26,535.5699999999999,6093.42,120.945,0.0,2.472,0.0,24.012999999999998
2019-07-03 06:00:00+02:00,61.870000000000005,3000.38,38.22,527.24,6917.52,120.212,0.5760000000000001,2.496,0.0,21.098
2019-07-03 07:00:00+02:00,62.56,3393.1600000000003,36.75,526.26,7390.660000000001,118.01299999999999,2.952,2.496,0.0,19.788999999999998
2019-07-03 08:00:00+02:00,63.02,3240.6400000000003,36.75,541.9399999999999,7373.4400000000005,118.746,0.024,2.64,1.08,23.023
2019-07-03 09:00:00+02:00,63.02,3221.78,37.24,539.98,7489.880000000001,119.479,0.432,2.88,1.248,24.991999999999997
2019-07-03 10:00:00+02:00,63.940000000000005,3196.36,36.75,537.53,7575.160000000001,120.212,1.944,2.88,0.96,27.532999999999998
2019-07-03 11:00:00+02:00,63.71,3234.0800000000004,35.28,533.12,7701.4400000000005,120.945,2.904,2.88,0.936,26.95
2019-07-03 12:00:00+02:00,63.02,3334.94,38.71,530.18,7821.9800000000005,120.212,3.192,3.024,0.936,28.061
2019-07-03 13:00:00+02:00,63.02,3444.82,38.71,529.6899999999999,7694.880000000001,119.479,2.52,3.048,0.936,29.314999999999998
2019-07-03 14:00:00+02:00,63.25,3269.34,39.2,527.73,7548.1,119.479,0.312,2.592,0.12,30.217
2019-07-03 15:00:00+02:00,62.330000000000005,3385.78,39.2,527.73,7313.580000000001,120.212,0.024,2.52,0.0,31.13
2019-07-03 16:00:00+02:00,63.02,3123.38,39.2,532.14,7087.26,120.945,0.024,2.592,0.0,30.909999999999997
2019-07-03 17:00:00+02:00,63.02,2928.2200000000003,38.22,532.63,6991.320000000001,120.945,0.024,2.616,0.0,31.107999999999997
2019-07-03 18:00:00+02:00,63.480000000000004,3043.84,37.73,535.08,6869.960000000001,120.945,0.024,2.568,0.0,27.576999999999998
2019-07-03 19:00:00+02:00,63.25,3283.28,38.22,520.87,7058.56,120.945,5.808,2.856,0.0,20.955
2019-07-03 20:00:00+02:00,63.940000000000005,3503.86,38.71,521.85,7222.56,120.945,6.5520000000000005,2.832,0.0,15.62
2019-07-03 21:00:00+02:00,63.71,3838.42,38.71,522.34,6902.76,120.945,2.664,2.544,0.0,14.795
2019-07-03 22:00:00+02:00,62.330000000000005,3257.0400000000004,38.22,529.6899999999999,6806.820000000001,120.945,0.024,2.4,0.0,15.190999999999999
2019-07-03 23:00:00+02:00,61.18,2933.96,38.22,528.71,6145.080000000001,121.678,0.024,2.376,0.0,16.654
2019-07-04 00:00:00+02:00,59.11,2773.2400000000002,38.22,532.63,5745.740000000001,120.945,0.024,2.352,0.0,16.346
2019-07-04 01:00:00+02:00,59.11,2819.1600000000003,38.71,533.12,5796.580000000001,120.945,0.0,2.352,0.0,14.641
2019-07-04 02:00:00+02:00,59.11,2952.82,39.2,533.12,5952.38,120.212,0.0,2.352,0.0,14.992999999999999
2019-07-04 03:00:00+02:00,58.88,2922.48,39.2,533.61,5922.040000000001,120.212,0.0,2.352,0.0,17.061
2019-07-04 04:00:00+02:00,59.57,2783.0800000000004,39.2,533.12,5825.280000000001,120.212,0.0,2.352,0.0,18.799
2019-07-04 05:00:00+02:00,60.03,2648.6000000000004,38.71,533.12,5709.660000000001,120.945,0.0,2.376,0.0,19.173
2019-07-04 06:00:00+02:00,60.03,3119.28,38.71,526.75,6427.160000000001,120.212,0.792,2.424,0.0,16.368
2019-07-04 07:00:00+02:00,64.17,4050.8,37.24,530.18,6959.34,119.479,0.12,2.424,0.0,15.377999999999998
2019-07-04 08:00:00+02:00,63.940000000000005,4178.72,38.22,545.86,6875.700000000001,120.212,0.024,2.52,0.0,18.744
2019-07-04 09:00:00+02:00,64.4,4186.1,39.69,544.88,7018.38,120.212,0.024,2.664,0.28800000000000003,22.384999999999998
2019-07-04 10:00:00+02:00,63.940000000000005,4213.160000000001,39.69,544.39,7000.34,121.678,0.024,2.7600000000000002,0.6,24.871
2019-07-04 11:00:00+02:00,64.17,4241.04,39.2,539.49,7036.420000000001,122.411,1.44,2.7840000000000003,0.888,25.883
2019-07-04 12:00:00+02:00,64.17,3956.5000000000005,37.73,539.98,7261.1,120.945,3.456,2.8080000000000003,0.936,26.465999999999998
2019-07-04 13:00:00+02:00,64.17,3667.0400000000004,36.26,539.49,7302.1,120.212,3.024,2.952,0.936,27.939999999999998
2019-07-04 14:00:00+02:00,64.4,3641.6200000000003,34.79,539.0,7162.700000000001,120.945,0.384,2.928,0.12,28.116
2019-07-04 15:00:00+02:00,64.17,3420.2200000000003,34.3,540.96,7216.820000000001,120.945,2.3040000000000003,2.448,0.0,27.511
2019-07-04 16:00:00+02:00,64.17,3333.3,34.79,549.29,7294.72,120.945,2.112,2.328,0.0,25.487
2019-07-04 17:00:00+02:00,64.17,3353.8,36.26,554.1899999999999,7154.500000000001,120.945,0.024,2.3040000000000003,0.0,25.883
2019-07-04 18:00:00+02:00,64.4,3293.1200000000003,35.769999999999996,554.1899999999999,7098.740000000001,120.945,4.032,2.3040000000000003,0.0,24.485999999999997
2019-07-04 19:00:00+02:00,65.09,3378.4,33.81,539.49,7194.68,120.945,12.624,2.616,0.0,21.581999999999997
2019-07-04 20:00:00+02:00,63.940000000000005,3405.46,34.3,539.49,7003.620000000001,120.945,13.392,2.64,0.0,20.988
2019-07-04 21:00:00+02:00,63.940000000000005,3198.82,35.28,544.88,6957.700000000001,120.945,8.88,2.424,0.0,21.208
2019-07-04 22:00:00+02:00,62.790000000000006,2998.7400000000002,37.24,546.35,6519.000000000001,120.945,5.184,2.2800000000000002,0.0,23.683
2019-07-04 23:00:00+02:00,61.18,2901.98,37.24,548.31,5605.52,120.945,0.12,2.16,0.0,26.301
2019-07-05 00:00:00+02:00,59.800000000000004,2883.94,39.2,537.04,5527.620000000001,120.945,3.144,2.208,0.0,28.445999999999998
2019-07-05 01:00:00+02:00,59.34,2812.6000000000004,39.69,532.63,5420.200000000001,120.945,0.024,2.16,0.0,30.58
2019-07-05 02:00:00+02:00,58.88,2628.1000000000004,38.71,531.65,5218.4800000000005,120.945,0.024,2.16,0.0,34.122
2019-07-05 03:00:00+02:00,58.88,2794.5600000000004,38.22,525.77,5368.54,120.945,0.0,2.16,0.0,36.751
2019-07-05 04:00:00+02:00,60.720000000000006,2672.38,39.2,525.28,5297.200000000001,120.945,0.0,2.16,0.0,37.806999999999995
2019-07-05 05:00:00+02:00,61.870000000000005,2741.26,39.2,531.65,5430.04,120.945,0.0,2.16,0.0,37.62
2019-07-05 06:00:00+02:00,64.86,3097.96,39.2,526.75,6036.02,120.212,0.792,2.16,0.0,34.595
2019-07-05 07:00:00+02:00,66.7,3548.1400000000003,38.71,539.0,6469.8,119.479,0.12,2.136,0.0,32.351
2019-07-05 08:00:00+02:00,65.09,3712.1400000000003,38.71,548.31,6366.4800000000005,120.212,5.712,2.3040000000000003,1.08,31.229
2019-07-05 09:00:00+02:00,65.09,3895.0000000000005,38.22,546.84,6563.280000000001,120.212,3.936,2.856,1.248,31.779
2019-07-05 10:00:00+02:00,65.32000000000001,3880.2400000000002,37.24,544.39,6616.580000000001,120.212,0.024,2.928,1.248,32.922999999999995
2019-07-05 11:00:00+02:00,65.32000000000001,4059.0000000000005,36.75,551.74,6621.500000000001,120.212,1.416,2.904,1.248,33.924
2019-07-05 12:00:00+02:00,65.09,4116.400000000001,36.75,544.88,6546.88,120.212,2.832,2.88,1.248,34.242999999999995
2019-07-05 13:00:00+02:00,65.09,4002.4200000000005,33.81,538.02,6572.3,118.746,2.3040000000000003,2.904,0.432,35.893
2019-07-05 14:00:00+02:00,65.09,3605.5400000000004,33.32,538.51,6631.34,118.746,0.28800000000000003,2.592,0.048,36.916
2019-07-05 15:00:00+02:00,64.86,3553.88,35.28,537.53,6690.38,118.746,0.0,2.472,0.0,34.925
