,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore
2019-10-01 00:00:00+02:00,2.856,3.12,4.968,40.008,0.0,0.077
2019-10-01 01:00:00+02:00,3.36,3.36,4.92,40.02,0.0,0.088
2019-10-01 02:00:00+02:00,2.208,3.888,5.184,40.08,0.0,0.088
2019-10-01 03:00:00+02:00,1.488,3.84,4.704,40.092,0.0,0.088
2019-10-01 04:00:00+02:00,1.728,3.696,4.752,40.14,0.0,0.088
2019-10-01 05:00:00+02:00,2.952,3.8160000000000003,5.472,40.128,0.0,0.09899999999999999
2019-10-01 06:00:00+02:00,6.768,3.936,29.472,40.104,0.0,0.09899999999999999
2019-10-01 07:00:00+02:00,36.744,4.44,42.312,40.092,0.041,0.10999999999999999
2019-10-01 08:00:00+02:00,40.152,6.432,47.28,40.08,0.902,0.10999999999999999
2019-10-01 09:00:00+02:00,18.0,6.408,31.608,40.08,2.7880000000000003,0.10999999999999999
2019-10-01 10:00:00+02:00,14.52,6.168,16.416,39.996,5.043,0.10999999999999999
2019-10-01 11:00:00+02:00,14.112,6.12,20.184,39.876,7.216,0.10999999999999999
2019-10-01 12:00:00+02:00,11.448,3.624,12.552,39.72,8.200000000000001,0.088
2019-10-01 13:00:00+02:00,13.32,3.7920000000000003,16.176000000000002,39.6,8.323,0.088
2019-10-01 14:00:00+02:00,11.76,3.744,12.456,39.54,7.708,0.09899999999999999
2019-10-01 15:00:00+02:00,10.08,3.984,12.264000000000001,39.492,6.355,0.121
2019-10-01 16:00:00+02:00,12.096,4.488,15.816,39.444,4.469,0.154
2019-10-01 17:00:00+02:00,14.736,7.128,33.168,39.504,2.378,0.176
2019-10-01 18:00:00+02:00,36.168,7.176,43.584,39.54,0.6970000000000001,0.187
2019-10-01 19:00:00+02:00,61.488,7.368,61.392,39.576,0.041,0.21999999999999997
2019-10-01 20:00:00+02:00,51.912,7.368,50.496,39.588,0.0,0.21999999999999997
2019-10-01 21:00:00+02:00,11.256,5.4,29.208000000000002,39.624,0.0,0.187
2019-10-01 22:00:00+02:00,7.272,4.2,13.272,39.708,0.0,0.16499999999999998
2019-10-01 23:00:00+02:00,4.128,4.272,10.44,39.768,0.0,0.154
2019-10-02 00:00:00+02:00,2.952,4.248,8.424,39.828,0.0,0.19799999999999998
2019-10-02 01:00:00+02:00,2.424,4.344,7.2,39.852000000000004,0.0,0.209
2019-10-02 02:00:00+02:00,1.224,4.32,5.5920000000000005,39.756,0.0,0.253
2019-10-02 03:00:00+02:00,1.248,4.176,5.184,39.792,0.0,0.242
2019-10-02 04:00:00+02:00,1.1520000000000001,4.44,5.328,39.804,0.0,0.253
2019-10-02 05:00:00+02:00,1.416,4.488,6.792,39.828,0.0,0.19799999999999998
2019-10-02 06:00:00+02:00,6.408,6.5040000000000004,21.624,39.828,0.0,0.19799999999999998
2019-10-02 07:00:00+02:00,31.872,7.128,41.184,39.852000000000004,0.041,0.09899999999999999
2019-10-02 08:00:00+02:00,37.008,7.032,43.656,39.888,0.533,0.10999999999999999
2019-10-02 09:00:00+02:00,32.064,6.984,38.52,39.876,1.599,0.154
2019-10-02 10:00:00+02:00,32.04,5.928,34.32,39.876,3.157,0.143
2019-10-02 11:00:00+02:00,26.856,5.5920000000000005,29.208000000000002,39.864000000000004,4.51,0.132
2019-10-02 12:00:00+02:00,15.024000000000001,4.104,12.936,39.816,5.125,0.16499999999999998
2019-10-02 13:00:00+02:00,9.624,4.176,12.048,39.792,5.043,0.187
2019-10-02 14:00:00+02:00,5.76,4.176,10.200000000000001,39.792,4.346,0.19799999999999998
2019-10-02 15:00:00+02:00,5.376,4.2,10.344,39.756,3.362,0.23099999999999998
2019-10-02 16:00:00+02:00,7.44,4.824,8.784,39.792,2.337,0.308
2019-10-02 17:00:00+02:00,10.056000000000001,7.5600000000000005,14.040000000000001,39.924,0.861,0.34099999999999997
2019-10-02 18:00:00+02:00,12.312,7.248,23.16,40.056,0.246,0.242
2019-10-02 19:00:00+02:00,40.032000000000004,6.936,35.976,40.068,0.0,0.264
