,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
2019-10-01 00:00:00+02:00,30.82,447.72,490.49,0.0,0.264,0.14400000000000002,22.824,43.46,,0.0,20.28884,2.101
2019-10-01 00:15:00+02:00,29.900000000000002,441.98,472.84999999999997,0.0,0.264,0.14400000000000002,22.812,43.46,,0.0,19.36662,1.9029999999999998
2019-10-01 00:30:00+02:00,28.75,440.34000000000003,482.65,0.0,0.264,0.14400000000000002,22.812,43.46,,0.0,19.36662,1.6609999999999998
2019-10-01 00:45:00+02:00,28.290000000000003,437.88000000000005,463.05,0.0,0.264,0.14400000000000002,22.812,43.46,,0.0,19.36662,1.628
2019-10-01 01:00:00+02:00,28.75,443.62000000000006,497.34999999999997,0.0,0.264,0.14400000000000002,22.812,43.46,,0.0,18.4444,1.573
2019-10-01 01:15:00+02:00,28.98,401.8,497.84,0.0,0.264,0.14400000000000002,22.812,43.46,,0.0,19.36662,1.4409999999999998
2019-10-01 01:30:00+02:00,29.21,349.32000000000005,519.89,0.0,0.264,0.14400000000000002,22.812,43.46,,0.0,20.28884,1.276
2019-10-01 01:45:00+02:00,29.900000000000002,322.26000000000005,519.4,0.0,0.264,0.14400000000000002,22.812,43.46,,0.0,19.36662,0.9239999999999999
2019-10-01 02:00:00+02:00,30.130000000000003,350.96000000000004,530.18,0.0,0.264,0.14400000000000002,22.836000000000002,42.64,,0.0,18.4444,0.5499999999999999
2019-10-01 02:15:00+02:00,29.21,394.42,516.46,0.0,0.264,0.14400000000000002,22.824,42.64,,0.0,18.4444,0.5499999999999999
2019-10-01 02:30:00+02:00,28.98,414.1,495.39,0.0,0.264,0.14400000000000002,22.824,42.64,,0.0,19.36662,0.616
2019-10-01 02:45:00+02:00,26.220000000000002,411.64000000000004,482.15999999999997,0.0,0.264,0.14400000000000002,22.824,42.64,,0.0,20.28884,0.5389999999999999
2019-10-01 03:00:00+02:00,23.46,410.82000000000005,503.71999999999997,0.0,0.24,0.14400000000000002,22.836000000000002,42.64,,0.0,20.28884,0.45099999999999996
2019-10-01 03:15:00+02:00,21.62,403.44000000000005,523.3199999999999,0.0,0.24,0.14400000000000002,22.824,42.64,,0.0,20.28884,0.484
2019-10-01 03:30:00+02:00,19.78,394.42,522.83,0.0,0.24,0.14400000000000002,22.836000000000002,42.64,,0.0,19.36662,0.583
2019-10-01 03:45:00+02:00,19.55,378.84000000000003,521.85,0.0,0.24,0.14400000000000002,22.836000000000002,42.64,,0.0,19.36662,0.528
2019-10-01 04:00:00+02:00,19.78,351.78000000000003,503.23,0.0,0.24,0.14400000000000002,22.836000000000002,42.64,,0.0,19.36662,0.418
2019-10-01 04:15:00+02:00,19.78,391.14000000000004,501.27,0.0,0.216,0.14400000000000002,22.836000000000002,42.64,,0.0,18.4444,0.23099999999999998
2019-10-01 04:30:00+02:00,20.01,434.6,523.81,0.0,0.24,0.14400000000000002,22.836000000000002,42.64,,0.0,18.4444,0.09899999999999999
