,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Wind Offshore,Wind Onshore
2019-10-31 23:00:00+00:00,271.975,2839.5499999999997,102.09,0.0,2.46,3.54,40.236000000000004,57.81,0.0,15.48,15.504499999999998
2019-10-31 23:30:00+00:00,272.665,2260.37,102.50000000000001,0.0,0.06,3.456,39.948,44.690000000000005,0.0,15.3,15.642
2019-11-01 00:00:00+00:00,272.32,2142.035,102.50000000000001,0.0,0.0,3.24,39.744,44.690000000000005,0.0,15.39,15.059
2019-11-01 00:30:00+00:00,270.135,2146.69,102.09,0.0,0.0,2.988,39.666000000000004,44.28,0.0,15.138,14.970999999999998
2019-11-01 01:00:00+00:00,268.87,2251.06,102.09,0.0,2.016,2.976,39.702,44.28,0.0,13.92,14.9765
2019-11-01 01:30:00+00:00,268.295,2177.805,102.09,0.0,0.0,2.976,39.684,44.28,0.0,12.996,14.949
2019-11-01 02:00:00+00:00,267.95,2230.725,102.09,0.0,0.0,2.964,39.702,44.28,0.0,12.876,14.8995
2019-11-01 02:30:00+00:00,267.95,2295.65,102.09,0.0,0.0,2.952,39.642,44.28,0.0,11.994,14.987499999999999
2019-11-01 03:00:00+00:00,268.295,2107.98,136.94,0.0,0.0,2.94,39.696,44.690000000000005,0.0,12.372,14.2945
2019-11-01 03:30:00+00:00,268.18,1983.2749999999999,137.35000000000002,0.0,0.0,2.868,39.696,45.1,0.0,12.75,14.079999999999998
2019-11-01 04:00:00+00:00,271.515,2015.86,156.62,0.0,0.0,2.7720000000000002,39.726,45.1,0.0,12.870000000000001,13.7555
2019-11-01 04:30:00+00:00,271.285,1908.795,184.09,0.0,0.0,2.7840000000000003,39.72,45.1,0.0,13.878,13.3155
2019-11-01 05:00:00+00:00,271.17,1894.34,225.50000000000003,0.0,0.0,2.7720000000000002,39.678000000000004,45.510000000000005,0.0,15.24,13.1395
2019-11-01 05:30:00+00:00,270.825,1988.665,252.97000000000003,0.0,0.0,2.7600000000000002,39.69,45.92,0.0,15.57,12.87
2019-11-01 06:00:00+00:00,269.56,2123.66,262.81,0.0,0.0,4.056,39.708,44.28,0.0,16.602,13.0405
2019-11-01 06:30:00+00:00,268.52500000000003,2614.395,252.56000000000003,0.0,0.0,4.5,39.69,44.690000000000005,0.0,16.992,13.1945
2019-11-01 07:00:00+00:00,270.135,3251.395,287.82000000000005,0.0,2.556,6.828,39.660000000000004,43.050000000000004,0.0205,18.156,13.458499999999999
2019-11-01 07:30:00+00:00,269.675,3728.41,295.20000000000005,0.0,3.6,6.24,39.63,41.0,0.8405,19.008,13.8765
2019-11-01 08:00:00+00:00,270.94,3867.08,295.20000000000005,0.0,1.812,5.496,39.618,43.870000000000005,1.5785,19.344,14.2615
2019-11-01 08:30:00+00:00,271.40000000000003,4005.995,298.07000000000005,0.0,0.0,5.436,39.618,45.92,6.7035,20.148,14.613499999999998
2019-11-01 09:00:00+00:00,267.72,4113.305,294.79,0.0,0.0,5.316,39.642,45.510000000000005,8.8765,0.714,7.7604999999999995
2019-11-01 09:30:00+00:00,262.08500000000004,4164.51,307.91,0.0,0.0,5.292,39.612,46.330000000000005,12.4845,20.466,15.587
2019-11-01 10:00:00+00:00,257.945,4106.2,307.5,0.0,0.0,4.548,39.63,51.660000000000004,15.8055,20.580000000000002,15.6915
2019-11-01 10:30:00+00:00,257.83,4098.115,307.91,0.0,0.0,4.188,39.612,47.150000000000006,17.138,20.580000000000002,15.6915
2019-11-01 11:00:00+00:00,257.83,4088.0699999999997,307.5,0.0,0.456,3.6,39.6,59.45,18.163,20.604,15.724499999999999
2019-11-01 11:30:00+00:00,257.945,4170.635,307.5,0.0,0.864,3.7680000000000002,39.648,64.37,19.8235,20.688,15.796
2019-11-01 12:00:00+00:00,257.71500000000003,4165.245,307.5,0.0,0.0,3.648,39.708,55.760000000000005,19.003500000000003,20.514,15.4825
2019-11-01 12:30:00+00:00,257.485,4192.44,307.5,0.0,0.0,3.624,39.618,46.74,17.876,20.514,15.466
2019-11-01 13:00:00+00:00,257.37,4275.25,307.09000000000003,0.0,0.0,3.7680000000000002,39.666000000000004,46.74,17.589000000000002,21.330000000000002,14.816999999999998
2019-11-01 13:30:00+00:00,256.565,4338.215,307.91,0.0,0.0,3.624,39.732,46.74,16.318,20.622,13.408999999999999
2019-11-01 14:00:00+00:00,257.255,4334.785,307.91,0.0,0.0,3.84,39.642,46.74,13.0585,19.740000000000002,12.979999999999999
2019-11-01 14:30:00+00:00,257.71500000000003,4260.795,307.09000000000003,0.0,0.96,4.104,39.612,51.25000000000001,9.2455,18.864,13.304499999999999
2019-11-01 15:00:00+00:00,257.37,4126.045,307.5,0.0,5.484,4.848,39.642,46.74,5.5965,19.452,13.684
2019-11-01 15:30:00+00:00,257.71500000000003,4234.825,293.56,0.0,5.5680000000000005,5.28,39.612,47.150000000000006,2.337,19.782,13.722499999999998
2019-11-01 16:00:00+00:00,257.71500000000003,4360.755,259.94,0.0,9.06,6.6000000000000005,39.714,49.2,0.3895,19.44,13.304499999999999
2019-11-01 16:30:00+00:00,257.485,4342.135,267.32,0.0,10.068,7.5600000000000005,40.254,51.25000000000001,0.0,20.802,13.4035
2019-11-01 17:00:00+00:00,257.255,4643.485,296.43,0.0,17.868000000000002,8.136000000000001,40.206,56.99,0.0205,18.672,13.766499999999999
2019-11-01 17:30:00+00:00,256.91,4768.68,294.38,0.0,17.856,7.056,40.254,60.68000000000001,0.0,17.604,14.129499999999998
2019-11-01 18:00:00+00:00,256.68,4635.4,296.43,0.0,17.784,6.492,40.254,50.84,0.0,17.556,14.607999999999999
2019-11-01 18:30:00+00:00,259.325,4452.385,293.56,0.0,15.204,6.6240000000000006,40.296,66.42,0.0,18.738,14.9765
2019-11-01 19:00:00+00:00,258.865,4060.875,290.69,0.0,14.028,6.396,40.236000000000004,50.84,0.0205,18.354,15.5925
2019-11-01 19:30:00+00:00,258.635,3799.215,295.61,0.0,3.6,6.672,40.272,56.99,0.0,19.086000000000002,15.938999999999998
2019-11-01 20:00:00+00:00,259.325,3527.265,296.02000000000004,0.0,1.236,5.808,40.224000000000004,46.330000000000005,0.0,19.926000000000002,16.5715
2019-11-01 20:30:00+00:00,258.865,3032.12,284.54,0.0,2.928,5.724,40.224000000000004,45.92,0.0,21.09,17.038999999999998
2019-11-01 21:00:00+00:00,263.46500000000003,2614.64,291.92,0.0,0.0,5.844,40.236000000000004,48.38,0.0,21.858,18.4305
2019-11-01 21:30:00+00:00,266.11,2214.555,296.02000000000004,0.0,0.0,5.652,40.236000000000004,45.510000000000005,0.0,21.018,18.854
2019-11-01 22:00:00+00:00,270.71000000000004,1922.0249999999999,295.61,0.0,0.0,4.956,40.278,52.89,0.0,22.254,19.491999999999997
2019-11-01 22:30:00+00:00,269.90500000000003,1501.605,233.29000000000002,0.0,0.0,5.376,40.266,47.150000000000006,0.0,23.784,20.223499999999998
