,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Peat,Hydro Run-of-river and poundage,Nuclear,Other,Other renewable,Waste,Wind Onshore
2020-01-01 01:00:00+02:00,549.0,565.0,551.0,1.0,472.0,1166.0,2798.0,114.0,25.0,7.0,1219.0
2020-01-01 02:00:00+02:00,546.0,563.0,519.0,1.0,466.0,980.0,2798.0,114.0,25.0,7.0,1197.0
2020-01-01 03:00:00+02:00,547.0,562.0,515.0,1.0,466.0,929.0,2798.0,116.0,26.0,7.0,1190.0
2020-01-01 04:00:00+02:00,542.0,574.0,514.0,1.0,468.0,889.0,2797.0,115.0,26.0,7.0,1050.0
2020-01-01 05:00:00+02:00,542.0,562.0,515.0,1.0,483.0,912.0,2797.0,112.0,26.0,7.0,916.0
2020-01-01 06:00:00+02:00,544.0,562.0,515.0,1.0,489.0,875.0,2797.0,111.0,26.0,7.0,897.0
2020-01-01 07:00:00+02:00,542.0,585.0,515.0,1.0,490.0,904.0,2797.0,108.0,26.0,7.0,863.0
2020-01-01 08:00:00+02:00,542.0,618.0,515.0,1.0,487.0,1070.0,2797.0,102.0,25.0,7.0,880.0
2020-01-01 09:00:00+02:00,542.0,645.0,515.0,1.0,494.0,1094.0,2797.0,96.0,25.0,7.0,952.0
2020-01-01 10:00:00+02:00,548.0,678.0,514.0,1.0,491.0,1143.0,2797.0,92.0,26.0,7.0,1062.0
2020-01-01 11:00:00+02:00,577.0,714.0,515.0,1.0,487.0,1184.0,2797.0,79.0,26.0,7.0,1186.0
2020-01-01 12:00:00+02:00,602.0,697.0,514.0,1.0,484.0,1182.0,2797.0,77.0,26.0,7.0,1283.0
2020-01-01 13:00:00+02:00,604.0,693.0,514.0,1.0,478.0,1109.0,2796.0,77.0,26.0,7.0,1356.0
2020-01-01 14:00:00+02:00,609.0,700.0,516.0,1.0,479.0,1081.0,2796.0,77.0,25.0,7.0,1408.0
2020-01-01 15:00:00+02:00,603.0,704.0,514.0,1.0,479.0,1144.0,2796.0,77.0,25.0,7.0,1410.0
2020-01-01 16:00:00+02:00,599.0,705.0,517.0,1.0,472.0,1338.0,2797.0,77.0,25.0,7.0,1411.0
2020-01-01 17:00:00+02:00,603.0,711.0,518.0,1.0,465.0,1508.0,2797.0,75.0,25.0,7.0,1439.0
2020-01-01 18:00:00+02:00,602.0,700.0,489.0,1.0,451.0,1604.0,2796.0,74.0,25.0,7.0,1391.0
2020-01-01 19:00:00+02:00,591.0,712.0,473.0,1.0,426.0,1604.0,2796.0,74.0,25.0,7.0,1418.0
2020-01-01 20:00:00+02:00,594.0,718.0,458.0,1.0,417.0,1627.0,2796.0,74.0,25.0,7.0,1436.0
2020-01-01 21:00:00+02:00,605.0,717.0,437.0,1.0,410.0,1546.0,2796.0,74.0,25.0,7.0,1501.0
2020-01-01 22:00:00+02:00,605.0,660.0,444.0,1.0,400.0,1344.0,2796.0,74.0,25.0,7.0,1566.0
2020-01-01 23:00:00+02:00,605.0,659.0,430.0,1.0,390.0,990.0,2796.0,72.0,25.0,7.0,1585.0
2020-01-02 00:00:00+02:00,604.0,650.0,392.0,1.0,385.0,888.0,2796.0,71.0,25.0,7.0,1583.0
2020-01-02 01:00:00+02:00,604.0,528.0,393.0,1.0,385.0,841.0,2797.0,71.0,26.0,7.0,1630.0
2020-01-02 02:00:00+02:00,604.0,536.0,402.0,1.0,385.0,861.0,2797.0,71.0,26.0,7.0,1654.0
2020-01-02 03:00:00+02:00,615.0,527.0,402.0,1.0,383.0,844.0,2796.0,71.0,26.0,7.0,1648.0
2020-01-02 04:00:00+02:00,613.0,538.0,403.0,1.0,382.0,877.0,2797.0,71.0,25.0,7.0,1669.0
2020-01-02 05:00:00+02:00,597.0,549.0,403.0,1.0,388.0,1004.0,2797.0,71.0,25.0,7.0,1661.0
2020-01-02 06:00:00+02:00,599.0,672.0,406.0,1.0,402.0,1093.0,2798.0,71.0,24.0,7.0,1556.0
2020-01-02 07:00:00+02:00,597.0,706.0,433.0,1.0,419.0,1215.0,2798.0,71.0,25.0,7.0,1514.0
2020-01-02 08:00:00+02:00,578.0,701.0,452.0,1.0,429.0,1296.0,2798.0,71.0,25.0,7.0,1496.0
2020-01-02 09:00:00+02:00,571.0,695.0,441.0,1.0,431.0,1462.0,2797.0,71.0,26.0,7.0,1516.0
2020-01-02 10:00:00+02:00,576.0,704.0,437.0,1.0,435.0,1499.0,2796.0,71.0,26.0,7.0,1564.0
2020-01-02 11:00:00+02:00,573.0,727.0,440.0,1.0,434.0,1574.0,2797.0,69.0,26.0,7.0,1571.0
2020-01-02 12:00:00+02:00,575.0,709.0,448.0,1.0,434.0,1459.0,2797.0,68.0,26.0,7.0,1594.0
2020-01-02 13:00:00+02:00,570.0,701.0,440.0,1.0,439.0,1502.0,2798.0,68.0,26.0,7.0,1642.0
2020-01-02 14:00:00+02:00,576.0,706.0,443.0,1.0,436.0,1426.0,2798.0,68.0,26.0,7.0,1678.0
2020-01-02 15:00:00+02:00,577.0,708.0,444.0,1.0,431.0,1450.0,2798.0,68.0,26.0,7.0,1693.0
2020-01-02 16:00:00+02:00,580.0,697.0,443.0,1.0,431.0,1665.0,2798.0,68.0,26.0,7.0,1726.0
2020-01-02 17:00:00+02:00,594.0,691.0,443.0,1.0,429.0,1755.0,2798.0,68.0,25.0,7.0,1714.0
2020-01-02 18:00:00+02:00,622.0,677.0,443.0,1.0,414.0,1753.0,2798.0,68.0,25.0,7.0,1666.0
2020-01-02 19:00:00+02:00,638.0,685.0,443.0,1.0,401.0,1554.0,2798.0,68.0,25.0,7.0,1685.0
