,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
2020-07-01 00:00:00+02:00,91.0,318.0,816.0,0.0,7.0,0.0,1631.0,44.0,14.0,0.0,19.0,54.0
2020-07-01 00:15:00+02:00,90.0,362.0,757.0,0.0,7.0,0.0,1627.0,44.0,14.0,0.0,19.0,58.0
2020-07-01 00:30:00+02:00,87.0,360.0,735.0,0.0,7.0,0.0,1628.0,44.0,14.0,0.0,18.0,52.0
2020-07-01 00:45:00+02:00,89.0,332.0,728.0,0.0,7.0,0.0,1626.0,44.0,14.0,0.0,18.0,45.0
2020-07-01 01:00:00+02:00,90.0,357.0,768.0,0.0,7.0,0.0,1630.0,44.0,15.0,0.0,17.0,41.0
2020-07-01 01:15:00+02:00,90.0,389.0,683.0,0.0,7.0,0.0,1628.0,44.0,14.0,0.0,19.0,38.0
2020-07-01 01:30:00+02:00,91.0,377.0,675.0,0.0,7.0,0.0,1628.0,44.0,15.0,0.0,19.0,35.0
2020-07-01 01:45:00+02:00,92.0,373.0,674.0,0.0,7.0,0.0,1628.0,44.0,14.0,0.0,19.0,28.0
2020-07-01 02:00:00+02:00,93.0,392.0,681.0,0.0,7.0,0.0,1629.0,43.0,14.0,0.0,20.0,21.0
2020-07-01 02:15:00+02:00,91.0,382.0,675.0,0.0,7.0,0.0,1627.0,43.0,12.0,0.0,19.0,15.0
2020-07-01 02:30:00+02:00,90.0,352.0,668.0,0.0,7.0,0.0,1628.0,43.0,9.0,0.0,18.0,14.0
2020-07-01 02:45:00+02:00,83.0,340.0,677.0,0.0,7.0,0.0,1627.0,43.0,8.0,0.0,18.0,11.0
2020-07-01 03:00:00+02:00,73.0,359.0,678.0,0.0,7.0,0.0,1628.0,44.0,7.0,0.0,18.0,7.0
2020-07-01 03:15:00+02:00,69.0,374.0,678.0,0.0,7.0,0.0,1628.0,44.0,7.0,0.0,18.0,6.0
2020-07-01 03:30:00+02:00,70.0,363.0,675.0,0.0,7.0,0.0,1629.0,44.0,8.0,0.0,18.0,5.0
