,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2020-08-01 00:00:00+02:00,103.96000000000001,0.0,0.0,5527.2,359.16,145.867,0.0,0.0,0.0,1.488,19.8,74.16,0.0,83.52,49.2,,16.933,190.89954,0.0,32.538
2020-08-01 01:00:00+02:00,103.27000000000001,0.0,0.0,4438.91,359.16,134.87199999999999,0.0,0.0,0.0,3.648,19.368000000000002,71.784,0.0,83.544,49.2,,16.154,192.74398000000002,0.0,35.079
2020-08-01 02:00:00+02:00,103.73,0.0,0.0,4074.35,359.16,134.139,0.0,0.0,0.0,4.848,17.664,59.52,0.0,83.58,49.2,,14.145000000000001,193.6662,0.0,39.875
2020-08-01 03:00:00+02:00,106.95,0.0,0.0,4008.69,359.16,129.74099999999999,0.0,0.0,0.0,4.92,17.016000000000002,32.376,0.0,83.64,49.2,,13.489,194.58842,0.0,43.934
2020-08-01 04:00:00+02:00,106.95,0.0,0.0,3995.46,359.16,132.673,0.0,0.0,0.0,4.152,16.728,15.864,0.0,83.628,50.02,,11.111,193.6662,0.0,43.296
2020-08-01 05:00:00+02:00,105.11,0.0,0.0,3996.93,359.16,131.94,0.0,0.0,0.0,3.648,16.392,12.432,0.0,83.58,50.02,,5.822,188.13288,0.0,44.495
2020-08-01 06:00:00+02:00,104.42,0.0,0.0,4149.8099999999995,359.16,131.94,0.0,0.0,0.0,4.8,16.176000000000002,13.68,0.0,83.52,49.2,,1.968,187.21066000000002,0.0,46.870999999999995
2020-08-01 07:00:00+02:00,104.65,0.0,0.0,4144.91,358.34000000000003,131.207,0.0,0.0,0.0,5.688,16.68,13.176,0.0,83.532,47.56,,5.248,188.13288,0.0,46.364999999999995
2020-08-01 08:00:00+02:00,104.42,0.0,0.0,4348.26,359.16,131.207,0.0,0.0,0.0,3.504,17.64,30.240000000000002,0.0,83.532,48.38,,46.781,189.97732000000002,0.0,42.602999999999994
2020-08-01 09:00:00+02:00,107.64,0.0,0.0,4614.33,359.16,131.207,0.0,0.0,0.0,1.296,18.792,41.808,0.0,83.508,47.56,,128.699,189.0551,0.0,35.211
2020-08-01 10:00:00+02:00,105.80000000000001,0.0,0.0,4775.05,359.16,131.207,0.0,0.0,0.0,1.296,19.152,54.144,0.0,83.484,47.56,,209.059,189.0551,0.0,32.164
2020-08-01 11:00:00+02:00,97.29,0.0,0.0,4891.18,358.34000000000003,131.207,0.0,0.0,0.0,1.296,19.104,41.832,0.0,83.172,47.56,,265.31100000000004,188.13288,0.0,31.493
2020-08-01 12:00:00+02:00,96.37,0.0,0.0,4806.9,362.44000000000005,131.207,0.0,0.0,0.0,2.376,18.816,41.256,0.0,82.968,47.56,,306.434,188.13288,0.0,35.409
2020-08-01 13:00:00+02:00,99.59,0.0,0.0,4808.86,359.98,129.74099999999999,0.0,0.0,0.0,2.568,19.224,41.016,0.0,82.896,46.74,,322.42400000000004,185.36622,0.0,41.349
2020-08-01 14:00:00+02:00,90.39,0.0,0.0,4768.19,359.16,123.14399999999999,0.0,0.0,0.0,2.568,18.408,37.056,0.0,82.872,47.56,,320.62,188.13288,0.0,50.291999999999994
2020-08-01 15:00:00+02:00,93.61,0.0,0.0,4584.93,359.16,121.678,0.0,0.0,0.0,2.568,17.76,32.52,0.0,82.848,48.38,,310.37,194.58842,0.0,63.525
2020-08-01 16:00:00+02:00,94.07000000000001,0.0,0.0,4560.43,359.16,121.678,0.0,0.0,0.0,2.568,16.992,32.256,0.0,82.812,49.2,,292.74,194.58842,0.0,74.8
2020-08-01 17:00:00+02:00,89.93,0.0,0.0,4725.5599999999995,359.16,121.678,0.0,0.0,0.0,2.52,16.824,34.800000000000004,0.0,82.812,49.2,,267.894,200.12174000000002,0.0,85.63499999999999
2020-08-01 18:00:00+02:00,92.23,0.0,0.0,4766.72,359.16,120.212,0.0,0.0,0.0,1.296,17.04,41.712,0.0,82.776,49.2,,232.88000000000002,198.2773,0.0,93.137
2020-08-01 19:00:00+02:00,92.23,0.0,0.0,4705.47,359.16,122.411,0.0,0.0,0.0,1.296,17.64,52.344,0.0,82.752,49.2,,171.708,189.97732000000002,0.0,97.80099999999999
2020-08-01 20:00:00+02:00,88.09,0.0,0.0,4989.18,359.16,123.877,0.0,0.0,0.0,1.296,18.48,72.432,0.0,83.052,49.2,,83.066,187.21066000000002,0.0,95.821
2020-08-01 21:00:00+02:00,87.86,0.0,0.0,4989.67,359.16,121.678,0.0,0.0,0.0,1.296,19.008,76.56,0.0,83.16,49.2,,33.374,195.51064,0.0,97.592
2020-08-01 22:00:00+02:00,89.01,0.0,0.0,4926.95,359.16,107.018,0.0,0.0,0.0,1.296,18.936,80.376,0.0,83.244,50.02,,25.502000000000002,200.12174000000002,0.0,98.428
2020-08-01 23:00:00+02:00,89.24000000000001,0.0,0.0,4749.08,359.16,107.018,0.0,0.0,0.0,1.296,18.048000000000002,64.056,0.0,83.328,49.2,,17.794,198.2773,0.0,100.738
2020-08-02 00:00:00+02:00,91.77000000000001,0.0,0.0,4188.03,358.34000000000003,105.55199999999999,0.0,0.0,0.0,1.872,17.256,59.136,0.0,83.364,50.02,,16.195,195.51064,0.0,101.73899999999999
2020-08-02 01:00:00+02:00,90.39,0.0,0.0,3866.59,359.16,105.55199999999999,0.0,0.0,0.0,31.632,16.536,55.2,0.0,83.496,50.02,,16.031000000000002,195.51064,0.0,99.71499999999999
2020-08-02 02:00:00+02:00,90.85000000000001,0.0,0.0,3891.09,359.16,98.955,0.0,0.0,0.0,37.176,16.080000000000002,55.44,0.0,83.556,48.38,,16.769000000000002,198.2773,0.0,95.425
2020-08-02 03:00:00+02:00,89.93,0.0,0.0,3897.95,359.16,104.819,0.0,0.0,0.0,41.952,15.456,17.088,0.0,83.556,47.56,,15.99,200.12174000000002,0.0,88.41799999999999
2020-08-02 04:00:00+02:00,85.56,0.0,0.0,3949.4,359.16,105.55199999999999,0.0,0.0,0.0,48.768,15.144,13.776,0.0,83.568,48.38,,13.407,198.2773,0.0,83.094
2020-08-02 05:00:00+02:00,85.33,0.0,0.0,4011.63,359.16,105.55199999999999,0.0,0.0,0.0,57.168,15.336,11.256,0.0,83.604,47.56,,11.89,199.19952,0.0,79.981
2020-08-02 06:00:00+02:00,85.33,0.0,0.0,4109.14,359.16,105.55199999999999,0.0,0.0,0.0,55.344,15.648,11.784,0.0,83.652,45.92,,9.348,199.19952,0.0,78.342
