,Hydro Water Reservoir,Nuclear,Other,Wind Onshore
2020-08-01 00:00:00+02:00,7798.0,4374.0,415.0,462.0
2020-08-01 01:00:00+02:00,7572.0,4374.0,426.0,476.0
2020-08-01 02:00:00+02:00,7513.0,4375.0,416.0,452.0
2020-08-01 03:00:00+02:00,7455.0,4375.0,418.0,401.0
2020-08-01 04:00:00+02:00,7426.0,4372.0,429.0,327.0
2020-08-01 05:00:00+02:00,7449.0,4372.0,440.0,256.0
2020-08-01 06:00:00+02:00,7733.0,4372.0,477.0,169.0
2020-08-01 07:00:00+02:00,8154.0,4372.0,540.0,122.0
2020-08-01 08:00:00+02:00,8486.0,4372.0,602.0,104.0
2020-08-01 09:00:00+02:00,8836.0,4373.0,665.0,117.0
2020-08-01 10:00:00+02:00,8978.0,4511.0,718.0,141.0
2020-08-01 11:00:00+02:00,8921.0,4640.0,764.0,206.0
2020-08-01 12:00:00+02:00,8465.0,4508.0,775.0,284.0
2020-08-01 13:00:00+02:00,8281.0,4394.0,780.0,372.0
2020-08-01 14:00:00+02:00,8347.0,4316.0,769.0,462.0
2020-08-01 15:00:00+02:00,8345.0,4258.0,746.0,522.0
2020-08-01 16:00:00+02:00,8576.0,4241.0,694.0,565.0
2020-08-01 17:00:00+02:00,8742.0,4251.0,639.0,613.0
2020-08-01 18:00:00+02:00,8855.0,4078.0,576.0,672.0
2020-08-01 19:00:00+02:00,8649.0,4024.0,514.0,740.0
2020-08-01 20:00:00+02:00,8425.0,3813.0,467.0,948.0
2020-08-01 21:00:00+02:00,8283.0,3716.0,449.0,1174.0
2020-08-01 22:00:00+02:00,8182.0,3639.0,449.0,1448.0
2020-08-01 23:00:00+02:00,7872.0,3639.0,440.0,1635.0
2020-08-02 00:00:00+02:00,7455.0,3640.0,431.0,1690.0
2020-08-02 01:00:00+02:00,7129.0,3641.0,437.0,1751.0
2020-08-02 02:00:00+02:00,6898.0,3683.0,434.0,1788.0
2020-08-02 03:00:00+02:00,6885.0,3696.0,437.0,1726.0
2020-08-02 04:00:00+02:00,6884.0,3731.0,435.0,1650.0
2020-08-02 05:00:00+02:00,6854.0,3742.0,443.0,1535.0
2020-08-02 06:00:00+02:00,7187.0,3742.0,465.0,1282.0
2020-08-02 07:00:00+02:00,7557.0,3746.0,503.0,1056.0
2020-08-02 08:00:00+02:00,7954.0,3747.0,555.0,926.0
2020-08-02 09:00:00+02:00,8150.0,3753.0,595.0,903.0
2020-08-02 10:00:00+02:00,8370.0,3754.0,625.0,902.0
2020-08-02 11:00:00+02:00,8365.0,3752.0,659.0,1013.0
2020-08-02 12:00:00+02:00,8444.0,3757.0,671.0,1194.0
2020-08-02 13:00:00+02:00,8271.0,3769.0,669.0,1403.0
2020-08-02 14:00:00+02:00,8179.0,3770.0,674.0,1460.0
2020-08-02 15:00:00+02:00,8062.0,3771.0,670.0,1509.0
2020-08-02 16:00:00+02:00,8160.0,3770.0,644.0,1552.0
2020-08-02 17:00:00+02:00,8192.0,3766.0,610.0,1607.0
2020-08-02 18:00:00+02:00,8199.0,3764.0,567.0,1762.0
2020-08-02 19:00:00+02:00,8188.0,3764.0,514.0,1835.0
2020-08-02 20:00:00+02:00,7975.0,3764.0,486.0,1939.0
2020-08-02 21:00:00+02:00,7865.0,3767.0,461.0,2004.0
2020-08-02 22:00:00+02:00,7714.0,3767.0,437.0,2062.0
2020-08-02 23:00:00+02:00,7325.0,3769.0,423.0,2053.0
2020-08-03 00:00:00+02:00,6844.0,3770.0,436.0,2022.0
2020-08-03 01:00:00+02:00,6759.0,3772.0,437.0,2021.0
2020-08-03 02:00:00+02:00,6708.0,3773.0,435.0,2007.0
2020-08-03 03:00:00+02:00,6719.0,3774.0,432.0,2036.0
2020-08-03 04:00:00+02:00,6721.0,3774.0,428.0,2028.0
2020-08-03 05:00:00+02:00,7048.0,3777.0,429.0,2017.0
2020-08-03 06:00:00+02:00,7632.0,3779.0,464.0,1925.0
2020-08-03 07:00:00+02:00,8140.0,3778.0,522.0,1911.0
2020-08-03 08:00:00+02:00,8569.0,3779.0,583.0,1926.0
2020-08-03 09:00:00+02:00,8818.0,3781.0,626.0,1916.0
2020-08-03 10:00:00+02:00,8987.0,3776.0,673.0,1883.0
2020-08-03 11:00:00+02:00,8900.0,3778.0,719.0,1886.0
2020-08-03 12:00:00+02:00,8975.0,3778.0,755.0,1846.0
2020-08-03 13:00:00+02:00,8703.0,3776.0,715.0,1877.0
2020-08-03 14:00:00+02:00,8823.0,3774.0,708.0,1912.0
2020-08-03 15:00:00+02:00,8793.0,3774.0,652.0,1921.0
2020-08-03 16:00:00+02:00,8730.0,3772.0,607.0,1973.0
2020-08-03 17:00:00+02:00,8612.0,3771.0,524.0,1947.0
2020-08-03 18:00:00+02:00,8539.0,3772.0,496.0,1915.0
2020-08-03 19:00:00+02:00,8386.0,3772.0,437.0,1841.0
2020-08-03 20:00:00+02:00,8358.0,3773.0,385.0,1828.0
2020-08-03 21:00:00+02:00,8326.0,3774.0,348.0,2036.0
2020-08-03 22:00:00+02:00,8074.0,3777.0,379.0,2196.0
2020-08-03 23:00:00+02:00,7728.0,3779.0,421.0,2122.0
2020-08-04 00:00:00+02:00,7142.0,3780.0,311.0,1986.0
2020-08-04 01:00:00+02:00,6764.0,3785.0,315.0,1933.0
2020-08-04 02:00:00+02:00,6693.0,3786.0,318.0,1821.0
2020-08-04 03:00:00+02:00,6951.0,3786.0,328.0,1714.0
2020-08-04 04:00:00+02:00,7057.0,3789.0,330.0,1701.0
2020-08-04 05:00:00+02:00,7371.0,3788.0,342.0,1565.0
2020-08-04 06:00:00+02:00,7931.0,3789.0,382.0,1332.0
2020-08-04 07:00:00+02:00,8507.0,3787.0,436.0,1106.0
2020-08-04 08:00:00+02:00,8609.0,3785.0,504.0,1034.0
2020-08-04 09:00:00+02:00,8755.0,3786.0,557.0,994.0
2020-08-04 10:00:00+02:00,8866.0,3785.0,600.0,984.0
2020-08-04 11:00:00+02:00,8935.0,3784.0,648.0,992.0
2020-08-04 12:00:00+02:00,8835.0,3781.0,672.0,1044.0
2020-08-04 13:00:00+02:00,8843.0,3780.0,679.0,1085.0
2020-08-04 14:00:00+02:00,8817.0,3779.0,671.0,1071.0
2020-08-04 15:00:00+02:00,8802.0,3779.0,645.0,1055.0
2020-08-04 16:00:00+02:00,8891.0,3773.0,592.0,1038.0
2020-08-04 17:00:00+02:00,9135.0,3772.0,550.0,1088.0
2020-08-04 18:00:00+02:00,9165.0,3771.0,517.0,1026.0
2020-08-04 19:00:00+02:00,9166.0,3769.0,459.0,1057.0
2020-08-04 20:00:00+02:00,9049.0,3772.0,411.0,1148.0
2020-08-04 21:00:00+02:00,8932.0,3771.0,397.0,1273.0
2020-08-04 22:00:00+02:00,8653.0,3770.0,412.0,1426.0
2020-08-04 23:00:00+02:00,7962.0,3772.0,408.0,1607.0
2020-08-05 00:00:00+02:00,7727.0,3838.0,412.0,1575.0
2020-08-05 01:00:00+02:00,7429.0,3849.0,406.0,1618.0
2020-08-05 02:00:00+02:00,7326.0,3848.0,398.0,1604.0
2020-08-05 03:00:00+02:00,7371.0,3850.0,390.0,1518.0
2020-08-05 04:00:00+02:00,7359.0,3864.0,390.0,1504.0
2020-08-05 05:00:00+02:00,7547.0,3872.0,396.0,1395.0
2020-08-05 06:00:00+02:00,8009.0,3871.0,407.0,1238.0
2020-08-05 07:00:00+02:00,8528.0,3871.0,464.0,1105.0
2020-08-05 08:00:00+02:00,8747.0,3877.0,523.0,1149.0
2020-08-05 09:00:00+02:00,8602.0,3879.0,570.0,1342.0
2020-08-05 10:00:00+02:00,8547.0,3876.0,585.0,1794.0
2020-08-05 11:00:00+02:00,8282.0,3876.0,621.0,2206.0
2020-08-05 12:00:00+02:00,7974.0,3876.0,641.0,2562.0
2020-08-05 13:00:00+02:00,7826.0,3872.0,640.0,2930.0
2020-08-05 14:00:00+02:00,7546.0,3871.0,647.0,3055.0
2020-08-05 15:00:00+02:00,7434.0,3872.0,620.0,3228.0
2020-08-05 16:00:00+02:00,7540.0,3872.0,585.0,3159.0
2020-08-05 17:00:00+02:00,8038.0,3870.0,560.0,3043.0
2020-08-05 18:00:00+02:00,8011.0,3872.0,513.0,2932.0
2020-08-05 19:00:00+02:00,8032.0,3873.0,469.0,2860.0
2020-08-05 20:00:00+02:00,7966.0,3873.0,449.0,2874.0
2020-08-05 21:00:00+02:00,7884.0,3873.0,433.0,2976.0
2020-08-05 22:00:00+02:00,7538.0,3875.0,428.0,2888.0
2020-08-05 23:00:00+02:00,7257.0,3876.0,433.0,2765.0
2020-08-06 00:00:00+02:00,7005.0,3874.0,422.0,2429.0
2020-08-06 01:00:00+02:00,6884.0,3877.0,431.0,2168.0
2020-08-06 02:00:00+02:00,6949.0,3878.0,416.0,1896.0
2020-08-06 03:00:00+02:00,7070.0,3878.0,408.0,1722.0
2020-08-06 04:00:00+02:00,7232.0,3879.0,403.0,1631.0
2020-08-06 05:00:00+02:00,7609.0,3879.0,412.0,1400.0
2020-08-06 06:00:00+02:00,8415.0,3880.0,431.0,1136.0
2020-08-06 07:00:00+02:00,9260.0,3879.0,475.0,1021.0
2020-08-06 08:00:00+02:00,9407.0,3879.0,524.0,930.0
2020-08-06 09:00:00+02:00,9441.0,3879.0,566.0,844.0
2020-08-06 10:00:00+02:00,9304.0,3878.0,606.0,848.0
2020-08-06 11:00:00+02:00,9265.0,3874.0,657.0,859.0
2020-08-06 12:00:00+02:00,9181.0,3872.0,649.0,903.0
2020-08-06 13:00:00+02:00,9064.0,3869.0,657.0,905.0
2020-08-06 14:00:00+02:00,8968.0,3864.0,673.0,953.0
2020-08-06 15:00:00+02:00,9003.0,3864.0,665.0,956.0
2020-08-06 16:00:00+02:00,9230.0,3863.0,632.0,896.0
2020-08-06 17:00:00+02:00,9186.0,3862.0,582.0,864.0
2020-08-06 18:00:00+02:00,9252.0,3862.0,532.0,831.0
2020-08-06 19:00:00+02:00,9081.0,3865.0,474.0,888.0
2020-08-06 20:00:00+02:00,8987.0,3864.0,429.0,1100.0
2020-08-06 21:00:00+02:00,8843.0,3867.0,410.0,1384.0
2020-08-06 22:00:00+02:00,8472.0,3866.0,397.0,1532.0
2020-08-06 23:00:00+02:00,7938.0,3868.0,402.0,1717.0
2020-08-07 00:00:00+02:00,7602.0,3868.0,376.0,1747.0
2020-08-07 01:00:00+02:00,7415.0,3871.0,396.0,1756.0
2020-08-07 02:00:00+02:00,7351.0,3871.0,352.0,1669.0
2020-08-07 03:00:00+02:00,7395.0,3873.0,380.0,1525.0
2020-08-07 04:00:00+02:00,7508.0,3872.0,381.0,1365.0
2020-08-07 05:00:00+02:00,7750.0,3873.0,380.0,1171.0
2020-08-07 06:00:00+02:00,8491.0,3875.0,413.0,954.0
2020-08-07 07:00:00+02:00,9124.0,3873.0,453.0,754.0
2020-08-07 08:00:00+02:00,9363.0,3873.0,503.0,557.0
2020-08-07 09:00:00+02:00,9368.0,3871.0,565.0,511.0
2020-08-07 10:00:00+02:00,9257.0,3867.0,632.0,549.0
2020-08-07 11:00:00+02:00,9111.0,3864.0,683.0,675.0
2020-08-07 12:00:00+02:00,8877.0,3858.0,706.0,856.0
2020-08-07 13:00:00+02:00,8672.0,3848.0,720.0,1083.0
2020-08-07 14:00:00+02:00,8535.0,3842.0,707.0,1224.0
2020-08-07 15:00:00+02:00,8526.0,3839.0,669.0,1282.0
2020-08-07 16:00:00+02:00,8648.0,3836.0,620.0,1234.0
2020-08-07 17:00:00+02:00,8849.0,3827.0,571.0,1158.0
2020-08-07 18:00:00+02:00,8950.0,3827.0,510.0,1064.0
