,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2020-09-01 00:00:00+02:00,319.0,3294.0,904.0,139.0,1040.0,3469.0,795.0,27515.0,0.0,187.0,1707.0
2020-09-01 01:00:00+02:00,319.0,3262.0,1018.0,140.0,1501.0,3242.0,998.0,27531.0,0.0,188.0,1642.0
2020-09-01 02:00:00+02:00,319.0,3238.0,1010.0,138.0,1771.0,3105.0,756.0,27554.0,0.0,187.0,1639.0
2020-09-01 03:00:00+02:00,319.0,3059.0,1000.0,137.0,2089.0,3034.0,665.0,27552.0,0.0,189.0,1549.0
2020-09-01 04:00:00+02:00,320.0,3095.0,1005.0,136.0,2154.0,2955.0,772.0,27534.0,0.0,188.0,1358.0
2020-09-01 05:00:00+02:00,321.0,3090.0,1037.0,136.0,1271.0,3019.0,769.0,27532.0,0.0,186.0,1225.0
2020-09-01 06:00:00+02:00,320.0,3423.0,1046.0,140.0,366.0,3226.0,1074.0,27478.0,0.0,179.0,1213.0
2020-09-01 07:00:00+02:00,319.0,3488.0,1065.0,214.0,1425.0,3582.0,1772.0,27534.0,224.0,178.0,1165.0
2020-09-01 08:00:00+02:00,315.0,3427.0,943.0,708.0,1892.0,3884.0,1645.0,27331.0,906.0,169.0,1076.0
2020-09-01 09:00:00+02:00,305.0,3380.0,966.0,691.0,1379.0,3850.0,1231.0,28035.0,2389.0,169.0,915.0
2020-09-01 10:00:00+02:00,306.0,3449.0,1080.0,165.0,1271.0,3809.0,1122.0,28848.0,4087.0,169.0,824.0
2020-09-01 11:00:00+02:00,306.0,3660.0,991.0,140.0,771.0,3861.0,1191.0,28925.0,5421.0,171.0,958.0
2020-09-01 12:00:00+02:00,308.0,3834.0,891.0,140.0,233.0,4009.0,734.0,28833.0,6141.0,170.0,1173.0
2020-09-01 13:00:00+02:00,308.0,3833.0,943.0,139.0,345.0,3805.0,681.0,28883.0,6182.0,169.0,1266.0
2020-09-01 14:00:00+02:00,308.0,3751.0,947.0,139.0,296.0,3635.0,727.0,28843.0,5962.0,171.0,1327.0
2020-09-01 15:00:00+02:00,309.0,3736.0,919.0,139.0,321.0,3397.0,740.0,28803.0,5459.0,166.0,1383.0
2020-09-01 16:00:00+02:00,307.0,3510.0,729.0,139.0,538.0,3298.0,955.0,28825.0,4793.0,168.0,1486.0
2020-09-01 17:00:00+02:00,307.0,3618.0,781.0,139.0,812.0,3476.0,1132.0,28927.0,3654.0,174.0,1690.0
2020-09-01 18:00:00+02:00,305.0,4133.0,873.0,139.0,1018.0,3781.0,2078.0,28833.0,2106.0,182.0,1860.0
2020-09-01 19:00:00+02:00,307.0,4233.0,1136.0,139.0,1076.0,3965.0,2473.0,28839.0,713.0,183.0,1934.0
2020-09-01 20:00:00+02:00,307.0,4013.0,1081.0,139.0,1018.0,4085.0,2519.0,28841.0,180.0,184.0,2037.0
2020-09-01 21:00:00+02:00,306.0,3902.0,711.0,139.0,553.0,3872.0,1850.0,28720.0,0.0,188.0,2351.0
2020-09-01 22:00:00+02:00,308.0,3666.0,847.0,140.0,481.0,3547.0,956.0,28743.0,0.0,187.0,2488.0
2020-09-01 23:00:00+02:00,307.0,3433.0,959.0,140.0,186.0,3512.0,816.0,28527.0,0.0,186.0,2408.0
2020-09-02 00:00:00+02:00,307.0,3276.0,774.0,139.0,856.0,3511.0,1129.0,27720.0,0.0,182.0,2401.0
2020-09-02 01:00:00+02:00,306.0,3272.0,807.0,136.0,1904.0,3364.0,593.0,27684.0,0.0,182.0,2262.0
2020-09-02 02:00:00+02:00,306.0,3352.0,896.0,136.0,2066.0,3213.0,659.0,27710.0,0.0,182.0,1915.0
2020-09-02 03:00:00+02:00,307.0,3488.0,977.0,137.0,1707.0,3127.0,631.0,27760.0,0.0,182.0,1628.0
2020-09-02 04:00:00+02:00,306.0,3579.0,980.0,136.0,1635.0,2983.0,629.0,27648.0,0.0,182.0,1452.0
2020-09-02 05:00:00+02:00,305.0,3550.0,744.0,136.0,747.0,2952.0,897.0,27594.0,0.0,180.0,1377.0
2020-09-02 06:00:00+02:00,305.0,3407.0,942.0,138.0,416.0,3355.0,1042.0,27730.0,0.0,178.0,1300.0
2020-09-02 07:00:00+02:00,305.0,3400.0,1027.0,140.0,1150.0,3752.0,1577.0,28049.0,222.0,167.0,1222.0
2020-09-02 08:00:00+02:00,304.0,3421.0,1126.0,136.0,1307.0,3966.0,1968.0,28251.0,1049.0,165.0,1092.0
2020-09-02 09:00:00+02:00,305.0,3670.0,1012.0,136.0,810.0,3879.0,2006.0,28256.0,2875.0,163.0,948.0
2020-09-02 10:00:00+02:00,304.0,3492.0,907.0,136.0,474.0,3815.0,1354.0,28197.0,4609.0,163.0,926.0
2020-09-02 11:00:00+02:00,304.0,3342.0,1010.0,136.0,692.0,3714.0,819.0,28089.0,5831.0,170.0,967.0
2020-09-02 12:00:00+02:00,304.0,3344.0,1000.0,136.0,583.0,3665.0,811.0,28166.0,6456.0,170.0,1064.0
2020-09-02 13:00:00+02:00,305.0,3261.0,973.0,136.0,520.0,3533.0,585.0,28932.0,6605.0,173.0,1073.0
2020-09-02 14:00:00+02:00,306.0,3230.0,903.0,136.0,176.0,3389.0,417.0,29234.0,6503.0,175.0,1158.0
2020-09-02 15:00:00+02:00,305.0,3267.0,715.0,136.0,418.0,3348.0,590.0,29183.0,6102.0,172.0,1184.0
2020-09-02 16:00:00+02:00,305.0,3205.0,804.0,135.0,728.0,3475.0,1003.0,29104.0,5347.0,172.0,1190.0
2020-09-02 17:00:00+02:00,306.0,3219.0,924.0,135.0,820.0,3730.0,1268.0,29143.0,4040.0,171.0,1195.0
2020-09-02 18:00:00+02:00,305.0,3256.0,1045.0,135.0,1371.0,4032.0,1957.0,29145.0,2346.0,176.0,1219.0
2020-09-02 19:00:00+02:00,306.0,3391.0,1126.0,135.0,2073.0,4324.0,3119.0,29130.0,729.0,173.0,1259.0
2020-09-02 20:00:00+02:00,305.0,3332.0,1161.0,135.0,1714.0,4301.0,2177.0,29148.0,175.0,173.0,1277.0
2020-09-02 21:00:00+02:00,306.0,3082.0,904.0,136.0,749.0,4008.0,1822.0,29143.0,0.0,177.0,1441.0
2020-09-02 22:00:00+02:00,306.0,2989.0,777.0,136.0,46.0,3680.0,1426.0,28954.0,0.0,176.0,1526.0
2020-09-02 23:00:00+02:00,306.0,3207.0,844.0,136.0,186.0,3525.0,984.0,28998.0,0.0,178.0,1423.0
2020-09-03 00:00:00+02:00,307.0,2654.0,790.0,140.0,170.0,3421.0,750.0,29019.0,0.0,177.0,1301.0
2020-09-03 01:00:00+02:00,308.0,3118.0,760.0,140.0,950.0,3283.0,724.0,28893.0,0.0,176.0,1255.0
2020-09-03 02:00:00+02:00,306.0,3108.0,595.0,140.0,1472.0,3191.0,137.0,28844.0,0.0,177.0,1270.0
2020-09-03 03:00:00+02:00,304.0,3081.0,403.0,140.0,1883.0,3102.0,108.0,28651.0,0.0,177.0,1301.0
2020-09-03 04:00:00+02:00,306.0,2820.0,372.0,140.0,1910.0,3021.0,237.0,28664.0,0.0,176.0,1418.0
2020-09-03 05:00:00+02:00,306.0,2721.0,387.0,140.0,879.0,2907.0,432.0,28849.0,0.0,174.0,1579.0
2020-09-03 06:00:00+02:00,305.0,2829.0,511.0,140.0,217.0,3143.0,1013.0,28984.0,0.0,170.0,1787.0
2020-09-03 07:00:00+02:00,306.0,3117.0,480.0,140.0,619.0,3493.0,1302.0,29103.0,214.0,162.0,2052.0
2020-09-03 08:00:00+02:00,305.0,3018.0,460.0,140.0,879.0,3730.0,888.0,29266.0,957.0,159.0,2193.0
