,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
2020-10-01 00:00:00+02:00,131.0,486.0,932.0,41.0,0.0,0.0,11.0,12.0,1710.0,34.0,14.0,0.0,20.0,173.0
2020-10-01 00:15:00+02:00,131.0,497.0,901.0,41.0,0.0,0.0,11.0,12.0,1723.0,34.0,13.0,0.0,19.0,182.0
2020-10-01 00:30:00+02:00,134.0,482.0,882.0,40.0,0.0,0.0,11.0,12.0,1738.0,34.0,13.0,0.0,18.0,175.0
2020-10-01 00:45:00+02:00,132.0,492.0,862.0,40.0,0.0,0.0,11.0,12.0,1753.0,34.0,13.0,0.0,21.0,169.0
2020-10-01 01:00:00+02:00,128.0,528.0,907.0,40.0,0.0,0.0,11.0,12.0,1768.0,34.0,13.0,0.0,21.0,165.0
2020-10-01 01:15:00+02:00,126.0,545.0,842.0,40.0,0.0,0.0,11.0,12.0,1782.0,34.0,13.0,0.0,20.0,158.0
2020-10-01 01:30:00+02:00,120.0,540.0,786.0,40.0,0.0,0.0,11.0,12.0,1816.0,34.0,13.0,0.0,20.0,148.0
2020-10-01 01:45:00+02:00,119.0,539.0,777.0,40.0,0.0,0.0,11.0,12.0,1857.0,34.0,13.0,0.0,21.0,139.0
2020-10-01 02:00:00+02:00,117.0,535.0,786.0,40.0,0.0,0.0,11.0,12.0,1875.0,33.0,13.0,0.0,21.0,138.0
2020-10-01 02:15:00+02:00,116.0,510.0,785.0,39.0,0.0,0.0,11.0,12.0,1897.0,33.0,12.0,0.0,20.0,138.0
2020-10-01 02:30:00+02:00,114.0,482.0,785.0,40.0,0.0,0.0,11.0,12.0,1902.0,33.0,10.0,0.0,21.0,139.0
2020-10-01 02:45:00+02:00,108.0,476.0,776.0,40.0,0.0,0.0,11.0,12.0,1904.0,33.0,10.0,0.0,20.0,141.0
2020-10-01 03:00:00+02:00,100.0,467.0,771.0,40.0,0.0,0.0,11.0,12.0,1908.0,34.0,9.0,0.0,19.0,148.0
2020-10-01 03:15:00+02:00,89.0,467.0,770.0,40.0,0.0,0.0,11.0,12.0,1907.0,34.0,9.0,0.0,18.0,148.0
2020-10-01 03:30:00+02:00,90.0,468.0,769.0,40.0,0.0,0.0,11.0,12.0,1906.0,34.0,9.0,0.0,20.0,154.0
2020-10-01 03:45:00+02:00,90.0,466.0,760.0,40.0,0.0,0.0,11.0,12.0,1905.0,34.0,8.0,0.0,20.0,156.0
2020-10-01 04:00:00+02:00,91.0,458.0,743.0,40.0,0.0,0.0,11.0,12.0,1905.0,33.0,8.0,0.0,20.0,157.0
2020-10-01 04:15:00+02:00,89.0,458.0,751.0,41.0,0.0,0.0,11.0,12.0,1906.0,33.0,8.0,0.0,20.0,161.0
2020-10-01 04:30:00+02:00,90.0,471.0,779.0,40.0,0.0,0.0,11.0,12.0,1906.0,33.0,9.0,0.0,20.0,154.0
2020-10-01 04:45:00+02:00,90.0,480.0,788.0,40.0,0.0,0.0,11.0,12.0,1908.0,33.0,9.0,0.0,21.0,148.0
2020-10-01 05:00:00+02:00,90.0,481.0,785.0,40.0,0.0,0.0,11.0,12.0,1909.0,33.0,8.0,0.0,21.0,142.0
2020-10-01 05:15:00+02:00,95.0,499.0,797.0,40.0,0.0,0.0,11.0,12.0,1911.0,33.0,8.0,0.0,21.0,136.0
2020-10-01 05:30:00+02:00,101.0,527.0,837.0,40.0,0.0,0.0,11.0,12.0,1911.0,33.0,9.0,0.0,20.0,142.0
2020-10-01 05:45:00+02:00,108.0,547.0,894.0,40.0,0.0,0.0,11.0,12.0,1913.0,33.0,9.0,0.0,20.0,139.0
2020-10-01 06:00:00+02:00,112.0,511.0,792.0,40.0,0.0,0.0,11.0,12.0,1913.0,34.0,10.0,0.0,19.0,138.0
2020-10-01 06:15:00+02:00,116.0,531.0,884.0,40.0,0.0,0.0,11.0,12.0,1910.0,34.0,12.0,0.0,20.0,126.0
2020-10-01 06:30:00+02:00,122.0,577.0,939.0,40.0,0.0,0.0,11.0,12.0,1910.0,34.0,13.0,0.0,19.0,117.0
2020-10-01 06:45:00+02:00,126.0,583.0,970.0,40.0,0.0,0.0,11.0,12.0,1909.0,34.0,13.0,2.0,19.0,100.0
2020-10-01 07:00:00+02:00,128.0,575.0,929.0,40.0,0.0,0.0,11.0,12.0,1910.0,35.0,14.0,9.0,21.0,90.0
2020-10-01 07:15:00+02:00,127.0,572.0,951.0,40.0,0.0,0.0,11.0,12.0,1910.0,35.0,15.0,20.0,21.0,85.0
2020-10-01 07:30:00+02:00,124.0,580.0,960.0,40.0,0.0,0.0,11.0,12.0,1912.0,35.0,15.0,32.0,21.0,83.0
2020-10-01 07:45:00+02:00,127.0,576.0,978.0,40.0,0.0,0.0,11.0,12.0,1912.0,35.0,15.0,45.0,20.0,77.0
2020-10-01 08:00:00+02:00,129.0,568.0,945.0,40.0,0.0,0.0,12.0,12.0,1916.0,36.0,15.0,62.0,20.0,75.0
2020-10-01 08:15:00+02:00,129.0,566.0,977.0,39.0,0.0,0.0,12.0,12.0,1914.0,36.0,15.0,79.0,22.0,74.0
2020-10-01 08:30:00+02:00,128.0,562.0,968.0,40.0,0.0,0.0,13.0,12.0,1912.0,36.0,15.0,96.0,22.0,78.0
