,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Waste,Wind Onshore
2020-10-01 00:00:00+02:00,577.0,678.0,12474.0,1916.0,219.0,648.0,257.0,2641.0,188.0,1864.0,0.0,40.0,488.0
2020-10-01 01:00:00+02:00,586.0,670.0,11699.0,1869.0,220.0,648.0,1452.0,2544.0,187.0,1693.0,0.0,40.0,511.0
2020-10-01 02:00:00+02:00,588.0,663.0,10811.0,1893.0,219.0,648.0,1523.0,2419.0,187.0,1726.0,0.0,38.0,567.0
2020-10-01 03:00:00+02:00,583.0,650.0,10379.0,1907.0,220.0,649.0,1521.0,2379.0,175.0,1731.0,0.0,40.0,589.0
2020-10-01 04:00:00+02:00,587.0,642.0,10592.0,1912.0,219.0,649.0,1515.0,2371.0,171.0,1724.0,0.0,38.0,742.0
2020-10-01 05:00:00+02:00,584.0,631.0,11765.0,1891.0,220.0,641.0,1498.0,2549.0,211.0,1810.0,0.0,38.0,879.0
2020-10-01 06:00:00+02:00,585.0,621.0,14650.0,1882.0,237.0,638.0,323.0,3142.0,330.0,2123.0,1.0,36.0,868.0
2020-10-01 07:00:00+02:00,586.0,546.0,16835.0,1962.0,240.0,637.0,345.0,4053.0,706.0,2570.0,301.0,37.0,715.0
2020-10-01 08:00:00+02:00,575.0,487.0,17780.0,2014.0,221.0,638.0,561.0,4777.0,1015.0,2634.0,1826.0,38.0,493.0
2020-10-01 09:00:00+02:00,581.0,501.0,17395.0,1986.0,219.0,619.0,583.0,4858.0,951.0,2661.0,3842.0,37.0,328.0
2020-10-01 10:00:00+02:00,580.0,499.0,16718.0,2067.0,190.0,618.0,361.0,4465.0,806.0,2741.0,5341.0,32.0,352.0
2020-10-01 11:00:00+02:00,594.0,513.0,16474.0,2053.0,86.0,616.0,338.0,3788.0,591.0,2707.0,6595.0,34.0,429.0
2020-10-01 12:00:00+02:00,604.0,542.0,15780.0,1993.0,84.0,618.0,232.0,3142.0,384.0,2518.0,6924.0,35.0,751.0
2020-10-01 13:00:00+02:00,596.0,559.0,15190.0,1931.0,85.0,622.0,231.0,3053.0,288.0,2414.0,6834.0,34.0,1355.0
2020-10-01 14:00:00+02:00,588.0,564.0,14896.0,1919.0,85.0,617.0,231.0,2860.0,288.0,2424.0,5974.0,37.0,1997.0
2020-10-01 15:00:00+02:00,589.0,572.0,14600.0,1916.0,85.0,635.0,232.0,2835.0,319.0,2476.0,4941.0,35.0,2341.0
2020-10-01 16:00:00+02:00,595.0,560.0,16098.0,2089.0,91.0,644.0,231.0,3174.0,481.0,2476.0,3705.0,38.0,2168.0
2020-10-01 17:00:00+02:00,608.0,560.0,16063.0,2125.0,134.0,643.0,235.0,4164.0,777.0,2562.0,1853.0,37.0,1981.0
2020-10-01 18:00:00+02:00,627.0,554.0,16590.0,2135.0,158.0,644.0,558.0,5191.0,1133.0,2599.0,184.0,33.0,1831.0
2020-10-01 19:00:00+02:00,632.0,552.0,17543.0,2169.0,169.0,648.0,1699.0,5735.0,1463.0,2652.0,0.0,39.0,1674.0
2020-10-01 20:00:00+02:00,635.0,542.0,17526.0,2192.0,152.0,649.0,1252.0,5455.0,1440.0,2635.0,0.0,39.0,1368.0
2020-10-01 21:00:00+02:00,639.0,547.0,16527.0,2106.0,153.0,649.0,1075.0,3941.0,684.0,2474.0,0.0,41.0,1126.0
2020-10-01 22:00:00+02:00,634.0,540.0,14680.0,2077.0,154.0,648.0,811.0,3223.0,335.0,2235.0,0.0,43.0,1034.0
2020-10-01 23:00:00+02:00,623.0,542.0,12601.0,2052.0,142.0,649.0,662.0,2988.0,325.0,2137.0,0.0,38.0,1169.0
2020-10-02 00:00:00+02:00,620.0,546.0,10799.0,2037.0,143.0,644.0,166.0,2819.0,375.0,1783.0,0.0,39.0,1332.0
2020-10-02 01:00:00+02:00,616.0,549.0,9947.0,2046.0,142.0,645.0,0.0,2712.0,364.0,1608.0,0.0,40.0,1398.0
2020-10-02 02:00:00+02:00,614.0,542.0,10013.0,2039.0,142.0,643.0,0.0,2722.0,361.0,1590.0,0.0,39.0,1356.0
2020-10-02 03:00:00+02:00,612.0,548.0,9775.0,2067.0,135.0,640.0,1024.0,2653.0,356.0,1682.0,0.0,38.0,1517.0
2020-10-02 04:00:00+02:00,621.0,552.0,9951.0,2074.0,84.0,640.0,0.0,2785.0,429.0,1729.0,0.0,38.0,1986.0
2020-10-02 05:00:00+02:00,615.0,559.0,10810.0,2084.0,85.0,640.0,4.0,2941.0,481.0,1803.0,0.0,39.0,1860.0
2020-10-02 06:00:00+02:00,612.0,560.0,13179.0,2175.0,93.0,596.0,495.0,3664.0,922.0,2086.0,0.0,39.0,1714.0
2020-10-02 07:00:00+02:00,614.0,555.0,14962.0,2043.0,93.0,588.0,628.0,4626.0,1073.0,2453.0,328.0,36.0,1728.0
2020-10-02 08:00:00+02:00,603.0,557.0,15083.0,2031.0,93.0,586.0,764.0,5064.0,1347.0,2320.0,1958.0,36.0,1732.0
2020-10-02 09:00:00+02:00,577.0,540.0,15090.0,2119.0,26.0,596.0,836.0,5153.0,1285.0,2147.0,3650.0,33.0,1818.0
2020-10-02 10:00:00+02:00,573.0,537.0,14512.0,2060.0,26.0,596.0,554.0,5060.0,1206.0,2121.0,4713.0,33.0,2078.0
2020-10-02 11:00:00+02:00,597.0,534.0,13742.0,2050.0,26.0,596.0,712.0,4697.0,1187.0,2156.0,5438.0,35.0,2549.0
2020-10-02 12:00:00+02:00,576.0,531.0,13203.0,2067.0,26.0,596.0,744.0,3958.0,856.0,2097.0,5921.0,40.0,3065.0
2020-10-02 13:00:00+02:00,572.0,535.0,12448.0,1655.0,26.0,596.0,473.0,3859.0,661.0,2091.0,5611.0,37.0,3380.0
2020-10-02 14:00:00+02:00,575.0,535.0,12475.0,1534.0,26.0,593.0,391.0,3903.0,646.0,2126.0,4886.0,39.0,3729.0
2020-10-02 15:00:00+02:00,580.0,533.0,12340.0,1526.0,27.0,598.0,392.0,4016.0,670.0,2178.0,3916.0,38.0,3871.0
2020-10-02 16:00:00+02:00,602.0,528.0,13125.0,1534.0,38.0,611.0,529.0,4242.0,697.0,2370.0,2438.0,39.0,3889.0
2020-10-02 17:00:00+02:00,613.0,532.0,14051.0,1532.0,77.0,633.0,707.0,4971.0,758.0,2498.0,885.0,38.0,3652.0
2020-10-02 18:00:00+02:00,611.0,532.0,14692.0,1392.0,97.0,640.0,888.0,5696.0,827.0,2439.0,66.0,40.0,3529.0
2020-10-02 19:00:00+02:00,613.0,536.0,14936.0,1484.0,103.0,639.0,1174.0,6307.0,1266.0,2513.0,0.0,41.0,3726.0
2020-10-02 20:00:00+02:00,608.0,540.0,13960.0,1386.0,118.0,639.0,641.0,5940.0,951.0,2572.0,0.0,39.0,4101.0
