,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Waste,Wind Onshore
2020-10-01 00:00:00+02:00,0.0,482.0,1199.0,12966.0,18.0,11.0,11.0,1699.0
2020-10-01 01:00:00+02:00,0.0,457.0,1200.0,12649.0,18.0,11.0,11.0,1658.0
2020-10-01 02:00:00+02:00,0.0,404.0,1196.0,12546.0,18.0,12.0,11.0,1629.0
2020-10-01 03:00:00+02:00,0.0,402.0,1197.0,12466.0,18.0,11.0,11.0,1799.0
2020-10-01 04:00:00+02:00,0.0,396.0,1198.0,12333.0,18.0,11.0,11.0,1853.0
2020-10-01 05:00:00+02:00,0.0,400.0,1198.0,12831.0,18.0,11.0,11.0,1904.0
2020-10-01 06:00:00+02:00,0.0,508.0,1198.0,13838.0,18.0,11.0,11.0,1966.0
2020-10-01 07:00:00+02:00,0.0,597.0,1201.0,14509.0,18.0,14.0,10.0,1927.0
2020-10-01 08:00:00+02:00,0.0,620.0,1215.0,14898.0,18.0,10.0,11.0,1883.0
2020-10-01 09:00:00+02:00,0.0,631.0,1218.0,14852.0,18.0,10.0,11.0,1884.0
2020-10-01 10:00:00+02:00,0.0,630.0,1219.0,14982.0,18.0,7.0,11.0,1971.0
2020-10-01 11:00:00+02:00,0.0,630.0,1221.0,14792.0,18.0,12.0,11.0,1890.0
2020-10-01 12:00:00+02:00,0.0,628.0,1218.0,14645.0,18.0,11.0,11.0,1937.0
2020-10-01 13:00:00+02:00,0.0,607.0,1201.0,14599.0,18.0,10.0,11.0,2011.0
2020-10-01 14:00:00+02:00,0.0,607.0,1194.0,14463.0,18.0,11.0,11.0,1956.0
2020-10-01 15:00:00+02:00,0.0,594.0,1202.0,14641.0,18.0,10.0,11.0,1966.0
2020-10-01 16:00:00+02:00,0.0,597.0,1202.0,14515.0,18.0,10.0,11.0,1993.0
2020-10-01 17:00:00+02:00,0.0,706.0,1204.0,14401.0,18.0,10.0,11.0,2017.0
2020-10-01 18:00:00+02:00,0.0,648.0,1197.0,14589.0,18.0,21.0,11.0,1975.0
